version_id,downloads
6,41
7,30
8,37
9,144
10,78
11,46
12,1
13,83
14,96
15,69
16,164
17,73
18,1
19,4
20,47
21,10
22,33
23,28
24,33
25,31
27,4
28,30
29,1
30,3
31,1
32,33
33,39
34,1
35,1
36,40
37,143
38,55
39,38
40,33
42,34
43,35
44,41
45,34
46,1
47,15
48,17
49,7
50,24
51,30
52,2
53,5
54,33
55,1
56,1
57,3
58,35
59,13
61,32
63,5
64,5
65,35
66,5
67,70
68,40
69,40
82,2
83,2
84,42
85,37
86,42
87,2
90,1
92,33
93,42
94,3
98,30
99,2
100,2
101,1
102,40
104,3
105,7
107,3
108,35
109,1
110,1
111,2
112,1
113,55
114,135
115,187
116,185
117,176
118,186
119,177
120,203
121,130
122,29
123,1
124,1
125,29
126,43
127,37
128,5
129,12
130,29
131,5
132,12
133,1
134,14
135,40
136,33
137,5
138,5
139,31
140,31
141,4
142,33
143,7
144,28
145,44
146,43
147,29
148,30
149,41
150,30
151,30
152,1
153,39
154,33
155,32
156,1
157,1
158,40
159,34
160,31
161,41
162,35
167,41
168,111
169,40
170,73
171,1
172,41
174,35
175,35
177,35
180,33
181,2
182,15
183,6
184,4
186,49
188,41
189,28
191,33
192,1
193,1
194,40
195,1
196,1
197,3
198,2
199,19
200,39
202,33
203,1
205,1
207,1
208,47
217,7
219,1
222,1
223,1
224,4
225,4
226,1
227,41
229,2
232,2
233,2
234,5
236,1
237,1
238,1
239,49
240,1
241,10
242,30
244,2
246,40
247,1
248,1
250,4
251,29
253,33
254,40
255,40
256,1
257,31
258,33
259,1607
260,6
261,29
262,36
263,25
264,35
265,47
266,43
267,36
268,45
270,36
271,37
272,33
273,30
274,1
275,1
276,5
279,37
280,38
281,38
282,1
283,2
286,35
287,33
288,6
289,1
290,6
291,3
292,1
293,1
294,13
295,1
296,1
298,39
299,18
300,60
301,9
303,25
304,1
306,1
308,25
309,25
310,25
311,30
312,1
313,71
314,35
315,40
316,40
317,1
318,30
319,4
320,1
321,41
322,40
323,40
324,40
325,41
326,1
327,1
328,1
329,1
330,1
334,1
335,7
336,5
337,34
338,5
339,5
340,5
341,5
342,5
343,6
346,37
352,1
358,74
364,6
366,1
371,1
374,2
376,1
381,74
388,1
389,31
390,1
397,1
403,34
404,32
406,1
407,166
408,2
409,2
410,1
411,1
412,1
413,1
414,36
415,41
416,41
417,1
418,4
419,54
420,35
421,35
423,35
424,35
427,1
428,2
429,2
430,31
432,53
433,26
434,2
435,2
436,4
438,35
439,3
440,75
441,26
442,40
443,4
446,35
447,1
451,3
452,2
455,40
457,4
459,33
460,1
461,29
462,76
463,130
464,30
465,32
466,1
467,32
468,32
469,1
472,5
473,43
475,11
476,4
477,41
478,1
479,1
480,1
481,1
482,1
484,1
486,1
487,1
489,1
490,1
491,39
492,3
493,1
496,1
498,1
500,1
501,1
502,2
503,2
504,2
506,29
507,35
508,50
509,31
510,2
511,1
514,34
515,1
516,33
517,1
518,33
519,33
520,1
521,33
522,47
523,33
524,1
527,62
528,45
529,44
530,73
531,1
532,1
533,2
534,2
535,2
536,40
538,40
539,10
540,180
541,47
542,41
543,29
545,5
547,1
548,35
549,1
550,1
552,22
554,4
557,36
558,4
559,1
561,1
562,33
563,33
564,33
565,37
566,44
571,29
574,35
575,9
576,5
577,1
578,9
579,29
581,100
582,43
583,40
584,38
585,35
586,41
587,52
588,40
589,40
590,1
591,27
592,26
593,40
594,40
596,2
599,6
600,4
601,1
604,12
605,18
606,1
608,1
609,5
610,40
611,33
612,40
613,32
614,32
615,29
616,29
619,4
620,36
622,6
626,26
627,40
628,40
629,1
630,41
631,41
632,31
633,30
634,33
638,29
639,2
640,2
641,2
642,2
644,20
645,1
