"package","debian_avg_downloads","debian_share","homebrew_avg_downloads","homebrew_share"
"libdvdnav","113569","0.1043","1189","0.0006"
"usb-modeswitch","113546","0.1042","0",""
"libevent","97074","0.0891","850595","0.4265"
"libass","113239","0.1040","523758","0.2626"
"sane-backends","113178","0.1039","18368","0.0092"
"mpg123","113000","0.1037","492407","0.2469"
"apr","112592","0.1034","374074","0.1876"
"ruby-build","0","","846438","0.4245"
"opencore-amr","112135","0.1029","313468","0.1572"
"dnsmasq","112099","0.1029","50801","0.0255"
"udisks","111793","0.1026","0",""
"libheif","111641","0.1025","608208","0.3050"
"postgresql","86385","0.0793","836096","0.4193"
"libinput","111504","0.1024","0",""
"zvbi","111274","0.1022","0",""
"debian:libsmbclient","111237","0.1021","0",""
"xorg-server","110987","0.1019","14615","0.0073"
"ruby","7558","0.0069","802348","0.4024"
"faad2","110797","0.1017","34580","0.0173"
"libgusb","110744","0.1017","0",""
"modemmanager","110565","0.1015","0",""
"libcanberra","110512","0.1015","0",""
"hyphen","110311","0.1013","0",""
"ppp","110228","0.1012","0",""
"poppler","110087","0.1011","342841","0.1719"
"vid.stab","109854","0.1008","233488","0.1171"
"libdca","109850","0.1008","0",""
"gptfdisk","109783","0.1008","0",""
"musepack","109731","0.1007","24244","0.0122"
"vmaf","0","","782731","0.3925"
"anacron","109570","0.1006","0",""
"a52dec","109519","0.1005","0",""
"iw","109226","0.1003","0",""
"libxfont2","109220","0.1003","5693","0.0029"
"gstreamer:libav","109191","0.1002","0",""
"libmpeg2","109086","0.1001","0",""
"liblqr","108894","0.1000","159556","0.0800"
"guile","0","","759055","0.3806"
"gstreamer-orc","108565","0.0997","69087","0.0346"
"libmbim","108481","0.0996","0",""
"perl:algorithm-diff-xs","108476","0.0996","0",""
"xdrv:fbdev","108320","0.0994","0",""
"startup-notification","108281","0.0994","0",""
"xdrv:vesa","107979","0.0991","0",""
"sbc","107970","0.0991","0",""
"libmodplug","107861","0.0990","0",""
"libavif","16241","0.0149","720852","0.3615"
"libspectre","107808","0.0990","0",""
"xdrv:ati","107786","0.0990","0",""
"libxvmc","107634","0.0988","0",""
"speexdsp","107619","0.0988","20193","0.0101"
"z3","107520","0.0987","371464","0.1863"
"xdrv:wacom","106981","0.0982","0",""
"alsa-utils","106942","0.0982","0",""
"autoconf","0","","707705","0.3549"
"xdrv:vmware","106843","0.0981","0",""
"vo-amrwbenc","106826","0.0981","0",""
