"package","github_repo"
"7zip","ip7z/7zip"
"abseil-cpp","abseil/abseil-cpp"
"ada","ada-url/ada"
"appstream","ximion/appstream"
"appstream-glib","hughsie/appstream-glib"
"argon2","P-H-C/phc-winner-argon2"
"aria2","aria2/aria2"
"aribb24","nkoriyama/aribb24"
"arpack","opencollab/arpack-ng"
"arpack-ng","opencollab/arpack-ng"
"assimp","assimp/assimp"
"augeas","hercules-team/augeas"
"aws-c-auth","awslabs/aws-c-auth"
"aws-c-cal","awslabs/aws-c-cal"
"aws-c-common","awslabs/aws-c-common"
"aws-c-compression","awslabs/aws-c-compression"
"aws-c-event-stream","awslabs/aws-c-event-stream"
"aws-c-http","awslabs/aws-c-http"
"aws-c-io","awslabs/aws-c-io"
"aws-c-mqtt","awslabs/aws-c-mqtt"
"aws-c-s3","awslabs/aws-c-s3"
"aws-c-sdkutils","awslabs/aws-c-sdkutils"
"aws-checksums","awslabs/aws-checksums"
"aws-crt-cpp","awslabs/aws-crt-cpp"
"aws-sdk-cpp","aws/aws-sdk-cpp"
"awscli","aws/aws-cli"
"ayatana-ido","AyatanaIndicators/ayatana-ido"
"bcg729","BelledonneCommunications/bcg729"
"blake3","BLAKE3-team/BLAKE3"
"boehm-gc","bdwgc/bdwgc"
"boost","boostorg/boost"
"brotli","google/brotli"
"btop","aristocratos/btop"
"c-ares","c-ares/c-ares"
"c-blosc","Blosc/c-blosc"
"capstone","capstone-engine/capstone"
"cask","cask/cask"
"ccache","ccache/ccache"
"cgal","CGAL/cgal"
"cgif","dloebl/cgif"
"cgns","CGNS/CGNS"
"charls","team-charls/charls"
"cjson","DaveGamble/cJSON"
"cmake","Kitware/CMake"
"cmark","commonmark/cmark"
"cocoapods","CocoaPods/CocoaPods"
"coin-or-cbc","coin-or/cbc"
"coin-or-coinutils","coin-or/CoinUtils"
"coin-or-osi","coin-or/Osi"
"cpuinfo-pytorch","pytorch/cpuinfo"
"cracklib","cracklib/cracklib"
"cups","OpenPrinting/cups"
"cyrus-sasl","cyrusimap/cyrus-sasl"
"dctrl-tools","ajkaijanaho/dctrl-tools"
"docbook","docbook/docbook"
"docbook-xsl","docbook/xslt10-stylesheets"
"docker-completion","docker/cli"
"dosfstools","dosfstools/dosfstools"
"dotconf","williamh/dotconf"
"double-conversion","google/double-conversion"
"draco-3d-compression","google/draco"
"duktape","svaarala/duktape"
"edencommon","facebookexperimental/edencommon"
"efivar","rhinstaller/efivar"
"egl-wayland","NVIDIA/egl-wayland"
"enchant","rrthomas/enchant"
"erlang","erlang/otp"
"espeak","espeak-ng/espeak-ng"
"expat","libexpat/libexpat"
"faac","knik0/faac"
"faad2","knik0/faad2"
"fastfetch","fastfetch-cli/fastfetch"
"fastlane","fastlane/fastlane"
"fb303","facebook/fb303"
"fbthrift","facebook/fbthrift"
"ffmpegthumbnailer","dirkvdb/ffmpegthumbnailer"
"ffms2","FFMS/ffms2"
"fizz","facebookincubator/fizz"
"flex","westes/flex"
"fluidsynth","Fluidsynth/fluidsynth"
"fmt","fmtlib/fmt"
"folly","facebook/folly"
"freeglut","freeglut/freeglut"
"freerdp","FreeRDP/FreeRDP"
"frei0r","dyne/frei0r"
"fribidi","fribidi/fribidi"
"fstrm","farsightsec/fstrm"
"fusefs:sshfs","libfuse/sshfs"
"fyba","kartverket/fyba"
"game-music-emu","libgme/game-music-emu"
"gd","libgd/libgd"
"gdal","OSGeo/gdal"
"gflags","gflags/gflags"
"ggml","ggml-org/ggml"
"ghostscript","ArtifexSoftware/ghostpdl-downloads"
"glog","google/glog"
"glslang","KhronosGroup/glslang"
"gmmlib","intel/gmmlib"
"graphene","ebassi/graphene"
"graphite2","silnrsi/graphite"
"groonga","groonga/groonga"
"grpc","grpc/grpc"
"gtk-layer-shell","wmww/gtk-layer-shell"
"harfbuzz","harfbuzz/harfbuzz"
"hdf5","HDFGroup/hdf5"
"hdrhistogram-c","HdrHistogram/HdrHistogram_c"
"hfst-ospell","hfst/hfst-ospell"
"hidapi","libusb/hidapi"
"highway-simd-library","google/highway"
"hiredis","redis/hiredis"
"homebrew:erlang@28","erlang/otp"
"homebrew:openssl@4","openssl/openssl"
"homebrew:prrte","openpmix/prrte"
"homebrew:sdl2-compat","libsdl-org/sdl2-compat"
"htop","htop-dev/htop"
"http-parser","joyent/http-parser"
"httpie","httpie/cli"
"hunspell","hunspell/hunspell"
"hyphen","hunspell/hyphen"
"ibus","ibus/ibus"
"icu","unicode-org/icu"
"imagemagick","ImageMagick/ImageMagick"
"imath","AcademySoftwareFoundation/Imath"
"inih","benhoyt/inih"
"insserv","slicer69/insserv"
"intel-processor-trace","intel/libipt"
"iputils","iputils/iputils"
"jack-audio-connection-kit","jackaudio/jack2"
"jansson","akheron/jansson"
"jasper","jasper-software/jasper"
"jbig2dec","ArtifexSoftware/jbig2dec"
"jemalloc","jemalloc/jemalloc"
"jenv","jenv/jenv"
"jq","jqlang/jq"
"json-c","json-c/json-c"
"jsoncpp","open-source-parsers/jsoncpp"
"jxrlib-4creators","4creators/jxrlib"
"kcolorpicker","ksnip/kcolorpicker"
"keybinder","engla/keybinder"
"kimageannotator","ksnip/kImageAnnotator"
"ktexttemplate","steveire/grantlee"
"kvazaar","ultravideo/kvazaar"
"leptonica","DanBloomberg/leptonica"
"lerc","Esri/lerc"
"level-zero","oneapi-src/level-zero"
"libass","libass/libass"
"libavif","AOMediaCodec/libavif"
"libavtp","Avnu/libavtp"
"libayatana-appindicator","AyatanaIndicators/libayatana-appindicator"
"libayatana-indicator","AyatanaIndicators/libayatana-indicator"
"libb2","BLAKE2/libb2"
"libcbor","PJK/libcbor"
"libclc","llvm/llvm-project"
"libcmis","tdf/libcmis"
"libconfuse","libconfuse/libconfuse"
"libcue","lipnitsk/libcue"
"libdatrie","tlwg/libdatrie"
"libde265","strukturag/libde265"
"libdeflate","ebiggers/libdeflate"
"libdicom","ImagingDataCommons/libdicom"
"libdnet","ofalk/libdnet"
"libebur128","jiixyj/libebur128"
"libepoxy","anholt/libepoxy"
"libevent","libevent/libevent"
"libexif","libexif/libexif"
"libfastjson","rsyslog/libfastjson"
"libffi","libffi/libffi"
"libfido2","Yubico/libfido2"
"libfreeaptx","iamthehorker/libfreeaptx"
"libfuse","libfuse/libfuse"
"libfyaml","pantoniou/libfyaml"
"libgeotiff","OSGeo/libgeotiff"
"libgit2","libgit2/libgit2"
"libgphoto2","gphoto/libgphoto2"
"libgusb","hughsie/libgusb"
"libharu","libharu/libharu"
"libheif","strukturag/libheif"
"libical","libical/libical"
"libimagequant","ImageOptim/libimagequant"
"libimobiledevice","libimobiledevice/libimobiledevice"
"libimobiledevice-glue","libimobiledevice/libimobiledevice-glue"
"libinstpatch","swami/libinstpatch"
"libiptcdata","ianw/libiptcdata"
"libiscsi","sahlberg/libiscsi"
"libjcat","hughsie/libjcat"
"libjpeg-turbo","libjpeg-turbo/libjpeg-turbo"
"libjxl","libjxl/libjxl"
"libkml","libkml/libkml"
"liblc3","google/liblc3"
"liblockfile","miquels/liblockfile"
"liblqr","carlobaldassi/liblqr"
"liblrdf","swh/LRDF"
"libltc","x42/libltc"
"libmaxminddb","maxmind/libmaxminddb"
"libmongocrypt","mongodb/libmongocrypt"
"libmypaint","mypaint/libmypaint"
"libmysofa","hoene/libmysofa"
"libnet","libnet/libnet"
"libnfs","sahlberg/libnfs"
"libnl","thom311/libnl"
"libnsl","thkukuk/libnsl"
"libofa","tanob/libofa"
"libpaper","rrthomas/libpaper"
"libphonenumber","googlei18n/libphonenumber"
"libplist","libimobiledevice/libplist"
"libportal","flatpak/libportal"
"libproxy","libproxy/libproxy"
"libpsl","rockdaboot/libpsl"
"libpwquality","libpwquality/libpwquality"
"libraqm","HOST-Oman/libraqm"
"librdkafka","confluentinc/librdkafka"
"libsamplerate","libsndfile/libsamplerate"
"libseccomp","seccomp/libseccomp"
"libsndfile","libsndfile/libsndfile"
"libspatialaudio","videolabs/libspatialaudio"
"libspiro","fontforge/libspiro"
"libspng","randy408/libspng"
"libsrtp","cisco/libsrtp"
"libstaroffice","fosnola/libstaroffice"
"libtatsu","libimobiledevice/libtatsu"
"libtlsrpt","sys4/libtlsrpt"
"libtomcrypt","libtom/libtomcrypt"
"libtommath","libtom/libtommath"
"libultrahdr","google/libultrahdr"
"libunibreak","adah1972/libunibreak"
"libunwind","libunwind/libunwind"
"liburing","axboe/liburing"
"libusb","libusb/libusb"
"libusbmuxd","libimobiledevice/libusbmuxd"
"libusrsctp","sctplab/usrsctp"
"libuv","libuv/libuv"
"libva","intel/libva"
"libvdpau-va-gl","i-rinat/libvdpau-va-gl"
"libverto","latchset/libverto"
"libvpl","intel/libvpl"
"libvpx","webmproject/libvpx"
"libxcrypt","besser82/libxcrypt"
"libxkbcommon","xkbcommon/libxkbcommon"
"libxmlb","hughsie/libxmlb"
"libyaml","yaml/libyaml"
"litehtml","litehtml/litehtml"
"lksctp-tools","sctp/lksctp-tools"
"llama.cpp","ggml-org/llama"
"llhttp","nodejs/llhttp"
"llvm","llvm/llvm-project"
"lm-sensors","hramrach/lm-sensors"
"logrotate","logrotate/logrotate"
"lshw","lyonel/lshw"
"lsof","lsof-org/lsof"
"lua:expat","lunarmodules/luaexpat"
"luajit","LuaJIT/LuaJIT"
"luajit-misnamed","openresty/luajit2"
"luajit-openresty","openresty/luajit2"
"luv","luvit/luv"
"lz4","lz4/lz4"
"mbedtls","Mbed-TLS/mbedtls"
"md4c","mity/md4c"
"mdadm","md-raid-utilities/mdadm"
"meanwhile","obriencj/meanwhile"
"merve","nodejs/merve"
"meson","mesonbuild/meson"
"miniupnpc","miniupnp/miniupnp"
"mint-swift-package-manager","yonaskolb/Mint"
"molten-vk","KhronosGroup/MoltenVK"
"mongo-c-driver","mongodb/mongo-c-driver"
"mozjpeg","mozilla/mozjpeg"
"mscompress","stapelberg/mscompress"
"msgpack","msgpack/msgpack-c"
"mvfst","facebook/mvfst"
"mysql","mysql/mysql-server"
"nbytes","nodejs/nbytes"
"ndctl","pmem/ndctl"
"neovim","neovim/neovim"
"netcdf","Unidata/netcdf-c"
"nghttp2","nghttp2/nghttp2"
