package,is_eol,eol_method,eol_reason,source,eol_checked_at
libayatana-indicator,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
unibilium,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libpagemaker,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
alsa-plugins,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
python:pycups,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libgdk-pixbuf2.0-0,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
liblouis,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
mc,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
espeak,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
ffms2,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
pygments,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
dotconf,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
plymouth,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
suitesparse,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
brltty,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
pangomm,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libgee,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
bison,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
opencv,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libnumbertext,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
kio,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libstaroffice,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
bsdmainutils,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
accountsservice,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libepubgen,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libadwaita-1,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
gsl,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libcdio-paranoia,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libzmf,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libqxp,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
the-silver-searcher,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
atkmm,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
kwindowsystem,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libftdi,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
redland,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
kconfigwidgets,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libimobiledevice,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
hdparm,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
mjpegtools,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libhandy,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libgtop,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
