"package","github_repo","git","eco_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","repo_id","canonical_url","license"
"glibc","gnutools/glibc","https://github.com/gnutools/glibc.git","override","230082","354990","674803","0.21583344","A","gh/1178881118","https://sourceware.org/git/glibc.git","gpl-2.0-or-later and lgpl-2.1-or-later"
"gcc","gcc-mirror/gcc","https://github.com/gcc-mirror/gcc.git","override","230118","1109102","1428966","0.05613343","A","gh/22711503","git://gcc.gnu.org/git/gcc.git","gpl-3.0-or-later with gcc-exception-3.1"
"libxcrypt","besser82/libxcrypt","https://github.com/besser82/libxcrypt.git","native","151303","191454","401765","0.03208689","A","gh/35503965","","lgpl-2.1-or-later"
"linux","torvalds/linux","https://github.com/torvalds/linux.git","override","133723","215600","401474","0.03100201","A","gh/2325298","",""
"rpcsvc-proto","thkukuk/rpcsvc-proto","https://github.com/thkukuk/rpcsvc-proto.git","native","49971","0","69459","0.03061227","A","gh/55140533","",""
"gettext","autotools-mirror/gettext","https://github.com/autotools-mirror/gettext.git","override","14127","2480985","2500621","0.01929923","A","gh/47662595","https://git.savannah.gnu.org/git/gettext.git","gpl-3.0-or-later and lgpl-2.1-or-later"
"zlib","madler/zlib","https://github.com/madler/zlib.git","native","230123","890331","1210201","0.01585554","A","gh/2359378","","zlib"
"zstd","facebook/zstd","https://github.com/facebook/zstd.git","native","195196","1911802","2183124","0.01484179","A","gh/29759715","","(bsd-3-clause or gpl-2.0-only) and bsd-2-clause and mit"
"gmp","gmp-mirror/gmp","https://github.com/gmp-mirror/gmp.git","override","226842","1358823","1674133","0.01413627","A","gh/681340775","","lgpl-3.0-or-later or gpl-2.0-or-later"
"xz","tukaani-project/xz","https://github.com/tukaani-project/xz.git","native","227645","3855986","4172412","0.00950834","A","gh/553665726","","0bsd and gpl-2.0-or-later"
"systemd","systemd/systemd","https://github.com/systemd/systemd.git","native","229282","72406","391107","0.00895038","A","gh/32873313","","lgpl-2.1-or-later and gpl-2.0-or-later and cc0-1.0 and lgpl-2.0-or-later and mit and mit-0 and licenseref-homebrew-public-domain and (lgpl-2.0-or-later with linux-syscall-note) and (gpl-1.0-or-later with linux-syscall-note) and (gpl-2.0-or-later with linux-syscall-note) and (gpl-2.0-only with linux-syscall-note) and (bsd-3-clause or (gpl-2.0-only with linux-syscall-note)) and (mit or (gpl-2.0-only with linux-syscall-note)) and (mit or (gpl-2.0-or-later with linux-syscall-note)) and (gpl-2.0-only or bsd-2-clause)"
"openssl","openssl/openssl","https://github.com/openssl/openssl.git","native","229107","3498788","3817246","0.00883193","A","gh/7634677","",""
"glib","","https://gitlab.gnome.org/gnome/glib.git","native","216841","3003625","3305033","0.00726794","A","gl/gnome-658","","lgpl-2.1-or-later"
"tcp-wrappers","","https://salsa.debian.org/md/tcp-wrappers.git","native","229025","0","318344","0.00697954","A","gl/debian-28852","",""
"mpfr","","https://gitlab.inria.fr/mpfr/mpfr.git","override","156814","638726","856697","0.00695618","A","gl/inria-33626","","lgpl-3.0-or-later"
"lz4","lz4/lz4","https://github.com/lz4/lz4.git","native","212800","1828779","2124571","0.00669815","A","gh/18106269","","bsd-2-clause"
"usb.ids","","","","0","11244","11244","0.00664891","A","","","gpl-2.0-or-later or bsd-3-clause"
"libunistring","1g4-mirror/libunistring","https://github.com/1g4-mirror/libunistring.git","override","20077","1618694","1646601","0.00635083","A","gh/1165671691","https://git.savannah.gnu.org/git/libunistring.git","gpl-2.0-or-later or lgpl-3.0-or-later"
"ca-certificates","","https://salsa.debian.org/debian/ca-certificates.git","override","0","4731609","4731609","0.00611729","A","gl/debian-2995","","mpl-2.0"
"boehm-gc","bdwgc/bdwgc","https://github.com/bdwgc/bdwgc.git","native","85435","541194","659948","0.00535899","A","gh/2109456","",""
"isl","meinersbur/isl","https://github.com/meinersbur/isl.git","override","114600","583165","742459","0.00532760","A","gh/37677854","","mit"
"gnumpc","","https://gitlab.inria.fr/mpc/mpc.git","override","164699","435028","663959","0.00526902","A","gl/inria-22470","",""
"binutils","gnutools/binutils-gdb","https://github.com/gnutools/binutils-gdb.git","override","147480","306369","511366","0.00519855","A","gh/1178912368","https://sourceware.org/git/binutils-gdb.git","gpl-2.0-or-later and gpl-3.0-or-later and lgpl-2.0-or-later and lgpl-3.0-only"
"libx11","","https://gitlab.freedesktop.org/xorg/lib/libx11.git","override","227797","1837738","2154375","0.00467816","A","gl/freedesktop-701","","mit"
"readline","sailfishos-mirror/readline","https://github.com/sailfishos-mirror/readline.git","override","131686","2631392","2814435","0.00450115","A","gh/251362875","https://git.savannah.gnu.org/git/readline.git","gpl-3.0-or-later"
"json-c","json-c/json-c","https://github.com/json-c/json-c.git","native","150500","72181","281376","0.00442918","A","gh/1139119","","mit"
"python","python/cpython","https://github.com/python/cpython.git","override","35815","2224521","2274303","0.00437441","A","gh/81598961","",""
"libpng","pnggroup/libpng","https://github.com/pnggroup/libpng.git","native","192792","1910764","2178744","0.00426065","A","gh/3768025","","libpng-2.0"
"libjpeg-turbo","libjpeg-turbo/libjpeg-turbo","https://github.com/libjpeg-turbo/libjpeg-turbo.git","native","189260","1803821","2066892","0.00424826","A","gh/39760454","",""
"sqlite","sqlite/sqlite","https://github.com/sqlite/sqlite.git","override","229489","3691987","4010976","0.00397549","A","gh/176278485","","blessing"
"xorgproto","","https://gitlab.freedesktop.org/xorg/proto/xorgproto.git","override","0","1206438","1206438","0.00397036","A","gl/freedesktop-788","","mit"
"pkgconf","pkgconf/pkgconf","https://github.com/pkgconf/pkgconf.git","native","22205","612084","642948","0.00373328","A","gh/4180110","","isc"
"ncurses","mirror/ncurses","https://github.com/mirror/ncurses.git","override","230113","964676","1284533","0.00370346","A","gh/22324756","","x11-distribute-modifications-variant"
"xxhash","cyan4973/xxhash","https://github.com/cyan4973/xxhash.git","native","154762","120135","335254","0.00318431","A","gh/19330466","","bsd-2-clause and gpl-2.0-or-later"
"pcre","pcre2project/pcre2","https://github.com/pcre2project/pcre2.git","native","0","2306580","2306580","0.00304656","A","gh/398251321","","bsd-3-clause"
"tiff","","https://gitlab.com/libtiff/libtiff.git","override","72450","1648669","1749374","0.00270524","A","gl/4720790","",""
"freetype","freetype/freetype","https://github.com/freetype/freetype.git","override","229438","1502390","1821308","0.00266889","A","gh/187000659","","ftl"
"harfbuzz","harfbuzz/harfbuzz","https://github.com/harfbuzz/harfbuzz.git","native","165196","2501400","2731022","0.00258131","A","gh/5050525","","mit"
"m4","autotools-mirror/m4","https://github.com/autotools-mirror/m4.git","override","77602","926897","1034763","0.00251741","A","gh/66880383","","gpl-3.0-or-later"
"icu","unicode-org/icu","https://github.com/unicode-org/icu.git","native","40372","1587966","1644083","0.00251014","A","gh/49244766","",""
"nghttp2","nghttp2/nghttp2","https://github.com/nghttp2/nghttp2.git","native","210664","2517924","2810746","0.00247775","A","gh/11452676","","mit"
"libselinux","selinuxproject/selinux","https://github.com/selinuxproject/selinux.git","override","230109","0","319851","0.00242165","A","gh/20648799","",""
"libxau","","https://gitlab.freedesktop.org/xorg/lib/libxau.git","override","227983","1129290","1446186","0.00233570","A","gl/freedesktop-706","","mit"
"libxcb","gitlab-freedesktop-mirrors/libxcb","https://github.com/gitlab-freedesktop-mirrors/libxcb.git","override","227837","1227499","1544192","0.00229087","A","gh/444023705","","mit"
"nodejs","nodejs/node","https://github.com/nodejs/node.git","native","32670","2773602","2819013","0.00221080","A","gh/27193779","",""
"gnutls","","https://gitlab.com/gnutls/gnutls.git","native","193022","1550257","1818557","0.00215691","A","gl/179611","","lgpl-2.1-or-later and gpl-3.0-only"
"libxdmcp","","https://gitlab.freedesktop.org/xorg/lib/libxdmcp.git","override","227996","978297","1295211","0.00214584","A","gl/freedesktop-712","","mit"
"fontconfig","","https://gitlab.freedesktop.org/fontconfig/fontconfig.git","native","195595","1634403","1906280","0.00212200","A","gl/freedesktop-890","","hpnd-sell-variant and unicode-3.0 and mit-modern-variant and mit and licenseref-homebrew-public-domain"
"util-linux","util-linux/util-linux","https://github.com/util-linux/util-linux.git","native","230126","239271","559146","0.00206569","A","gh/2339555","","bsd-3-clause and bsd-4-clause-uc and gpl-2.0-only and gpl-2.0-or-later and gpl-3.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain"
"cairo-graphics-library","freedesktop-unofficial-mirror/cairo","https://github.com/freedesktop-unofficial-mirror/cairo.git","override","168977","1015615","1250493","0.00203399","A","gh/34372735","",""
"libidn2","","https://gitlab.com/libidn/libidn2.git","native","212517","1650326","1945724","0.00201820","A","gl/2882658","","(gpl-2.0-or-later or lgpl-3.0-or-later) and (unicode-tou and unicode-dfs-2016) and gpl-3.0-or-later and lgpl-2.1-or-later and fsfap-no-warranty-disclaimer"
"libxext","","https://gitlab.freedesktop.org/xorg/lib/libxext.git","override","227097","1047804","1363468","0.00201528","A","gl/freedesktop-714","","mit"
"lcms","mm2/little-cms","https://github.com/mm2/little-cms.git","native","165742","1458510","1688891","0.00199662","A","gh/507969","",""
"bzip2","sailfishos-mirror/bzip2","https://github.com/sailfishos-mirror/bzip2.git","override","230128","383645","703522","0.00197950","A","gh/251322671","https://sourceware.org/git/bzip2.git","bzip2-1.0.6"
"python3-defaults","","https://salsa.debian.org/cpython-team/python3-defaults.git","override","217534","0","302372","0.00197039","A","gl/debian-27547","",""
"libgpg-error","gpg/libgpg-error","https://github.com/gpg/libgpg-error.git","override","228979","603556","921836","0.00188899","A","gh/42075984","https://git.gnupg.org/libgpg-error.git","lgpl-2.1-or-later"
"brotli","google/brotli","https://github.com/google/brotli.git","eco","177778","1156315","1403426","0.00188446","A","gh/24993138","","mit"
"krb5","krb5/krb5","https://github.com/krb5/krb5.git","native","229140","1056264","1374768","0.00185052","A","gh/4307702","","bsd-2-clause and bsd-2-clause-first-lines and bsd-3-clause and bsd-4-clause and brian-gladman-2-clause and cmu-mach-nodoc and fsfullrwd and hpnd and hpnd-export2-us and hpnd-export-us and hpnd-export-us-acknowledgement and hpnd-export-us-modify and isc and mit and mit-cmu and oldap-2.8 and openvision and (bsd-2-clause or gpl-2.0-or-later)"
"expat","libexpat/libexpat","https://github.com/libexpat/libexpat.git","native","229837","425033","744506","0.00173235","A","gh/80314213","","mit"
"libxml2","","https://gitlab.gnome.org/gnome/libxml2.git","native","228070","520962","837979","0.00170932","A","gl/gnome-1665","","mit"
"libwebp","webmproject/libwebp","https://github.com/webmproject/libwebp.git","override","131256","1453192","1635637","0.00165885","A","gh/23368445","https://chromium.googlesource.com/webm/libwebp",""
"libuv","libuv/libuv","https://github.com/libuv/libuv.git","native","139346","1232141","1425831","0.00160959","A","gh/14812739","","mit"
"curl","curl/curl","https://github.com/curl/curl.git","native","202088","1060193","1341095","0.00158892","A","gh/569041","","curl"
"nettle","","https://salsa.debian.org/holmgren/nettle.git","eco","131546","1036662","1219510","0.00155387","A","gl/debian-50952","","gpl-2.0-or-later or lgpl-3.0-or-later"
"git","git/git","https://github.com/git/git.git","native","125366","1832306","2006564","0.00153145","A","gh/36502","","gpl-2.0-only and gpl-2.0-or-later and lgpl-2.1-or-later and bsd-3-clause and mit"
"pam","linux-pam/linux-pam","https://github.com/linux-pam/linux-pam.git","native","230129","13151","333030","0.00151380","A","gh/76264690","",""
"pango","gnome/pango","https://github.com/gnome/pango.git","override","161379","1136114","1360430","0.00150664","A","gh/4537144","","lgpl-2.0-or-later"
"unbound","nlnetlabs/unbound","https://github.com/nlnetlabs/unbound.git","native","64087","1640424","1729504","0.00150360","A","gh/94195301","","bsd-3-clause"
"autoconf","autotools-mirror/autoconf","https://github.com/autotools-mirror/autoconf.git","override","0","707705","707705","0.00149958","A","gh/47662429","","gpl-3.0-or-later and (gpl-3.0-or-later with autoconf-exception-3.0)"
"giflib","","https://salsa.debian.org/debian/giflib.git","eco","110978","963324","1117583","0.00147872","A","gl/debian-12522","","mit"
"gdbm","","https://salsa.debian.org/debian/gdbm.git","eco","173519","968923","1210114","0.00145987","A","gl/debian-32157","","gpl-3.0-or-later"
"mpdecimal","","","","0","1496913","1496913","0.00145302","A","","","bsd-2-clause"
"qt","qt/qt5","https://github.com/qt/qt5.git","override","79428","324718","435122","0.00142733","A","gh/9880318","https://code.qt.io/qt/qt5.git","bsd-3-clause and gfdl-1.3-no-invariants-only and gpl-2.0-only and (gpl-3.0-only with qt-gpl-exception-1.0) and lgpl-3.0-only"
"c-ares","c-ares/c-ares","https://github.com/c-ares/c-ares.git","native","40850","1237988","1294769","0.00142469","A","gh/571708","","mit"
"libtool","autotools-mirror/libtool","https://github.com/autotools-mirror/libtool.git","override","179341","1032999","1282282","0.00139573","A","gh/47662711","","gpl-2.0-or-later"
"libffi","libffi/libffi","https://github.com/libffi/libffi.git","native","94902","677552","809465","0.00139556","A","gh/321154","","mit"
"awscli","aws/aws-cli","https://github.com/aws/aws-cli.git","eco","0","1751886","1751886","0.00133708","A","gh/6780767","","apache-2.0"
"acl","sailfishos-mirror/acl","https://github.com/sailfishos-mirror/acl.git","override","230130","78861","398741","0.00133207","A","gh/504504895","https://git.savannah.nongnu.org/git/acl.git","gpl-2.0-or-later and lgpl-2.1-or-later"
"pcre2","pcre2project/pcre2","https://github.com/pcre2project/pcre2.git","native","200436","0","278606","0.00132125","A","gh/398251321","","bsd-3-clause"
"aom","","https://salsa.debian.org/multimedia-team/aom.git","eco","69761","1485175","1582142","0.00130438","A","gl/debian-29534","","bsd-2-clause"
"libjxl","libjxl/libjxl","https://github.com/libjxl/libjxl.git","eco","14334","1621571","1641495","0.00129500","A","gh/340219494","",""
"libtasn1","","https://gitlab.com/gnutls/libtasn1.git","native","222853","796456","1106221","0.00129478","A","gl/919981","","lgpl-2.1-or-later"
"ffmpeg","ffmpeg/ffmpeg","https://github.com/ffmpeg/ffmpeg.git","native","49970","1266137","1335595","0.00129006","A","gh/1614410","","gpl-3.0-or-later"
"libxrender","","https://gitlab.freedesktop.org/xorg/lib/libxrender.git","override","174911","944970","1188096","0.00128067","A","gl/freedesktop-730","","mit"
"libyaml","yaml/libyaml","https://github.com/yaml/libyaml.git","native","158064","534774","754482","0.00125180","A","gh/2699072","","mit"
"pixman","","https://gitlab.freedesktop.org/pixman/pixman.git","override","169887","1123316","1359458","0.00118899","A","gl/freedesktop-158","","mit"
"gdk-pixbuf","","https://gitlab.gnome.org/gnome/gdk-pixbuf.git","native","157622","554524","773618","0.00118792","A","gl/gnome-1548","","lgpl-2.1-or-later"
"p11-kit","p11-glue/p11-kit","https://github.com/p11-glue/p11-kit.git","native","227578","965128","1281461","0.00117979","A","gh/12060420","","bsd-3-clause"
"libogg","xiph/ogg","https://github.com/xiph/ogg.git","override","140449","281060","476284","0.00117384","A","gh/33956205","","bsd-3-clause"
"audit","linux-audit/audit-userspace","https://github.com/linux-audit/audit-userspace.git","override","222766","0","309644","0.00117297","A","gh/52464964","",""
"vmaf","netflix/vmaf","https://github.com/netflix/vmaf.git","native","0","782731","782731","0.00116796","B","gh/51317975","",""
"dbus","","https://salsa.debian.org/utopia-team/dbus.git","native","227606","318864","635236","0.00114590","B","gl/debian-9742","","afl-2.1 or gpl-2.0-or-later"
"libevent","libevent/libevent","https://github.com/libevent/libevent.git","native","97074","850595","985527","0.00114070","B","gh/1856976","","bsd-3-clause"
"perl","perl/perl5","https://github.com/perl/perl5.git","override","230126","214762","534637","0.00108363","B","gh/8183570","","artistic-1.0-perl or gpl-1.0-or-later"
"libusb","libusb/libusb","https://github.com/libusb/libusb.git","native","208980","512095","802577","0.00108231","B","gh/15120676","","lgpl-2.1-or-later"
"openexr","academysoftwarefoundation/openexr","https://github.com/academysoftwarefoundation/openexr.git","native","54572","1181137","1256992","0.00107351","B","gh/3533348","","bsd-3-clause"
"libcap","","","","229822","55416","374868","0.00106470","B","","","bsd-3-clause and gpl-2.0-or-later"
"cmake","kitware/cmake","https://github.com/kitware/cmake.git","native","27060","1332849","1370462","0.00104597","B","gh/537699","","bsd-3-clause"
"imath","academysoftwarefoundation/imath","https://github.com/academysoftwarefoundation/imath.git","native","49172","1008002","1076351","0.00104542","B","gh/271841243","","bsd-3-clause"
"libtommath","libtom/libtommath","https://github.com/libtom/libtommath.git","native","45859","53827","117571","0.00102784","B","gh/724503","","unlicense"
"openldap","openldap/openldap","https://github.com/openldap/openldap.git","native","207896","697337","986312","0.00101527","B","gh/57230414","https://git.openldap.org/openldap/openldap","oldap-2.8"
"protobuf","protocolbuffers/protobuf","https://github.com/protocolbuffers/protobuf.git","native","34803","1003974","1052350","0.00101258","B","gh/23357588","","bsd-3-clause"
"pyenv","pyenv/pyenv","https://github.com/pyenv/pyenv.git","native","0","1267218","1267218","0.00099436","B","gh/5625464","","mit"
"fribidi","fribidi/fribidi","https://github.com/fribidi/fribidi.git","native","165046","737907","967320","0.00096606","B","gh/5575048","","gpl-2.0-or-later and lgpl-2.1-or-later"
"attr","","git://git.savannah.gnu.org/attr.git","native","230118","56712","376576","0.00096559","B","","","gpl-2.0-or-later"
"ruby","ruby/ruby","https://github.com/ruby/ruby.git","native","7558","802348","812853","0.00096339","B","gh/538746","","ruby"
"llvm","llvm/llvm-project","https://github.com/llvm/llvm-project.git","native","40600","686364","742798","0.00096172","B","gh/75821432","","apache-2.0 with llvm-exception"
"wget","","https://salsa.debian.org/debian/wget.git","eco","226288","939560","1254100","0.00095716","B","gl/debian-92820","","gpl-3.0-or-later"
"graphite2","silnrsi/graphite","https://github.com/silnrsi/graphite.git","native","165249","710634","940330","0.00094202","B","gh/44083391","","mit or mpl-2.0 or lgpl-2.1-or-later or gpl-2.0-or-later"
"openjpeg","uclouvain/openjpeg","https://github.com/uclouvain/openjpeg.git","eco","145281","783774","985714","0.00093770","B","gh/30830585","","bsd-2-clause"
"libcap-ng","stevegrubb/libcap-ng","https://github.com/stevegrubb/libcap-ng.git","native","225066","0","312841","0.00092772","B","gh/94882569","",""
"oniguruma","kkos/oniguruma","https://github.com/kkos/oniguruma.git","eco","79218","696339","806452","0.00092145","B","gh/38999874","","bsd-2-clause"
"openjdk","openjdk/jdk26u","https://github.com/openjdk/jdk26u.git","native","0","1196957","1196957","0.00091709","B","gh/1113933330","","gpl-2.0-only with classpath-exception-2.0"
"tcltk","","","","0","504348","504348","0.00089680","B","","",""
"gnupg","","","native","228528","759991","1077644","0.00089061","B","","","gpl-3.0-or-later"
"gtk","","https://gitlab.gnome.org/gnome/gtk.git","override","128198","168928","347123","0.00088701","B","gl/gnome-665","",""
"ruby-build","rbenv/ruby-build","https://github.com/rbenv/ruby-build.git","native","0","846438","846438","0.00087936","B","gh/2142701","","mit"
"libarchive","libarchive/libarchive","https://github.com/libarchive/libarchive.git","native","117632","696702","860210","0.00087602","B","gh/3219804","","bsd-2-clause"
"db","","","","203462","291419","574231","0.00087297","B","","https://www.oracle.com/database/technologies/related/berkeleydb.html",""
"libgcrypt","","https://dev.gnupg.org/source/libgcrypt.git","native","221677","374095","682226","0.00086736","B","","","lgpl-2.1-or-later and gpl-2.0-or-later"
"abseil-cpp","abseil/abseil-cpp","https://github.com/abseil/abseil-cpp.git","native","14320","448307","468211","0.00086145","B","gh/104231541","",""
"libssh2","libssh2/libssh2","https://github.com/libssh2/libssh2.git","native","206863","621327","908866","0.00085566","B","gh/31701703","","bsd-3-clause"
"lzo","","","","137979","700894","892684","0.00085074","B","","","gpl-2.0-or-later"
"postgresql","","https://git.postgresql.org/git/postgresql.git","native","86385","836096","956171","0.00083588","B","","",""
"highway-simd-library","google/highway","https://github.com/google/highway.git","native","39775","912315","967602","0.00082443","B","gh/206791328","",""
"libsodium","jedisct1/libsodium","https://github.com/jedisct1/libsodium.git","native","146952","600436","804699","0.00081766","B","gh/7710647","","isc"
"coreutils","coreutils/coreutils","https://github.com/coreutils/coreutils.git","native","230128","687007","1006884","0.00081407","B","gh/11233590","","gpl-3.0-or-later"
"jansson","akheron/jansson","https://github.com/akheron/jansson.git","native","191192","100151","365907","0.00080894","B","gh/183362","","mit"
"imagemagick","imagemagick/imagemagick","https://github.com/imagemagick/imagemagick.git","native","74274","945142","1048382","0.00080871","B","gh/35780977","","imagemagick"
"go","golang/go","https://github.com/golang/go.git","native","0","1047691","1047691","0.00079962","B","gh/23096959","","bsd-3-clause"
"kmod","kmod-project/kmod","https://github.com/kmod-project/kmod.git","native","227466","0","316177","0.00078872","B","gh/331085111","",""
"libseccomp","seccomp/libseccomp","https://github.com/seccomp/libseccomp.git","eco","213288","9614","306084","0.00078171","B","gh/29318528","","lgpl-2.1-only"
"dpkg","","https://salsa.debian.org/dpkg-team/dpkg.git","native","230133","19853","339737","0.00077659","B","gl/debian-49","","gpl-2.0-or-later"
"librsvg","","https://gitlab.gnome.org/gnome/librsvg.git","native","150447","615170","824291","0.00077259","B","gl/gnome-296","","lgpl-2.1-or-later"
"mpg123","dreamerc/mpg123","https://github.com/dreamerc/mpg123.git","native","113000","492407","649477","0.00076666","B","gh/568823","","lgpl-2.1-only"
"make","","git://git.savannah.gnu.org/make.git","override","130800","118077","299889","0.00076602","B","","","gpl-3.0-only"
"boost","boostorg/boost","https://github.com/boostorg/boost.git","native","37013","676969","728417","0.00075649","B","gh/7590028","","bsl-1.0"
"tesseract-ocr","tesseract-ocr/tesseract","https://github.com/tesseract-ocr/tesseract.git","native","11587","913768","929873","0.00074639","B","gh/22887094","",""
"libsndfile","libsndfile/libsndfile","https://github.com/libsndfile/libsndfile.git","native","136410","494974","684583","0.00074389","B","gh/3182884","","lgpl-2.1-or-later"
"libtirpc","","https://salsa.debian.org/debian/libtirpc.git","eco","166227","180808","411863","0.00074063","B","gl/debian-37926","","bsd-3-clause"
"php","php/php-src","https://github.com/php/php-src.git","native","0","694800","694800","0.00070741","B","gh/1903522","","php-3.01 and zend-2.0 and bsl-1.0 and mit and apache-1.0 and apache-2.0 and bcrypt-solar-designer and bsd-2-clause-darwin and bsd-2-clause and bsd-3-clause and bsd-4-clause-uc and isc and lgpl-2.1-only and lgpl-2.1-or-later and oldap-2.8 and tcl and zlib"
"alsa-lib","alsa-project/alsa-lib","https://github.com/alsa-project/alsa-lib.git","native","152239","75135","286747","0.00069783","B","gh/154184919","","lgpl-2.1-or-later and gpl-2.0-or-later"
"snappy-compression","google/snappy","https://github.com/google/snappy.git","native","142621","554733","752976","0.00067934","B","gh/17381605","",""
"gd","libgd/libgd","https://github.com/libgd/libgd.git","native","166459","571656","803034","0.00067771","B","gh/29669711","","gd"
"shared-mime-info","","https://gitlab.freedesktop.org/xdg/shared-mime-info.git","native","0","322284","322284","0.00067458","B","gl/freedesktop-1205","","gpl-2.0-only"
"libglvnd","","https://gitlab.freedesktop.org/glvnd/libglvnd.git","native","128923","0","179202","0.00066671","B","gl/freedesktop-4399","",""
"libdeflate","ebiggers/libdeflate","https://github.com/ebiggers/libdeflate.git","native","127225","288004","464846","0.00066633","B","gh/28554304","","mit"
"ghostscript","artifexsoftware/ghostpdl-downloads","https://github.com/artifexsoftware/ghostpdl-downloads.git","native","132195","530114","713865","0.00066620","B","gh/50461376","","agpl-3.0-or-later"
"automake","","git://git.savannah.gnu.org/automake.git","native","0","341353","341353","0.00065664","B","","","gpl-2.0-or-later"
"libsepol","selinuxproject/selinux","https://github.com/selinuxproject/selinux.git","native","81951","0","113911","0.00064719","B","gh/20648799","",""
"libheif","strukturag/libheif","https://github.com/strukturag/libheif.git","native","111641","608208","763388","0.00064629","B","gh/115012280","","lgpl-3.0-or-later"
"fmt","fmtlib/fmt","https://github.com/fmtlib/fmt.git","native","8276","290346","301849","0.00063842","B","gh/7056202","","mit"
"folly","facebook/folly","https://github.com/facebook/folly.git","eco","0","474026","474026","0.00063630","B","gh/4524181","","apache-2.0"
"libbsd","","https://gitlab.freedesktop.org/libbsd/libbsd.git","native","229267","0","318681","0.00062149","B","gl/freedesktop-118","",""
"libavif","aomediacodec/libavif","https://github.com/aomediacodec/libavif.git","native","16241","720852","743426","0.00061594","B","gh/191218735","","bsd-2-clause"
"gobject-introspection","","https://gitlab.gnome.org/gnome/gobject-introspection.git","native","152520","522107","734109","0.00061050","B","gl/gnome-659","","gpl-2.0-or-later and lgpl-2.0-or-later and mit"
"jemalloc","jemalloc/jemalloc","https://github.com/jemalloc/jemalloc.git","native","90595","150134","276061","0.00060973","B","gh/13310527","","bsd-2-clause"
"ngtcp2","ngtcp2/ngtcp2","https://github.com/ngtcp2/ngtcp2.git","eco","18249","567026","592392","0.00060636","B","gh/95347622","",""
"openblas","openmathlib/openblas","https://github.com/openmathlib/openblas.git","native","12639","361316","378884","0.00060063","B","gh/1286805","","bsd-3-clause and bsd-2-clause-views and bsd-3-clause-open-mpi and bsd-2-clause"
"elfutils","","https://salsa.debian.org/toolchain-team/elfutils.git","eco","199964","64564","342513","0.00059494","B","gl/debian-51470","","gpl-3.0-or-later and (gpl-2.0-or-later or lgpl-3.0-or-later) and gfdl-1.3-no-invariants-or-later"
"rtmpdump","","https://salsa.debian.org/multimedia-team/rtmpdump.git","eco","220113","338635","644592","0.00059338","B","gl/debian-8185","","gpl-2.0-or-later and lgpl-2.1-or-later"
"jasper","jasper-software/jasper","https://github.com/jasper-software/jasper.git","native","0","691511","691511","0.00059138","B","gh/68406758","","jasper-2.0"
"guile","","https://codeberg.org/guile/guile.git","native","0","759055","759055","0.00058562","B","","","lgpl-3.0-or-later"
"texinfo","debian-tex/texinfo","https://github.com/debian-tex/texinfo.git","eco","40953","53303","110227","0.00057394","B","gh/164589213","","gpl-3.0-or-later"
"unixodbc","lurcher/unixodbc","https://github.com/lurcher/unixodbc.git","native","33623","385424","432159","0.00056989","B","gh/96114705","","lgpl-2.1-or-later and gpl-2.0-or-later"
"mbedtls","mbed-tls/mbedtls","https://github.com/mbed-tls/mbedtls.git","native","15545","591402","613009","0.00056853","B","gh/6687936","","apache-2.0"
"libvorbis","xiph/vorbis","https://github.com/xiph/vorbis.git","native","140320","256517","451561","0.00056563","B","gh/35348574","","bsd-3-clause"
"libksba","","https://salsa.debian.org/gnutls-team/libksba.git","eco","200721","402629","681631","0.00056234","B","gl/debian-7856","","lgpl-3.0-or-later or gpl-2.0-or-later"
"popt","rpm-software-management/popt","https://github.com/rpm-software-management/popt.git","native","230060","85837","405620","0.00055713","B","gh/190359207","","mit"
"dav1d","","https://code.videolan.org/videolan/dav1d.git","native","18213","516721","542037","0.00054705","B","gl/videolan-198","","bsd-2-clause"
"nss","mozilla/nss","https://github.com/mozilla/nss.git","override","152599","357458","569570","0.00054217","B","gh/41180493","","mpl-2.0"
"tcl-lang","tcltk/tcl","https://github.com/tcltk/tcl.git","native","77576","0","107830","0.00054207","B","gh/1325933","",""
"libfido2","yubico/libfido2","https://github.com/yubico/libfido2.git","native","150905","428495","638252","0.00054099","B","gh/130169332","","bsd-2-clause"
"mesa","pal1000/mesa-dist-win","https://github.com/pal1000/mesa-dist-win.git","native","145794","49254","251907","0.00054003","B","gh/81497624","","mit and apache-2.0 and bsd-2-clause and bsd-3-clause and bsl-1.0 and hpnd and hpnd-sell-variant and icu and mit-khronos-old and sgi-b-2.0 and licenseref-homebrew-public-domain and (gpl-1.0-or-later with linux-syscall-note) and (gpl-2.0-only with linux-syscall-note)"
"libass","libass/libass","https://github.com/libass/libass.git","eco","113239","523758","681160","0.00053736","B","gh/11696642","","isc"
"libxt","","https://gitlab.freedesktop.org/xorg/lib/libxt.git","native","133437","56866","242343","0.00053701","B","gl/freedesktop-731","","mit"
"e2fsprogs","tytso/e2fsprogs","https://github.com/tytso/e2fsprogs.git","native","229993","0","319690","0.00053672","B","gh/2316310","",""
"opus","","https://gitlab.xiph.org/xiph/opus.git","native","135467","325404","513703","0.00053599","B","gl/xiph-36","","bsd-3-clause"
"debianutils","","https://salsa.debian.org/debian/debianutils.git","native","229908","0","319572","0.00053343","B","gl/debian-1328","",""
