"package","github_repo","git","eco_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","repo_id","canonical_url","license"
"kdnssd","","https://invent.kde.org/frameworks/kdnssd.git","native","23141","0","32165","0.00002455","C","gl/kde-2245","",""
"perl:sereal-encoder","sereal/sereal","https://github.com/sereal/sereal.git","native","23006","0","31978","0.00002441","C","gh/5597025","",""
"perl:sereal-decoder","sereal/sereal","https://github.com/sereal/sereal.git","native","23000","0","31969","0.00002440","C","gh/5597025","",""
"draco-3d-compression","google/draco","https://github.com/google/draco.git","native","596","0","828","0.00002432","C","gh/75662387","",""
"kdeplasma-addons","","https://invent.kde.org/plasma/kdeplasma-addons.git","native","22906","0","31839","0.00002430","C","gl/kde-2828","",""
"aws-c-mqtt","awslabs/aws-c-mqtt","https://github.com/awslabs/aws-c-mqtt.git","native","0","26269","26269","0.00002417","C","gh/142616481","","apache-2.0"
"sweeper","","https://salsa.debian.org/qt-kde-team/kde/sweeper.git","native","22764","0","31641","0.00002415","C","gl/debian-13640","",""
"webrtc-audio-processing","","https://salsa.debian.org/pulseaudio-team/webrtc-audio-processing.git","native","12738","0","17705","0.00002394","C","gl/debian-19397","",""
"libkolabxml","","git://git.kolab.org/diffusion/lkx/","native","22198","0","30855","0.00002394","C","","",""
"mecab-ipadic","taku910/mecab","https://github.com/taku910/mecab.git","native","0","25771","25771","0.00002384","C","gh/32217875","","naist-2003"
"kactivities-stats","","https://invent.kde.org/frameworks/kactivities-stats.git","native","22470","0","31233","0.00002384","C","","",""
"debian:libpng12-0","","","","22473","0","31237","0.00002384","C","","",""
"kdesu","","https://invent.kde.org/frameworks/kdesu.git","native","21872","0","30402","0.00002382","C","gl/kde-2083","",""
"libultrahdr","google/libultrahdr","https://github.com/google/libultrahdr.git","native","0","9171","9171","0.00002381","C","gh/668905191","","apache-2.0"
"debian:python-openssl","","","","22379","0","31106","0.00002374","C","","",""
"libdisplay-info","","https://gitlab.freedesktop.org/emersion/libdisplay-info.git","native","20988","0","29173","0.00002370","C","gl/freedesktop-14497","",""
"fyba","kartverket/fyba","https://github.com/kartverket/fyba.git","native","20825","0","28946","0.00002369","C","gh/7017867","",""
"roc-toolkit","","https://salsa.debian.org/multimedia-team/roc-toolkit.git","native","19740","0","27438","0.00002360","C","gl/debian-87816","",""
"dragon-player","","https://invent.kde.org/multimedia/dragon.git","native","22237","0","30909","0.00002359","C","gl/kde-2378","",""
"juk","","https://salsa.debian.org/qt-kde-team/kde/juk.git","native","22200","0","30857","0.00002355","C","gl/debian-13797","",""
"libkdcraw","","https://invent.kde.org/graphics/libkdcraw.git","native","21479","0","29855","0.00002334","C","gl/kde-2796","",""
"debian:odbcinst1debian2","","","","21965","0","30531","0.00002330","C","","",""
"libkgapi","","https://invent.kde.org/pim/libkgapi.git","native","21053","0","29263","0.00002326","C","gl/kde-2021","",""
"perl:cpanel-json-xs","rurban/cpanel-json-xs","https://github.com/rurban/cpanel-json-xs.git","native","21923","0","30472","0.00002326","C","gh/4814021","",""
"kaddressbook","","https://invent.kde.org/pim/kaddressbook.git","native","21902","0","30443","0.00002323","C","gl/kde-2099","",""
"korganizer","","https://invent.kde.org/pim/korganizer.git","native","21876","0","30407","0.00002321","C","gl/kde-2757","",""
"kholidays","","https://invent.kde.org/frameworks/kholidays.git","native","20968","0","29145","0.00002320","C","gl/kde-2421","",""
"akregator","","https://salsa.debian.org/qt-kde-team/kde/akregator.git","native","21834","0","30349","0.00002316","C","gl/debian-13717","",""
"libusrsctp","sctplab/usrsctp","https://github.com/sctplab/usrsctp.git","native","0","24363","24363","0.00002312","C","gh/39330705","","bsd-3-clause"
"plasma-activities","","https://invent.kde.org/plasma/plasma-activities.git","native","13813","0","19200","0.00002311","C","gl/kde-2742","",""
"perl:devel-globaldestruction","","git://git.shadowcat.co.uk/gitweb/gitweb.cgi?p=p5sagit/devel-globaldestruction.git","native","21755","0","30239","0.00002308","C","","",""
"kmail","","https://invent.kde.org/pim/kmail.git","native","21719","0","30189","0.00002304","C","gl/kde-2594","",""
"enca","","https://salsa.debian.org/debian/enca.git","native","21675","0","30128","0.00002299","C","gl/debian-97239","",""
"matio","tbeu/matio","https://github.com/tbeu/matio.git","native","0","28549","28549","0.00002296","C","gh/48456015","",""
"snapd-glib","canonical/snapd-glib","https://github.com/canonical/snapd-glib.git","native","21585","0","30003","0.00002290","C","gh/87171034","",""
"ogdi-dfsg","","https://salsa.debian.org/debian-gis-team/ogdi-dfsg.git","native","20081","0","27912","0.00002290","C","gl/debian-401","",""
"lshw","lyonel/lshw","https://github.com/lyonel/lshw.git","native","21445","0","29808","0.00002275","C","gh/2677174","",""
"openslide","openslide/openslide","https://github.com/openslide/openslide.git","native","0","28206","28206","0.00002270","C","gh/827644","","lgpl-2.1-only"
"debian:libxapian22","","","","21388","0","29729","0.00002269","C","","",""
"networkmanager-qt","","https://invent.kde.org/frameworks/networkmanager-qt.git","native","20735","0","28821","0.00002254","C","gl/kde-2614","",""
"liblc3","google/liblc3","https://github.com/google/liblc3.git","native","17550","0","24394","0.00002252","C","gh/480393283","",""
"meanwhile","obriencj/meanwhile","https://github.com/obriencj/meanwhile.git","native","21207","0","29477","0.00002250","C","gh/155557067","",""
"gtkmm","","https://gitlab.gnome.org/gnome/gtkmm-documentation.git","native","14130","0","19640","0.00002249","C","gl/gnome-1622","",""
"kuserfeedback","","https://invent.kde.org/frameworks/kuserfeedback.git","native","18213","0","25316","0.00002242","C","gl/kde-2337","",""
"tslib","microsoft/tslib","https://github.com/microsoft/tslib.git","native","12932","0","17975","0.00002242","C","gh/34414315","",""
"libxft","","https://gitlab.freedesktop.org/xorg/lib/libxft.git","native","0","16754","16754","0.00002241","C","gl/freedesktop-718","","mit"
"kcalcore","","https://invent.kde.org/frameworks/kcalendarcore.git","native","19048","0","26476","0.00002241","C","gl/kde-2196","",""
"debian:libdolphinvcs5","","","","20966","0","29142","0.00002224","C","","",""
"s2n-tls","aws/s2n-tls","https://github.com/aws/s2n-tls.git","native","0","7330","7330","0.00002222","C","gh/21287076","",""
"kmag","","https://salsa.debian.org/qt-kde-team/kde/kmag.git","native","20931","0","29094","0.00002221","C","gl/debian-13723","",""
"zxcvbn-c","tsyrogit/zxcvbn-c","https://github.com/tsyrogit/zxcvbn-c.git","native","19678","0","27352","0.00002200","C","gh/28730015","",""
"heimdal","","https://salsa.debian.org/debian/heimdal.git","native","1050","0","1459","0.00002197","C","gl/debian-18050","",""
"libxml++","libxmlplusplus/libxmlplusplus","https://github.com/libxmlplusplus/libxmlplusplus.git","native","18656","0","25931","0.00002191","C","gh/231944366","",""
"kmouth","","https://salsa.debian.org/qt-kde-team/kde/kmouth.git","native","20518","0","28520","0.00002177","C","gl/debian-13807","",""
"parole","","https://salsa.debian.org/xfce-team/apps/parole.git","native","20482","0","28469","0.00002173","C","gl/debian-18613","",""
"libdiscid","","https://salsa.debian.org/multimedia-team/libdiscid.git","native","20439","0","28410","0.00002168","C","gl/debian-8051","",""
"kmousetool","","https://salsa.debian.org/qt-kde-team/kde/kmousetool.git","native","20409","0","28368","0.00002165","C","gl/debian-13724","",""
"debian:libavdevice59","","","","20410","0","28369","0.00002165","C","","",""
"ffmpegthumbnailer","dirkvdb/ffmpegthumbnailer","https://github.com/dirkvdb/ffmpegthumbnailer.git","native","18753","0","26066","0.00002161","C","gh/32253375","",""
"debian:python-dbus","","","","20334","0","28264","0.00002157","C","","",""
"kyotocabinet","","https://salsa.debian.org/debian/kyotocabinet.git","native","20306","0","28225","0.00002154","C","gl/debian-59923","",""
"debian:kate5-data","","","","20226","0","28114","0.00002146","C","","",""
"kross","","https://invent.kde.org/frameworks/kross.git","native","20165","0","28029","0.00002139","C","gl/kde-2314","",""
"kimageannotator","ksnip/kimageannotator","https://github.com/ksnip/kimageannotator.git","native","19620","0","27271","0.00002137","C","gh/121154289","",""
"libdebian-installer","","https://salsa.debian.org/installer-team/libdebian-installer.git","native","646","0","897","0.00002136","C","gl/debian-23445","",""
"zziplib","gdraheim/zziplib","https://github.com/gdraheim/zziplib.git","native","20064","0","27888","0.00002128","C","gh/88789570","",""
"teckit","silnrsi/teckit","https://github.com/silnrsi/teckit.git","native","20030","0","27841","0.00002125","C","gh/56601777","",""
"luajit-misnamed","openresty/luajit2","https://github.com/openresty/luajit2.git","native","18945","0","26333","0.00002120","C","gh/14096125","",""
"gsettings-qt","","https://gitlab.com/ubports/development/core/gsettings-qt.git","native","19953","0","27734","0.00002117","C","gl/10070038","",""
"kpeoplevcard","","https://salsa.debian.org/qt-kde-team/kde/kpeoplevcard.git","native","19960","0","27744","0.00002117","C","gl/debian-55938","",""
"debian:python-lxml","","","","19932","0","27705","0.00002115","C","","",""
"libnetfilter-acct","","https://salsa.debian.org/pkg-netfilter-team/pkg-libnetfilter-acct.git","native","19912","0","27677","0.00002112","C","gl/debian-30879","",""
"libqalculate","","https://salsa.debian.org/debian/libqalculate.git","native","19891","0","27648","0.00002110","C","gl/debian-31594","",""
"libqaccessibilityclient","","https://invent.kde.org/libraries/libqaccessibilityclient.git","native","18368","0","25531","0.00002106","C","gl/kde-2034","",""
"libtextwrap","","https://salsa.debian.org/debian/libtextwrap.git","native","340","0","472","0.00002103","C","gl/debian-63598","",""
"gumbo-parser","","https://codeberg.org/gumbo-parser/gumbo-parser.git","native","0","8722","8722","0.00002100","C","","","apache-2.0"
"kunitconversion","","https://invent.kde.org/frameworks/kunitconversion.git","native","19188","0","26671","0.00002100","C","gl/kde-2270","",""
"trousers","","","","18668","0","25948","0.00002099","C","","",""
"socket++","malaterre/socketxx-1","https://github.com/malaterre/socketxx-1.git","native","18730","0","26034","0.00002089","C","gh/15103745","",""
"breeze-icons","","https://invent.kde.org/frameworks/breeze-icons.git","native","14883","0","20687","0.00002074","C","gl/kde-2194","",""
"qtkeychain","frankosterfeld/qtkeychain","https://github.com/frankosterfeld/qtkeychain.git","native","16238","0","22570","0.00002065","C","gh/2767734","",""
"gtk-layer-shell","wmww/gtk-layer-shell","https://github.com/wmww/gtk-layer-shell.git","native","12288","0","17080","0.00002026","C","gh/177609983","",""
"qtquickeffectmaker","","git://code.qt.io/qt/qtquickeffectmaker.git","native","0","14980","14980","0.00002014","C","","","(gpl-3.0-only with qt-gpl-exception-1.0) and bsd-3-clause"
"qtquick3dphysics","","git://code.qt.io/qt/qtquick3dphysics.git","native","0","14962","14962","0.00002012","C","","","gpl-3.0-only and (gpl-3.0-only with qt-gpl-exception-1.0) and bsd-3-clause"
"qtgraphs","qt/qtgraphs","https://github.com/qt/qtgraphs.git","native","0","14930","14930","0.00002010","C","gh/630784961","","gpl-3.0-only and bsd-3-clause"
"qtlottie","","https://invent.kde.org/qt/qt/qtlottie.git","native","0","14871","14871","0.00002005","C","gl/kde-1249","","gpl-3.0-only and bsd-3-clause"
"qtlanguageserver","qt/qtlanguageserver","https://github.com/qt/qtlanguageserver.git","native","0","14716","14716","0.00001994","C","gh/235808801","","(lgpl-3.0-only or gpl-2.0-only or gpl-3.0-only) and bsd-3-clause"
"libffado","","https://salsa.debian.org/multimedia-team/ffado.git","native","16268","0","22612","0.00001991","C","gl/debian-17825","",""
"litehtml","litehtml/litehtml","https://github.com/litehtml/litehtml.git","native","0","14504","14504","0.00001977","C","gh/23294481","","bsd-3-clause"
"qthttpserver","qt/qthttpserver","https://github.com/qt/qthttpserver.git","override","0","14419","14419","0.00001971","C","gh/521263809","","gpl-3.0-only and bsd-3-clause"
"epsilon-compressor","","","","0","23649","23649","0.00001965","C","","",""
"glslang","khronosgroup/glslang","https://github.com/khronosgroup/glslang.git","native","0","20671","20671","0.00001921","C","gh/38064932","","bsd-3-clause and gpl-3.0-or-later and mit and apache-2.0"
"libnfs","sahlberg/libnfs","https://github.com/sahlberg/libnfs.git","native","14696","0","20427","0.00001903","C","gh/1333552","",""
"telepathy-glib","","https://salsa.debian.org/telepathy-team/telepathy-glib.git","native","14548","0","20221","0.00001897","C","gl/debian-27058","",""
"cgif","dloebl/cgif","https://github.com/dloebl/cgif.git","native","0","23029","23029","0.00001875","C","gh/378709850","","mit"
"mozjpeg","mozilla/mozjpeg","https://github.com/mozilla/mozjpeg.git","native","0","22818","22818","0.00001859","C","gh/15837676","","ijg and zlib and bsd-3-clause"
"kded","","https://invent.kde.org/frameworks/kded.git","native","14704","0","20438","0.00001852","C","gl/kde-2127","",""
"kglobalacceld","","https://invent.kde.org/plasma/kglobalacceld.git","native","11563","0","16072","0.00001839","C","gl/kde-14289","",""
"kstatusnotifieritem","","https://invent.kde.org/frameworks/kstatusnotifieritem.git","native","12790","0","17778","0.00001779","C","gl/kde-15425","",""
"libgedit-gfls","","https://gitlab.gnome.org/world/gedit/libgedit-gfls.git","native","9196","5309","18091","0.00001779","C","gl/gnome-31956","","lgpl-3.0-or-later"
"kquickcharts","","https://invent.kde.org/frameworks/kquickcharts.git","native","16227","0","22555","0.00001779","C","gl/kde-302","",""
"miniupnpc","miniupnp/miniupnp","https://github.com/miniupnp/miniupnp.git","native","3653","14129","19206","0.00001778","C","gh/2435778","","bsd-3-clause"
"libsmi","","https://gitlab.ibr.cs.tu-bs.de/nm/libsmi.git","native","4861","14327","21083","0.00001769","C","gl/tubs-4090","","tcl and bsd-3-clause and beerware"
"uthash","troydhanson/uthash","https://github.com/troydhanson/uthash.git","native","0","6417","6417","0.00001759","C","gh/7476948","","bsd-1-clause"
"libdmapsharing","","https://salsa.debian.org/gnome-team/libdmapsharing.git","native","13375","0","18591","0.00001743","C","gl/debian-5297","",""
"nginx:http-echo","openresty/echo-nginx-module","https://github.com/openresty/echo-nginx-module.git","native","11500","0","15984","0.00001724","C","gh/318905","",""
"libpanel","","https://gitlab.gnome.org/gnome/libpanel.git","native","477","0","663","0.00001717","C","gl/gnome-15968","",""
"clucene","","git://git.code.sf.net/p/clucene/code","native","15094","0","20980","0.00001714","C","","",""
"libspng","randy408/libspng","https://github.com/randy408/libspng.git","native","0","20792","20792","0.00001704","C","gh/127125127","","bsd-2-clause"
"libdex","","https://gitlab.gnome.org/gnome/libdex.git","native","250","0","347","0.00001692","C","gl/gnome-23745","",""
"libgedit-tepl","","https://gitlab.gnome.org/world/gedit/libgedit-tepl.git","native","9097","6634","19278","0.00001685","C","gl/gnome-31957","","lgpl-2.1-or-later"
"prrte","openpmix/prrte","https://github.com/openpmix/prrte.git","native","0","0","0","0.00001681","C","gh/61409768","","bsd-3-clause-open-mpi"
"akonadi-calendar","","https://invent.kde.org/pim/akonadi-calendar.git","native","14162","0","19685","0.00001653","C","gl/kde-2351","",""
"kdav","","https://invent.kde.org/frameworks/kdav.git","native","15143","0","21048","0.00001645","C","gl/kde-2336","",""
"nginx:http-auth-pam","sto/ngx_http_auth_pam_module","https://github.com/sto/ngx_http_auth_pam_module.git","native","10503","0","14599","0.00001619","C","gh/30292379","",""
"shaderc","google/shaderc","https://github.com/google/shaderc.git","native","0","15162","15162","0.00001611","C","gh/40277133","","apache-2.0"
"nginx:http-dav-ext","arut/nginx-dav-ext-module","https://github.com/arut/nginx-dav-ext-module.git","native","10411","0","14471","0.00001609","C","gh/3287337","",""
"nginx:http-subs-filter","yaoweibin/ngx_http_substitutions_filter_module","https://github.com/yaoweibin/ngx_http_substitutions_filter_module.git","native","10400","0","14455","0.00001608","C","gh/4075908","",""
"nginx:http-upstream-fair","gnosek/nginx-upstream-fair","https://github.com/gnosek/nginx-upstream-fair.git","native","10385","0","14435","0.00001606","C","gh/4957","",""
"ksvg","","https://invent.kde.org/frameworks/ksvg.git","native","12687","0","17634","0.00001575","C","gl/kde-13979","",""
"kaccounts-integration","","https://invent.kde.org/network/kaccounts-integration.git","native","12156","0","16896","0.00001575","C","gl/kde-2439","",""
