"package","dependency","type"
"charls","gcc","declared"
"charls","glibc","declared"
"libidn2","gettext","declared"
"libidn2","glibc","declared"
"libidn2","libunistring","declared"
"zlib","debian:lib32c-dev","declared"
"zlib","glibc","declared"
"xfce4-xkb-plugin","cairo-graphics-library","declared"
"xfce4-xkb-plugin","garcon","declared"
"xfce4-xkb-plugin","gdk-pixbuf","declared"
"xfce4-xkb-plugin","glib","declared"
"xfce4-xkb-plugin","glibc","declared"
"xfce4-xkb-plugin","gtk","declared"
"xfce4-xkb-plugin","libnotify","declared"
"xfce4-xkb-plugin","librsvg","declared"
"xfce4-xkb-plugin","libwnck","declared"
"xfce4-xkb-plugin","libx11","declared"
"xfce4-xkb-plugin","libxfce4ui","declared"
"xfce4-xkb-plugin","libxfce4util","declared"
"xfce4-xkb-plugin","libxklavier","declared"
"xfce4-xkb-plugin","pango","declared"
"xfce4-xkb-plugin","xfce4-panel","declared"
"xfce4-xkb-plugin","xfconf","declared"
"ijs","glibc","declared"
"apache-serf","apr","declared"
"apache-serf","apr-util","declared"
"apache-serf","glibc","declared"
"apache-serf","krb5","declared"
"apache-serf","openssl","declared"
"apache-serf","zlib","declared"
"ogdi-dfsg","expat","declared"
"ogdi-dfsg","glibc","declared"
"ogdi-dfsg","libtirpc","declared"
"ogdi-dfsg","zlib","declared"
"phonon-vlc","gcc","declared"
"phonon-vlc","glibc","declared"
"phonon-vlc","phonon","declared"
"phonon-vlc","qt","declared"
"phonon-vlc","vlc","declared"
"libvpl","gcc","declared"
"libvpl","glibc","declared"
"libvpl","libva","declared"
"dotconf","glibc","declared"
"libraw1394","glibc","declared"
"libksba","glibc","declared"
"libksba","libgpg-error","declared"
"dhcp","debianutils","declared"
"dhcp","glibc","declared"
"dhcp","iproute2","declared"
"xvidcore","glibc","declared"
"apache-arrow","abseil-cpp","declared"
"apache-arrow","apache-thrift","declared"
"apache-arrow","aws-crt-cpp","declared"
"apache-arrow","aws-sdk-cpp","declared"
"apache-arrow","brotli","declared"
"apache-arrow","glib","declared"
"apache-arrow","grpc","declared"
"apache-arrow","llvm","declared"
"apache-arrow","lz4","declared"
"apache-arrow","openssl","declared"
"apache-arrow","protobuf","declared"
"apache-arrow","re2","declared"
"apache-arrow","snappy-compression","declared"
"apache-arrow","utf8proc","declared"
"apache-arrow","zstd","declared"
"gtk-engines","cairo-graphics-library","declared"
"gtk-engines","gdk-pixbuf","declared"
"gtk-engines","glib","declared"
"gtk-engines","glibc","declared"
"x11-session-utils","glibc","declared"
"x11-session-utils","libice","declared"
"x11-session-utils","libsm","declared"
"x11-session-utils","libx11","declared"
"x11-session-utils","libxaw","declared"
"x11-session-utils","libxmu","declared"
"x11-session-utils","libxt","declared"
"synaptic","apt","declared"
"synaptic","gcc","declared"
"synaptic","gdk-pixbuf","declared"
"synaptic","glib","declared"
"synaptic","glibc","declared"
"synaptic","gtk","declared"
"synaptic","hicolor-icon-theme","declared"
"synaptic","pango","declared"
"synaptic","polkit","declared"
"synaptic","vte","declared"
"libmtp","glibc","declared"
"libmtp","libgcrypt","declared"
"libmtp","libusb","declared"
"libice","debian:x11-common","declared"
"libice","debian:x11proto-dev","declared"
"libice","glibc","declared"
"libice","xorgproto","declared"
"libportal","cairo-graphics-library","declared"
"libportal","debian:gir1.2-gdkpixbuf-2.0","declared"
"libportal","debian:gir1.2-gio-2.0-dev","declared"
"libportal","debian:gir1.2-gstreamer-1.0","declared"
"libportal","debian:gir1.2-gtk-3.0-dev","declared"
"libportal","debian:gir1.2-gtk-4.0","declared"
"libportal","debian:gir1.2-gtk-4.0-dev","declared"
"libportal","debian:gir1.2-pango-1.0","declared"
"libportal","debian:gir1.2-xdp-1.0","declared"
"libportal","debian:gir1.2-xdpgtk3-1.0","declared"
"libportal","debian:gir1.2-xdpgtk4-1.0","declared"
"libportal","gcc","declared"
"libportal","gdk-pixbuf","declared"
"libportal","gjs","declared"
"libportal","glib","declared"
"libportal","glibc","declared"
"libportal","gstreamer","declared"
"libportal","gtk","declared"
"libportal","pango","declared"
"libportal","pkgconf","declared"
"libportal","qt","declared"
"eog","cairo-graphics-library","declared"
"eog","dconf","declared"
"eog","debian:gir1.2-gtk-3.0","declared"
"eog","debian:gir1.2-peas-1.0","declared"
"eog","exempi","declared"
"eog","gdk-pixbuf","declared"
"eog","glib","declared"
"eog","glibc","declared"
"eog","gnome-desktop","declared"
"eog","gobject-introspection","declared"
"eog","gsettings-desktop-schemas","declared"
"eog","gtk","declared"
"eog","lcms","declared"
"eog","libexif","declared"
"eog","libhandy","declared"
"eog","libjpeg-turbo","declared"
"eog","libjxl","declared"
"eog","libpeas","declared"
"eog","librsvg","declared"
"eog","libx11","declared"
"eog","shared-mime-info","declared"
"eog","webp-pixbuf-loader","declared"
"eog","zlib","declared"
"libieee1284","glibc","declared"
"wtmpdb","debian:libpam-runtime","declared"
"wtmpdb","glibc","declared"
"wtmpdb","pam","declared"
"wtmpdb","sqlite","declared"
"konsole","gcc","declared"
"konsole","glibc","declared"
"konsole","icu","declared"
"konsole","kbookmarks","declared"
"konsole","kcolorscheme","declared"
"konsole","kconfig","declared"
"konsole","kconfigwidgets","declared"
"konsole","kcoreaddons","declared"
"konsole","kcrash","declared"
"konsole","kdbusaddons","declared"
"konsole","kglobalaccel","declared"
"konsole","kguiaddons","declared"
"konsole","ki18n","declared"
"konsole","kiconthemes","declared"
"konsole","kio","declared"
"konsole","knewstuff","declared"
"konsole","knotifications","declared"
"konsole","knotifyconfig","declared"
"konsole","kparts","declared"
"konsole","kpty","declared"
"konsole","kservice","declared"
"konsole","ktextwidgets","declared"
"konsole","kwidgetsaddons","declared"
"konsole","kwindowsystem","declared"
"konsole","kxmlgui","declared"
"konsole","qt","declared"
"suitesparse","gcc","declared"
"suitesparse","glibc","declared"
"suitesparse","gmp","declared"
"suitesparse","lapack","declared"
"suitesparse","llvm","declared"
"suitesparse","mpfr","declared"
"swig","pcre","declared"
"ccache","blake3","declared"
"ccache","fmt","declared"
"ccache","gcc","declared"
"ccache","glibc","declared"
"ccache","hiredis","declared"
"ccache","openssl","declared"
"ccache","xxhash","declared"
"ccache","zstd","declared"
"gimp","aalib","declared"
"gimp","alsa-lib","declared"
"gimp","appstream-glib","declared"
"gimp","babl","declared"
"gimp","bzip2","declared"
"gimp","cairo-graphics-library","declared"
"gimp","cfitsio","declared"
"gimp","debian:gir1.2-babl-0.1","declared"
"gimp","debian:gir1.2-cairo-1.0","declared"
"gimp","debian:gir1.2-gdkpixbuf-2.0","declared"
"gimp","debian:gir1.2-gegl-0.4","declared"
"gimp","debian:gir1.2-gio-2.0","declared"
"gimp","debian:gir1.2-glib-2.0","declared"
"gimp","debian:gir1.2-gobject-2.0","declared"
"gimp","debian:gir1.2-gtk-3.0","declared"
"gimp","debian:gir1.2-pango-1.0","declared"
"gimp","debian:python3-gi","declared"
"gimp","fontconfig","declared"
"gimp","freetype","declared"
"gimp","gcc","declared"
"gimp","gdk-pixbuf","declared"
"gimp","gegl","declared"
"gimp","gexiv2","declared"
"gimp","ghostscript","declared"
"gimp","glib","declared"
"gimp","glibc","declared"
"gimp","gobject-introspection","declared"
"gimp","graphviz","declared"
"gimp","gtk","declared"
"gimp","harfbuzz","declared"
"gimp","json-glib","declared"
"gimp","lcms","declared"
"gimp","libarchive","declared"
"gimp","libgudev","declared"
"gimp","libheif","declared"
"gimp","libjpeg-turbo","declared"
"gimp","libjxl","declared"
"gimp","libmypaint","declared"
"gimp","libpng","declared"
"gimp","librsvg","declared"
"gimp","libwebp","declared"
"gimp","libwmf","declared"
"gimp","libx11","declared"
"gimp","libxcursor","declared"
"gimp","libxext","declared"
"gimp","libxfixes","declared"
"gimp","libxmu","declared"
"gimp","libxpm","declared"
"gimp","lynx","declared"
"gimp","openexr","declared"
"gimp","openjpeg","declared"
"gimp","pango","declared"
"gimp","pkgconf","declared"
"gimp","poppler","declared"
"gimp","tiff","declared"
"gimp","xdg-utils","declared"
"gimp","xz","declared"
"gimp","zlib","declared"
"libcdio-paranoia","glibc","declared"
"libcdio-paranoia","libcdio","declared"
"pangomm","cairomm","declared"
"pangomm","gcc","declared"
"pangomm","glib","declared"
"pangomm","glibc","declared"
"pangomm","glibmm","declared"
"pangomm","libsigc++","declared"
"pangomm","pango","declared"
"iptables","glibc","declared"
"iptables","libmnl","declared"
"iptables","libnetfilter-conntrack","declared"
"iptables","libnfnetlink","declared"
"iptables","libnftnl","declared"
"iptables","libpcap","declared"
"iptables","netbase","declared"
"iptables","nftables","declared"
"kdbusaddons","debian:qt6-base-private-abi","declared"
"kdbusaddons","gcc","declared"
"kdbusaddons","glibc","declared"
"kdbusaddons","qt","declared"
"libxdamage","debian:x11proto-dev","declared"
"libxdamage","glibc","declared"
"libxdamage","libx11","declared"
"libxdamage","libxfixes","declared"
"libxdamage","xorgproto","declared"
"wangle","double-conversion","declared"
"wangle","fizz","declared"
"wangle","fmt","declared"
"wangle","folly","declared"
"wangle","gflags","declared"
"wangle","glog","declared"
"wangle","openssl","declared"
"rabbitmq-server","homebrew:erlang@28","declared"
"libgit2","glibc","declared"
"libgit2","http-parser","declared"
"libgit2","krb5","declared"
"libgit2","libssh2","declared"
"libgit2","llhttp","declared"
"libgit2","mbedtls","declared"
"libgit2","openssl","declared"
"libgit2","pcre2","declared"
"libgit2","zlib","declared"
