package,license,fetched_at
cfitsio,cfitsio,2026-07-21T21:08:15Z
cgal,gpl-3.0-or-later,2026-07-21T21:08:15Z
cgif,mit,2026-07-21T21:08:15Z
cgns,bsd-3-clause,2026-07-21T21:08:15Z
charls,,2026-07-21T21:08:15Z
cheese,,2026-07-21T21:08:15Z
chromaprint,,2026-07-21T21:08:15Z
chromium,,2026-07-21T21:08:15Z
cifs-utils,,2026-07-21T21:08:15Z
cjson,mit,2026-07-21T21:08:15Z
clisp,gpl-2.0-or-later,2026-07-21T21:08:15Z
cln,,2026-07-21T21:08:15Z
clp,,2026-07-21T21:08:15Z
clucene,,2026-07-21T21:08:15Z
clutter,,2026-07-21T21:08:15Z
clutter-gst,,2026-07-21T21:08:15Z
clutter-gtk,,2026-07-21T21:08:15Z
cmake,bsd-3-clause,2026-07-21T21:08:15Z
cmark,,2026-07-21T21:08:15Z
cmocka,apache-2.0,2026-07-21T21:08:15Z
cocoapods,mit,2026-07-21T21:08:15Z
codec2,,2026-07-21T21:08:15Z
cogl,,2026-07-21T21:08:15Z
coin-or-cbc,,2026-07-21T21:08:15Z
coin-or-cgl,,2026-07-21T21:08:15Z
coin-or-coinutils,,2026-07-21T21:08:15Z
coin-or-osi,,2026-07-21T21:08:15Z
coinmp,,2026-07-21T21:08:15Z
colord,,2026-07-21T21:08:15Z
colord-gtk,,2026-07-21T21:08:15Z
console-setup,,2026-07-21T21:08:15Z
coreutils,gpl-3.0-or-later,2026-07-21T21:08:15Z
cpio,gpl-3.0-or-later,2026-07-21T21:08:15Z
cpuinfo-pytorch,,2026-07-21T21:08:15Z
cracklib,,2026-07-21T21:08:15Z
cron,,2026-07-21T21:08:15Z
crypto++,,2026-07-21T21:08:15Z
cryptsetup,,2026-07-21T21:08:15Z
cunit-original,,2026-07-21T21:08:15Z
cups,apache-2.0 with llvm-exception,2026-07-21T21:08:15Z
cups-filters,,2026-07-21T21:08:15Z
curl,curl,2026-07-21T21:08:15Z
cwidget,,2026-07-21T21:08:15Z
cyrus-sasl,bsd-3-clause-attribution,2026-07-21T21:08:15Z
czmq,,2026-07-21T21:08:15Z
dash-shell,,2026-07-21T21:08:15Z
dav1d,bsd-2-clause,2026-07-21T21:08:15Z
db,,2026-07-21T21:08:15Z
db-defaults,,2026-07-21T21:08:15Z
dbus,afl-2.1 or gpl-2.0-or-later,2026-07-21T21:08:15Z
dbus-glib,,2026-07-21T21:08:15Z
dconf,,2026-07-21T21:08:15Z
dctrl-tools,,2026-07-21T21:08:15Z
ddcutil,,2026-07-21T21:08:15Z
debian:dnsutils,,2026-07-21T21:08:15Z
debian:gir1.2-mutter-11,,2026-07-21T21:08:15Z
debian:gir1.2-tracker-2.0,,2026-07-21T21:08:15Z
debian:imagemagick-6-common,,2026-07-21T21:08:15Z
debian:imagemagick-6.q16,,2026-07-21T21:08:15Z
debian:kate5-data,,2026-07-21T21:08:15Z
debian:libapt-pkg6.0,,2026-07-21T21:08:15Z
debian:libavcodec58,,2026-07-21T21:08:15Z
debian:libavcodec59,,2026-07-21T21:08:15Z
debian:libavdevice58,,2026-07-21T21:08:15Z
debian:libavdevice59,,2026-07-21T21:08:15Z
debian:libavfilter7,,2026-07-21T21:08:15Z
debian:libavfilter8,,2026-07-21T21:08:15Z
debian:libavformat58,,2026-07-21T21:08:15Z
debian:libavformat59,,2026-07-21T21:08:15Z
debian:libavresample4,,2026-07-21T21:08:15Z
debian:libavutil56,,2026-07-21T21:08:15Z
debian:libavutil57,,2026-07-21T21:08:15Z
debian:libcomerr2,,2026-07-21T21:08:15Z
debian:libcroco3,,2026-07-21T21:08:15Z
debian:libcurl3,,2026-07-21T21:08:15Z
debian:libdc1394-22,,2026-07-21T21:08:15Z
debian:libdolphinvcs5,,2026-07-21T21:08:15Z
debian:libenchant1c2a,,2026-07-21T21:08:15Z
debian:libexiv2-27,,2026-07-21T21:08:15Z
debian:libfam0,,2026-07-21T21:08:15Z
debian:libflac8,,2026-07-21T21:08:15Z
debian:libfluidsynth1,,2026-07-21T21:08:15Z
debian:libfreetype6-dev,,2026-07-21T21:08:15Z
debian:libgcc1,,2026-07-21T21:08:15Z
debian:libgdbm3,,2026-07-21T21:08:15Z
debian:libgdk-pixbuf2.0-0,,2026-07-21T21:08:15Z
debian:libgimp2.0,,2026-07-21T21:08:15Z
debian:libgl1-mesa-glx,,2026-07-21T21:08:15Z
debian:libgpgme11-dev,,2026-07-21T21:08:15Z
debian:libgs9,,2026-07-21T21:08:15Z
debian:libgs9-common,,2026-07-21T21:08:15Z
debian:libgsasl7,,2026-07-21T21:08:15Z
debian:libidn11,,2026-07-21T21:08:15Z
debian:libilmbase-dev,,2026-07-21T21:08:15Z
debian:libiptc0,,2026-07-21T21:08:15Z
debian:libldap-2.4-2,,2026-07-21T21:08:15Z
debian:libldb1,,2026-07-21T21:08:15Z
