repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_dependent_count,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
boto/botocore,6670942,8.2,2026-04-20,13136,Apache-2.0,156,,,2026-05-03T17:02:47+00:00
boto/s3transfer,49535299,7.7,2026-04-20,12510,Apache-2.0,65,,,2026-05-03T17:02:47+00:00
braveg1rl/performance-now,336187529,1.5,2026-04-20,257552,,0,,,2026-05-03T17:02:48+00:00
brianc/node-postgres,991475,5.2,2026-04-20,87283,MIT,523,,,2026-05-03T17:02:49+00:00
brianloveswords/node-jwa,8116861,4.5,2026-04-20,67466,MIT,17,,,2026-05-03T17:02:48+00:00
broofa/mime,534940,3.9,2026-04-20,6007,MIT,5,,,2026-05-03T17:02:48+00:00
broofa/node-int64,1208666,2.3,2026-04-20,101220,MIT,0,,,2026-05-03T17:02:49+00:00
browserify/node-util,14568009,3.5,2026-04-20,84246,MIT,23,,,2026-05-03T17:02:48+00:00
browserify/resolve,1915099,7.1,2026-04-20,405465,MIT,17,passing,189,2026-05-03T17:02:48+00:00
browserslist/browserslist,27971466,5.9,2026-04-20,186435,MIT,45,,,2026-05-03T17:02:49+00:00
browserslist/update-db,505548145,3.6,2026-04-20,186952,MIT,7,,,2026-05-03T17:02:50+00:00
burntsushi/aho-corasick,37290678,4.7,2026-04-20,27034,non-standard,8,,,2026-05-03T17:02:50+00:00
burntsushi/jiff,759017108,,,170,non-standard,43,,,2026-05-03T17:02:50+00:00
burntsushi/memchr,37290652,,,75334,non-standard,32,,,2026-05-03T17:02:51+00:00
burntsushi/quickcheck,17559913,5,2026-04-20,339,non-standard,31,,,2026-05-03T17:02:51+00:00
burntsushi/same-file,78375612,3,2026-04-20,17052,non-standard,7,,,2026-05-03T17:02:52+00:00
burntsushi/termcolor,141345580,3.1,2026-04-20,16512,non-standard,16,,,2026-05-03T17:02:52+00:00
burntsushi/ucd-generate,123997498,3.2,2026-04-20,4971,Apache-2.0,9,,,2026-05-03T17:03:01+00:00
burntsushi/walkdir,42685794,4,2026-04-20,16808,non-standard,47,,,2026-05-03T17:02:52+00:00
burntsushi/winapi-util,146040682,4,2026-04-20,29921,non-standard,6,,,2026-05-03T17:02:53+00:00
businho/pytest-ruff,599731435,,,2,MIT,3,,,2026-05-03T17:02:53+00:00
bytecodealliance/rustix,295544240,5.1,2026-04-20,18110,non-standard,110,,,2026-05-03T17:03:01+00:00
bytecodealliance/wasi-rs,196445196,,,22941,Apache-2.0,6,,,2026-05-03T17:03:01+00:00
c-ares/c-ares,571708,7.2,2026-04-20,,MIT,62,passing,115,2026-05-03T17:03:01+00:00
