repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_dependent_count,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
gnome/pango,4537144,,,,non-standard,0,,,2026-05-03T17:04:49+00:00
gnutls/gnutls,58873704,,,,GPL-3.0,0,,,2026-05-03T17:04:49+00:00
gnutls/libtasn1,59017205,,,,,,,,2026-05-03T17:04:49+00:00
gnutls/nettle,59017402,,,,LGPL-3.0,0,,,2026-05-03T17:04:49+00:00
google/brotli,24993138,7.3,2026-04-20,4400,MIT,95,in_progress,57,2026-05-03T17:04:52+00:00
google/zerocopy,534354967,6.4,2026-04-20,69424,Apache-2.0,389,,,2026-05-03T17:04:53+00:00
googleapis/google-auth-library-python,69199387,7.3,2026-04-20,0,Apache-2.0,0,,,2026-05-03T17:04:52+00:00
googleapis/google-cloud-node-core,1052931509,,,40071,Apache-2.0,1,,,2026-05-03T17:04:53+00:00
googleapis/google-resumable-media-python,88091939,6,2026-04-20,3853,Apache-2.0,0,,,2026-05-03T17:04:53+00:00
googleapis/python-api-core,226992456,7.1,2026-04-20,8933,Apache-2.0,0,,,2026-05-03T17:04:54+00:00
googleapis/python-crc32c,159736041,7.5,2026-04-20,6740,Apache-2.0,0,,,2026-05-03T17:04:53+00:00
googleapis/python-storage,226992639,5.8,2026-04-20,2651,Apache-2.0,0,,,2026-05-03T17:04:54+00:00
googlechrome/workbox,55424670,5,2026-04-20,6526,MIT,81,,,2026-05-03T17:04:56+00:00
gozala/events,1649251,3.5,2026-04-20,182915,MIT,13,,,2026-05-03T17:04:54+00:00
gpg/libgpg-error,42075984,,,,GPL-2.0,2,,,2026-05-03T17:04:55+00:00
grahamdumpleton/wrapt,10357291,3.8,2026-04-20,18198,non-standard,0,,,2026-05-03T17:04:55+00:00
graydon/exhaustigen-rs,432630522,,,2,,4,,,2026-05-03T17:04:55+00:00
gregberge/svgr,102155012,4.9,2026-04-20,32580,MIT,143,,,2026-05-03T17:04:56+00:00
grncdr/merge-stream,10579821,2.5,2026-04-20,169478,MIT,0,,,2026-05-03T17:04:56+00:00
grpc/grpc,27729880,6.6,2026-04-20,22294,Apache-2.0,1304,passing,109,2026-05-03T17:04:58+00:00
gsnedders/python-webencodings,7043404,2.6,2026-04-20,11809,non-standard,13,,,2026-05-03T17:04:57+00:00
guillaumegomez/doc-comment,127254922,2.1,2026-04-20,0,MIT,8,,,2026-05-03T17:04:57+00:00
gulpjs/glob-parent,29154915,3.7,2026-04-20,71486,non-standard,4,,,2026-05-03T17:04:57+00:00
gweis/isodate,6449370,3.8,2026-04-20,7515,BSD-3-Clause,28,,,2026-05-03T17:05:01+00:00
gyscos/zstd-rs,52115335,4.7,2026-04-20,974,BSD-3-Clause,82,,,2026-05-03T17:05:02+00:00
hapijs/hoek,5831189,3.9,2026-04-20,9313,non-standard,3,,,2026-05-03T17:05:02+00:00
harfbuzz/harfbuzz,5050525,7.8,2026-04-20,,non-standard,89,in_progress,97,2026-05-03T17:05:01+00:00
hiddentao/fast-levenshtein,9490451,2.3,2026-04-20,4260,MIT,10,,,2026-05-03T17:05:03+00:00
httplib2/httplib2,53002916,5.3,2026-04-20,5514,non-standard,61,,,2026-05-03T17:05:02+00:00
hukkin/tomli,370616797,5,2026-04-20,51844,MIT,7,,,2026-05-03T17:05:03+00:00
hyperium/http,84983058,5.1,2026-04-20,2778,Apache-2.0,176,,,2026-05-03T17:05:03+00:00
hyperium/http-body,183281612,3.9,2026-04-20,1676,MIT,26,,,2026-05-03T17:05:04+00:00
iarna/aproba,31432421,2.1,2026-04-20,58526,non-standard,1,,,2026-05-03T17:05:03+00:00
import-js/eslint-plugin-import,32238354,5.3,2026-04-20,245653,MIT,592,,,2026-05-03T17:05:05+00:00
indexmap-rs/indexmap,68294628,,,22305,Apache-2.0,12,,,2026-05-03T17:05:04+00:00
indutny/bn.js,19176350,3.2,2026-04-20,147309,MIT,49,,,2026-05-03T17:05:04+00:00
indygreg/python-zstandard,67307930,3.9,2026-04-20,8378,BSD-3-Clause,67,,,2026-05-03T17:05:05+00:00
inikulin/parse5,8862593,6.4,2026-04-20,4731,MIT,35,,,2026-05-03T17:05:05+00:00
inspect-js/array-buffer-byte-length,607836784,3.8,2026-04-20,185805,MIT,1,,,2026-05-03T17:05:05+00:00
inspect-js/available-typed-arrays,235965505,4,2026-04-20,349427,MIT,1,,,2026-05-03T17:05:06+00:00
inspect-js/functions-have-names,198357138,4.4,2026-04-20,208664,MIT,1,,,2026-05-03T17:05:06+00:00
inspect-js/has-property-descriptors,481834578,3.8,2026-04-20,459263,MIT,1,,,2026-05-03T17:05:06+00:00
inspect-js/has-proto,577580747,3.4,2026-04-20,183491,MIT,1,,,2026-05-03T17:05:07+00:00
inspect-js/has-symbols,68573418,3.8,2026-04-20,887341,MIT,2,,,2026-05-03T17:05:07+00:00
inspect-js/has-tostringtag,392913710,4.7,2026-04-20,614163,MIT,1,,,2026-05-03T17:05:08+00:00
inspect-js/hasown,703350811,4,2026-04-20,1069081,MIT,1,,,2026-05-03T17:05:07+00:00
inspect-js/is-accessor-descriptor,41658954,3.8,2026-04-20,10,MIT,0,,,2026-05-03T17:05:08+00:00
inspect-js/is-arguments,15725461,4.4,2026-04-20,183612,MIT,1,,,2026-05-03T17:05:08+00:00
inspect-js/is-array-buffer,45977026,3.4,2026-04-20,186064,MIT,0,,,2026-05-03T17:05:16+00:00
inspect-js/is-bigint,149682261,3.8,2026-04-20,189718,MIT,1,,,2026-05-03T17:05:17+00:00
inspect-js/is-boolean-object,34700259,3.8,2026-04-20,189797,MIT,1,,,2026-05-03T17:05:17+00:00
inspect-js/is-callable,30012910,3.8,2026-04-20,360536,MIT,3,,,2026-05-03T17:05:17+00:00
inspect-js/is-core-module,24578130,4,2026-04-20,430390,MIT,2,,,2026-05-03T17:05:18+00:00
inspect-js/is-data-descriptor,41659073,3.8,2026-04-20,10,MIT,0,,,2026-05-03T17:05:18+00:00
inspect-js/is-data-view,751048078,,,173985,MIT,1,,,2026-05-03T17:05:19+00:00
inspect-js/is-date-object,29991041,3.8,2026-04-20,212332,MIT,1,,,2026-05-03T17:05:19+00:00
inspect-js/is-descriptor,41658845,3.4,2026-04-20,5,MIT,0,,,2026-05-03T17:05:20+00:00
inspect-js/is-number-object,29991666,3.8,2026-04-20,189770,MIT,1,,,2026-05-03T17:05:19+00:00
inspect-js/is-regex,15930063,4.3,2026-04-20,301478,MIT,1,,,2026-05-03T17:05:20+00:00
inspect-js/is-string,30010185,,,191582,MIT,2,,,2026-05-03T17:05:20+00:00
inspect-js/is-symbol,29791606,4.1,2026-04-20,196085,MIT,1,,,2026-05-03T17:05:20+00:00
inspect-js/is-typed-array,43528820,3.8,2026-04-20,329863,MIT,1,,,2026-05-03T17:05:21+00:00
inspect-js/node-supports-preserve-symlinks-flag,443970899,3.8,2026-04-20,417388,MIT,1,,,2026-05-03T17:05:21+00:00
inspect-js/object-inspect,11683441,4,2026-04-20,491559,MIT,8,,,2026-05-03T17:05:21+00:00
inspect-js/typed-array-buffer,649850465,,,284298,MIT,1,,,2026-05-03T17:05:22+00:00
inspect-js/which-boxed-primitive,201685155,4.2,2026-04-20,188573,MIT,1,,,2026-05-03T17:05:22+00:00
inspect-js/which-typed-array,43708371,4,2026-04-20,344080,MIT,1,,,2026-05-03T17:05:23+00:00
ipython/traitlets,14993021,4.3,2026-04-20,18098,BSD-3-Clause,113,,,2026-05-03T17:05:23+00:00
isaacs/chownr,3858354,3.4,2026-04-20,16413,non-standard,3,,,2026-05-03T17:05:23+00:00
isaacs/cliui,634056857,,,13248,non-standard,0,,,2026-05-03T17:05:24+00:00
isaacs/core-util-is,12391440,3,2026-04-20,530596,MIT,3,,,2026-05-03T17:05:24+00:00
isaacs/fs.realpath,61231712,3.4,2026-04-20,520523,non-standard,0,,,2026-05-03T17:05:24+00:00
isaacs/inherits,1580001,3.6,2026-04-20,1198563,non-standard,6,,,2026-05-03T17:05:24+00:00
isaacs/isexe,49804297,5.4,2026-04-20,6423,non-standard,6,,,2026-05-03T17:05:32+00:00
isaacs/minimatch,2056549,6.2,2026-04-20,69367,non-standard,7,,,2026-05-03T17:05:32+00:00
isaacs/minipass,84886212,3.6,2026-04-20,116455,non-standard,3,,,2026-05-03T17:05:33+00:00
isaacs/minizlib,86429676,3.4,2026-04-20,17012,non-standard,1,,,2026-05-03T17:05:33+00:00
isaacs/node-glob,357681,5.5,2026-04-20,21211,non-standard,3,,,2026-05-03T17:05:33+00:00
isaacs/node-graceful-fs,2077020,3.4,2026-04-20,784918,non-standard,51,,,2026-05-03T17:05:34+00:00
isaacs/node-lru-cache,679662,5.8,2026-04-20,61833,non-standard,1,,,2026-05-03T17:05:34+00:00
isaacs/node-mkdirp,2718248,3.5,2026-04-20,17497,non-standard,1,,,2026-05-03T17:05:34+00:00
isaacs/node-tar,1534331,6.2,2026-04-20,15418,non-standard,9,,,2026-05-03T17:05:34+00:00
isaacs/once,5409660,3.6,2026-04-20,778568,non-standard,4,,,2026-05-03T17:05:35+00:00
isaacs/package-json-from-dist,800543709,,,85815,non-standard,0,,,2026-05-03T17:05:35+00:00
isaacs/path-scurry,591569499,4.9,2026-04-20,31869,non-standard,3,,,2026-05-03T17:05:36+00:00
isaacs/rimraf,1341324,5.5,2026-04-20,4545,non-standard,8,,,2026-05-03T17:05:36+00:00
isaacs/sax-js,508894,4.1,2026-04-20,153130,non-standard,96,,,2026-05-03T17:05:36+00:00
isaacs/yallist,48222381,3.4,2026-04-20,16476,non-standard,5,,,2026-05-03T17:05:37+00:00
istanbuljs/istanbuljs,81482340,4,2026-04-20,216293,,189,,,2026-05-03T17:05:38+00:00
istanbuljs/schema,211950686,4.5,2026-04-20,71069,MIT,10,,,2026-05-03T17:05:37+00:00
istanbuljs/test-exclude,60489570,4.4,2026-04-20,40,non-standard,18,,,2026-05-03T17:05:37+00:00
jamesmunns/postcard,179385478,5.4,2026-04-20,37,Apache-2.0,70,,,2026-05-03T17:05:37+00:00
jaraco/jaraco.develop,48289082,4.5,2026-04-20,2,,5,,,2026-05-03T17:05:38+00:00
jaraco/pytest-perf,372026120,4.1,2026-04-20,1,,5,,,2026-05-03T17:05:38+00:00
jaraco/zipp,157774633,5.8,2026-04-20,70249,,7,,,2026-05-03T17:05:39+00:00
jaredhanson/utils-merge,11349896,2.1,2026-04-20,228204,MIT,7,,,2026-05-03T17:05:39+00:00
jaredwray/cacheable,9267870,,,14562,MIT,0,,,2026-05-03T17:05:48+00:00
jaredwray/keyv,96540810,4.8,2026-04-20,16667,MIT,1,,,2026-05-03T17:05:39+00:00
jawah/charset_normalizer,200259335,,,168917,MIT,1,passing,109,2026-05-03T17:05:48+00:00
jbgutierrez/path-parse,34113780,2.5,2026-04-20,422775,MIT,8,,,2026-05-03T17:05:39+00:00
jd/tenacity,65468547,6.7,2026-04-20,20692,Apache-2.0,91,,,2026-05-03T17:05:49+00:00
jensyt/imurmurhash-js,11802843,2,2026-04-20,227819,MIT,2,,,2026-05-03T17:05:49+00:00
jestjs/jest,15062869,,,597383,MIT,251,,,2026-05-03T17:06:06+00:00
jimmywarting/node-domexception,371470141,2.5,2026-04-20,1054,MIT,0,,,2026-05-03T17:05:49+00:00
jimp-dev/jimp,24008065,,,33393,MIT,176,,,2026-05-03T17:05:53+00:00
jmespath/jmespath.py,8300763,6.2,2026-04-20,18358,MIT,63,,,2026-05-03T17:05:49+00:00
joblib/joblib,654608,6.3,2026-04-20,38686,BSD-3-Clause,434,,,2026-05-03T17:05:50+00:00
jonathanong/ee-first,20707897,2,2026-04-20,342054,MIT,1,,,2026-05-03T17:05:50+00:00
jonschlinkert/assign-symbols,45661176,2,2026-04-20,263,MIT,0,,,2026-05-03T17:05:50+00:00
jonschlinkert/define-property,40633359,2,2026-04-20,149415,MIT,4,,,2026-05-03T17:05:50+00:00
jonschlinkert/extend-shallow,25867410,2,2026-04-20,156232,MIT,3,,,2026-05-03T17:05:51+00:00
jonschlinkert/fill-range,27113310,3.3,2026-04-20,293119,MIT,6,,,2026-05-03T17:05:51+00:00
jonschlinkert/get-value,24911025,2.3,2026-04-20,71,MIT,4,,,2026-05-03T17:05:51+00:00
jonschlinkert/global-prefix,31455984,3.4,2026-04-20,663,MIT,6,,,2026-05-03T17:05:52+00:00
jonschlinkert/has-value,24310408,2.1,2026-04-20,181,MIT,2,,,2026-05-03T17:05:52+00:00
jonschlinkert/has-values,33009186,2,2026-04-20,332,MIT,2,,,2026-05-03T17:05:52+00:00
jonschlinkert/is-extendable,38225016,2.1,2026-04-20,158461,MIT,0,,,2026-05-03T17:05:53+00:00
jonschlinkert/is-extglob,31788841,3,2026-04-20,337523,MIT,0,,,2026-05-03T17:05:53+00:00
jonschlinkert/is-number,24313173,2.1,2026-04-20,297539,MIT,16,,,2026-05-03T17:05:53+00:00
jonschlinkert/is-plain-object,24306940,2.1,2026-04-20,37255,MIT,12,,,2026-05-03T17:05:54+00:00
jonschlinkert/isobject,21342886,2.3,2026-04-20,6292,MIT,4,,,2026-05-03T17:05:54+00:00
jonschlinkert/kind-of,24491562,2.1,2026-04-20,241990,MIT,14,,,2026-05-03T17:05:54+00:00
jonschlinkert/map-cache,32450614,2,2026-04-20,154391,MIT,0,,,2026-05-03T17:05:55+00:00
jonschlinkert/normalize-path,21224182,2,2026-04-20,234793,MIT,2,,,2026-05-03T17:05:55+00:00
jonschlinkert/object-visit,38545952,2,2026-04-20,151996,MIT,2,,,2026-05-03T17:06:03+00:00
jonschlinkert/word-wrap,18260583,3,2026-04-20,153136,MIT,14,,,2026-05-03T17:06:03+00:00
jorgebucaran/colorette,34648097,3,2026-04-20,68651,MIT,9,,,2026-05-03T17:06:03+00:00
joshuakgoldberg/ts-api-utils,597893818,4.6,2026-04-20,10147,MIT,27,,,2026-05-03T17:06:04+00:00
jpadilla/pyjwt,1408162,7.8,2026-04-20,34421,MIT,49,,,2026-05-03T17:06:04+00:00
jprichardson/node-fs-extra,2791348,5.3,2026-04-20,63830,MIT,13,,,2026-05-03T17:06:05+00:00
jprichardson/node-jsonfile,5754307,3.5,2026-04-20,195283,MIT,2,,,2026-05-03T17:06:05+00:00
jquast/wcwidth,18464187,5,2026-04-20,31364,non-standard,4,,,2026-05-03T17:06:05+00:00
jquery/esprima,2833537,3.9,2026-04-20,282967,non-standard,149,,,2026-05-03T17:06:06+00:00
jridgewell/resolve-uri,196878944,2.8,2026-04-20,297953,MIT,18,,,2026-05-03T17:06:06+00:00
jridgewell/sourcemaps,897142826,,,1138539,,4,,,2026-05-03T17:06:08+00:00
jsdom/tr46,36964214,3.8,2026-04-20,4028,MIT,1,,,2026-05-03T17:06:07+00:00
jsdom/webidl-conversions,23000311,4.6,2026-04-20,4008,non-standard,2,,,2026-05-03T17:06:07+00:00
jsdom/whatwg-mimetype,71014420,4.1,2026-04-20,4143,MIT,0,,,2026-05-03T17:06:07+00:00
jsdom/whatwg-url,34761352,5,2026-04-20,3240,MIT,8,,,2026-05-03T17:06:08+00:00
jsdom/xml-name-validator,28553202,3.8,2026-04-20,8018,Apache-2.0,0,,,2026-05-03T17:06:09+00:00
jshttp/accepts,15482433,6.3,2026-04-20,244590,MIT,11,,,2026-05-03T17:06:09+00:00
jshttp/content-disposition,24216676,7.5,2026-04-20,63770,MIT,15,,,2026-05-03T17:06:09+00:00
jshttp/content-type,30172150,7.2,2026-04-20,307757,MIT,4,,,2026-05-03T17:06:10+00:00
jshttp/cookie,4475810,7.1,2026-04-20,10708,MIT,15,,,2026-05-03T17:06:10+00:00
jshttp/etag,22894570,5.1,2026-04-20,301541,MIT,12,,,2026-05-03T17:06:10+00:00
jshttp/forwarded,24300217,5.3,2026-04-20,271661,MIT,8,,,2026-05-03T17:06:10+00:00
jshttp/fresh,4617552,5.8,2026-04-20,247008,MIT,8,,,2026-05-03T17:06:11+00:00
jshttp/http-errors,23806086,7.2,2026-04-20,296399,MIT,18,,,2026-05-03T17:06:11+00:00
jshttp/media-typer,20814275,5.7,2026-04-20,69998,MIT,6,,,2026-05-03T17:06:15+00:00
jshttp/methods,8274071,5.3,2026-04-20,236747,MIT,4,,,2026-05-03T17:06:15+00:00
jshttp/mime-db,22970419,6.7,2026-04-20,171788,MIT,40,,,2026-05-03T17:06:15+00:00
jshttp/mime-types,19380178,6.8,2026-04-20,78207,MIT,23,,,2026-05-03T17:06:16+00:00
jshttp/negotiator,3275614,5.9,2026-04-20,72070,MIT,14,,,2026-05-03T17:06:16+00:00
jshttp/on-finished,15349765,5.7,2026-04-20,306518,MIT,18,,,2026-05-03T17:06:16+00:00
jshttp/range-parser,4627131,5.6,2026-04-20,300799,MIT,4,,,2026-05-03T17:06:16+00:00
jshttp/statuses,17690272,6.3,2026-04-20,299291,MIT,8,,,2026-05-03T17:06:17+00:00
jshttp/type-is,15484233,6,2026-04-20,66237,MIT,9,,,2026-05-03T17:06:16+00:00
jshttp/vary,20498698,5.9,2026-04-20,303233,MIT,1,,,2026-05-03T17:06:18+00:00
jslicense/spdx-correct.js,34817196,3,2026-04-20,202905,Apache-2.0,2,,,2026-05-03T17:06:18+00:00
jslicense/spdx-expression-parse.js,40067336,2.8,2026-04-20,5261,MIT,8,,,2026-05-03T17:06:19+00:00
json5/json5,4463453,3.8,2026-04-20,192736,non-standard,41,,,2026-05-03T17:06:19+00:00
juliangruber/balanced-match,13538817,5.7,2026-04-20,73426,non-standard,9,,,2026-05-03T17:06:19+00:00
juliangruber/brace-expansion,13539234,6.3,2026-04-20,72859,non-standard,5,,,2026-05-03T17:06:20+00:00
juliangruber/isarray,10227611,7,2026-04-20,328781,MIT,1,passing,113,2026-05-03T17:06:20+00:00
justmoon/node-extend,3967764,3.5,2026-04-20,308913,MIT,0,,,2026-05-03T17:06:20+00:00
jviereck/regjsparser,14087781,3.2,2026-04-20,108479,non-standard,8,,,2026-05-03T17:06:20+00:00
ka-weihe/fastest-levenshtein,158960628,2.3,2026-04-20,19094,MIT,2,,,2026-05-03T17:06:21+00:00
kaelzhang/node-ignore,12519245,2.7,2026-04-20,21478,non-standard,4,,,2026-05-03T17:06:21+00:00
kemitchell/validate-npm-package-license.js,35000460,2.8,2026-04-20,200816,Apache-2.0,0,,,2026-05-03T17:06:31+00:00
kevinbeaty/any-promise,26247715,2.1,2026-04-20,98576,MIT,6,,,2026-05-03T17:06:21+00:00
kevva/dir-glob,49264969,3.3,2026-04-20,133867,MIT,0,,,2026-05-03T17:06:21+00:00
kevva/shebang-command,47402913,3.1,2026-04-20,311811,MIT,3,,,2026-05-03T17:06:22+00:00
kilian/electron-to-chromium,78972540,4.5,2026-04-20,209331,non-standard,1,,,2026-05-03T17:06:22+00:00
kjd/idna,10323585,8.3,2026-04-20,219941,BSD-3-Clause,3,,,2026-05-03T17:06:22+00:00
knurling-rs/defmt,282262730,6.1,2026-04-20,0,Apache-2.0,116,,,2026-05-03T17:06:31+00:00
kpdecker/jsdiff,1542219,3.5,2026-04-20,741,BSD-3-Clause,14,,,2026-05-03T17:06:30+00:00
krb5/krb5,4307702,5.3,2026-04-20,,,39,,,2026-05-03T17:06:30+00:00
kriskowal/asap,11295071,2.5,2026-04-20,179544,MIT,14,,,2026-05-03T17:06:31+00:00
kriszyp/json-schema,947175,3.4,2026-04-20,222155,non-standard,30,,,2026-05-03T17:06:31+00:00
langchain-ai/langchain,552661142,6.5,2026-04-20,11829,MIT,557,,,2026-05-03T17:06:34+00:00
laurent-laporte-pro/deprecated,111412148,,,9564,MIT,9,,,2026-05-03T17:06:35+00:00
lddubeau/xmlchars,139881982,3,2026-04-20,84225,MIT,13,,,2026-05-03T17:06:32+00:00
legrandin/pycryptodome,19378935,5.4,2026-04-20,10918,non-standard,82,,,2026-05-03T17:06:33+00:00
libevent/libevent,1856976,7.1,2026-04-20,,non-standard,134,,,2026-05-03T17:06:33+00:00
libexpat/libexpat,80314213,7.6,2026-04-20,,MIT,19,passing,111,2026-05-03T17:06:32+00:00
libffi/libffi,321154,3.9,2026-04-20,,non-standard,200,,,2026-05-03T17:06:33+00:00
libidn/libidn2,87378214,,,,GPL-3.0,0,,,2026-05-03T17:06:34+00:00
libjxl/libjxl,340219494,8.7,2026-04-20,,BSD-3-Clause,443,silver,291,2026-05-03T17:06:34+00:00
libpixman/pixman,81675971,,,,,,,,2026-05-03T17:06:34+00:00
libuv/libuv,14812739,6,2026-04-20,,MIT,213,,,2026-05-03T17:06:35+00:00
linusu/buffer-from,66025821,2,2026-04-20,279300,MIT,1,,,2026-05-03T17:06:35+00:00
linux-audit/audit-userspace,52464964,4.5,2026-04-20,,GPL-2.0,14,,,2026-05-03T17:06:36+00:00
litejs/natural-compare-lite,9146732,3.9,2026-04-20,171858,MIT,0,,,2026-05-03T17:06:36+00:00
ljharb/call-bind,308533760,4.2,2026-04-20,435975,MIT,3,,,2026-05-03T17:06:36+00:00
ljharb/call-bind-apply-helpers,898190951,,,871258,MIT,3,,,2026-05-03T17:06:37+00:00
ljharb/call-bound,898125972,,,656577,MIT,2,,,2026-05-03T17:06:36+00:00
ljharb/concat-map,548993448,3.8,2026-04-20,34,MIT,2,,,2026-05-03T17:06:37+00:00
ljharb/define-data-property,689109338,3.8,2026-04-20,456596,MIT,1,,,2026-05-03T17:06:37+00:00
ljharb/define-properties,28768789,3.8,2026-04-20,273645,MIT,1,,,2026-05-03T17:06:45+00:00
ljharb/es-abstract,28995155,4.6,2026-04-20,173562,MIT,11,,,2026-05-03T17:06:45+00:00
ljharb/es-define-property,756570458,,,872016,MIT,1,,,2026-05-03T17:06:45+00:00
ljharb/es-errors,752160492,,,1051710,MIT,1,,,2026-05-03T17:06:46+00:00
ljharb/es-object-atoms,773229339,,,860729,MIT,1,,,2026-05-03T17:06:46+00:00
ljharb/es-shim-unscopables,480458584,3.8,2026-04-20,102739,MIT,1,,,2026-05-03T17:06:46+00:00
ljharb/es-to-primitive,32377814,3.8,2026-04-20,176396,MIT,1,,,2026-05-03T17:06:46+00:00
ljharb/get-intrinsic,308516559,3.8,2026-04-20,267,MIT,2,,,2026-05-03T17:06:47+00:00
ljharb/get-proto,911035271,,,857733,MIT,1,,,2026-05-03T17:06:47+00:00
ljharb/gopd,560708130,4,2026-04-20,881388,MIT,2,,,2026-05-03T17:06:47+00:00
ljharb/has-bigints,201714166,4.1,2026-04-20,190604,MIT,1,,,2026-05-03T17:06:48+00:00
ljharb/internal-slot,216159146,3.8,2026-04-20,187232,MIT,1,,,2026-05-03T17:06:48+00:00
ljharb/object-keys,9103992,4.2,2026-04-20,309859,MIT,0,,,2026-05-03T17:06:48+00:00
ljharb/object.assign,17755831,3.8,2026-04-20,235284,MIT,0,,,2026-05-03T17:06:48+00:00
ljharb/possible-typed-array-names,760136716,,,351609,MIT,1,,,2026-05-03T17:06:49+00:00
ljharb/qs,22266795,5.2,2026-04-20,367593,BSD-3-Clause,71,passing,178,2026-05-03T17:06:49+00:00
ljharb/safe-regex-test,540138887,4,2026-04-20,276780,MIT,1,,,2026-05-03T17:06:49+00:00
ljharb/set-function-length,704249795,3.8,2026-04-20,441941,MIT,1,,,2026-05-03T17:06:49+00:00
ljharb/side-channel,225239081,3.8,2026-04-20,476327,MIT,0,,,2026-05-03T17:06:50+00:00
ljharb/side-channel-list,901451610,,,477948,MIT,1,,,2026-05-03T17:06:50+00:00
ljharb/side-channel-map,901191461,,,479572,MIT,1,,,2026-05-03T17:06:50+00:00
ljharb/side-channel-weakmap,901188921,,,477949,MIT,1,,,2026-05-03T17:06:51+00:00
lodash/lodash,3955647,7.4,2026-04-20,3338300,non-standard,141,,,2026-05-03T17:07:18+00:00
loganfsmyth/gensync,132383032,2.1,2026-04-20,149217,MIT,14,,,2026-05-03T17:06:51+00:00
lokathor/bytemuck,209673558,3.6,2026-04-20,9725,Apache-2.0,49,,,2026-05-03T17:07:09+00:00
lukeed/dequal,174421655,3,2026-04-20,55241,MIT,12,,,2026-05-03T17:06:51+00:00
lukeed/escalade,273568715,2.9,2026-04-20,303911,MIT,0,,,2026-05-03T17:06:52+00:00
lukeed/kleur,140393403,3,2026-04-20,31838,MIT,13,,,2026-05-03T17:07:09+00:00
lxml/lxml,1353927,5.2,2026-04-20,22701,BSD-3-Clause,14,,,2026-05-03T17:07:08+00:00
lydell/js-tokens,17552490,2.9,2026-04-20,412,MIT,0,,,2026-05-03T17:07:09+00:00
lz4/lz4,18106269,7.1,2026-04-20,,non-standard,68,,,2026-05-03T17:07:10+00:00
madler/zlib,2359378,4.8,2026-04-20,,non-standard,229,in_progress,18,2026-05-03T17:07:10+00:00
mafintosh/end-of-stream,14732255,2.5,2026-04-20,329842,MIT,7,,,2026-05-03T17:07:10+00:00
mafintosh/pump,12118126,3.3,2026-04-20,234164,MIT,20,,,2026-05-03T17:07:11+00:00
mafintosh/tar-stream,15340089,3.9,2026-04-20,29606,MIT,18,,,2026-05-03T17:07:11+00:00
marshallpierce/rust-base64,47371310,4.4,2026-04-20,5178,Apache-2.0,26,,,2026-05-03T17:07:13+00:00
mathiasbynens/cssesc,12001360,2,2026-04-20,129593,MIT,12,,,2026-05-03T17:07:11+00:00
mathiasbynens/emoji-regex,24557614,3.3,2026-04-20,34800,MIT,12,,,2026-05-03T17:07:11+00:00
mathiasbynens/jsesc,10498729,2.1,2026-04-20,240020,MIT,24,,,2026-05-03T17:07:12+00:00
mathiasbynens/punycode.js,2755924,3.2,2026-04-20,414051,MIT,48,,,2026-05-03T17:07:12+00:00
mathiasbynens/regenerate,10182772,2.1,2026-04-20,148701,MIT,6,,,2026-05-03T17:07:12+00:00
mathiasbynens/regexpu-core,49437324,3.5,2026-04-20,107643,MIT,4,,,2026-05-03T17:07:13+00:00
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,2.8,2026-04-20,110163,MIT,1,,,2026-05-03T17:07:13+00:00
mathiasbynens/unicode-property-aliases-ecmascript,88333533,2.8,2026-04-20,110163,MIT,0,,,2026-05-03T17:07:13+00:00
matklad/once_cell,143220272,4.6,2026-04-20,63838,Apache-2.0,6,,,2026-05-03T17:07:14+00:00
matplotlib/matplotlib,1385122,9.1,2026-04-20,49245,,1501,,,2026-05-03T17:07:14+00:00
mcavage/node-assert-plus,4767976,2.9,2026-04-20,227020,MIT,12,,,2026-05-03T17:07:15+00:00
mcollina/fastq,37368217,4.2,2026-04-20,187530,non-standard,21,,,2026-05-03T17:07:15+00:00
mcollina/reusify,42106515,3.9,2026-04-20,189924,MIT,5,,,2026-05-03T17:07:15+00:00
medikoo/d,10817569,2.8,2026-04-20,113525,non-standard,6,,,2026-05-03T17:07:15+00:00
medikoo/es5-ext,1792941,3.1,2026-04-20,227076,non-standard,46,,,2026-05-03T17:07:16+00:00
medikoo/es6-symbol,14423385,3.1,2026-04-20,113480,non-standard,2,,,2026-05-03T17:07:16+00:00
medikoo/type,177198492,3.2,2026-04-20,113662,non-standard,5,,,2026-05-03T17:07:16+00:00
mhammond/pywin32,108187130,4.8,2026-04-20,1107,,395,,,2026-05-03T17:07:17+00:00
micheles/decorator,14656555,4.1,2026-04-20,23174,non-standard,13,,,2026-05-03T17:07:17+00:00
micromark/micromark,157420458,3.6,2026-04-20,281631,MIT,10,,,2026-05-03T17:07:40+00:00
micromatch/anymatch,11458302,3.5,2026-04-20,189896,non-standard,8,,,2026-05-03T17:07:17+00:00
micromatch/braces,25475303,3.8,2026-04-20,291243,MIT,4,,,2026-05-03T17:07:17+00:00
micromatch/is-glob,28179425,3.6,2026-04-20,316570,MIT,2,,,2026-05-03T17:07:18+00:00
micromatch/micromatch,27359938,3.7,2026-04-20,222918,MIT,44,,,2026-05-03T17:07:18+00:00
micromatch/picomatch,156211895,6.2,2026-04-20,135403,MIT,43,,,2026-05-03T17:07:18+00:00
