"package","year","downloads"
"@agora-js/shared","2023","206632"
"@agora-js/shared","2024","1303150"
"@agora-js/shared","2025","2319375"
"@ai-sdk/amazon-bedrock","2021","0"
"@ai-sdk/amazon-bedrock","2022","0"
"@ai-sdk/amazon-bedrock","2023","0"
"@ai-sdk/amazon-bedrock","2024","361849"
"@ai-sdk/amazon-bedrock","2025","7437951"
"@ai-sdk/anthropic","2021","0"
"@ai-sdk/anthropic","2022","0"
"@ai-sdk/anthropic","2023","0"
"@ai-sdk/anthropic","2024","1882627"
"@ai-sdk/anthropic","2025","31695310"
"@ai-sdk/azure","2021","0"
"@ai-sdk/azure","2022","0"
"@ai-sdk/azure","2023","0"
"@ai-sdk/azure","2024","493237"
"@ai-sdk/azure","2025","8522192"
"@ai-sdk/gateway","2021","0"
"@ai-sdk/gateway","2022","0"
"@ai-sdk/gateway","2023","0"
"@ai-sdk/gateway","2024","0"
"@ai-sdk/gateway","2025","45694992"
"@ai-sdk/google","2021","0"
"@ai-sdk/google","2022","0"
"@ai-sdk/google","2023","0"
"@ai-sdk/google","2024","827870"
"@ai-sdk/google","2025","26774674"
"@ai-sdk/google-vertex","2021","0"
"@ai-sdk/google-vertex","2022","0"
"@ai-sdk/google-vertex","2023","0"
"@ai-sdk/google-vertex","2024","202023"
"@ai-sdk/google-vertex","2025","7279803"
"@ai-sdk/groq","2021","0"
"@ai-sdk/groq","2022","0"
"@ai-sdk/groq","2023","0"
"@ai-sdk/groq","2024","180976"
"@ai-sdk/groq","2025","6237003"
"@ai-sdk/mistral","2021","0"
"@ai-sdk/mistral","2022","0"
"@ai-sdk/mistral","2023","0"
"@ai-sdk/mistral","2024","502366"
"@ai-sdk/mistral","2025","6464986"
"@ai-sdk/openai","2021","0"
"@ai-sdk/openai","2022","0"
"@ai-sdk/openai","2023","0"
"@ai-sdk/openai","2024","6871986"
"@ai-sdk/openai","2025","63921392"
"@ai-sdk/openai-compatible","2021","0"
"@ai-sdk/openai-compatible","2022","0"
"@ai-sdk/openai-compatible","2023","0"
"@ai-sdk/openai-compatible","2024","40603"
"@ai-sdk/openai-compatible","2025","15302726"
"@ai-sdk/perplexity","2021","0"
"@ai-sdk/perplexity","2022","0"
"@ai-sdk/perplexity","2023","0"
"@ai-sdk/perplexity","2024","0"
"@ai-sdk/perplexity","2025","4677598"
"@ai-sdk/provider","2021","0"
"@ai-sdk/provider","2022","0"
"@ai-sdk/provider","2023","0"
"@ai-sdk/provider","2024","17533626"
"@ai-sdk/provider","2025","146494473"
"@ai-sdk/provider-utils","2021","0"
"@ai-sdk/provider-utils","2022","0"
"@ai-sdk/provider-utils","2023","0"
"@ai-sdk/provider-utils","2024","16849274"
"@ai-sdk/provider-utils","2025","159457697"
"@ai-sdk/provider-utils-v5","2021","0"
"@ai-sdk/provider-utils-v5","2022","0"
"@ai-sdk/provider-utils-v5","2023","0"
"@ai-sdk/provider-utils-v5","2024","0"
"@ai-sdk/provider-utils-v5","2025","0"
"@ai-sdk/provider-utils-v6","2021","0"
"@ai-sdk/provider-utils-v6","2022","0"
"@ai-sdk/provider-utils-v6","2023","0"
"@ai-sdk/provider-utils-v6","2024","0"
"@ai-sdk/provider-utils-v6","2025","0"
"@ai-sdk/provider-v5","2021","0"
"@ai-sdk/provider-v5","2022","0"
"@ai-sdk/provider-v5","2023","0"
"@ai-sdk/provider-v5","2024","0"
"@ai-sdk/provider-v5","2025","0"
"@ai-sdk/provider-v6","2021","0"
"@ai-sdk/provider-v6","2022","0"
"@ai-sdk/provider-v6","2023","0"
"@ai-sdk/provider-v6","2024","0"
"@ai-sdk/provider-v6","2025","0"
"@ai-sdk/ui-utils-v5","2021","0"
"@ai-sdk/ui-utils-v5","2022","0"
"@ai-sdk/ui-utils-v5","2023","0"
"@ai-sdk/ui-utils-v5","2024","0"
"@ai-sdk/ui-utils-v5","2025","0"
"@ai-sdk/xai","2021","0"
"@ai-sdk/xai","2022","0"
"@ai-sdk/xai","2023","0"
"@ai-sdk/xai","2024","17507"
"@ai-sdk/xai","2025","7523135"
"@airplane/lib","2021","0"
"@airplane/lib","2022","0"
"@airplane/lib","2023","1687437"
"@airplane/lib","2024","291322"
"@airplane/lib","2025","7215"
"@aklinker1/rollup-plugin-visualizer","2021","0"
"@aklinker1/rollup-plugin-visualizer","2022","0"
"@aklinker1/rollup-plugin-visualizer","2023","0"
"@aklinker1/rollup-plugin-visualizer","2024","260428"
"@aklinker1/rollup-plugin-visualizer","2025","1909056"
"@akryum/tinypool","2021","0"
"@akryum/tinypool","2022","0"
"@akryum/tinypool","2023","982548"
"@akryum/tinypool","2024","1997530"
"@akryum/tinypool","2025","2746649"
"@alcalzone/ansi-tokenize","2021","0"
"@alcalzone/ansi-tokenize","2022","0"
"@alcalzone/ansi-tokenize","2023","1492417"
"@alcalzone/ansi-tokenize","2024","16075726"
"@alcalzone/ansi-tokenize","2025","52252995"
"@algolia/abtesting","2021","0"
"@algolia/abtesting","2022","0"
"@algolia/abtesting","2023","0"
"@algolia/abtesting","2024","0"
"@algolia/abtesting","2025","27273321"
"@algolia/client-abtesting","2021","0"
"@algolia/client-abtesting","2022","5621"
"@algolia/client-abtesting","2023","61221"
"@algolia/client-abtesting","2024","3867463"
"@algolia/client-abtesting","2025","63221917"
"@algolia/client-analytics","2021","17526420"
"@algolia/client-analytics","2022","34729630"
"@algolia/client-analytics","2023","49248640"
"@algolia/client-analytics","2024","76865118"
"@algolia/client-analytics","2025","126702643"
"@algolia/client-common","2021","17697944"
"@algolia/client-common","2022","35797582"
"@algolia/client-common","2023","52624217"
"@algolia/client-common","2024","90083917"
"@algolia/client-common","2025","146932003"
"@algolia/client-insights","2021","0"
"@algolia/client-insights","2022","2566"
"@algolia/client-insights","2023","21426"
"@algolia/client-insights","2024","1884339"
"@algolia/client-insights","2025","61603682"
"@algolia/client-personalization","2021","5807070"
"@algolia/client-personalization","2022","28714528"
"@algolia/client-personalization","2023","45366878"
"@algolia/client-personalization","2024","69495845"
"@algolia/client-personalization","2025","116357259"
"@algolia/client-query-suggestions","2021","0"
"@algolia/client-query-suggestions","2022","2572"
"@algolia/client-query-suggestions","2023","30068"
"@algolia/client-query-suggestions","2024","1916287"
"@algolia/client-query-suggestions","2025","61583429"
