"current","old"
"libnozzle1t64","libnozzle1"
"libnpth0t64","libnpth0"
"libnsync-cpp1t64","libnsync-cpp1"
"libnsync1t64","libnsync1"
"libntfs-3g89t64","libntfs-3g89"
"libnutclient2t64","libnutclient2"
"libnvme1t64","libnvme1"
"libnx-x11-6t64","libnx-x11-6"
"libnxml0t64","libnxml0"
"liboath0t64","liboath0"
"libobexftp0t64","libobexftp0"
"libobs0t64","libobs0"
"liboctomap1.9t64","liboctomap1.9"
"liboctovis1.9t64","liboctovis1.9"
"libodb-boost-2.4t64","libodb-boost-2.4"
"libodb-mysql-2.4t64","libodb-mysql-2.4"
"libodb-qt-2.4t64","libodb-qt-2.4"
"libode8t64","libode8"
"libodil0t64","libodil0"
"libofx7t64","libofx7"
"libogre1.12.10t64","libogre1.12.10"
"liboidc-agent4t64","liboidc-agent4"
"libola1t64","libola1"
"libolecf1t64","libolecf1"
"libomniorb4-3t64","libomniorb4-3"
"libomp5-17t64","libomp5-17"
"libonnx1t64","libonnx1"
"liboop4t64","liboop4"
"libopen-trace-format2-10t64","libopen-trace-format2-10"
"libopencl-clang17t64","libopencl-clang17"
"libopencolorio2.1t64","libopencolorio2.1"
"libopendbx1t64","libopendbx1"
"libopendmarc2t64","libopendmarc2"
"libopendsp3t64","libopendsp3"
"libopengv1t64","libopengv1"
"libopenipmi0t64","libopenipmi0"
"libopenmpt0t64","libopenmpt0"
"libopenni0t64","libopenni0"
"libopenraw7t64","libopenraw7"
"libopenrawgnome7t64","libopenrawgnome7"
"libopenshot-audio9t64","libopenshot-audio9"
"libopenshot25t64","libopenshot25"
"libopensmtpd0t64","libopensmtpd0"
"libopentracing-c-wrapper0t64","libopentracing-c-wrapper0"
"libopenvdb10.0t64","libopenvdb10.0"
"libopenvlbi3t64","libopenvlbi3"
"libopenzwave1.6t64","libopenzwave1.6"
"liboprf0t64","liboprf0"
"liborc-0.4-0t64","liborc-0.4-0"
"libosip2-15t64","libosip2-15"
"libosmo-hnbap0t64","libosmo-hnbap0"
"libosmo-rua0t64","libosmo-rua0"
"libosmo-sabp1t64","libosmo-sabp1"
"libosptk4t64","libosptk4"
"libostyle1t64","libostyle1"
"libotr5t64","libotr5"
"libout123-0t64","libout123-0"
"libow-3.2-4t64","libow-3.2-4"
"libowcapi-3.2-4t64","libowcapi-3.2-4"
"libowfat0t64","libowfat0"
"libowncloudsync0t64","libowncloudsync0"
"libownet-3.2-4t64","libownet-3.2-4"
"libp11-3t64","libp11-3"
"libpacketdump3t64","libpacketdump3"
"libpagmo9t64","libpagmo9"
"libpangomm-2.48-1t64","libpangomm-2.48-1"
"libpano13-3t64","libpano13-3"
"libpapi7.1t64","libpapi7.1"
"libpappl1t64","libpappl1"
"libpaps0t64","libpaps0"
"libparpack2t64","libparpack2"
"libparted-fs-resize0t64","libparted-fs-resize0"
"libparted2t64","libparted2"
"libpath-utils1t64","libpath-utils1"
"libpcap0.8t64","libpcap0.8"
"libpe1t64","libpe1"
"libpeony3t64","libpeony3"
"libpff1t64","libpff1"
"libpgm-5.3-0t64","libpgm-5.3-0"
"libpgm2asc0.52t64","libpgm2asc0.52"
"libphonon4qt5-4t64","libphonon4qt5-4"
"libphonon4qt5experimental4t64","libphonon4qt5experimental4"
"libphonon4qt6-4t64","libphonon4qt6-4"
"libphonon4qt6experimental4t64","libphonon4qt6experimental4"
"libpiano0t64","libpiano0"
"libpigpiod-if1t64","libpigpiod-if1"
"libpigpiod-if2-1t64","libpigpiod-if2-1"
"libpils2t64","libpils2"
"libpipewire-0.3-0t64","libpipewire-0.3-0"
"libpistache0t64","libpistache0"
"libpkcs11-helper1t64","libpkcs11-helper1"
"libplanarity0t64","libplanarity0"
"libplib1t64","libplib1"
"libplumb2t64","libplumb2"
"libplumbgpl2t64","libplumbgpl2"
"libpmi0t64","libpmi0"
"libpmi2-0t64","libpmi2-0"
"libpmix2t64","libpmix2"
"libpng16-16t64","libpng16-16"
"libpocl2t64","libpocl2"
"libpodofo0.9.8t64","libpodofo0.9.8"
"libpolylib64-8t64","libpolylib64-8"
"libpoppler-glib8t64","libpoppler-glib8"
"libpoppler-qt5-1t64","libpoppler-qt5-1"
"libpoppler-qt6-3t64","libpoppler-qt6-3"
"libportsmf0t64","libportsmf0"
"libpqmarble2t64","libpqmarble2"
"libprotobuf-lite32t64","libprotobuf-lite32"
"libprotobuf32t64","libprotobuf32"
"libprotoc32t64","libprotoc32"
"libpskc0t64","libpskc0"
"libpsl5t64","libpsl5"
"libpsocksxx0t64","libpsocksxx0"
"libpst4t64","libpst4"
"libpstoedit0t64","libpstoedit0"
"libpsurface0t64","libpsurface0"
"libptl2t64","libptl2"
"libpurple0t64","libpurple0"
"libpwizlite3t64","libpwizlite3"
"libpyside2-py3-5.15t64","libpyside2-py3-5.15"
"libqcoro5core0t64","libqcoro5core0"
"libqcoro5dbus0t64","libqcoro5dbus0"
"libqcoro5network0t64","libqcoro5network0"
"libqcoro5qml0t64","libqcoro5qml0"
"libqcoro5quick0t64","libqcoro5quick0"
"libqcoro5websockets0t64","libqcoro5websockets0"
"libqcoro6core0t64","libqcoro6core0"
"libqcoro6dbus0t64","libqcoro6dbus0"
"libqcoro6network0t64","libqcoro6network0"
"libqcoro6qml0t64","libqcoro6qml0"
"libqcoro6quick0t64","libqcoro6quick0"
"libqcoro6websockets0t64","libqcoro6websockets0"
"libqcow1t64","libqcow1"
"libqd0t64","libqd0"
"libqdbm14t64","libqdbm14"
"libqglviewer2-qt5t64","libqglviewer2-qt5"
"libqgpgme15t64","libqgpgme15"
"libqgpsmm30t64","libqgpsmm30"
"libqjdns-qt5-2t64","libqjdns-qt5-2"
"libqm-dsp0t64","libqm-dsp0"
"libqpx0t64","libqpx0"
"libqsopt-ex2t64","libqsopt-ex2"
"libqt5concurrent5t64","libqt5concurrent5"
"libqt5dbus5t64","libqt5dbus5"
"libqt5gui5t64","libqt5gui5"
"libqt5network5t64","libqt5network5"
"libqt5opengl5t64","libqt5opengl5"
"libqt5printsupport5t64","libqt5printsupport5"
"libqt5publishsubscribe5t64","libqt5publishsubscribe5"
"libqt5qxlsx0t64","libqt5qxlsx0"
"libqt5serviceframework5t64","libqt5serviceframework5"
"libqt5sql5t64","libqt5sql5"
"libqt5systeminfo5t64","libqt5systeminfo5"
"libqt5test5t64","libqt5test5"
"libqt5widgets5t64","libqt5widgets5"
"libqt5xml5t64","libqt5xml5"
"libqt6core6t64","libqt6core6"
"libquazip1-qt5-1t64","libquazip1-qt5-1"
"libquazip1-qt6-1t64","libquazip1-qt6-1"
"libquazip5-1t64","libquazip5-1"
"libquickfix17t64","libquickfix17"
"libradsec0t64","libradsec0"
"librasqal3t64","librasqal3"
"libraw23t64","libraw23"
"librc1t64","librc1"
"librcsb-core-wrapper0t64","librcsb-core-wrapper0"
"librdata0t64","librdata0"
"librdf0t64","librdf0"
"librdkit1t64","librdkit1"
"librdmacm1t64","librdmacm1"
"libreadline8t64","libreadline8"
"libreadstat1t64","libreadstat1"
"libref-array1t64","libref-array1"
"libregf1t64","libregf1"
"libregfi1t64","libregfi1"
"libreiserfscore0t64","libreiserfscore0"
"libremctl1t64","libremctl1"
"librhonabwy1.1t64","librhonabwy1.1"
"librime1t64","librime1"
"librnd4t64","librnd4"
"libroaring0t64","libroaring0"
"librostlab3t64","librostlab3"
"librrd8t64","librrd8"
"librsb0t64","librsb0"
"librsplib3t64","librsplib3"
"librsync2t64","librsync2"
"librtr0t64","librtr0"
"librttr-core0.9.6t64","librttr-core0.9.6"
"libruli4t64","libruli4"
"librxp0t64","librxp0"
"libsaclib0t64","libsaclib0"
"libsafec3t64","libsafec3"
"libsail-c++0t64","libsail-c++0"
"libsail-common0t64","libsail-common0"
"libsail-manip0t64","libsail-manip0"
"libsail0t64","libsail0"
"libsavitar5t64","libsavitar5"
"libsbjson2.3t64","libsbjson2.3"
"libsbml5t64","libsbml5"
"libscamperfile0t64","libscamperfile0"
"libscca1t64","libscca1"
"libsciplot1t64","libsciplot1"
"libscitokens0t64","libscitokens0"
"libscsynth1t64","libscsynth1"
"libsde1t64","libsde1"
"libseafile0t64","libseafile0"
"libsearpc1t64","libsearpc1"
"libsecsipid1t64","libsecsipid1"
"libshiboken2-py3-5.15t64","libshiboken2-py3-5.15"
"libsigrok4t64","libsigrok4"
"libsigrokcxx4t64","libsigrokcxx4"
"libsigscan1t64","libsigscan1"
"libsiloh5-0t64","libsiloh5-0"
"libsimpleini1t64","libsimpleini1"
"libsimtkmolmodel3.1t64","libsimtkmolmodel3.1"
"libskarnet2.14t64","libskarnet2.14"
"libskypat3t64","libskypat3"
"libslow5-0t64","libslow5-0"
"libslurm42t64","libslurm42"
"libslvs1t64","libslvs1"
"libsmdev1t64","libsmdev1"
"libsmf0t64","libsmf0"
"libsmi2t64","libsmi2"
"libsmpeg0t64","libsmpeg0"
"libsmpp34-1t64","libsmpp34-1"
"libsmraw1t64","libsmraw1"
"libsnapper7t64","libsnapper7"
"libsndobj2t64","libsndobj2"
"libsnmp40t64","libsnmp40"
"libsocl-1.4-1t64","libsocl-1.4-1"
"libsofia-sip-ua-glib3t64","libsofia-sip-ua-glib3"
"libsofia-sip-ua0t64","libsofia-sip-ua0"
"libsopt3.0t64","libsopt3.0"
"libsoqt520t64","libsoqt520"
"libsource-highlight4t64","libsource-highlight4"
"libspandsp2t64","libspandsp2"
"libspatialaudio0t64","libspatialaudio0"
"libspatialite8t64","libspatialite8"
"libspf2-2t64","libspf2-2"
"libsphinxbase3t64","libsphinxbase3"
"libsquid1t64","libsquid1"
"libsrecord0t64","libsrecord0"
"libsrpc0t64","libsrpc0"
"libssh2-1t64","libssh2-1"
"libssl3t64","libssl3"
"libst1t64","libst1"
"libstaden-read14t64","libstaden-read14"
"libstarpu-openmp-llvm-1.4-1t64","libstarpu-openmp-llvm-1.4-1"
"libstarpufft-1.4-1t64","libstarpufft-1.4-1"
"libstarpumpi-1.4-3t64","libstarpumpi-1.4-3"
"libstarpurm-1.4-1t64","libstarpurm-1.4-1"
"libstatgrab10t64","libstatgrab10"
"libstb0t64","libstb0"
"libstoken1t64","libstoken1"
"libstonith1t64","libstonith1"
"libstopt5t64","libstopt5"
"libstorj0t64","libstorj0"
"libstxxl1t64","libstxxl1"
"libswami1t64","libswami1"
"libswamigui1t64","libswamigui1"
"libsword1.9.0t64","libsword1.9.0"
"libsylph1t64","libsylph1"
"libsyn123-0t64","libsyn123-0"
"libt4k-common0t64","libt4k-common0"
"libtabixpp0t64","libtabixpp0"
"libtaktuk3t64","libtaktuk3"
"libtaningia0t64","libtaningia0"
"libtarget-factory2t64","libtarget-factory2"
"libtcmalloc-minimal4t64","libtcmalloc-minimal4"
"libtcod1t64","libtcod1"
"libtecla1t64","libtecla1"
"libtelepathy-glib0t64","libtelepathy-glib0"
"libterralib3t64","libterralib3"
"libtevent0t64","libtevent0"
"libthrift-0.19.0t64","libthrift-0.19.0"
"libthrift-c-glib0t64","libthrift-c-glib0"
"libtickit3t64","libtickit3"
"libtinyframe0t64","libtinyframe0"
"libtirpc3t64","libtirpc3"
"libtkrzw1t64","libtkrzw1"
"libtls28t64","libtls28"
"libtntnet13t64","libtntnet13"
"libtokyocabinet9t64","libtokyocabinet9"
"libtomlplusplus3t64","libtomlplusplus3"
"libtoontag0t64","libtoontag0"
"libtopcom0t64","libtopcom0"
"libtorrent-rasterbar2.0t64","libtorrent-rasterbar2.0"
"libtorrent21t64","libtorrent21"
"libtpm-unseal1t64","libtpm-unseal1"
"libtrace3t64","libtrace3"
"libts0t64","libts0"
"libtse3-0.3.1t64","libtse3-0.3.1"
"libtsk19t64","libtsk19"
"libtss2-esys-3.0.2-0t64","libtss2-esys-3.0.2-0"
"libtss2-fapi1t64","libtss2-fapi1"
"libtss2-mu-4.0.1-0t64","libtss2-mu-4.0.1-0"
"libtss2-policy0t64","libtss2-policy0"
"libtss2-rc0t64","libtss2-rc0"
"libtss2-sys1t64","libtss2-sys1"
"libtss2-tcti-cmd0t64","libtss2-tcti-cmd0"
"libtss2-tcti-device0t64","libtss2-tcti-device0"
"libtss2-tcti-libtpms0t64","libtss2-tcti-libtpms0"
"libtss2-tcti-mssim0t64","libtss2-tcti-mssim0"
"libtss2-tcti-pcap0t64","libtss2-tcti-pcap0"
"libtss2-tcti-spi-helper0t64","libtss2-tcti-spi-helper0"
"libtss2-tcti-swtpm0t64","libtss2-tcti-swtpm0"
"libtss2-tctildr0t64","libtss2-tctildr0"
"libttfautohint1t64","libttfautohint1"
"libtumbler-1-0t64","libtumbler-1-0"
"libtwin0t64","libtwin0"
"libucommon8t64","libucommon8"
"libudf0t64","libudf0"
"libudns0t64","libudns0"
"libuev3t64","libuev3"
"libufpidentity1t64","libufpidentity1"
"libui-gxmlcpp5t64","libui-gxmlcpp5"
"libui-utilcpp9t64","libui-utilcpp9"
"libukwm-1-0t64","libukwm-1-0"
"libulfius2.7t64","libulfius2.7"
"libuniconf4.6t64","libuniconf4.6"
"libunicorn2t64","libunicorn2"
"libuno-cppu3t64","libuno-cppu3"
"libuno-cppuhelpergcc3-3t64","libuno-cppuhelpergcc3-3"
"libuno-purpenvhelpergcc3-3t64","libuno-purpenvhelpergcc3-3"
"libuno-sal3t64","libuno-sal3"
"libuno-salhelpergcc3-3t64","libuno-salhelpergcc3-3"
"libunuran16t64","libunuran16"
"libunwind-17t64","libunwind-17"
"libupb0t64","libupb0"
"libupnp17t64","libupnp17"
"libupsclient6t64","libupsclient6"
"liburcu8t64","liburcu8"
"libusb3380-0t64","libusb3380-0"
"libusbredirhost1t64","libusbredirhost1"
"libusbredirparser1t64","libusbredirparser1"
"libuv1t64","libuv1"
"libv4l-0t64","libv4l-0"
"libv4l2rds0t64","libv4l2rds0"
"libv4lconvert0t64","libv4lconvert0"
"libvanessa-socket2t64","libvanessa-socket2"
"libvbz-hdf-plugin0t64","libvbz-hdf-plugin0"
"libvdeplug2t64","libvdeplug2"
"libventrilo3-0t64","libventrilo3-0"
"libverto-glib1t64","libverto-glib1"
"libverto-libev1t64","libverto-libev1"
"libverto1t64","libverto1"
"libvibes0t64","libvibes0"
"libvibrant6t64","libvibrant6"
"libvips42t64","libvips42"
"libvirtualpg0t64","libvirtualpg0"
"libvisp-ar3.6t64","libvisp-ar3.6"
"libvisp-blob3.6t64","libvisp-blob3.6"
"libvisp-core3.6t64","libvisp-core3.6"
"libvisp-detection3.6t64","libvisp-detection3.6"
"libvisp-dnn-tracker3.6t64","libvisp-dnn-tracker3.6"
"libvisp-gui3.6t64","libvisp-gui3.6"
"libvisp-imgproc3.6t64","libvisp-imgproc3.6"
"libvisp-io3.6t64","libvisp-io3.6"
"libvisp-klt3.6t64","libvisp-klt3.6"
"libvisp-mbt3.6t64","libvisp-mbt3.6"
"libvisp-me3.6t64","libvisp-me3.6"
"libvisp-robot3.6t64","libvisp-robot3.6"
"libvisp-sensor3.6t64","libvisp-sensor3.6"
"libvisp-tt-mi3.6t64","libvisp-tt-mi3.6"
"libvisp-tt3.6t64","libvisp-tt3.6"
"libvisp-vision3.6t64","libvisp-vision3.6"
"libvisp-visual-features3.6t64","libvisp-visual-features3.6"
"libvisp-vs3.6t64","libvisp-vs3.6"
"libvlfeat1t64","libvlfeat1"
"libvmime1t64","libvmime1"
"libvomsapi1t64","libvomsapi1"
"libvshadow1t64","libvshadow1"
"libvslvm1t64","libvslvm1"
"libvte9t64","libvte9"
"libvtkdicom0.8t64","libvtkdicom0.8"
"libvtkgdcm-9.1t64","libvtkgdcm-9.1"
"libwaei2t64","libwaei2"
"libwandio1t64","libwandio1"
"libwcstools1t64","libwcstools1"
"libwebsockets19t64","libwebsockets19"
"libwf-utils0t64","libwf-utils0"
"libwim15t64","libwim15"
"libwolfssl42t64","libwolfssl42"
"libworkflow0t64","libworkflow0"
"libwreport3t64","libwreport3"
"libwv-1.2-4t64","libwv-1.2-4"
"libwxbase3.2-1t64","libwxbase3.2-1"
"libwxgtk-gl3.2-1t64","libwxgtk-gl3.2-1"
"libwxgtk-media3.2-1t64","libwxgtk-media3.2-1"
"libwxgtk-webview3.2-1t64","libwxgtk-webview3.2-1"
"libwxgtk3.2-1t64","libwxgtk3.2-1"
"libwxsmithlib0t64","libwxsmithlib0"
"libwxsqlite3-3.2-0t64","libwxsqlite3-3.2-0"
"libwxsvg3t64","libwxsvg3"
"libxalan-c112t64","libxalan-c112"
"libxaw3dxft6t64","libxaw3dxft6"
"libxcomp3t64","libxcomp3"
"libxcompshad3t64","libxcompshad3"
"libxdelta2t64","libxdelta2"
"libxdmf3t64","libxdmf3"
"libxeddsa2t64","libxeddsa2"
"libxerces-c3.2t64","libxerces-c3.2"
"libxgks2t64","libxgks2"
"libxmhtml1.1t64","libxmhtml1.1"
"libxmlbird1t64","libxmlbird1"
"libxmlrpc-core-c3t64","libxmlrpc-core-c3"
"libxmlrpc-epi0t64","libxmlrpc-epi0"
"libxmlsec1t64","libxmlsec1"
"libxnee0t64","libxnee0"
"libxplc0.3.13t64","libxplc0.3.13"
"libxrdapputils2t64","libxrdapputils2"
"libxrdcl3t64","libxrdcl3"
"libxrdcrypto2t64","libxrdcrypto2"
"libxrdcryptolite2t64","libxrdcryptolite2"
"libxrdec1t64","libxrdec1"
"libxrdffs3t64","libxrdffs3"
"libxrdhttputils2t64","libxrdhttputils2"
"libxrdposix3t64","libxrdposix3"
"libxrdserver3t64","libxrdserver3"
"libxrdssilib2t64","libxrdssilib2"
"libxrdssishmap2t64","libxrdssishmap2"
"libxrdutils3t64","libxrdutils3"
"libxrdxml3t64","libxrdxml3"
"libxt6t64","libxt6"
"libxtrxll0t64","libxtrxll0"
"libxwiimote2t64","libxwiimote2"
"libyangrpc2t64","libyangrpc2"
"libyder2.0t64","libyder2.0"
"libyuma2t64","libyuma2"
"libzbar0t64","libzbar0"
"libzbargtk0t64","libzbargtk0"
"libzbarqt0t64","libzbarqt0"
"libzbd2t64","libzbd2"
"libzen0t64","libzen0"
"libzeroc-ice3.7t64","libzeroc-ice3.7"
"libzeroc-icestorm3.7t64","libzeroc-icestorm3.7"
"libzfp1t64","libzfp1"
"libzita-alsa-pcmi0t64","libzita-alsa-pcmi0"
"libzlcore0.13t64","libzlcore0.13"
"libzltext0.13t64","libzltext0.13"
"libzscanner4t64","libzscanner4"
"libzthread-2.3-2t64","libzthread-2.3-2"
"libzvbi0t64","libzvbi0"
"libzzip-0-13t64","libzzip-0-13"
"osmo-libasn1c1t64","osmo-libasn1c1"
