"current","old"
"libcolpack0t64","libcolpack0"
"libcombblas2.0.0t64","libcombblas2.0.0"
"libcomedi0t64","libcomedi0"
"libcpdb-frontend2t64","libcpdb-frontend2"
"libcpdb2t64","libcpdb2"
"libcpp-hocon0.3.0t64","libcpp-hocon0.3.0"
"libcppdb-mysql0t64","libcppdb-mysql0"
"libcppdb-odbc0t64","libcppdb-odbc0"
"libcppdb-postgresql0t64","libcppdb-postgresql0"
"libcppdb-sqlite3-0t64","libcppdb-sqlite3-0"
"libcppdb0t64","libcppdb0"
"libcpprspserver3t64","libcpprspserver3"
"libcpuset1t64","libcpuset1"
"libcrcutil0t64","libcrcutil0"
"libcreg1t64","libcreg1"
"libcrypto++8t64","libcrypto++8"
"libcryptominisat5-5.11t64","libcryptominisat5-5.11"
"libcsmith0t64","libcsmith0"
"libctemplate3t64","libctemplate3"
"libctl7t64","libctl7"
"libctpl2t64","libctpl2"
"libcups2t64","libcups2"
"libcupsfilters1t64","libcupsfilters1"
"libcupsimage2t64","libcupsimage2"
"libcupt4-2t64","libcupt4-2"
"libcurl4t64","libcurl4"
"libcurlpp0t64","libcurlpp0"
"libcvc0t64","libcvc0"
"libcvtapi1t64","libcvtapi1"
"libcwiid1t64","libcwiid1"
"libcycloneddsidl0t64","libcycloneddsidl0"
"libdap27t64","libdap27"
"libdar64-6000t64","libdar64-6000"
"libdb5.3++t64","libdb5.3++"
"libdb5.3t64","libdb5.3"
"libdbi1t64","libdbi1"
"libdcap1t64","libdcap1"
"libddsc0t64","libddsc0"
"libdebuginfod1t64","libdebuginfod1"
"libdecoration0t64","libdecoration0"
"libdhash1t64","libdhash1"
"libdiagnostics0t64","libdiagnostics0"
"libdico2t64","libdico2"
"libdieharder3t64","libdieharder3"
"libdigidoc2t64","libdigidoc2"
"libdislocker0.7t64","libdislocker0.7"
"libdmapsharing-4.0-3t64","libdmapsharing-4.0-3"
"libdmlc0t64","libdmlc0"
"libdmtx0t64","libdmtx0"
"libdnf2t64","libdnf2"
"libdnssec9t64","libdnssec9"
"libdnswire1t64","libdnswire1"
"libdolfin2019.2t64","libdolfin2019.2"
"libdolfin64-2019.2t64","libdolfin64-2019.2"
"libdrogon1t64","libdrogon1"
"libdrumstick-alsa2t64","libdrumstick-alsa2"
"libdrumstick-file2t64","libdrumstick-file2"
"libdrumstick-rt2t64","libdrumstick-rt2"
"libdrumstick-widgets2t64","libdrumstick-widgets2"
"libdsdcc1t64","libdsdcc1"
"libdssialsacompat0t64","libdssialsacompat0"
"libdt-utils5t64","libdt-utils5"
"libdumb1t64","libdumb1"
"libduo3t64","libduo3"
"libdv4t64","libdv4"
"libdvbv5-0t64","libdvbv5-0"
"libdvdread8t64","libdvdread8"
"libdw1t64","libdw1"
"libdx4t64","libdx4"
"libdynamicedt3d1.9t64","libdynamicedt3d1.9"
"libdyssol1.0t64","libdyssol1.0"
"libeb16t64","libeb16"
"libebackend-1.2-11t64","libebackend-1.2-11"
"libebook-1.2-21t64","libebook-1.2-21"
"libebook-contacts-1.2-4t64","libebook-contacts-1.2-4"
"libecholib1.3t64","libecholib1.3"
"libecl24.5t64","libecl24.5"
"libecore-con1t64","libecore-con1"
"libedata-book-1.2-27t64","libedata-book-1.2-27"
"libedata-cal-2.0-2t64","libedata-cal-2.0-2"
"libedataserver-1.2-27t64","libedataserver-1.2-27"
"libedataserverui-1.2-4t64","libedataserverui-1.2-4"
"libedataserverui4-1.0-0t64","libedataserverui4-1.0-0"
"libee0t64","libee0"
"libeegdev0t64","libeegdev0"
"libefiboot1t64","libefiboot1"
"libefisec1t64","libefisec1"
"libefivar1t64","libefivar1"
"libeiskaltdcpp2.4t64","libeiskaltdcpp2.4"
"libelemental0t64","libelemental0"
"libelf1t64","libelf1"
"libelk0t64","libelk0"
"libemeraldengine0t64","libemeraldengine0"
"libendless-0-0t64","libendless-0-0"
"libesedb1t64","libesedb1"
"libetpan20t64","libetpan20"
"libev4t64","libev4"
"libevd-0.2-0t64","libevd-0.2-0"
"libevdocument3-4t64","libevdocument3-4"
"libevemu3t64","libevemu3"
"libevent-2.1-7t64","libevent-2.1-7"
"libevent-core-2.1-7t64","libevent-core-2.1-7"
"libevent-extra-2.1-7t64","libevent-extra-2.1-7"
"libevent-openssl-2.1-7t64","libevent-openssl-2.1-7"
"libevent-pthreads-2.1-7t64","libevent-pthreads-2.1-7"
"libevhtp0t64","libevhtp0"
"libevt1t64","libevt1"
"libevtx1t64","libevtx1"
"libevview3-3t64","libevview3-3"
"libexadrums2t64","libexadrums2"
"libexplain51t64","libexplain51"
"libext2fs2t64","libext2fs2"
"libfaifa0t64","libfaifa0"
"libfalcosecurity0t64","libfalcosecurity0"
"libfaust2t64","libfaust2"
"libfcft4t64","libfcft4"
"libfcgi0t64","libfcgi0"
"libfcml0t64","libfcml0"
"libfetk1.9t64","libfetk1.9"
"libffindex0t64","libffindex0"
"libfield3d1.7t64","libfield3d1.7"
"libfifechan0.1.5t64","libfifechan0.1.5"
"libfileclasses1t64","libfileclasses1"
"libfixbuf9t64","libfixbuf9"
"libfixposix4t64","libfixposix4"
"libfko3t64","libfko3"
"libflame1t64","libflame1"
"libflickcurl0t64","libflickcurl0"
"libflightcrew0t64","libflightcrew0"
"libfltk-cairo1.3t64","libfltk-cairo1.3"
"libfltk-forms1.3t64","libfltk-forms1.3"
"libfltk-gl1.3t64","libfltk-gl1.3"
"libfltk-images1.3t64","libfltk-images1.3"
"libfltk1.3t64","libfltk1.3"
"libfm-extra4t64","libfm-extra4"
"libfm-gtk3-4t64","libfm-gtk3-4"
"libfm4t64","libfm4"
"libfoma0t64","libfoma0"
"libfontembed1t64","libfontembed1"
"libfoonathan-memory0.7.3t64","libfoonathan-memory0.7.3"
"libforms2t64","libforms2"
"libformsgl2t64","libformsgl2"
"libfpga0t64","libfpga0"
"libfreecontact0t64","libfreecontact0"
"libfreefare0t64","libfreefare0"
"libfreenect0.5t64","libfreenect0.5"
"libfsapfs1t64","libfsapfs1"
"libfsext1t64","libfsext1"
"libfshfs1t64","libfshfs1"
"libfsntfs1t64","libfsntfs1"
"libfsplib0t64","libfsplib0"
"libfsxfs1t64","libfsxfs1"
"libfuntools1t64","libfuntools1"
"libfuse2t64","libfuse2"
"libfvde1t64","libfvde1"
"libfwnt1t64","libfwnt1"
"libfwsi1t64","libfwsi1"
"libfxt2t64","libfxt2"
"libfyba0t64","libfyba0"
"libg15daemon-client1t64","libg15daemon-client1"
"libg2o0t64","libg2o0"
"libgadu3t64","libgadu3"
"libgail-3-0t64","libgail-3-0"
"libgail18t64","libgail18"
"libgambit4t64","libgambit4"
"libgammu8t64","libgammu8"
"libgbtools0t64","libgbtools0"
"libgda-5.0-4t64","libgda-5.0-4"
"libgdbm-compat4t64","libgdbm-compat4"
"libgdbm6t64","libgdbm6"
"libgdcm3.0t64","libgdcm3.0"
"libgdf0t64","libgdf0"
"libgearman8t64","libgearman8"
"libgecode49t64","libgecode49"
"libgecodeflatzinc49t64","libgecodeflatzinc49"
"libgecodegist49t64","libgecodegist49"
"libgegl-0.4-0t64","libgegl-0.4-0"
"libgenometools0t64","libgenometools0"
"libgensio6t64","libgensio6"
"libgeoip1t64","libgeoip1"
"libgeomview-1.9.5t64","libgeomview-1.9.5"
"libgetdns10t64","libgetdns10"
"libgetfem5t64","libgetfem5"
"libgf-complete1t64","libgf-complete1"
"libgfal-srm-ifce1t64","libgfal-srm-ifce1"
"libgfal-transfer2t64","libgfal-transfer2"
"libgfal2-2t64","libgfal2-2"
"libgfarm1t64","libgfarm1"
"libgfs-1.3-2t64","libgfs-1.3-2"
"libgfsgl0t64","libgfsgl0"
"libghmm1t64","libghmm1"
"libgiac0t64","libgiac0"
"libgig10t64","libgig10"
"libgkarrays1t64","libgkarrays1"
"libgladeui-2-13t64","libgladeui-2-13"
"libglib2.0-0t64","libglib2.0-0"
"libglibmm-2.68-1t64","libglibmm-2.68-1"
"libglobus-authz-callout-error0t64","libglobus-authz-callout-error0"
"libglobus-authz0t64","libglobus-authz0"
"libglobus-callout0t64","libglobus-callout0"
"libglobus-common0t64","libglobus-common0"
"libglobus-ftp-client2t64","libglobus-ftp-client2"
"libglobus-ftp-control1t64","libglobus-ftp-control1"
"libglobus-gass-cache5t64","libglobus-gass-cache5"
"libglobus-gass-copy2t64","libglobus-gass-copy2"
"libglobus-gass-server-ez2t64","libglobus-gass-server-ez2"
"libglobus-gass-transfer2t64","libglobus-gass-transfer2"
"libglobus-gfork0t64","libglobus-gfork0"
"libglobus-gram-client3t64","libglobus-gram-client3"
"libglobus-gram-job-manager-callout-error0t64","libglobus-gram-job-manager-callout-error0"
"libglobus-gram-protocol3t64","libglobus-gram-protocol3"
"libglobus-gridftp-server-control0t64","libglobus-gridftp-server-control0"
"libglobus-gridftp-server6t64","libglobus-gridftp-server6"
"libglobus-gridmap-callout-error0t64","libglobus-gridmap-callout-error0"
"libglobus-gsi-callback0t64","libglobus-gsi-callback0"
"libglobus-gsi-cert-utils0t64","libglobus-gsi-cert-utils0"
"libglobus-gsi-credential1t64","libglobus-gsi-credential1"
"libglobus-gsi-openssl-error0t64","libglobus-gsi-openssl-error0"
"libglobus-gsi-proxy-core0t64","libglobus-gsi-proxy-core0"
"libglobus-gsi-sysconfig1t64","libglobus-gsi-sysconfig1"
"libglobus-gss-assist3t64","libglobus-gss-assist3"
"libglobus-gssapi-error2t64","libglobus-gssapi-error2"
"libglobus-gssapi-gsi4t64","libglobus-gssapi-gsi4"
"libglobus-io3t64","libglobus-io3"
"libglobus-net-manager0t64","libglobus-net-manager0"
"libglobus-openssl-module0t64","libglobus-openssl-module0"
"libglobus-rsl2t64","libglobus-rsl2"
"libglobus-scheduler-event-generator0t64","libglobus-scheduler-event-generator0"
"libglobus-xio0t64","libglobus-xio0"
"libgmerlin2t64","libgmerlin2"
"libgmime-3.0-0t64","libgmime-3.0-0"
"libgmt6t64","libgmt6"
"libgnokii7t64","libgnokii7"
"libgnome-bg-4-2t64","libgnome-bg-4-2"
"libgnome-desktop-3-20t64","libgnome-desktop-3-20"
"libgnome-desktop-4-2t64","libgnome-desktop-4-2"
"libgnome-rr-4-2t64","libgnome-rr-4-2"
"libgnt0t64","libgnt0"
"libgnunet0.20t64","libgnunet0.20"
"libgnuradio-air-modes1t64","libgnuradio-air-modes1"
"libgnuradio-osmosdr0.2.0t64","libgnuradio-osmosdr0.2.0"
"libgnutls-dane0t64","libgnutls-dane0"
"libgnutls-openssl27t64","libgnutls-openssl27"
"libgnutls30t64","libgnutls30"
"libgoffice-0.10-10t64","libgoffice-0.10-10"
"libgom-1.0-0t64","libgom-1.0-0"
"libgoogle-glog0v6t64","libgoogle-glog0v6"
"libgoogle-perftools4t64","libgoogle-perftools4"
"libgpgme11t64","libgpgme11"
"libgpgmepp6t64","libgpgmepp6"
"libgphoto2-6t64","libgphoto2-6"
"libgphoto2-port12t64","libgphoto2-port12"
"libgpod4t64","libgpod4"
"libgps30t64","libgps30"
"libgraphicsmagick++-q16-12t64","libgraphicsmagick++-q16-12"
"libgraphicsmagick-q16-3t64","libgraphicsmagick-q16-3"
"libgretl1t64","libgretl1"
"libgridsite6t64","libgridsite6"
"libgroonga0t64","libgroonga0"
"libgroup-service1t64","libgroup-service1"
"libgrpc++1.51t64","libgrpc++1.51"
"libgrpc29t64","libgrpc29"
"libgsmsd8t64","libgsmsd8"
"libgsound0t64","libgsound0"
"libgssrpc4t64","libgssrpc4"
"libgtk-3-0t64","libgtk-3-0"
"libgtk2.0-0t64","libgtk2.0-0"
"libgtkdatabox1t64","libgtkdatabox1"
"libgtkmm-3.0-1t64","libgtkmm-3.0-1"
"libgts-0.7-5t64","libgts-0.7-5"
"libguestfs-gobject-1.0-0t64","libguestfs-gobject-1.0-0"
"libguestfs0t64","libguestfs0"
"libgulkan-0.15-0t64","libgulkan-0.15-0"
"libguytools2t64","libguytools2"
"libgvars3-0t64","libgvars3-0"
"libgvars3-headless0t64","libgvars3-headless0"
"libgweather-4-0t64","libgweather-4-0"
"libgwengui-fox16-79t64","libgwengui-fox16-79"
"libgwengui-gtk3-79t64","libgwengui-gtk3-79"
"libgwengui-qt5-79t64","libgwengui-qt5-79"
"libgwenhywfar79t64","libgwenhywfar79"
"libgwyddion2-0t64","libgwyddion2-0"
"libgxps2t64","libgxps2"
"libgxr-0.15-0t64","libgxr-0.15-0"
"libgxw0t64","libgxw0"
"libgxwmm0t64","libgxwmm0"
"libgyoto9t64","libgyoto9"
"libhamlib++4t64","libhamlib++4"
"libhamlib4t64","libhamlib4"
"libhashkit2t64","libhashkit2"
"libhd21t64","libhd21"
"libhdfeos0t64","libhdfeos0"
"libhe5-hdfeos0t64","libhe5-hdfeos0"
"libheartbeat2t64","libheartbeat2"
"libhfsp0t64","libhfsp0"
"libhighwayhash0t64","libhighwayhash0"
"libhoel1.4t64","libhoel1.4"
"libhogweed6t64","libhogweed6"
"libhts3t64","libhts3"
"libhwy1t64","libhwy1"
"libhx32t64","libhx32"
"libibnetdisc5t64","libibnetdisc5"
"libibtk0t64","libibtk0"
"libical3t64","libical3"
"libicapapi5t64","libicapapi5"
"libiddawc1.1t64","libiddawc1.1"
"libidzebra-2.0-0t64","libidzebra-2.0-0"
"libieee1284-3t64","libieee1284-3"
"libigloo0t64","libigloo0"
"libigraph3t64","libigraph3"
"libimageclasses1t64","libimageclasses1"
"libimath-3-1-29t64","libimath-3-1-29"
"libimlib2t64","libimlib2"
"libinfgtk-0.7-0t64","libinfgtk-0.7-0"
"libinfinity-0.7-0t64","libinfinity-0.7-0"
"libini-config5t64","libini-config5"
"libint2-2t64","libint2-2"
"libinventor1t64","libinventor1"
"libipa-hbac0t64","libipa-hbac0"
"libipset13t64","libipset13"
"libirccore3t64","libirccore3"
"libircmodel3t64","libircmodel3"
"libircutil3t64","libircutil3"
"libirrlicht1.8t64","libirrlicht1.8"
"libirstlm1t64","libirstlm1"
"libisns0t64","libisns0"
"libisoburn1t64","libisoburn1"
"libisofs6t64","libisofs6"
"libisospec++2t64","libisospec++2"
"libite5t64","libite5"
"libiv-unidraw2t64","libiv-unidraw2"
"libiv2t64","libiv2"
"libivykis0t64","libivykis0"
"libiw30t64","libiw30"
"libixml11t64","libixml11"
"libjaula1t64","libjaula1"
"libjbig2enc0t64","libjbig2enc0"
"libjdns2t64","libjdns2"
"libjodycode3t64","libjodycode3"
"libjpgalleg4.4t64","libjpgalleg4.4"
"libjsonrpccpp-client0t64","libjsonrpccpp-client0"
"libjsonrpccpp-common0t64","libjsonrpccpp-common0"
"libjsonrpccpp-server0t64","libjsonrpccpp-server0"
"libjsonrpccpp-stub0t64","libjsonrpccpp-stub0"
"libjuff0.10t64","libjuff0.10"
"libjuman4t64","libjuman4"
"libjxr0t64","libjxr0"
"libk3b8t64","libk3b8"
"libkdb5-10t64","libkdb5-10"
"libkmlbase1t64","libkmlbase1"
"libkmlconvenience1t64","libkmlconvenience1"
"libkmldom1t64","libkmldom1"
"libkmlengine1t64","libkmlengine1"
"libkmlregionator1t64","libkmlregionator1"
"libkmlxsd1t64","libkmlxsd1"
"libknet1t64","libknet1"
"libkopenafs2t64","libkopenafs2"
"liblam4t64","liblam4"
"liblammps0t64","liblammps0"
"liblasi0t64","liblasi0"
"liblasso3t64","liblasso3"
"liblavfile-2.1-0t64","liblavfile-2.1-0"
"liblavjpeg-2.1-0t64","liblavjpeg-2.1-0"
"liblavplay-2.1-0t64","liblavplay-2.1-0"
"liblcmaps-without-gsi0t64","liblcmaps-without-gsi0"
"liblcmaps0t64","liblcmaps0"
"libldm-1.0-0t64","libldm-1.0-0"
"libldm-common0t64","libldm-common0"
"libldm-priv-common0t64","libldm-priv-common0"
"libldns3t64","libldns3"
"libleatherman1.12.1t64","libleatherman1.12.1"
"liblfunction1t64","liblfunction1"
"libliggghts3t64","libliggghts3"
"liblinbox-1.7.0-0t64","liblinbox-1.7.0-0"
"liblink-grammar5t64","liblink-grammar5"
"liblip2t64","liblip2"
"liblirc-client0t64","liblirc-client0"
"liblirc0t64","liblirc0"
"liblitehtml0t64","liblitehtml0"
"liblldb-17t64","liblldb-17"
"libllvm17t64","libllvm17"
"liblnk1t64","liblnk1"
"libloadpng4.4t64","libloadpng4.4"
"libloc1t64","libloc1"
"liblog4c3t64","liblog4c3"
"liblog4cplus-2.0.5t64","liblog4cplus-2.0.5"
"liblogg4.4t64","liblogg4.4"
"libloki0.1.7t64","libloki0.1.7"
"liblomiri-download-manager-client0t64","liblomiri-download-manager-client0"
"liblomiri-download-manager-common0t64","liblomiri-download-manager-common0"
"liblomiri-upload-manager-common0t64","liblomiri-upload-manager-common0"
"liblomirigestures5t64","liblomirigestures5"
"liblomirimetrics5t64","liblomirimetrics5"
"liblomiritoolkit5t64","liblomiritoolkit5"
"liblorene-debian1t64","liblorene-debian1"
