"package","avg_downloads","2021","2022","2023","2024","2025"
"@babel/code-frame","3085584582","2180458906","2795234412","2903830619","3223505896","4324893077"
"is-glob","3063610751","2174551227","2941004918","3048078256","3083835550","4070583806"
"to-regex-range","3034680347","1994539136","2820075828","3138060686","3134149410","4086576678"
"whatwg-url","3009995770","1184676444","2502171482","3096653378","3521377077","4745100472"
"ignore","2996359828","1817463090","2517563581","2711923918","3017690382","4917158173"
"shebang-command","2978338713","1776356143","2462410799","2933702737","3264218320","4455005567"
"shebang-regex","2974870210","1779800234","2465304587","2936456823","3266106674","4426682735"
"y18n","2948564213","1832236382","2580571957","2950869701","3179730150","4199412877"
"mime","2944965524","2085550122","2577583019","2901676195","3182909795","3977108493"
"globby","2936557852","2095258248","2744408166","3026055046","3205441040","3611626763"
"eslint-scope","2933967055","1417845969","2230891029","2961319844","3416311119","4643467314"
"parse-json","2901433517","2227303741","2567772199","2830592366","2956261166","3925238113"
"mime-db","2882321734","1938792893","2342174353","2492829187","2821216685","4816595553"
"picomatch","2852247377","1199237679","1781401938","2039711732","2795656807","6445228732"
"pkg-dir","2846876227","2290000860","2611881778","2854469850","2997884357","3480144290"
"strip-bom","2840518038","1714503206","2303941388","2827336252","3144943441","4211865905"
"minimist","2824223807","2018914633","2483649583","2815059365","2893588634","3909906824"
"tr46","2811903826","962844676","2271967967","2877948621","3359728287","4587029580"
"jsesc","2786158204","1685882388","2236582295","2634492770","3029760367","4344073200"
"buffer","2785211646","1641197624","2194045309","2676583774","3214492534","4199738993"
"normalize-path","2761855530","1963887785","2503845826","2753961377","2848681963","3738900701"
"http-errors","2754102727","2121308037","2613338768","2715665364","2745074926","3575126543"
"onetime","2745353456","1542684735","1991505454","2509353517","3252210413","4431013161"
"@babel/parser","2744636447","1754228152","2310508618","2645439630","2866476487","4146529352"
"path-type","2738173506","2137328262","2414489242","2659508756","2878337170","3601204103"
"npm-run-path","2728239717","1543833176","2114064850","2693591841","3250646371","4039062348"
"mime-types","2718082982","1792872356","2259315938","2449243660","2673174363","4415808597"
"graceful-fs","2715231885","1817595443","2322494193","2637958248","2913359444","3884752098"
"convert-source-map","2690911086","1316825891","1711022879","2509480414","3356748175","4560478073"
"async","2674037462","2082605623","2542775274","2635315240","2765578572","3343912604"
"mimic-fn","2670905517","1521808207","2057033436","2612565645","3221461719","3941658581"
"lodash","2654403345","2141561232","2327423566","2491212302","2672507857","3639311768"
"strip-json-comments","2641283925","1512349744","2116387699","2453463193","2869317347","4254901646"
"doctrine","2625224961","1574804939","2083275057","2614321783","3082384564","3771338465"
"jsonfile","2623360949","1634805381","2315460939","2697260846","2892793378","3576484202"
"chokidar","2618495304","1862948848","2238968433","2299414511","2549102083","4142042647"
"agent-base","2615063835","1200023815","1631739498","2172240785","3253148233","4818166848"
"anymatch","2584028455","1935992244","2359480018","2603834486","2641675763","3379159767"
"@babel/generator","2575411352","1570900275","2223044140","2471506171","2760324799","3851281379"
"is-extendable","2573743693","1980305921","2782940886","2934322268","2603211704","2567937687"
"@babel/helper-validator-identifier","2561177505","1537160819","2169773348","2401243778","2731315822","3966393759"
"balanced-match","2552334078","1465171399","2101460577","2422727104","2803233075","3969078235"
"cosmiconfig","2515650390","1499758636","1983668440","2508705658","2891900611","3694218608"
"https-proxy-agent","2515466253","1045689098","1602040191","2176134865","3178855994","4574611120"
"jest-worker","2486390970","1281902990","2037019462","2718051702","2867338301","3527642397"
"@babel/runtime","2482444876","1615466400","2129980106","2545206721","2688822559","3432748597"
"bytes","2480322424","1594480161","2389060605","2712759939","2717590005","2987721413"
"picocolors","2479845700","237630812","2163002377","2578246036","3050141849","4370207428"
"statuses","2474166980","1170930484","1921821655","2528066114","2781170912","3968845738"
"regenerator-runtime","2460468847","1703704498","2041991533","2482856140","2977858722","3095933342"
"entities","2456254706","1260249104","1666665079","2355752896","2772116106","4226490346"
"path-to-regexp","2451457546","1376674492","1931371439","2354629179","2676043998","3918568624"
"typescript","2428496667","1056713957","1653105599","2102720029","2859919375","4470024378"
"readdirp","2425394044","1714010414","2071621609","2176597640","2294749587","3869990971"
"is-arrayish","2421010862","1523088892","1965146759","2317616662","2622308721","3676893277"
"postcss-value-parser","2420239645","2544358822","2642188169","2341391655","2061660998","2511598581"
"@babel/core","2419154811","1493102522","2106682047","2399962686","2602877257","3493149543"
"get-proto","2416975787","0","0","0","0","2416975787"
"loader-utils","2416453196","1798019507","2649270499","2732126978","2362028432","2540820568"
"isobject","2409528004","2018066666","2711004016","2496058909","2291142391","2531368038"
"@babel/traverse","2406651455","1544189651","2054472631","2321077995","2463602016","3649914984"
"browserslist","2396165212","1596921742","2041438614","2174334478","2535918830","3632212398"
"p-try","2387159154","1855888259","2426535180","2345592738","2329577865","2978201731"
"cookie","2384189079","1296260072","1841880902","2332585707","2611410631","3838808085"
"jest-util","2378636349","896616602","1824392313","2939762218","2805952625","3426457988"
"fast-deep-equal","2377779603","1639882604","1999217882","2206560480","2473545218","3569691831"
"depd","2372846837","1268890955","2023301467","2547935267","2633424235","3390682265"
"isexe","2370153440","1061983753","1565269225","1977919103","2786864604","4458730519"
"source-map-support","2359483558","1350722923","1958501147","2302901335","2631515177","3553777210"
"node-fetch","2348261383","1170904706","1832248478","2373346425","2733113490","3631693816"
"@babel/helper-plugin-utils","2335528923","1504224577","2272691623","2394127277","2358417529","3148183613"
"@babel/template","2320849551","1415747586","1899448708","2238230917","2575836687","3474983861"
"has-symbols","2308376272","1277073152","1837591416","2171716374","2389200983","3866299435"
"js-tokens","2305400030","1416632495","1791946155","2104117091","2454371059","3759933350"
"once","2300092406","1385018352","1875337006","2250800432","2545998910","3443307331"
"setprototypeof","2295278530","1654756059","2147907391","2305312207","2368958590","2999458404"
"function-bind","2293277136","1164203647","1587780586","2054423622","2688056798","3971921030"
