"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"@babel/parser","babel/babel","2744636447","1754228152","2310508618","2645439630","2866476487","4146529352","True","0.00209917","A"
"call-bind","ljharb/call-bind","1926081134","915858231","1412290424","1855090375","2472860564","2974306078","True","0.00209671","A"
"picocolors","alexeyraspopov/picocolors","2479845700","237630812","2163002377","2578246036","3050141849","4370207428","True","0.00207227","A"
"eslint-visitor-keys","eslint/js","3489107832","1450303495","2655132600","3367746650","3778773907","6193582509","True","0.00205215","A"
"@jridgewell/trace-mapping","jridgewell/sourcemaps","2722092374","0","978858094","2246124035","3088375892","4575011477","True","0.00204188","A"
"ajv","ajv-validator/ajv","4749148152","2500320894","3706770741","4659103353","5425688858","7453856916","True","0.00202196","A"
"estraverse","estools/estraverse","3928480631","2094786484","3284188639","4125522347","4485779667","5652126022","True","0.00201215","A"
"picomatch","micromatch/picomatch","2852247377","1199237679","1781401938","2039711732","2795656807","6445228732","True","0.00200548","A"
"@jest/types","jestjs/jest","3114244518","1463441975","2643096644","3678143520","3554819621","4231720833","True","0.00199815","A"
"es-object-atoms","ljharb/es-object-atoms","1765982851","0","0","0","655117846","2876847856","True","0.00198762","A"
"safer-buffer","ChALkeR/safer-buffer","1987654268","1294475455","1597150252","1848251295","2139427453","3058966888","True","0.00198638","A"
"mime-db","jshttp/mime-db","2882321734","1938792893","2342174353","2492829187","2821216685","4816595553","True","0.00198374","A"
"locate-path","sindresorhus/locate-path","5431976915","2931831616","4430418256","5483155212","6197214959","8117264536","True","0.00198185","A"
"signal-exit","tapjs/signal-exit","3190643836","1265268178","1822980064","2422630372","4069673801","6372666767","True","0.00197852","A"
"acorn","acornjs/acorn","4335249639","2635637385","3849825628","4430658464","4771368210","5988758511","True","0.00196936","A"
"js-tokens","lydell/js-tokens","2305400030","1416632495","1791946155","2104117091","2454371059","3759933350","True","0.00193835","A"
"@types/unist","DefinitelyTyped/DefinitelyTyped","677113696","237377291","335224368","466112617","884327198","1462527010","True","0.00191908","A"
"escape-string-regexp","sindresorhus/escape-string-regexp","5467926208","2337975435","4002844290","5585934145","6783972369","8628904805","True","0.00189286","A"
"@babel/code-frame","babel/babel","3085584582","2180458906","2795234412","2903830619","3223505896","4324893077","True","0.00188433","A"
"commander","tj/commander.js","6484072250","3296082590","4785771765","6249363428","7562312237","10526831232","True","0.00186618","A"
"react-is","facebook/react","4020302625","1283003022","2445238655","3985359585","4991703612","7396208255","True","0.00186441","A"
"argparse","nodeca/argparse","3485207914","1299544459","2341474795","3433116715","4323093711","6028809890","True","0.00186342","A"
"is-glob","micromatch/is-glob","3063610751","2174551227","2941004918","3048078256","3083835550","4070583806","True","0.00184083","A"
"@babel/runtime","babel/babel","2482444876","1615466400","2129980106","2545206721","2688822559","3432748597","True","0.00182188","A"
"isexe","isaacs/isexe","2370153440","1061983753","1565269225","1977919103","2786864604","4458730519","True","0.00182078","A"
"postcss-selector-parser","postcss/postcss-selector-parser","2090163008","1758813530","1894153564","1747087184","1861472163","3189288601","True","0.00181365","A"
"universalify","RyanZim/universalify","3171654366","1643135792","2431807354","3265077296","3862666567","4655584821","True","0.00179303","A"
"fill-range","jonschlinkert/fill-range","3276925440","2156101940","2997242417","3278214868","3443294706","4509773273","True","0.00178718","A"
"isobject","jonschlinkert/isobject","2409528004","2018066666","2711004016","2496058909","2291142391","2531368038","True","0.00177761","A"
"once","isaacs/once","2300092406","1385018352","1875337006","2250800432","2545998910","3443307331","True","0.00176245","A"
"define-properties","ljharb/define-properties","1752099980","1024144778","1478735885","1794133937","1970298261","2493187043","True","0.00171354","A"
"find-up","sindresorhus/find-up","5849048188","3406425810","4891047331","5901780256","6535144193","8510843354","True","0.00169864","A"
"fast-deep-equal","epoberezkin/fast-deep-equal","2377779603","1639882604","1999217882","2206560480","2473545218","3569691831","True","0.00167325","A"
"domelementtype","fb55/domelementtype","1738720072","1358933903","1635627224","1709367840","1775454074","2214217319","True","0.00167249","A"
"string_decoder","nodejs/string_decoder","4822027985","2836267689","4204672545","4947781945","5413763000","6707654748","True","0.00164558","A"
"has-tostringtag","inspect-js/has-tostringtag","1507185806","206145309","999087597","1449424936","1849145070","3032126118","True","0.00163298","A"
"wrap-ansi","chalk/wrap-ansi","5371093853","2590739873","3451156088","4358128935","6421498799","10033945571","True","0.00163183","A"
"is-plain-object","jonschlinkert/is-plain-object","1931141683","1269416460","1725093224","1987046940","2136401407","2537750385","True","0.00162604","A"
"prelude-ls","gkz/prelude-ls","2192072693","1282501142","1969224351","2307136938","2306991997","3094509039","True","0.00158531","A"
"@typescript-eslint/types","typescript-eslint/typescript-eslint","1971825104","616989510","1227679629","1765886282","2513165673","3735404426","True","0.00153979","A"
"shebang-regex","sindresorhus/shebang-regex","2974870210","1779800234","2465304587","2936456823","3266106674","4426682735","True","0.00152007","A"
"entities","fb55/entities","2456254706","1260249104","1666665079","2355752896","2772116106","4226490346","True","0.00149881","A"
"is-stream","sindresorhus/is-stream","3372840331","1850347121","2578321486","3291384770","4010124925","5134023353","True","0.00149809","A"
"which","npm/node-which","3977998056","2011168153","2858963296","3711343545","4666429689","6642085598","True","0.00148538","A"
"jest-util","jestjs/jest","2378636349","896616602","1824392313","2939762218","2805952625","3426457988","True","0.00147266","A"
"side-channel","ljharb/side-channel","1772115948","635645572","1259813001","1651736629","2159950824","3153433714","True","0.00145585","A"
"browserslist","browserslist/browserslist","2396165212","1596921742","2041438614","2174334478","2535918830","3632212398","True","0.00145474","A"
"pretty-format","jestjs/jest","3389865099","1294356384","2247312644","3507009920","4249056279","5651590270","True","0.00144480","A"
"@types/estree","DefinitelyTyped/DefinitelyTyped","1674510055","482393965","1040733733","1540933319","1984911845","3323577416","True","0.00143075","A"
"iconv-lite","pillarjs/iconv-lite","3359139231","1784037010","2504737749","3142654454","3796630329","5567636613","True","0.00143063","A"
"uuid","uuidjs/uuid","4880973304","2660921297","3513474974","4613607215","5651795669","7965067365","True","0.00142353","A"
"resolve","browserify/resolve","3637338756","2197216209","2979113967","3551199050","3926833444","5532331111","True","0.00139257","A"
"path-key","sindresorhus/path-key","3449793390","1837594866","2581621394","3334968576","4022662249","5472119865","True","0.00138908","A"
"is-fullwidth-code-point","sindresorhus/is-fullwidth-code-point","4706890774","3019697029","4053789992","4478427568","4929268537","7053270744","True","0.00137758","A"
"resolve-from","sindresorhus/resolve-from","3884918762","2359454888","3220309641","3751914612","4239484705","5853429968","True","0.00137552","A"
"json-schema-traverse","epoberezkin/json-schema-traverse","4049056696","1797392941","3021909408","4048922097","4806755631","6570303405","True","0.00136868","A"
"@babel/template","babel/babel","2320849551","1415747586","1899448708","2238230917","2575836687","3474983861","True","0.00135530","A"
"camelcase","sindresorhus/camelcase","4053095470","2836277164","3685201057","4077108770","4226262224","5440628138","True","0.00131297","A"
"yallist","isaacs/yallist","5390134991","2507289225","3520412360","5952456329","7187337331","7783179711","True","0.00131039","A"
"unicorn-magic","sindresorhus/unicorn-magic","332554983","0","0","4813521","231973854","760877576","True","0.00130634","A"
"buffer","feross/buffer","2785211646","1641197624","2194045309","2676583774","3214492534","4199738993","True","0.00130116","A"
"@types/istanbul-lib-coverage","DefinitelyTyped/DefinitelyTyped","1126184996","608996876","896286687","1101465440","1298071556","1726104423","True","0.00128548","A"
"isarray","juliangruber/isarray","4404556181","2461718922","3393971833","4406969679","5090979894","6669140581","True","0.00128337","A"
"schema-utils","webpack/schema-utils","3832204059","2329955006","3781872756","4418885875","4108024892","4522281768","True","0.00126003","A"
"mime-types","jshttp/mime-types","2718082982","1792872356","2259315938","2449243660","2673174363","4415808597","True","0.00125399","A"
"util-deprecate","TooTallNate/util-deprecate","1996878292","1237303503","1620362780","1903946961","2186968686","3035809530","True","0.00124579","A"
"agent-base","TooTallNate/proxy-agents","2615063835","1200023815","1631739498","2172240785","3253148233","4818166848","True","0.00124112","A"
"no-case","blakeembrey/change-case","957299269","640507937","874649228","930218108","1032201769","1308919306","True","0.00122788","A"
"@jridgewell/resolve-uri","jridgewell/resolve-uri","1546516659","8865719","813166874","1640566404","2207207661","3062776639","True","0.00122412","A"
"json5","json5/json5","3569089794","2252966996","3202210178","3699237538","3763613026","4927421234","True","0.00121703","A"
"yargs-parser","yargs/yargs-parser","4424149530","2859799327","3838013637","4472975814","4813844727","6136114145","True","0.00121505","A"
"slash","sindresorhus/slash","3195581553","1621845710","2466397510","3299104218","3800178404","4790381926","True","0.00121012","A"
"readdirp","paulmillr/readdirp","2425394044","1714010414","2071621609","2176597640","2294749587","3869990971","True","0.00119895","A"
"lodash","lodash/lodash","2654403345","2141561232","2327423566","2491212302","2672507857","3639311768","True","0.00119579","A"
"esutils","estools/esutils","1872236849","1107219690","1495622834","1761758878","2062879506","2933703340","True","0.00119267","A"
"braces","micromatch/braces","3294142055","2214056256","2991201042","3270111403","3454128878","4541212700","True","0.00119125","A"
"object-inspect","inspect-js/object-inspect","2245247736","1230126415","1795545694","2158512508","2520307456","3521746609","True","0.00118699","A"
"get-proto","ljharb/get-proto","2416975787","0","0","0","0","2416975787","True","0.00118366","A"
"js-yaml","nodeca/js-yaml","3636471786","1560122821","2563768575","3530699030","4383888935","6143879570","True","0.00118301","A"
"dunder-proto","es-shims/dunder-proto","1268797599","0","0","0","49069351","2488525848","True","0.00117919","A"
"webidl-conversions","jsdom/webidl-conversions","3230392481","1376116609","2834059632","3345704311","3716997798","4879084055","True","0.00117853","A"
"get-stream","sindresorhus/get-stream","4326187510","3030994795","3729202133","4076216509","4823749218","5970774899","True","0.00116056","A"
"find-up-simple","sindresorhus/find-up-simple","98040328","0","0","2578150","67640282","223902554","True","0.00115971","A"
"define-property","jonschlinkert/define-property","3472260169","2914959438","3959999227","3845174554","3347161381","3294006249","True","0.00115563","A"
