"package","dependency","type"
"babel-preset-vue","babel-plugin-jsx-event-modifiers","declared"
"babel-preset-vue","babel-plugin-jsx-v-model","declared"
"babel-preset-vue","babel-plugin-syntax-jsx","declared"
"babel-preset-vue","babel-plugin-transform-vue-jsx","declared"
"post-robot","cross-domain-safe-weakmap","declared"
"post-robot","cross-domain-utils","declared"
"post-robot","zalgo-promise","declared"
"rehype-raw","@types/hast","declared"
"rehype-raw","hast-util-raw","declared"
"rehype-raw","vfile","declared"
"percy-client","bluebird","declared"
"percy-client","bluebird-retry","declared"
"percy-client","dotenv","declared"
"percy-client","es6-promise-pool","declared"
"percy-client","jssha","declared"
"percy-client","regenerator-runtime","declared"
"percy-client","request","declared"
"percy-client","request-promise","declared"
"percy-client","walk","declared"
"clean-css","source-map","declared"
"forever-monitor","async","declared"
"forever-monitor","ps-tree","declared"
"forever-monitor","chokidar","declared"
"forever-monitor","minimatch","declared"
"forever-monitor","eventemitter2","declared"
"aws-xray-sdk-express","@types/express","declared"
"sveltekit-superforms","devalue","declared"
"sveltekit-superforms","memoize-weak","declared"
"sveltekit-superforms","ts-deepmerge","declared"
"loose-envify","js-tokens","declared"
"microsoft-cognitiveservices-speech-sdk","@azure/core-auth","declared"
"microsoft-cognitiveservices-speech-sdk","@types/webrtc","declared"
"microsoft-cognitiveservices-speech-sdk","agent-base","declared"
"microsoft-cognitiveservices-speech-sdk","bent","declared"
"microsoft-cognitiveservices-speech-sdk","https-proxy-agent","declared"
"microsoft-cognitiveservices-speech-sdk","uuid","declared"
"microsoft-cognitiveservices-speech-sdk","ws","declared"
"preload-webpack-plugin","object-assign","declared"
"preload-webpack-plugin","object.values","declared"
"schedule","object-assign","declared"
"metro-cache-key","flow-enums-runtime","declared"
"ts-proto","@bufbuild/protobuf","declared"
"ts-proto","case-anything","declared"
"ts-proto","ts-poet","declared"
"ts-proto","ts-proto-descriptors","declared"
"embla-carousel-react","embla-carousel","declared"
"embla-carousel-react","embla-carousel-reactive-utils","declared"
"babel-plugin-transform-decorators-legacy","babel-plugin-syntax-decorators","declared"
"babel-plugin-transform-decorators-legacy","babel-runtime","declared"
"babel-plugin-transform-decorators-legacy","babel-template","declared"
"jest-preview","@svgr/core","declared"
"jest-preview","camelcase","declared"
"jest-preview","chalk","declared"
"jest-preview","chokidar","declared"
"jest-preview","commander","declared"
"jest-preview","connect","declared"
"jest-preview","find-node-modules","declared"
"jest-preview","open","declared"
"jest-preview","postcss-import","declared"
"jest-preview","postcss-load-config","declared"
"jest-preview","sirv","declared"
"jest-preview","slash","declared"
"jest-preview","string-hash","declared"
"jest-preview","update-notifier","declared"
"jest-preview","ws","declared"
"snyk-nuget-plugin","@snyk/cli-interface","declared"
"snyk-nuget-plugin","@snyk/dep-graph","declared"
"snyk-nuget-plugin","debug","declared"
"snyk-nuget-plugin","dotnet-deps-parser","declared"
"snyk-nuget-plugin","jszip","declared"
"snyk-nuget-plugin","lodash","declared"
"snyk-nuget-plugin","node-cache","declared"
"snyk-nuget-plugin","snyk-paket-parser","declared"
"snyk-nuget-plugin","tslib","declared"
"snyk-nuget-plugin","xml2js","declared"
"eslint-plugin-minecraft-linting","@typescript-eslint/rule-tester","declared"
"eslint-plugin-minecraft-linting","@typescript-eslint/utils","declared"
"eslint-plugin-minecraft-linting","eslint","declared"
"eslint-plugin-minecraft-linting","typescript","declared"
"rmc-tooltip","babel-runtime","declared"
"rmc-tooltip","rmc-trigger","declared"
"combine-lists","lodash","declared"
"vis","emitter-component","declared"
"vis","moment","declared"
"vis","propagating-hammerjs","declared"
"vis","hammerjs","declared"
"vis","keycharm","declared"
"detect-package-manager","execa","declared"
"structured-source","boundary","declared"
"react-svg","@babel/runtime","declared"
"react-svg","@tanem/svg-injector","declared"
"react-svg","@types/prop-types","declared"
"react-svg","prop-types","declared"
"codelyzer","@angular/core","declared"
"codelyzer","@angular/compiler","declared"
