spdx_id,spdx_id_canonical,name,is_osi_approved,is_fsf_libre,is_deprecated,reference,osi_url,fetched_at
oldap-2.0.1,OLDAP-2.0.1,Open LDAP Public License v2.0.1,False,False,False,https://spdx.org/licenses/OLDAP-2.0.1.html,,2026-07-06T16:17:40Z
oldap-2.1,OLDAP-2.1,Open LDAP Public License v2.1,False,False,False,https://spdx.org/licenses/OLDAP-2.1.html,,2026-07-06T16:17:40Z
oldap-2.2,OLDAP-2.2,Open LDAP Public License v2.2,False,False,False,https://spdx.org/licenses/OLDAP-2.2.html,,2026-07-06T16:17:40Z
oldap-2.2.1,OLDAP-2.2.1,Open LDAP Public License v2.2.1,False,False,False,https://spdx.org/licenses/OLDAP-2.2.1.html,,2026-07-06T16:17:40Z
oldap-2.2.2,OLDAP-2.2.2,Open LDAP Public License 2.2.2,False,False,False,https://spdx.org/licenses/OLDAP-2.2.2.html,,2026-07-06T16:17:40Z
oldap-2.3,OLDAP-2.3,Open LDAP Public License v2.3,False,True,False,https://spdx.org/licenses/OLDAP-2.3.html,,2026-07-06T16:17:40Z
oldap-2.4,OLDAP-2.4,Open LDAP Public License v2.4,False,False,False,https://spdx.org/licenses/OLDAP-2.4.html,,2026-07-06T16:17:40Z
oldap-2.5,OLDAP-2.5,Open LDAP Public License v2.5,False,False,False,https://spdx.org/licenses/OLDAP-2.5.html,,2026-07-06T16:17:40Z
oldap-2.6,OLDAP-2.6,Open LDAP Public License v2.6,False,False,False,https://spdx.org/licenses/OLDAP-2.6.html,,2026-07-06T16:17:40Z
oldap-2.7,OLDAP-2.7,Open LDAP Public License v2.7,False,True,False,https://spdx.org/licenses/OLDAP-2.7.html,,2026-07-06T16:17:40Z
oldap-2.8,OLDAP-2.8,Open LDAP Public License v2.8,True,False,False,https://spdx.org/licenses/OLDAP-2.8.html,,2026-07-06T16:17:40Z
olfl-1.3,OLFL-1.3,Open Logistics Foundation License Version 1.3,True,False,False,https://spdx.org/licenses/OLFL-1.3.html,https://opensource.org/license/OLFL-1.3,2026-07-06T16:17:40Z
oml,OML,Open Market License,False,False,False,https://spdx.org/licenses/OML.html,,2026-07-06T16:17:40Z
openmdw-1.0,OpenMDW-1.0,OpenMDW License Agreement v1.0,False,False,False,https://spdx.org/licenses/OpenMDW-1.0.html,,2026-07-06T16:17:40Z
openpbs-2.3,OpenPBS-2.3,OpenPBS v2.3 Software License,False,False,False,https://spdx.org/licenses/OpenPBS-2.3.html,,2026-07-06T16:17:40Z
openssl,OpenSSL,OpenSSL License,False,True,False,https://spdx.org/licenses/OpenSSL.html,,2026-07-06T16:17:40Z
openssl-standalone,OpenSSL-standalone,OpenSSL License - standalone,False,False,False,https://spdx.org/licenses/OpenSSL-standalone.html,,2026-07-06T16:17:40Z
openvision,OpenVision,OpenVision License,False,False,False,https://spdx.org/licenses/OpenVision.html,,2026-07-06T16:17:40Z
opl-1.0,OPL-1.0,Open Public License v1.0,False,False,False,https://spdx.org/licenses/OPL-1.0.html,,2026-07-06T16:17:40Z
opl-uk-3.0,OPL-UK-3.0,United    Kingdom Open Parliament Licence v3.0,False,False,False,https://spdx.org/licenses/OPL-UK-3.0.html,,2026-07-06T16:17:40Z
