repo,2021,2022,2023,2024,2025
pyasn1/pyasn1,0,3,10,7,4
pyasn1/pyasn1-modules,0,0,0,0,7
pyca/bcrypt,7,16,18,16,13
pyca/cryptography,253,282,240,236,179
pyca/pynacl,19,23,2,10,8
pyca/pyopenssl,25,35,52,27,6
pydantic/pydantic,334,299,1641,1116,635
pydantic/pydantic-core,0,72,107,86,38
pydantic/typing-inspection,0,0,0,0,1
pygments/pygments,142,81,87,41,23
pypa/distlib,32,18,12,11,6
pypa/packaging,43,69,43,25,33
pypa/pip,658,554,371,382,267
pypa/setuptools,208,310,141,193,141
pypa/trove-classifiers,7,6,7,9,5
pypa/virtualenv,73,54,108,25,65
pypa/wheel,15,21,21,47,13
pyparsing/pyparsing,77,52,45,29,19
pytest-dev/iniconfig,2,3,8,1,7
pytest-dev/pluggy,13,9,0,12,5
pytest-dev/py,14,21,3,3,0
pytest-dev/pytest,323,290,351,407,251
python-attrs/attrs,86,74,52,60,37
python-cffi/cffi,0,0,12,36,14
python-distro/distro,22,10,2,1,4
python-greenlet/greenlet,33,30,41,20,19
python-hyper/brotlicffi,6,0,3,0,4
python-hyper/h11,2,5,4,2,1
python-hyper/uritemplate,4,2,1,0,3
python-jsonschema/jsonschema,79,94,111,40,30
python-jsonschema/jsonschema-specifications,0,0,6,2,2
python-jsonschema/referencing,0,0,24,8,11
python-pillow/pillow,394,373,293,239,176
python-poetry/poetry-core,0,0,0,0,0
python-poetry/tomlkit,49,38,37,19,24
python-trio/sniffio,1,0,3,1,1
python/importlib_metadata,59,33,33,15,14
python/importlib_resources,16,15,15,13,3
python/mypy,668,1163,1185,603,974
python/mypy_extensions,0,0,9,0,7
python/typeshed,365,444,314,361,273
python/typing,111,35,42,42,33
python/typing_extensions,15,35,74,102,68
python/tzdata,2,2,5,1,11
qix-/color-convert,5,3,2,0,12
qix-/node-error-ex,0,0,0,0,4
qix-/node-is-arrayish,0,0,0,0,2
qt/qt5,0,0,0,0,0
qunixorg/acl,0,0,0,0,0
radix-ui/primitives,183,321,207,266,105
rapidfuzz/rapidfuzz,54,79,41,21,14
raszi/node-tmp,3,14,5,9,0
raynos/for-each,0,0,0,1,0
raynos/function-bind,0,0,0,0,0
rayon-rs/either,1,6,3,7,2
rayon-rs/rayon,30,30,55,27,14
reactivex/rxjs,337,78,60,18,6
realpython/pytest-mypy,6,13,2,6,7
remix-run/react-router,461,501,519,325,651
remusao/tldts,3,5,8,7,9
requests/requests-oauthlib,5,22,2,12,0
requests/toolbelt,6,7,10,4,3
retep998/winapi-rs,10,6,0,6,2
rich-harris/estree-walker,1,1,2,0,0
rich-harris/magic-string,1,6,13,9,2
rob--w/proxy-from-env,0,0,0,1,1
rogdham/backports.zstd,0,0,0,0,5
rollup/plugins,225,165,133,43,114
ronaldoussoren/pyobjc,63,75,68,30,26
rthalley/dnspython,64,47,66,66,34
ruamel/yaml.clib,0,0,0,0,0
rust-cli/anstyle,0,2,17,10,5
rust-cli/env_logger,7,11,7,22,6
rust-embedded/critical-section,1,6,5,5,1
rust-fuzz/arbitrary,8,11,5,13,3
rust-itertools/itertools,15,13,41,77,8
rust-lang-nursery/lazy-static.rs,6,2,2,1,2
rust-lang/cc-rs,22,22,34,104,52
rust-lang/cfg-if,4,3,4,2,3
rust-lang/compiler-builtins,18,20,8,27,34
rust-lang/flate2-rs,10,21,25,16,16
rust-lang/futures-rs,68,25,42,22,13
rust-lang/glob,1,3,13,2,4
rust-lang/hashbrown,15,16,17,18,17
rust-lang/libc,61,39,52,86,58
rust-lang/libz-sys,5,9,12,11,4
rust-lang/log,33,20,23,23,22
rust-lang/pkg-config-rs,3,2,2,4,2
rust-lang/regex,28,33,124,24,22
rust-lang/rust,3280,3567,4037,4126,3824
rust-num/num-traits,7,5,19,10,5
rust-phf/rust-phf,17,8,3,0,18
rust-random/getrandom,17,21,22,45,30
rust-random/rand,49,24,34,81,58
rust-random/rand_core,0,0,0,0,1
rust-random/rngs,3,3,3,0,3
rustcrypto/formats,15,36,44,72,68
rustcrypto/hashes,32,30,12,29,16
rustcrypto/stream-ciphers,6,6,3,2,18
rustcrypto/traits,37,35,32,25,47
rustcrypto/utils,30,22,26,17,21
rvagg/bl,3,1,1,1,1
rvagg/through2,1,0,0,0,0
ryanzim/universalify,1,1,0,0,0
sailfishos-mirror/readline,0,0,0,0,0
salesforce/tough-cookie,8,15,10,22,5
samn/json-stable-stringify,0,0,0,0,0
samverschueren/decode-uri-component,0,5,2,0,0
sarugaku/shellingham,3,4,9,1,1
sboudrias/inquirer.js,28,35,98,234,60
scikit-build/ninja-python-distributions,9,4,2,7,5
scikit-learn/scikit-learn,807,909,677,794,521
scipy/scipy,687,1027,775,937,703
seanmonstar/reqwest,103,99,116,174,177
sec-ant/readable-stream,0,0,0,3,0
selinuxproject/selinux,11,12,9,11,14
serde-rs/bytes,0,1,3,0,0
serde-rs/json,33,81,48,38,24
serde-rs/serde,58,173,200,70,28
serge-sans-paille/isl,0,0,0,0,0
servo/rust-fnv,1,0,1,0,0
servo/rust-smallvec,4,2,3,11,3
servo/rust-url,18,19,28,36,21
sinclairzx81/sinclair-typebox,0,0,0,0,0
sindresorhus/ansi-escapes,0,2,3,1,5
sindresorhus/array-union,1,0,0,0,0
sindresorhus/binary-extensions,1,0,0,1,1
sindresorhus/callsites,1,0,0,0,5
sindresorhus/camelcase,6,5,4,0,2
sindresorhus/clean-stack,5,1,0,0,3
sindresorhus/cli-cursor,0,0,0,0,0
sindresorhus/crypto-random-string,7,4,2,0,0
sindresorhus/decamelize,3,4,1,0,1
sindresorhus/detect-newline,0,0,1,0,0
sindresorhus/environment,0,0,0,2,0
sindresorhus/escape-string-regexp,6,0,0,2,1
sindresorhus/execa,24,14,65,174,11
sindresorhus/figures,13,2,1,1,0
sindresorhus/file-type,49,33,28,56,30
sindresorhus/find-up,5,5,2,0,4
sindresorhus/find-up-simple,0,0,0,0,3
sindresorhus/get-east-asian-width,0,0,1,0,0
sindresorhus/get-stream,1,0,17,4,1
sindresorhus/globals,3,1,3,18,11
sindresorhus/globby,17,8,5,5,40
sindresorhus/has-flag,0,0,0,0,0
sindresorhus/import-fresh,0,0,0,0,3
sindresorhus/import-local,1,0,1,0,0
sindresorhus/indent-string,2,0,1,0,0
sindresorhus/is-binary-path,0,0,0,0,0
sindresorhus/is-docker,3,1,1,1,2
sindresorhus/is-fullwidth-code-point,0,0,2,1,0
sindresorhus/is-inside-container,0,0,0,1,0
sindresorhus/is-path-inside,1,0,0,0,1
sindresorhus/is-plain-obj,0,3,0,0,0
sindresorhus/is-stream,2,0,0,2,0
sindresorhus/is-unicode-supported,1,0,0,1,0
sindresorhus/is-wsl,0,1,1,0,0
sindresorhus/leven,2,0,0,1,2
sindresorhus/locate-path,2,0,0,0,0
sindresorhus/log-symbols,5,0,0,0,0
sindresorhus/lowercase-keys,1,0,0,0,0
sindresorhus/make-dir,3,1,4,1,3
sindresorhus/map-obj,5,2,0,1,4
sindresorhus/meow,16,12,14,2,6
sindresorhus/mimic-function,0,1,1,2,0
sindresorhus/mimic-response,0,0,0,0,0
sindresorhus/node-defaults,0,1,3,0,0
sindresorhus/normalize-url,16,13,3,1,7
sindresorhus/npm-run-path,1,1,0,1,0
sindresorhus/object-assign,0,0,0,0,0
sindresorhus/onetime,0,0,0,0,0
sindresorhus/open,29,10,12,5,60
sindresorhus/p-limit,6,5,8,7,8
sindresorhus/p-locate,0,0,0,0,0
sindresorhus/p-map,14,5,1,2,1
sindresorhus/p-try,0,0,0,0,1
sindresorhus/parent-module,0,0,0,0,1
sindresorhus/parse-json,4,0,4,0,0
sindresorhus/path-exists,1,1,1,0,0
sindresorhus/path-key,0,0,0,0,1
sindresorhus/path-type,0,1,0,0,0
sindresorhus/pify,0,2,0,0,0
sindresorhus/quick-lru,5,2,6,1,7
sindresorhus/read-pkg,4,0,3,0,1
sindresorhus/redent,0,0,0,0,0
sindresorhus/resolve-cwd,0,0,0,0,0
sindresorhus/resolve-from,0,0,0,0,0
sindresorhus/restore-cursor,0,0,0,0,0
sindresorhus/shebang-regex,0,0,0,0,1
sindresorhus/slash,1,2,0,0,0
sindresorhus/string-width,4,6,5,2,9
sindresorhus/strip-bom,1,0,0,0,0
sindresorhus/strip-final-newline,0,0,1,0,0
sindresorhus/strip-indent,1,1,0,0,2
sindresorhus/strip-json-comments,2,5,1,1,2
sindresorhus/tagged-tag,0,0,0,0,0
sindresorhus/to-fast-properties,0,0,0,0,1
sindresorhus/type-fest,51,63,84,124,75
sindresorhus/unicorn-magic,0,0,0,0,0
sindresorhus/yocto-queue,2,1,1,4,2
sinonjs/commons,0,4,0,0,0
sinonjs/fake-timers,18,14,13,18,1
smithy-lang/smithy-rs,179,181,170,129,75
smithy-lang/smithy-typescript,7,13,28,52,36
smol-rs/fastrand,4,4,14,5,1
snowflakedb/snowflake-connector-python,80,59,251,95,87
socketio/socket.io,603,147,137,103,48
sqlalchemy/sqlalchemy,834,616,580,318,216
sqlite/sqlite,0,0,0,0,0
srijs/rust-crc32fast,3,2,0,4,6
stebalien/tempfile,7,12,19,21,27
stefankoegl/python-json-pointer,3,2,2,1,1
stefanpenner/get-caller-file,0,0,0,0,0
storybookjs/storybook,1043,708,2379,977,856
stream-utils/destroy,0,0,0,0,0
stream-utils/raw-body,1,1,2,1,2
stream-utils/unpipe,0,0,0,0,0
streamich/memfs,9,24,28,24,69
stub42/pytz,5,16,6,11,0
suguru03/neo-async,2,0,0,2,0
sval-rs/sval,2,0,12,0,3
swc-project/swc,581,931,701,494,403
syntax-tree/unist-util-is,1,0,0,0,0
systemd/systemd,1100,1042,1227,1189,965
taiki-e/pin-project,6,3,1,1,1
taiki-e/pin-project-lite,4,1,3,4,0
taiki-e/portable-atomic,0,7,12,9,5
tapjs/foreground-child,0,0,0,2,2
tapjs/signal-exit,2,0,7,0,0
tapjs/stack-utils,0,1,0,0,0
tartley/colorama,11,26,3,2,1
teambition/merge2,0,0,0,0,0
teddriggs/darling,33,33,17,23,45
tehshrike/deepmerge,6,5,0,0,1
tensorflow/tensorboard,0,91,0,23,5
terkelg/sisteransi,0,0,0,0,0
terser/terser,132,77,108,51,27
textualize/rich,285,322,135,109,68
theskumar/python-dotenv,48,28,25,18,23
thkukuk/rpcsvc-proto,2,0,2,0,0
thlorenz/convert-source-map,0,8,0,0,0
thlorenz/deep-is,3,0,0,0,0
thomasdickey/ncurses-snapshots,0,0,0,0,0
tim-kos/node-retry,2,1,1,0,0
time-rs/time,57,70,57,39,25
tj/co,1,1,0,1,0
tj/commander.js,133,91,84,71,51
tjguk/wmi,0,0,1,0,0
tkem/cachetools,30,0,22,12,23
tokio-rs/bytes,12,21,26,21,27
tokio-rs/loom,10,13,4,3,12
tokio-rs/prost,50,63,23,62,16
tokio-rs/slab,7,4,0,0,2
tokio-rs/tokio,238,223,234,247,187
tokio-rs/tracing,92,113,64,61,49
toml-rs/toml,32,33,90,41,80
tootallnate/once,2,0,0,0,0
tootallnate/proxy-agents,0,2,80,26,5
tootallnate/util-deprecate,0,0,0,0,0
tornadoweb/tornado,50,72,62,26,41
tower-rs/tower,21,23,8,12,6
tox-dev/filelock,16,14,26,14,5
tox-dev/platformdirs,23,21,24,3,4
tqdm/tqdm,51,20,17,7,4
troygoode/node-require-directory,0,0,0,0,0
trysound/postcss-value-parser,1,0,1,0,0
tsconfig/bases,10,12,37,16,9
tukaani-project/xz,0,0,20,34,22
typescript-eslint/typescript-eslint,593,732,809,1182,610
unicode-org/icu,0,0,0,0,0
unicode-org/icu4x,300,411,261,224,329
unicode-rs/unicode-xid,0,3,0,2,0
unshiftio/requires-port,1,0,0,0,0
uqfoundation/dill,26,77,29,0,7
urllib3/urllib3,112,120,112,85,46
util-linux/util-linux,156,134,136,149,135
uuidjs/uuid,31,31,26,38,25
vercel/ai,0,0,253,542,1441
vercel/ms,5,11,0,5,25
vercel/next.js,3100,2808,3203,2422,3133
visionmedia/bytes.js,3,1,1,0,0
vitest-dev/vitest,116,774,843,950,812
vorner/signal-hook,22,3,8,3,6
vuejs/core,1151,953,730,961,404
wasm-bindgen/wasm-bindgen,120,154,212,207,107
watson/ci-info,10,8,13,5,3
wbond/asn1crypto,11,8,13,4,4
webmproject/libwebp,0,0,0,0,0
webpack/enhanced-resolve,12,19,12,17,8
webpack/loader-runner,1,0,1,0,10
webpack/schema-utils,2,1,0,2,1
webpack/tapable,7,1,0,2,10
webpack/terser-webpack-plugin,36,26,14,7,8
webpack/watchpack,3,2,7,7,0
webpack/webpack-sources,12,4,0,1,1
webreflection/flatted,8,2,4,7,2
webreflection/html-escaper,0,2,0,0,0
websocket-client/websocket-client,269,83,52,19,21
websockets/ws,123,0,55,58,25
wesleytodd/setprototypeof,0,0,0,0,0
whitequark/ipaddr.js,2,2,3,10,1
withoutboats/heck,3,2,6,1,1
xiph/ogg,3,2,1,0,4
xtuc/webassemblyjs,7,0,2,5,0
yahoo/serialize-javascript,2,1,1,1,1
yaml/libyaml,3,7,0,10,1
yaml/pyyaml,51,43,40,35,15
yargs/cliui,0,3,2,0,10
yargs/set-blocking,0,0,0,0,0
yargs/y18n,7,0,1,0,0
yargs/yargs,95,55,110,30,25
yargs/yargs-parser,6,8,7,3,6
yuzujs/setimmediate,0,1,0,0,0
zertosh/loose-envify,0,0,0,0,0
zloirock/core-js,118,74,78,33,17
