repo,2021,2022,2023,2024,2025
cpburnz/python-pathspec,4,18,7,1,6
crate-py/rpds,0,0,17,19,12
creationix/http-parser-js,8,4,1,0,1
criterion-rs/criterion.rs,0,0,0,0,7
crossbeam-rs/crossbeam,36,51,31,26,9
css-modules/icss-utils,1,0,0,0,0
cssnano/cssnano,94,33,16,25,9
csstools/postcss-plugins,20,174,103,47,24
csstree/csstree,15,31,11,36,3
curl/curl,542,477,646,591,484
cuviper/autocfg,3,4,2,8,1
cyan4973/xxhash,64,41,56,31,18
d-bus/dbus,0,0,0,0,0
daaku/nodejs-makeerror,3,0,0,0,0
daaku/nodejs-tmpl,1,0,0,0,0
dateutil/dateutil,29,13,23,25,4
davidhalter/parso,19,4,3,2,2
davisjam/safe-regex,0,0,0,0,0
dchest/tweetnacl-js,4,11,6,3,0
dcodeio/long.js,16,2,1,0,18
debug-js/debug,35,37,13,11,21
definitelytyped/definitelytyped,3505,112,63,262,40
distrotech/gdbm,0,0,0,0,0
django/asgiref,32,22,26,19,17
djc/rustc-version-rs,14,0,2,1,0
dmitrysoshnikov/regexp-tree,3,0,1,2,3
docutils/docutils-sourceforge-backup,0,0,0,0,0
doowb/ansi-colors,1,0,0,0,0
douglasdwyer/wasm_sync,0,0,0,1,0
dougwilson/nodejs-depd,1,1,0,0,0
dtolnay/anyhow,31,49,23,14,10
dtolnay/automod,1,0,1,0,0
dtolnay/dissimilar,2,1,5,0,0
dtolnay/indoc,1,1,4,3,1
dtolnay/itoa,6,2,1,1,6
dtolnay/no-panic,0,0,9,5,2
dtolnay/proc-macro2,31,8,16,23,8
dtolnay/quote,13,12,24,11,10
dtolnay/ref-cast,2,11,2,1,1
dtolnay/rustversion,4,5,1,7,4
dtolnay/ryu,2,4,1,1,0
dtolnay/semver,67,11,6,8,7
dtolnay/syn,74,68,91,80,34
dtolnay/target-triple,0,0,0,0,0
dtolnay/thiserror,27,26,28,51,9
dtolnay/trybuild,21,29,20,11,5
dtolnay/unicode-ident,0,4,0,0,1
eemeli/yaml,60,44,34,57,24
ehmicky/human-signals,1,0,2,1,0
eliben/pycparser,23,21,25,19,9
emotion-js/emotion,117,126,37,31,14
enarx/ciborium,6,1,4,9,2
encode/httpcore,33,29,28,16,17
encode/httpx,0,0,0,0,0
epoberezkin/fast-deep-equal,5,0,0,2,0
epoberezkin/fast-json-stable-stringify,0,0,0,0,0
epoberezkin/json-schema-traverse,0,1,0,0,0
es-shims/array-includes,0,0,0,0,0
es-shims/dunder-proto,0,0,0,1,1
es-shims/es-set-tostringtag,0,0,2,0,0
es-shims/math-intrinsics,0,0,0,0,0
es-shims/object.values,0,0,0,0,0
es-shims/regexp.prototype.flags,0,2,1,1,1
es-shims/string.prototype.trimend,0,0,0,0,0
es-shims/string.prototype.trimstart,0,0,0,0,0
eslint-community/eslint-utils,0,0,3,3,9
eslint/eslint,599,538,506,535,411
eslint/js,22,10,8,11,13
eslint/rewrite,0,0,0,27,36
estools/escodegen,1,3,5,1,0
estools/esquery,3,1,2,1,2
estools/esrecurse,0,1,1,1,0
estools/estraverse,0,0,1,1,0
estools/esutils,0,0,0,0,0
ethers-io/ethers.js,492,336,377,134,45
evanw/esbuild,949,759,642,265,226
evanw/node-source-map-support,4,3,0,2,0
eventualbuddha/lines-and-columns,1,0,0,0,0
executablebooks/markdown-it-py,13,8,10,4,3
executablebooks/mdurl,0,1,0,1,0
exodusoss/bytes,0,0,0,0,1
expressjs/body-parser,11,3,6,12,10
expressjs/serve-static,0,5,4,5,2
facebook/create-react-app,395,167,71,31,22
facebook/metro,25,50,64,55,41
facebook/react,963,727,387,1159,842
facebook/watchman,20,49,21,12,18
facebook/zstd,135,169,97,119,58
facelessuser/soupsieve,10,9,6,2,3
fastify/fast-uri,1,2,1,6,11
faye/websocket-driver-node,1,0,0,0,0
fb55/boolbase,0,0,0,0,1
fb55/css-select,16,8,4,0,9
fb55/css-what,13,1,3,0,2
fb55/domelementtype,2,0,0,0,0
fb55/domhandler,9,5,0,2,0
fb55/domutils,4,5,6,1,2
fb55/entities,3,9,0,1,3
fb55/htmlparser2,31,29,13,8,4
fb55/nth-check,1,6,4,0,1
