repo,2021,2022,2023,2024,2025
cpburnz/python-pathspec,8,10,6,2,11
crate-py/rpds,0,0,17,20,15
creationix/http-parser-js,3,4,1,0,1
criterion-rs/criterion.rs,0,0,0,0,11
crossbeam-rs/crossbeam,45,56,43,34,21
cryptocorrosion/cryptocorrosion,8,1,0,3,3
css-modules/icss-utils,1,0,0,0,0
css-modules/postcss-modules-extract-imports,0,0,0,0,0
css-modules/postcss-modules-local-by-default,1,2,3,6,0
css-modules/postcss-modules-scope,0,0,2,1,0
css-modules/postcss-modules-values,3,0,1,0,0
cssnano/cssnano,88,39,34,28,13
csstools/postcss-plugins,33,167,80,45,29
csstree/csstree,17,32,29,32,16
curl/curl,533,497,638,579,473
cuviper/autocfg,5,5,3,10,0
cyan4973/xxhash,64,53,51,20,30
d-bus/dbus,0,0,0,0,0
d3/d3-array,27,7,6,1,2
daaku/nodejs-makeerror,1,0,0,0,0
daaku/nodejs-tmpl,1,0,0,0,0
daaku/nodejs-walker,0,0,0,0,0
dabh/colors.js,0,4,2,2,1
dalek-cryptography/subtle,2,5,4,6,0
danez/pirates,3,4,1,0,0
darshanbmehta/telecom-mas-agent,0,0,0,0,0
date-fns/date-fns,252,208,207,200,85
dateutil/dateutil,48,50,51,47,23
davidhalter/parso,17,5,6,4,2
davisjam/safe-regex,2,1,0,0,0
dchest/tweetnacl-js,7,7,5,3,0
dcodeio/long.js,9,4,7,1,1
debug-js/debug,38,45,22,21,26
definitelytyped/definitelytyped,470,236,132,97,45
defunctzombie/node-url,5,1,6,4,1
digitalbazaar/forge,77,55,43,26,17
distrotech/gdbm,0,0,0,0,0
django/asgiref,41,25,26,29,22
django/django,0,0,0,0,0
djc/rustc-version-rs,4,0,2,1,0
dmitrysoshnikov/regexp-tree,14,2,3,3,6
dmnd/dedent,1,1,22,5,3
docutils/docutils-sourceforge-backup,0,0,0,0,0
dominictarr/json-buffer,0,0,0,0,0
dominictarr/through,0,0,0,0,0
doowb/ansi-colors,3,1,1,0,1
doowb/homedir-polyfill,0,0,0,0,0
doowb/parse-passwd,0,0,0,0,0
douglasdwyer/wasm_sync,0,0,0,1,0
dougwilson/nodejs-depd,2,2,0,2,0
dtolnay/anyhow,33,42,27,29,16
dtolnay/async-trait,31,19,19,12,7
dtolnay/automod,0,0,2,3,2
dtolnay/dissimilar,5,2,2,0,1
dtolnay/indoc,2,3,2,3,1
dtolnay/itoa,2,2,1,2,5
dtolnay/no-panic,1,1,6,6,4
dtolnay/paste,7,12,7,2,0
dtolnay/proc-macro2,18,13,19,21,16
dtolnay/quote,12,15,24,10,12
dtolnay/ref-cast,2,7,2,1,3
dtolnay/rustversion,4,3,4,5,4
dtolnay/ryu,1,4,1,2,0
dtolnay/semver,21,10,7,11,4
dtolnay/serde-stacker,0,1,0,1,0
dtolnay/syn,72,74,98,81,46
dtolnay/target-triple,0,0,0,0,0
dtolnay/thiserror,33,26,30,49,19
dtolnay/trybuild,18,28,16,18,9
dtolnay/unicode-ident,0,4,1,0,1
dtolnay/zmij,0,0,0,0,2
eemeli/yaml,61,44,44,53,30
ehmicky/human-signals,1,0,2,1,0
eliben/pycparser,30,29,28,28,11
emotion-js/emotion,197,153,111,78,27
enarx/ciborium,14,13,15,14,5
encode/httpcore,26,31,33,17,10
encode/httpx,0,0,0,0,0
epoberezkin/fast-deep-equal,8,0,4,7,2
epoberezkin/fast-json-stable-stringify,1,1,0,0,3
epoberezkin/json-schema-traverse,0,3,1,0,0
es-shims/array-includes,1,0,0,0,0
es-shims/array.prototype.flat,1,0,0,0,0
es-shims/array.prototype.flatmap,1,0,0,0,0
es-shims/arraybuffer.prototype.slice,0,0,1,0,0
es-shims/dunder-proto,0,0,0,2,1
es-shims/es-set-tostringtag,0,1,2,0,0
es-shims/function.prototype.name,1,0,0,0,0
es-shims/math-intrinsics,0,0,0,2,0
es-shims/object-is,1,0,0,0,0
es-shims/object.entries,1,0,0,0,0
es-shims/object.fromentries,1,0,0,0,0
es-shims/object.values,1,0,0,0,0
es-shims/regexp.prototype.flags,1,2,1,1,1
es-shims/string.prototype.trimend,1,0,0,0,0
es-shims/string.prototype.trimstart,1,0,0,0,0
es-shims/typedarray,0,0,0,0,0
eslint-community/eslint-utils,0,0,5,9,18
eslint-community/regexpp,0,1,5,5,3
eslint/doctrine,0,0,0,0,0
eslint/eslint,596,567,483,535,392
eslint/eslintrc,9,5,11,12,15
eslint/js,18,10,8,12,17
eslint/rewrite,0,0,0,31,37
estools/escodegen,8,4,6,2,0
estools/esquery,5,4,3,1,4
estools/esrecurse,0,1,0,1,0
estools/estraverse,0,0,1,2,0
estools/esutils,0,0,0,1,0
ethers-io/ethers.js,517,446,456,199,81
evanw/esbuild,1096,796,725,408,284
evanw/node-source-map-support,7,10,3,3,0
eventualbuddha/lines-and-columns,1,0,0,0,0
executablebooks/markdown-it-py,12,14,18,4,9
executablebooks/mdurl,2,0,1,0,0
exodusoss/bytes,0,0,0,0,4
expressjs/body-parser,14,2,6,13,18
expressjs/express,183,119,80,137,100
expressjs/serve-static,1,6,4,6,2
facebook/create-react-app,813,526,261,154,63
facebook/metro,64,53,105,108,79
facebook/prop-types,16,13,6,7,0
facebook/react,1122,927,656,767,917
facebook/regenerator,15,8,5,4,0
facebook/watchman,63,53,55,46,26
facebook/zstd,170,180,163,124,99
facelessuser/soupsieve,10,11,4,2,3
fastify/fast-uri,1,5,1,9,9
faye/faye-websocket-node,1,0,2,0,0
faye/websocket-driver-node,1,0,0,0,0
faye/websocket-extensions-node,2,0,0,0,0
fb55/boolbase,0,0,0,1,1
fb55/css-select,17,8,5,3,11
fb55/css-what,14,1,2,1,2
fb55/domelementtype,2,0,0,0,0
fb55/domhandler,10,5,0,3,0
fb55/domutils,6,4,5,3,1
fb55/entities,3,8,0,2,6
fb55/htmlparser2,31,29,18,13,10
fb55/nth-check,1,6,4,1,0
felixge/node-combined-stream,2,1,0,0,1
felixge/node-delayed-stream,0,0,0,0,0
fent/ret.js,2,2,0,0,0
feross/buffer,12,9,14,9,1
feross/ieee754,0,0,0,0,0
feross/is-buffer,0,0,0,0,1
feross/queue-microtask,2,0,0,0,0
feross/run-parallel,1,0,0,0,0
feross/safe-buffer,4,0,1,0,1
ffmpeg/ffmpeg,0,0,0,0,0
firebase/firebase-js-sdk,523,393,376,304,189
fitzgen/glob-to-regexp,1,0,0,0,0
fizyk20/generic-array,3,7,8,3,7
floatdrop/pinkie,0,0,0,0,0
floatdrop/require-from-string,0,0,1,0,0
floating-ui/floating-ui,78,250,235,153,74
follow-redirects/follow-redirects,19,19,9,16,6
fontconfig/fontconfig,0,0,0,0,0
form-data/form-data,26,12,11,7,17
formatjs/formatjs,220,136,120,110,78
freedesktop-unofficial-mirror/cairo,0,0,0,0,0
freetype/freetype,0,0,0,0,0
frenic/csstype,22,16,13,4,9
frommi/miniz_oxide,9,6,5,8,8
fsevents/fsevents,13,7,10,2,2
fsspec/filesystem_spec,174,112,116,108,73
fsspec/s3fs,87,49,85,49,33
garycourt/uri-js,7,6,7,3,1
gcc-mirror/gcc,0,0,0,0,0
getsentry/sentry-javascript,529,739,1227,1626,1390
giampaolo/psutil,95,86,89,84,102
gilnaa/memoffset,5,2,2,0,0
git/git,0,0,0,0,0
gitlab-freedesktop-mirrors/libxcb,0,0,0,0,0
gitoxidelabs/gitoxide,99,109,174,132,131
gitpython-developers/gitdb,7,1,5,0,4
gitpython-developers/gitpython,93,54,102,71,30
gitpython-developers/smmap,0,0,2,0,0
gkz/levn,1,0,0,0,0
gkz/optionator,1,1,7,0,0
gkz/prelude-ls,0,0,0,0,0
gkz/type-check,0,0,1,0,0
gmp-mirror/gmp,0,0,0,0,0
gnome/gdk-pixbuf,0,0,0,0,0
gnome/glib,0,0,0,0,0
gnome/libxml2,0,0,0,0,0
gnome/pango,0,0,0,0,0
gnosis/libunistring,0,0,0,0,0
gnutls/gnutls,0,0,0,0,0
gnutls/libtasn1,0,0,0,0,0
gnutls/nettle,0,0,0,0,0
google/brotli,36,23,40,34,32
google/zerocopy,0,67,167,243,65
googleapis/google-api-python-client,163,89,78,68,46
googleapis/google-auth-library-python,66,40,49,28,25
googleapis/google-cloud-node-core,75,108,24,32,37
googleapis/google-cloud-python,132,0,499,438,357
googleapis/google-resumable-media-python,21,11,2,1,1
googleapis/proto-plus-python,40,16,7,16,4
googleapis/python-api-core,45,26,17,28,13
googleapis/python-bigquery,205,97,84,72,28
googleapis/python-cloud-core,10,3,2,0,1
googleapis/python-crc32c,21,5,3,3,5
googleapis/python-storage,109,77,109,71,98
googlechrome/workbox,196,94,64,70,24
gozala/querystring,3,0,0,0,0
gpg/libgpg-error,0,0,0,0,0
grahamdumpleton/wrapt,24,14,33,14,15
grantjenks/python-sortedcontainers,18,21,13,15,2
graydon/exhaustigen-rs,0,0,0,0,1
gregberge/svgr,82,80,70,41,14
grncdr/merge-stream,1,0,0,1,0
grpc/grpc,760,607,550,450,333
gsnedders/python-webencodings,3,0,2,0,1
guillaumegomez/doc-comment,4,2,0,0,0
gulpjs/glob-parent,17,1,2,0,0
gulpjs/interpret,2,5,1,2,0
guybedford/es-module-lexer,17,19,12,8,5
gweis/isodate,3,5,6,4,6
gyscos/zstd-rs,23,29,36,40,21
hapijs/hoek,1,0,2,4,0
harfbuzz/harfbuzz,195,237,178,123,176
here-be/snapdragon,3,1,0,0,0
hermit-os/hermit-rs,35,19,17,14,6
hiddentao/fast-levenshtein,1,0,1,0,0
holepunchto/b4a,1,0,3,2,3
httplib2/httplib2,14,8,3,3,4
huggingface/huggingface_hub,118,264,290,329,369
hughsk/is-typedarray,1,0,0,0,0
hukkin/tomli,18,15,3,4,12
humanwhocodes/module-importer,0,2,1,1,3
humanwhocodes/retry,0,0,0,1,1
hyperium/http,20,24,32,28,22
hyperium/http-body,6,5,6,10,6
hyperium/hyper,153,184,143,114,78
iarna/aproba,1,0,0,0,0
iarna/console-control-strings,0,0,0,0,0
iarna/wide-align,2,0,1,1,0
immutable-js/immutable-js,19,13,16,16,20
import-js/eslint-plugin-import,268,196,240,115,73
indexmap-rs/equivalent,0,0,2,1,0
indexmap-rs/indexmap,19,14,15,23,21
indutny/bn.js,13,10,1,0,3
indutny/brorand,0,0,0,0,0
indutny/node-ip,6,9,6,7,5
indutny/offset-buffer,1,0,0,0,1
indygreg/python-zstandard,19,15,19,18,12
inikulin/parse5,17,39,16,13,9
inspect-js/array-buffer-byte-length,0,0,1,0,0
inspect-js/available-typed-arrays,4,0,0,0,0
inspect-js/data-view-buffer,0,0,0,1,0
inspect-js/data-view-byte-length,0,0,0,1,0
inspect-js/data-view-byte-offset,0,0,0,1,0
inspect-js/functions-have-names,2,1,0,0,0
inspect-js/get-symbol-description,1,0,0,3,0
inspect-js/has-property-descriptors,0,2,0,0,0
inspect-js/has-proto,0,1,0,2,0
inspect-js/has-symbols,2,0,0,0,0
inspect-js/has-tostringtag,2,0,0,2,0
inspect-js/hasown,0,0,1,0,1
inspect-js/is-accessor-descriptor,0,0,0,0,0
inspect-js/is-arguments,1,0,0,0,0
inspect-js/is-array-buffer,0,0,0,0,0
inspect-js/is-bigint,2,0,0,0,0
inspect-js/is-boolean-object,2,0,0,0,1
inspect-js/is-callable,2,0,1,0,0
inspect-js/is-core-module,4,1,0,2,1
inspect-js/is-data-descriptor,0,0,0,0,0
inspect-js/is-data-view,0,0,0,1,0
inspect-js/is-date-object,2,0,0,0,0
inspect-js/is-descriptor,0,0,0,0,0
inspect-js/is-generator-function,3,0,0,0,3
inspect-js/is-negative-zero,1,0,0,0,0
inspect-js/is-number-object,2,0,0,0,0
inspect-js/is-regex,2,0,1,1,0
inspect-js/is-set,2,0,0,0,0
inspect-js/is-shared-array-buffer,1,0,0,0,0
inspect-js/is-string,2,0,0,1,0
inspect-js/is-symbol,1,0,0,0,0
inspect-js/is-typed-array,1,0,0,0,0
inspect-js/is-weakref,1,0,0,0,0
inspect-js/node-deep-equal,5,3,4,3,0
inspect-js/node-supports-preserve-symlinks-flag,0,1,0,0,0
inspect-js/object-inspect,3,1,0,2,1
inspect-js/typed-array-buffer,0,0,1,0,0
inspect-js/typed-array-byte-length,0,0,1,0,0
inspect-js/typed-array-byte-offset,0,0,1,3,0
inspect-js/which-boxed-primitive,1,0,0,0,0
inspect-js/which-typed-array,5,1,0,0,1
ipython/traitlets,29,31,27,8,7
isaacs/chownr,0,0,0,1,0
isaacs/cliui,0,0,0,0,0
isaacs/core-util-is,0,0,0,0,1
isaacs/fs.realpath,0,0,0,0,0
isaacs/inherits,2,1,0,0,1
isaacs/isexe,2,2,1,1,0
isaacs/minimatch,11,21,21,12,18
isaacs/minipass,2,5,3,2,1
isaacs/minizlib,1,0,0,2,2
isaacs/node-glob,13,22,63,34,20
isaacs/node-graceful-fs,10,8,5,8,2
isaacs/node-lru-cache,4,50,55,30,7
isaacs/node-mkdirp,3,2,5,2,0
isaacs/node-tar,25,11,14,23,10
isaacs/once,0,0,0,1,0
isaacs/package-json-from-dist,0,0,0,1,0
isaacs/path-scurry,0,0,13,8,0
isaacs/rimraf,6,5,39,21,6
isaacs/sax-js,3,3,3,3,3
isaacs/yallist,1,0,1,0,2
istanbuljs/babel-plugin-istanbul,4,9,8,6,3
istanbuljs/istanbuljs,29,22,26,18,18
istanbuljs/load-nyc-config,0,0,0,0,4
istanbuljs/schema,1,1,0,0,1
istanbuljs/test-exclude,2,1,2,1,2
istanbuljs/v8-to-istanbul,13,5,11,10,2
jamesmunns/postcard,14,16,19,32,27
japaric/cast.rs,5,0,0,3,0
jaraco/jaraco.develop,1,2,3,10,3
jaraco/keyring,54,38,34,23,22
jaraco/pytest-perf,1,4,2,4,0
jaraco/zipp,11,5,17,11,0
jaredhanson/utils-merge,2,1,1,1,0
jaredwray/cacheable,17,29,29,57,82
jaredwray/hookified,0,0,0,1,0
jaredwray/keyv,12,78,41,47,85
jawah/charset_normalizer,23,21,30,15,17
jbgutierrez/path-parse,5,0,0,1,1
jd/tenacity,31,19,25,41,21
jedwatson/classnames,21,13,14,7,3
jensyt/imurmurhash-js,0,0,0,1,2
jestjs/jest,694,577,465,328,204
jhchen/fast-diff,2,1,2,2,2
jimmywarting/formdata,11,3,0,1,0
jimmywarting/node-domexception,1,0,1,0,0
jimp-dev/jimp,59,32,60,52,13
jmespath/jmespath.py,9,10,11,7,2
joblib/joblib,71,78,0,56,57
joblib/threadpoolctl,7,7,10,6,3
jonathanong/ee-first,0,0,0,0,1
jonschlinkert/arr-diff,1,1,0,0,0
jonschlinkert/arr-union,0,0,0,0,0
jonschlinkert/array-unique,0,0,0,0,0
jonschlinkert/assign-symbols,0,0,0,0,0
jonschlinkert/clone-deep,0,2,3,3,0
jonschlinkert/copy-descriptor,0,1,0,0,0
jonschlinkert/define-property,0,0,0,0,0
jonschlinkert/extend-shallow,3,0,1,0,0
jonschlinkert/fill-range,0,0,0,1,0
jonschlinkert/for-in,0,0,0,0,0
jonschlinkert/get-value,3,0,1,1,4
jonschlinkert/global-modules,1,0,0,0,0
jonschlinkert/global-prefix,2,1,0,1,0
jonschlinkert/has-value,0,0,0,0,0
jonschlinkert/has-values,0,0,0,0,1
jonschlinkert/is-extendable,0,0,0,0,0
jonschlinkert/is-number,2,1,1,2,1
jonschlinkert/is-plain-object,2,0,2,2,0
jonschlinkert/is-windows,0,0,0,0,0
jonschlinkert/isobject,2,1,0,0,0
jonschlinkert/kind-of,2,2,1,0,0
jonschlinkert/map-cache,0,0,0,0,0
jonschlinkert/map-visit,0,0,0,0,0
jonschlinkert/normalize-path,0,0,0,0,0
jonschlinkert/object-copy,0,0,0,0,0
jonschlinkert/object-visit,0,0,0,0,0
jonschlinkert/regex-not,0,0,0,0,0
jonschlinkert/repeat-string,0,0,0,0,0
jonschlinkert/set-value,8,1,2,0,0
jonschlinkert/shallow-clone,0,0,1,0,0
jonschlinkert/to-object-path,0,0,0,0,0
jonschlinkert/to-regex,0,0,0,0,0
jonschlinkert/word-wrap,0,0,10,0,2
jorgebucaran/colorette,13,4,2,2,0
joshglazebrook/smart-buffer,3,2,2,0,0
joshglazebrook/socks,6,3,1,10,2
joshuakgoldberg/ts-api-utils,0,0,71,26,19
jpadilla/pyjwt,56,47,37,39,31
jprichardson/node-fs-extra,47,31,30,12,9
jprichardson/node-jsonfile,3,2,1,1,2
jquast/wcwidth,5,1,15,8,5
jquery/esprima,23,11,0,4,3
jridgewell/resolve-uri,1,3,1,0,1
jridgewell/sourcemaps,0,0,0,23,10
jscommunity/make-error,0,0,0,0,0
jsdom/cssstyle,5,2,0,2,40
jsdom/data-urls,1,1,0,0,0
jsdom/html-encoding-sniffer,2,1,0,0,3
jsdom/js-symbol-tree,0,1,0,0,0
jsdom/jsdom,141,119,94,90,96
jsdom/tr46,2,0,2,10,3
jsdom/w3c-xmlserializer,1,0,0,0,0
jsdom/webidl-conversions,4,0,0,0,0
jsdom/whatwg-encoding,0,0,0,0,2
jsdom/whatwg-mimetype,1,0,3,0,1
jsdom/whatwg-url,14,5,3,10,7
jsdom/xml-name-validator,0,0,0,0,0
jshttp/accepts,0,1,1,2,4
jshttp/compressible,0,0,0,0,0
jshttp/content-disposition,4,4,2,0,2
jshttp/content-type,0,1,0,2,2
jshttp/cookie,11,6,3,25,8
jshttp/etag,0,1,0,0,0
jshttp/forwarded,0,1,0,0,0
jshttp/fresh,0,1,1,0,0
jshttp/http-errors,2,2,5,4,2
jshttp/media-typer,0,0,0,1,1
jshttp/methods,0,0,0,2,0
jshttp/mime-db,5,7,7,11,12
jshttp/mime-types,0,1,7,4,12
jshttp/negotiator,0,2,3,2,2
jshttp/on-finished,2,1,1,2,2
jshttp/on-headers,1,0,0,2,1
jshttp/proxy-addr,1,2,0,1,1
jshttp/range-parser,1,3,0,0,0
jshttp/statuses,1,0,0,0,1
jshttp/type-is,1,0,0,2,1
jshttp/vary,0,0,0,0,0
jslicense/spdx-correct.js,3,0,1,1,0
jslicense/spdx-expression-parse.js,0,0,3,2,0
jslicense/spdx-license-ids,1,0,3,0,0
json5/json5,7,19,8,8,3
juliangruber/balanced-match,2,1,1,0,2
juliangruber/brace-expansion,3,0,1,1,9
juliangruber/isarray,1,3,0,0,0
justmoon/node-extend,0,2,3,0,0
jviereck/regjsparser,6,0,2,1,0
ka-weihe/fastest-levenshtein,1,2,3,0,0
kaelzhang/node-ignore,5,7,5,6,10
kemitchell/validate-npm-package-license.js,1,0,0,0,0
kevinbeaty/any-promise,0,0,0,0,0
kevva/astral-regex,0,0,0,0,0
kevva/dir-glob,0,0,0,0,0
kevva/shebang-command,0,0,1,0,0
kikobeats/emojis-list,0,1,0,1,0
kilian/electron-to-chromium,2,2,2,1,1
kjd/idna,9,9,14,12,3
kludex/starlette,70,77,44,50,22
knownasilya/cli-width,0,0,0,0,0
knurling-rs/defmt,113,25,28,49,48
kokakiwi/rust-hex,7,5,1,3,2
kornelski/http-cache-semantics,3,2,2,1,2
kpdecker/jsdiff,10,24,21,45,23
krb5/krb5,0,0,0,0,0
kriskowal/asap,1,2,0,0,0
kriszyp/json-schema,4,0,1,1,0
kumavis/browser-process-hrtime,0,0,0,0,0
la10736/rstest,23,33,32,38,23
lambda-fairy/rust-errno,3,5,3,0,2
langchain-ai/langchain,0,102,5251,2634,943
laurent-laporte-pro/deprecated,7,4,6,4,5
lddubeau/saxes,3,2,0,3,1
lddubeau/xmlchars,1,0,1,1,1
legrandin/pycryptodome,64,67,50,31,28
leonidas-from-xiv/node-xml2js,30,20,28,13,1
libevent/libevent,68,80,68,82,27
libexpat/libexpat,36,38,17,38,24
libffi/libffi,29,39,27,30,34
libidn/libidn2,0,0,0,0,0
libjpeg-turbo/libjpeg-turbo,57,47,84,45,34
libjxl/libjxl,245,236,213,263,118
libpixman/pixman,0,0,0,0,0
libsdl-org/libtiff,0,0,1,1,1
libuv/libuv,104,135,133,114,89
linusu/buffer-from,1,0,0,0,1
linux-audit/audit-userspace,29,30,26,29,37
linux-pam/linux-pam,55,33,44,63,54
litejs/natural-compare-lite,0,1,0,1,1
ljharb/call-bind,1,0,3,1,0
