repo,2021,2022,2023,2024,2025
lokathor/tinyvec,10,9,3,10,4
lovell/detect-libc,1,1,2,1,3
lukaskalbertodt/litrs,4,2,5,0,2
lukeed/clsx,7,13,15,7,4
lukeed/dequal,4,2,0,2,2
lukeed/escalade,1,0,1,0,0
lukeed/kleur,6,0,0,2,0
lupomontero/psl,3,4,6,12,6
lxml/lxml,0,0,0,0,0
lydell/js-tokens,0,1,2,2,1
lydell/source-map-resolve,2,1,0,0,0
lz4/lz4,36,55,37,46,34
madler/zlib,32,88,70,70,34
mafintosh/duplexify,2,0,0,0,0
mafintosh/end-of-stream,0,1,0,0,0
mafintosh/fast-fifo,0,1,1,0,0
mafintosh/pump,0,0,0,1,0
mafintosh/stream-shift,0,0,2,0,0
mafintosh/streamx,7,9,7,6,4
mafintosh/tar-stream,6,2,9,6,5
marak/colors.js,4,47,3,3,4
marshallpierce/rust-base64,8,22,21,5,5
marshmallow-code/marshmallow,108,67,39,33,36
mathiasbynens/cssesc,2,0,2,2,1
mathiasbynens/emoji-regex,10,4,5,5,4
mathiasbynens/he,4,4,3,1,2
mathiasbynens/jsesc,0,2,2,1,2
mathiasbynens/punycode.js,2,3,7,3,2
mathiasbynens/regenerate,1,0,1,1,1
mathiasbynens/regenerate-unicode-properties,0,0,0,0,1
mathiasbynens/regexpu-core,1,9,3,4,0
mathiasbynens/unicode-canonical-property-names-ecmascript,0,0,0,0,0
mathiasbynens/unicode-match-property-ecmascript,1,0,0,0,0
mathiasbynens/unicode-match-property-value-ecmascript,0,0,0,0,0
mathiasbynens/unicode-property-aliases-ecmascript,0,0,0,0,0
matklad/once_cell,17,12,16,10,9
matplotlib/cycler,5,4,1,0,0
matplotlib/matplotlib,944,967,826,642,467
mattcg/language-subtag-registry,1,0,0,1,1
mbostock/internmap,4,0,0,0,0
mcollina/fastq,10,3,7,4,3
mcollina/reusify,0,0,0,1,2
mcollina/split2,3,2,1,0,0
mdevils/html-entities,11,10,5,5,2
mdn/data,11,11,7,8,6
medikoo/d,3,0,0,0,1
medikoo/es5-ext,3,14,5,2,2
medikoo/es6-iterator,0,0,0,0,0
medikoo/es6-symbol,1,0,1,0,0
medikoo/next-tick,0,0,0,0,0
medikoo/type,2,3,0,1,0
mhammond/pywin32,119,108,101,75,57
mhart/aws4,13,5,7,8,1
micheles/decorator,32,9,7,1,7
micromark/micromark,16,6,8,9,8
micromatch/anymatch,3,2,0,0,0
micromatch/braces,2,0,1,11,2
micromatch/expand-brackets,0,0,0,0,0
micromatch/is-glob,1,0,1,0,0
micromatch/micromatch,8,5,6,19,5
micromatch/picomatch,11,10,7,6,7
micromatch/to-regex-range,0,0,0,2,0
microsoft/tslib,0,9,15,7,0
microsoft/typescript,3682,3266,3260,2544,1363
microsoft/windows-rs,481,387,234,262,181
mikemcl/big.js,28,8,6,7,6
mikemcl/bignumber.js,21,21,17,0,10
minimistjs/minimist,0,11,25,12,4
mirror/libx11,0,1,0,0,3
mishoo/uglifyjs,311,217,28,74,5
mitsuhiko/insta,29,59,56,68,41
mlocati/gettext-iconv-windows,0,1,2,1,6
mm2/little-cms,40,35,37,23,42
moment/moment,126,77,71,45,34
more-itertools/more-itertools,43,40,50,77,51
motdotla/dotenv,50,62,48,24,39
moxystudio/node-cross-spawn,5,4,0,7,6
mozilla/source-map,14,7,12,10,3
mrabarnett/mrab-regex,49,35,31,22,39
mridgway/hoist-non-react-statics,1,4,1,0,0
mrkmg/node-external-editor,4,0,0,0,2
mrmlnc/fast-glob,19,21,21,18,12
mscdex/streamsearch,1,0,2,2,3
msgpack/msgpack-python,20,16,22,23,7
mui/material-ui,2349,2185,1682,1320,601
mysticatea/abort-controller,4,4,2,1,1
mysticatea/eslint-utils,10,1,0,1,1
mysticatea/event-target-shim,7,0,1,3,0
mysticatea/regexpp,5,2,0,0,0
near/borsh-rs,33,21,26,19,14
netflix/vmaf,78,61,47,28,18
networkx/networkx,202,254,221,124,114
nexdrew/which-module,0,0,0,0,0
nghttp2/nghttp2,74,65,49,63,26
nicolo-ribaudo/babel-preset-current-node-syntax,0,0,0,3,0
nix-rust/nix,59,91,82,75,40
nlnetlabs/unbound,140,170,121,161,135
node-fetch/fetch-blob,18,3,0,1,1
node-fetch/node-fetch,191,88,42,13,12
nodeca/argparse,5,6,2,2,5
nodeca/js-yaml,43,31,18,9,5
nodeca/pako,32,17,12,7,4
nodejs/cjs-module-lexer,18,7,5,5,6
nodejs/nan,16,8,7,9,4
nodejs/node,1443,1314,1680,1500,1333
nodejs/node-addon-api,150,83,48,42,20
nodejs/readable-stream,5,20,17,12,3
nodejs/string_decoder,2,0,0,0,0
nodejs/undici,270,205,231,351,182
nodelib/nodelib,2,3,2,5,4
novemberborn/common-path-prefix,0,0,0,0,0
npm/abbrev-js,0,0,0,1,0
npm/are-we-there-yet,3,0,1,0,0
npm/cacache,6,7,5,5,2
npm/gauge,1,1,1,0,0
npm/hosted-git-info,11,6,2,1,1
npm/ini,9,6,3,17,1
npm/json-parse-even-better-errors,0,2,0,0,0
npm/make-fetch-happen,10,8,4,3,0
npm/mute-stream,0,0,0,0,0
npm/node-semver,29,41,41,20,15
npm/node-which,3,0,3,0,1
npm/nopt,0,1,2,0,1
npm/normalize-package-data,5,1,4,0,1
npm/npm-normalize-package-bin,0,1,0,0,1
npm/npmlog,5,1,2,1,0
npm/proc-log,0,0,0,2,0
npm/ssri,3,1,1,0,1
npm/unique-slug,0,0,1,0,0
npm/write-file-atomic,4,0,3,1,0
nucleic/kiwi,10,16,11,6,4
numpy/numpy,995,918,950,953,717
nv/cssom,3,1,1,0,1
nyalab/caniuse-api,1,2,1,0,0
oauthlib/oauthlib,23,14,12,8,13
octokit/openapi-types.ts,16,7,5,5,0
octokit/types.ts,21,13,14,10,4
omnilib/aioitertools,3,4,1,2,0
oozcitak/xmlbuilder-js,3,1,1,1,0
open-telemetry/opentelemetry-js,297,302,346,282,247
open-telemetry/opentelemetry-js-contrib,143,163,172,207,143
open-telemetry/opentelemetry-python,326,368,225,309,183
openssl/openssl,1651,1181,1309,951,846
opensuse/ca-certificates,2,0,1,3,0
p11-glue/p11-kit,21,19,55,19,26
paholg/typenum,4,5,5,10,5
pallets-eco/blinker,2,2,11,4,1
pallets/click,219,131,106,78,145
pallets/flask,202,204,151,76,47
pallets/itsdangerous,7,9,2,6,5
pallets/jinja,100,119,59,54,30
pallets/markupsafe,17,21,8,16,13
pallets/werkzeug,94,114,100,78,26
pandas-dev/pandas,2162,1888,2049,1393,896
paramiko/paramiko,111,139,129,105,49
paritytech/scale-info,21,16,7,3,4
paulmillr/chokidar,85,46,0,55,26
paulmillr/readdirp,6,1,0,2,2
pcre2project/pcre2,44,60,98,88,61
perl/perl5,364,424,375,291,331
pest-parser/pest,45,46,35,22,19
peternator7/strum,26,25,31,33,26
petkaantonov/bluebird,8,5,6,5,6
pexpect/pexpect,32,16,32,13,5
pexpect/ptyprocess,1,3,0,3,2
pillarjs/encodeurl,0,0,1,0,2
pillarjs/finalhandler,2,3,0,3,1
pillarjs/iconv-lite,15,14,6,4,10
pillarjs/parseurl,1,1,0,1,0
pillarjs/path-to-regexp,21,13,7,25,13
pillarjs/send,1,1,1,8,3
pkgconf/pkgconf,23,25,34,20,39
pnggroup/libpng,26,35,36,35,58
postcss/autoprefixer,33,28,7,20,8
postcss/postcss,103,63,54,38,36
postcss/postcss-selector-parser,6,3,1,4,3
prettier/prettier,610,507,555,375,376
primus/eventemitter3,6,9,7,5,3
prompt-toolkit/python-prompt-toolkit,119,82,74,58,40
proptest-rs/proptest,23,12,41,45,19
protobufjs/protobuf.js,84,80,56,48,32
protocolbuffers/protobuf,515,656,547,496,372
psf/requests,196,190,164,132,105
psycopg/psycopg2,147,91,78,74,26
py4j/py4j,22,16,21,7,12
pyasn1/pyasn1,0,9,18,14,9
pyasn1/pyasn1-modules,0,0,3,0,1
pyca/bcrypt,8,18,21,15,13
pyca/cryptography,274,271,234,254,176
pyca/pynacl,28,21,3,12,16
pyca/pyopenssl,37,39,45,26,6
pydantic/pydantic,426,457,1437,1279,665
pydantic/pydantic-core,0,89,139,92,37
pydantic/typing-inspection,0,0,0,0,6
pygments/pygments,143,113,105,78,70
pypa/distlib,27,18,16,14,5
pypa/packaging,60,75,53,40,34
pypa/pip,723,552,467,378,247
pypa/setuptools,223,306,185,216,167
pypa/trove-classifiers,8,11,7,11,5
pypa/virtualenv,91,60,56,36,52
pypa/wheel,25,24,28,20,12
pyparsing/pyparsing,68,68,45,30,19
pytest-dev/iniconfig,2,7,2,1,4
pytest-dev/pluggy,16,11,25,9,7
pytest-dev/py,6,8,4,1,2
pytest-dev/pytest,425,377,392,415,296
python-attrs/attrs,69,89,65,76,40
python-cffi/cffi,0,0,19,50,30
python-distro/distro,7,7,2,2,1
python-greenlet/greenlet,35,33,44,20,24
python-hyper/brotlicffi,7,2,2,4,5
python-hyper/h11,6,5,6,3,2
python-hyper/uritemplate,2,3,1,0,0
python-jsonschema/jsonschema,79,75,105,44,39
python-jsonschema/jsonschema-specifications,0,0,6,2,2
python-jsonschema/referencing,0,1,32,11,13
python-pillow/pillow,309,337,275,245,163
python-poetry/poetry-core,0,0,0,0,0
python-poetry/tomlkit,24,41,40,28,23
python-trio/sniffio,2,3,3,2,2
python/importlib_metadata,49,36,36,17,14
python/importlib_resources,14,18,10,14,4
python/mypy,1152,1439,1367,947,924
python/mypy_extensions,1,1,8,1,7
python/typeshed,383,465,329,372,303
python/typing,83,62,79,55,62
python/typing_extensions,17,43,73,104,71
python/tzdata,0,2,5,1,8
qix-/color,33,11,3,0,10
qix-/color-convert,3,5,3,2,11
qix-/color-string,9,0,3,0,5
qix-/node-error-ex,0,0,0,0,4
qix-/node-is-arrayish,0,0,0,0,2
qt/qt5,0,0,0,0,0
qunixorg/acl,0,0,0,0,0
radix-ui/primitives,253,382,419,391,241
rapidfuzz/rapidfuzz,59,89,37,31,14
rapidfuzz/strsim-rs,2,2,2,2,1
raszi/node-tmp,5,6,4,5,2
raynos/duplexer,0,0,0,0,0
raynos/for-each,0,0,0,1,0
raynos/function-bind,0,0,1,0,0
raynos/xtend,0,0,0,0,0
rayon-rs/either,5,3,8,5,2
rayon-rs/rayon,54,53,59,53,22
reactivex/rxjs,198,103,62,25,11
realpython/pytest-mypy,7,13,4,5,4
remix-run/react-router,479,558,453,425,615
remusao/tldts,4,6,9,5,15
requests/requests-oauthlib,17,22,7,15,4
requests/toolbelt,10,10,15,7,5
retep998/winapi-rs,33,12,13,9,3
rich-harris/estree-walker,3,1,2,3,0
rich-harris/magic-string,3,14,14,11,2
richienb/char-regex,0,1,0,0,0
roaringbitmap/roaring-rs,9,46,3,13,6
rob--w/proxy-from-env,0,3,2,1,4
rogdham/backports.zstd,0,0,0,0,6
rollup/plugins,203,167,132,89,56
rollup/rollup,226,216,250,161,135
ronaldoussoren/pyobjc,69,102,58,43,28
rthalley/dnspython,59,47,67,66,28
ruamel/yaml.clib,0,0,0,0,0
runk/node-chardet,2,2,4,2,5
rust-bakery/nom,103,62,55,23,41
rust-cli/anstyle,0,10,14,14,7
rust-cli/env_logger,14,12,14,19,12
rust-embedded/critical-section,1,7,5,5,2
rust-embedded/heapless,23,16,38,31,34
rust-fuzz/arbitrary,8,14,11,14,8
rust-itertools/itertools,34,39,54,61,28
rust-lang-nursery/lazy-static.rs,5,5,7,4,2
rust-lang/backtrace-rs,22,18,15,19,19
rust-lang/cc-rs,32,47,53,124,70
rust-lang/cfg-if,7,3,4,2,2
rust-lang/compiler-builtins,16,20,15,25,28
rust-lang/flate2-rs,16,24,23,16,18
rust-lang/futures-rs,80,42,54,42,33
rust-lang/glob,2,7,7,5,11
rust-lang/hashbrown,24,26,37,31,19
rust-lang/jobserver-rs,1,4,3,11,3
rust-lang/libc,65,58,66,84,87
rust-lang/libz-sys,9,13,13,20,6
rust-lang/log,21,32,21,17,27
rust-lang/pkg-config-rs,3,6,8,5,5
rust-lang/regex,38,36,87,36,25
rust-lang/rust,4650,4697,4270,5013,4866
rust-lang/rust-bindgen,105,89,132,167,123
rust-lang/rustc-hash,2,1,2,5,4
rust-lang/socket2,38,33,43,24,22
rust-num/num-bigint,21,16,12,6,10
rust-num/num-complex,7,4,4,7,6
rust-num/num-integer,4,2,3,3,4
rust-num/num-traits,16,16,24,15,13
rust-phf/rust-phf,11,8,10,8,11
rust-pretty-assertions/rust-pretty-assertions,8,5,8,4,2
rust-random/getrandom,22,28,21,35,32
rust-random/rand,45,31,46,51,52
rust-random/rand_core,0,0,0,0,3
rust-random/rngs,3,4,3,1,5
rustcrypto/formats,30,49,64,66,71
rustcrypto/hashes,36,32,0,24,18
rustcrypto/hybrid-array,0,0,0,13,5
rustcrypto/stream-ciphers,6,4,6,1,19
rustcrypto/traits,37,42,32,36,48
rustcrypto/utils,35,28,33,20,21
rustls/pki-types,0,0,4,7,7
rustls/rustls,168,110,156,141,85
rustls/webpki-roots,2,0,3,5,3
rvagg/bl,6,1,1,2,2
rvagg/isstream,0,0,0,0,0
rvagg/node-errno,0,0,0,0,0
rvagg/through2,2,2,0,0,0
ryanzim/universalify,1,1,0,0,0
sailfishos-mirror/readline,0,0,0,0,0
salesforce/tough-cookie,9,12,19,16,16
samccone/chrome-trace-event,0,1,0,1,0
samn/json-stable-stringify,0,0,0,0,0
samverschueren/decode-uri-component,0,5,2,2,3
sarugaku/shellingham,5,5,8,3,1
sboudrias/inquirer.js,53,55,70,76,67
sboudrias/run-async,0,0,0,0,1
scikit-build/ninja-python-distributions,7,4,6,6,5
scikit-learn/scikit-learn,915,783,758,719,549
scipy/scipy,894,963,842,926,698
seanmonstar/num_cpus,3,4,3,0,1
seanmonstar/reqwest,169,154,194,187,175
seanmonstar/unicase,2,1,2,3,2
sec-ant/readable-stream,0,0,0,5,0
selinuxproject/selinux,26,21,19,20,27
serde-rs/bytes,1,3,6,0,0
serde-rs/json,66,86,82,66,39
serde-rs/serde,150,136,171,129,80
serge-sans-paille/isl,0,0,0,0,0
sergiobenitez/version_check,1,1,1,1,0
servo/rust-fnv,0,1,1,0,1
servo/rust-smallvec,12,6,8,12,7
servo/rust-url,33,33,36,50,38
simenb/collect-v8-coverage,1,0,0,2,0
sinclairzx81/sinclair-typebox,0,0,0,0,0
sindresorhus/aggregate-error,1,2,2,0,0
sindresorhus/ansi-escapes,1,3,4,0,0
sindresorhus/array-union,1,0,0,0,0
sindresorhus/arrify,0,1,0,0,0
sindresorhus/binary-extensions,2,0,0,0,1
sindresorhus/callsites,1,1,0,1,2
sindresorhus/camelcase,6,5,3,0,2
sindresorhus/clean-stack,5,0,0,1,2
sindresorhus/cli-cursor,0,0,0,0,0
sindresorhus/cli-spinners,5,1,1,2,5
sindresorhus/cli-truncate,3,1,0,1,1
sindresorhus/component-emitter,1,0,1,1,0
sindresorhus/crypto-random-string,6,4,2,0,0
sindresorhus/decamelize,3,4,1,0,1
sindresorhus/decompress-response,3,0,1,0,0
sindresorhus/define-lazy-prop,0,0,0,0,0
sindresorhus/detect-newline,0,0,1,0,0
sindresorhus/dot-prop,6,6,6,3,3
sindresorhus/emittery,15,6,3,6,3
sindresorhus/env-paths,2,1,0,1,1
sindresorhus/environment,0,0,0,2,0
sindresorhus/escape-string-regexp,6,0,0,1,1
sindresorhus/execa,29,15,53,172,17
sindresorhus/figures,13,3,0,1,0
sindresorhus/file-type,57,32,29,50,21
sindresorhus/find-up,4,5,2,1,2
sindresorhus/find-up-simple,0,0,0,1,2
sindresorhus/get-east-asian-width,0,0,1,0,0
sindresorhus/get-stream,3,0,12,5,0
sindresorhus/globals,3,3,4,14,13
sindresorhus/globby,22,10,10,6,5
sindresorhus/got,208,148,74,43,23
sindresorhus/has-flag,0,0,0,0,0
sindresorhus/import-fresh,2,3,1,3,0
sindresorhus/import-local,1,0,1,1,0
sindresorhus/indent-string,2,0,1,0,0
sindresorhus/index-to-position,0,0,2,1,0
sindresorhus/is,14,17,5,4,3
sindresorhus/is-binary-path,0,0,0,0,0
sindresorhus/is-docker,3,1,1,2,0
sindresorhus/is-fullwidth-code-point,1,1,1,0,0
sindresorhus/is-generator-fn,0,0,0,0,0
sindresorhus/is-inside-container,0,0,0,1,0
sindresorhus/is-obj,1,0,0,0,0
sindresorhus/is-path-inside,0,0,0,0,0
sindresorhus/is-plain-obj,0,1,0,0,0
sindresorhus/is-safe-filename,0,0,0,0,0
sindresorhus/is-stream,2,0,0,0,0
sindresorhus/is-unicode-supported,1,0,0,1,0
sindresorhus/is-wsl,0,1,1,0,1
sindresorhus/leven,1,0,0,1,1
sindresorhus/load-json-file,2,0,0,0,0
sindresorhus/locate-path,2,0,0,0,0
sindresorhus/log-symbols,0,0,0,0,1
sindresorhus/lowercase-keys,0,0,0,2,0
sindresorhus/make-dir,3,1,4,1,0
sindresorhus/map-obj,5,3,0,2,0
sindresorhus/meow,20,9,11,1,0
sindresorhus/merge-descriptors,0,0,2,0,0
sindresorhus/merge-streams,0,0,0,22,0
sindresorhus/mimic-function,0,1,1,2,0
sindresorhus/mimic-response,0,0,0,0,0
sindresorhus/node-defaults,0,1,2,0,0
sindresorhus/normalize-url,17,12,3,4,2
sindresorhus/npm-run-path,1,1,0,1,0
sindresorhus/object-assign,0,0,0,0,0
sindresorhus/onetime,0,0,0,0,0
sindresorhus/open,30,17,24,11,8
sindresorhus/ora,21,16,12,7,1
sindresorhus/os-tmpdir,0,0,0,0,0
sindresorhus/p-cancelable,3,4,1,0,0
sindresorhus/p-finally,0,0,0,0,0
sindresorhus/p-limit,6,8,10,7,7
sindresorhus/p-locate,0,0,0,0,1
sindresorhus/p-map,14,4,2,6,0
sindresorhus/p-timeout,3,2,2,3,1
sindresorhus/p-try,0,0,0,1,0
sindresorhus/parent-module,1,0,0,0,0
sindresorhus/parse-json,4,0,4,0,0
sindresorhus/path-exists,2,1,0,0,0
sindresorhus/path-is-absolute,0,0,0,0,0
sindresorhus/path-key,1,0,0,0,0
sindresorhus/path-type,1,0,0,0,1
sindresorhus/pify,1,0,0,0,0
sindresorhus/prepend-http,0,0,0,0,0
sindresorhus/quick-lru,5,3,7,1,3
sindresorhus/read-pkg,4,0,3,0,2
sindresorhus/redent,0,0,0,0,0
sindresorhus/resolve-cwd,0,0,0,0,0
sindresorhus/resolve-from,0,0,1,0,0
sindresorhus/responselike,0,0,0,0,0
sindresorhus/restore-cursor,0,0,0,0,0
sindresorhus/shebang-regex,0,0,0,0,1
sindresorhus/slash,1,2,0,0,0
sindresorhus/string-length,1,0,1,0,0
sindresorhus/string-width,5,8,2,6,4
sindresorhus/strip-bom,1,0,0,0,0
sindresorhus/strip-final-newline,0,0,1,0,0
sindresorhus/strip-indent,1,1,0,0,1
sindresorhus/strip-json-comments,3,5,1,1,1
sindresorhus/tagged-tag,0,0,0,0,0
sindresorhus/to-fast-properties,1,0,0,0,0
sindresorhus/type-fest,84,98,137,112,99
sindresorhus/unicorn-magic,0,0,0,0,0
sindresorhus/yn,1,1,0,1,0
sindresorhus/yocto-queue,2,1,1,4,2
sindresorhus/yoctocolors,0,0,1,5,3
sinonjs/commons,0,2,0,0,0
sinonjs/fake-timers,21,17,10,15,2
slint-ui/document-features,0,9,3,6,4
smithy-lang/smithy-rs,274,321,226,108,100
smithy-lang/smithy-typescript,14,21,47,67,38
smol-rs/fastrand,7,8,11,7,2
smol-rs/futures-lite,3,4,6,7,8
snowflakedb/snowflake-connector-python,103,145,155,88,101
socketio/socket.io,196,143,147,110,70
sqlalchemy/sqlalchemy,882,573,617,346,184
sqlite/sqlite,0,0,0,0,0
srijs/rust-crc32fast,3,3,2,6,3
stacktracejs/stackframe,0,9,2,0,0
stebalien/tempfile,12,16,18,18,18
stebalien/xattr,0,1,7,1,10
stefankoegl/python-json-pointer,3,4,2,1,2
stefanpenner/get-caller-file,0,0,1,0,0
storybookjs/storybook,1778,1275,2011,1193,1030
storyyeller/stable_deref_trait,0,2,1,0,2
stream-utils/destroy,0,0,0,0,0
stream-utils/raw-body,1,1,1,2,2
stream-utils/unpipe,0,0,0,0,0
streamich/memfs,25,23,31,28,50
stub42/pytz,15,19,17,12,5
suguru03/neo-async,2,0,1,1,0
sunfishcode/is-terminal,0,2,3,2,1
sunfishcode/linux-raw-sys,2,2,6,3,7
superchupudev/tinyglobby,0,0,0,41,40
sval-rs/sval,4,1,8,4,1
sval-rs/value-bag,6,0,9,1,1
svg/svgo,123,63,59,66,30
swc-project/swc,700,1027,723,524,429
sybrenstuvel/python-rsa,6,13,9,2,3
syntax-tree/unist-util-is,0,0,0,0,0
syntax-tree/unist-util-stringify-position,0,0,0,0,0
syntax-tree/unist-util-visit,4,0,1,1,2
syntax-tree/unist-util-visit-parents,0,0,1,1,1
systemd/systemd,1241,1324,1386,1509,1338
szmarczak/defer-to-connect,0,0,0,0,0
taiki-e/pin-project,6,7,1,0,4
taiki-e/pin-project-lite,7,1,4,2,2
taiki-e/portable-atomic,0,16,13,7,7
tapjs/foreground-child,0,1,1,4,2
tapjs/signal-exit,2,2,2,3,2
tapjs/stack-utils,6,2,0,0,0
tarruda/has,2,2,0,0,0
tartley/colorama,23,21,8,7,6
teambition/merge2,0,0,0,0,0
teddriggs/darling,23,33,28,20,41
tehshrike/deepmerge,9,7,5,3,2
tensorflow/tensorboard,169,142,96,60,25
terkelg/prompts,40,19,17,8,3
terkelg/sisteransi,0,0,0,0,2
terser/terser,182,154,113,64,52
textualize/rich,302,366,225,139,112
thejoshwolfe/yauzl,3,1,3,4,2
thenables/thenify,0,0,0,0,0
theskumar/python-dotenv,45,37,36,29,27
thkukuk/rpcsvc-proto,2,1,2,1,1
thlorenz/convert-source-map,0,1,0,1,1
thlorenz/deep-is,1,0,0,0,0
thomasdickey/ncurses-snapshots,0,0,0,0,0
tim-kos/node-retry,5,2,2,0,0
time-rs/time,62,69,58,43,29
tinylibs/tinyrainbow,0,0,2,0,0
tiran/defusedxml,8,6,10,2,0
tj/co,1,1,1,0,1
tj/commander.js,121,89,87,63,59
tjguk/wmi,2,6,2,1,1
tkaitchuck/ahash,24,26,25,24,11
tkem/cachetools,30,12,24,13,19
tokio-rs/bytes,20,28,31,28,22
tokio-rs/loom,11,27,12,16,19
tokio-rs/mio,44,34,28,36,22
tokio-rs/prost,76,89,73,53,38
tokio-rs/slab,3,6,2,0,3
tokio-rs/tokio,273,265,296,271,226
tokio-rs/tracing,215,187,162,138,104
tokio-rs/valuable,21,7,3,3,3
toml-rs/toml,41,58,106,54,60
tootallnate/file-uri-to-path,1,0,0,0,0
tootallnate/once,1,0,0,0,1
tootallnate/proxy-agents,11,7,50,34,14
tootallnate/util-deprecate,1,0,0,0,0
tornadoweb/tornado,79,53,54,28,33
tower-rs/tower,23,28,17,26,9
tox-dev/filelock,13,16,21,21,12
tox-dev/platformdirs,26,23,27,6,14
tqdm/tqdm,92,72,77,54,25
trentm/node-dashdash,1,0,1,0,0
tritondatacenter/node-http-signature,6,0,0,3,0
troygoode/node-require-directory,0,0,0,0,0
trysound/postcss-value-parser,1,1,1,0,0
tsconfig/bases,13,20,48,19,13
tukaani-project/xz,0,0,23,38,27
typescript-eslint/typescript-eslint,642,823,833,1102,582
typestrong/ts-node,186,160,94,28,15
uiri/toml,30,15,17,8,3
unclechu/node-deep-extend,1,1,0,0,0
ungap/structured-clone,0,8,4,0,1
unicode-org/icu,0,0,0,0,0
unicode-org/icu4x,452,486,427,284,342
unicode-rs/unicode-segmentation,3,4,9,5,6
unicode-rs/unicode-width,5,1,0,9,1
unicode-rs/unicode-xid,1,3,0,2,0
unjs/jiti,24,26,27,33,26
unjs/pathe,2,11,9,10,3
unshiftio/querystringify,0,2,0,0,0
unshiftio/requires-port,0,0,1,0,0
unshiftio/url-parse,14,8,0,0,1
uqfoundation/dill,35,70,51,29,17
urllib3/urllib3,102,100,117,88,68
util-linux/util-linux,168,173,242,219,191
uuid-rs/uuid,26,23,25,15,21
uuidjs/uuid,37,20,27,34,23
vercel/ai,0,0,321,742,2055
vercel/arg,2,5,1,1,0
vercel/ms,6,8,5,6,22
vercel/next.js,3375,3215,4313,3003,2091
visionmedia/bytes.js,0,1,1,0,1
visionmedia/node-progress,6,0,1,0,0
vitest-dev/vitest,159,898,978,910,842
vorner/signal-hook,26,4,9,7,11
vuejs/core,1307,1190,904,896,456
wasm-bindgen/wasm-bindgen,215,239,221,190,175
watson/ci-info,7,15,17,7,4
watson/is-ci,1,1,1,0,0
wbond/asn1crypto,15,18,17,6,9
web-platform-dx/baseline-browser-mapping,0,0,0,0,14
webmproject/libwebp,0,0,0,0,0
webpack/css-loader,65,28,18,26,5
webpack/enhanced-resolve,23,23,11,12,5
webpack/loader-runner,5,1,1,0,0
webpack/loader-utils,3,14,4,1,1
webpack/schema-utils,1,1,0,2,0
webpack/tapable,7,6,0,0,1
webpack/terser-webpack-plugin,37,27,13,8,6
webpack/watchpack,8,7,2,3,0
webpack/webpack,993,563,400,246,164
webpack/webpack-sources,9,2,0,1,2
webreflection/flatted,8,2,5,7,1
webreflection/html-escaper,2,2,0,0,0
websocket-client/websocket-client,82,87,52,31,22
websockets/ws,120,83,54,58,25
wesleytodd/setprototypeof,0,0,0,0,0
whitequark/ipaddr.js,6,5,5,5,4
winnow-rs/winnow,0,0,72,58,41
withoutboats/heck,3,3,5,3,3
xampprocky/remove_dir_all,4,5,5,2,1
xiph/ogg,4,5,2,0,4
xtuc/webassemblyjs,10,5,6,2,6
yahoo/serialize-javascript,7,3,2,3,1
yaml/libyaml,15,13,12,9,7
yaml/pyyaml,70,68,57,43,44
yargs/cliui,4,2,8,2,8
yargs/require-main-filename,0,0,0,0,0
yargs/set-blocking,0,1,0,0,0
yargs/y18n,8,0,1,0,1
yargs/yargs,137,101,54,40,25
yargs/yargs-parser,29,9,6,1,6
yuzujs/setimmediate,2,2,0,0,2
zertosh/invariant,4,0,0,0,1
zertosh/loose-envify,0,0,0,0,1
zloirock/core-js,83,77,86,34,22
