repo,repo_id,git_url,login,contributions,account_type
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,chmontgomery,1,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,conradirwin,1,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,despeset,1,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,duncanbeevers,1,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,fgnass,1,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,garysye,1,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,pgilad,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,marijnh,796,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,rreverser,228,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,dnalborczyk,63,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mysticatea,60,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,adrianheine,58,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,timothygu,36,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,max-schaefer,13,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,nzakas,12,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,ota-meshi,11,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,aparajita,10,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,danez,8,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,sosukesuzuki,7,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,tyrealhu,6,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,longtengdao,6,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,lucian-4a25,6,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,adams85,6,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,not-an-aardvark,6,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,sebmck,6,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,jdalton,6,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,abraidwood,5,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,rich-harris,5,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,forbeslindesay,4,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,jmm,4,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mathiasbynens,4,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,overlookmotel,4,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,laosb,3,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,susiwen8,3,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,andarist,3,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,wjx,3,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,jlhwung,3,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,davidbonnet,3,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,brettz9,3,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,augustinmauroy,3,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,timvdlippe,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,ehmicky,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mrrefactoring,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,victor-homyakov,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,btmills,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,jacksonrayhamilton,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,antross,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mrcarlberg,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,benekastah,2,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,tanimodori,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,simenb,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,sdbedi,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,realityking,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,robpalme,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,gibson042,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,goto-bus-stop,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,readmecritic,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,prayagverma,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,plng,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,petrlaskevic,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,prust,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,oxyc,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,othomann,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,norbiros,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,fitzgen,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,nauja,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mrennie,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mishoo,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,flozz,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,ygyooo,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,zsjforcn,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,tuesmiddt,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,r-e-d,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,peakchen90,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,kennynaoh,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mickey-gs,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,tsangint,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,kyranet,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,kratorado,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,keeyipchan,1,User
