repo,repo_id,git_url,status,n_contributors,fetched_at
azure/azure-sdk-for-python,gh/4127088,https://github.com/azure/azure-sdk-for-python.git,ok,403,2026-05-19T11:22:46+00:00
azure/msrest-for-python,gh/71186468,https://github.com/azure/msrest-for-python.git,ok,23,2026-07-05T22:54:34+00:00
azuread/microsoft-authentication-library-for-python,gh/67243113,https://github.com/azuread/microsoft-authentication-library-for-python.git,ok,43,2026-05-19T11:22:46+00:00
babel/babel,gh/24560307,https://github.com/babel/babel.git,ok,412,2026-05-19T11:22:48+00:00
babel/babel-polyfills,gh/190579283,https://github.com/babel/babel-polyfills.git,ok,24,2026-05-19T11:22:47+00:00
bdwgc/bdwgc,gh/2109456,https://github.com/bdwgc/bdwgc.git,ok,166,2026-05-19T11:22:49+00:00
beatgammit/base64-js,gh/2853282,https://github.com/beatgammit/base64-js.git,ok,11,2026-05-19T11:22:49+00:00
benjaminp/six,gh/77868600,https://github.com/benjaminp/six.git,ok,59,2026-05-19T11:22:50+00:00
besser82/libxcrypt,gh/35503965,https://github.com/besser82/libxcrypt.git,ok,26,2026-05-19T11:22:51+00:00
bincode-org/bincode,gh/24130045,https://github.com/bincode-org/bincode.git,ok,1,2026-07-05T22:54:37+00:00
bitflags/bitflags,gh/29287955,https://github.com/bitflags/bitflags.git,ok,87,2026-05-19T11:22:52+00:00
blakeembrey/array-flatten,gh/17789771,https://github.com/blakeembrey/array-flatten.git,ok,8,2026-05-19T11:22:53+00:00
blakeembrey/change-case,gh/9440238,https://github.com/blakeembrey/change-case.git,ok,25,2026-05-19T11:22:54+00:00
bluss/bencher,gh/65987276,https://github.com/bluss/bencher.git,ok,4,2026-05-19T11:22:56+00:00
bminor/glibc,gh/13868694,https://github.com/bminor/glibc.git,ok,282,2026-07-05T22:54:33+00:00
boto/boto3,gh/24774658,https://github.com/boto/boto3.git,ok,148,2026-05-19T11:22:57+00:00
boto/botocore,gh/6670942,https://github.com/boto/botocore.git,ok,177,2026-05-19T11:22:59+00:00
boto/s3transfer,gh/49535299,https://github.com/boto/s3transfer.git,ok,41,2026-05-19T11:22:59+00:00
braveg1rl/performance-now,gh/336187529,https://github.com/braveg1rl/performance-now.git,ok,1,2026-05-19T11:23:01+00:00
brianc/node-postgres,gh/991475,https://github.com/brianc/node-postgres.git,ok,321,2026-05-19T11:23:03+00:00
broofa/mime,gh/534940,https://github.com/broofa/mime.git,ok,48,2026-05-19T11:23:03+00:00
broofa/node-int64,gh/1208666,https://github.com/broofa/node-int64.git,ok,6,2026-07-05T22:54:31+00:00
browserify/events,gh/1649251,https://github.com/browserify/events.git,ok,15,2026-05-19T11:23:04+00:00
browserify/node-util,gh/14568009,https://github.com/browserify/node-util.git,ok,10,2026-05-19T11:23:05+00:00
browserify/randombytes,gh/29300004,https://github.com/browserify/randombytes.git,ok,8,2026-05-19T11:23:07+00:00
browserify/resolve,gh/1915099,https://github.com/browserify/resolve.git,ok,55,2026-05-19T11:23:08+00:00
browserslist/browserslist,gh/27971466,https://github.com/browserslist/browserslist.git,ok,182,2026-05-19T11:23:10+00:00
browserslist/caniuse-lite,gh/80221890,https://github.com/browserslist/caniuse-lite.git,ok,13,2026-05-19T11:23:11+00:00
browserslist/update-db,gh/505548145,https://github.com/browserslist/update-db.git,ok,12,2026-05-19T11:23:12+00:00
burntsushi/aho-corasick,gh/37290678,https://github.com/burntsushi/aho-corasick.git,ok,32,2026-05-19T11:23:21+00:00
burntsushi/jiff,gh/759017108,https://github.com/burntsushi/jiff.git,ok,46,2026-05-19T11:23:15+00:00
burntsushi/memchr,gh/37290652,https://github.com/burntsushi/memchr.git,ok,46,2026-05-19T11:23:16+00:00
burntsushi/quickcheck,gh/17559913,https://github.com/burntsushi/quickcheck.git,ok,79,2026-05-19T11:23:18+00:00
burntsushi/same-file,gh/78375612,https://github.com/burntsushi/same-file.git,ok,13,2026-05-19T11:23:19+00:00
burntsushi/termcolor,gh/141345580,https://github.com/burntsushi/termcolor.git,ok,164,2026-05-19T11:23:20+00:00
burntsushi/ucd-generate,gh/123997498,https://github.com/burntsushi/ucd-generate.git,ok,15,2026-05-19T11:23:22+00:00
burntsushi/walkdir,gh/42685794,https://github.com/burntsushi/walkdir.git,ok,35,2026-05-19T11:23:24+00:00
burntsushi/winapi-util,gh/146040682,https://github.com/burntsushi/winapi-util.git,ok,7,2026-05-19T11:23:25+00:00
businho/pytest-ruff,gh/599731435,https://github.com/businho/pytest-ruff.git,ok,7,2026-05-19T11:23:26+00:00
bytecodealliance/rustix,gh/295544240,https://github.com/bytecodealliance/rustix.git,ok,123,2026-05-19T11:23:28+00:00
bytecodealliance/wasi-rs,gh/196445196,https://github.com/bytecodealliance/wasi-rs.git,ok,25,2026-05-19T11:23:29+00:00
c-ares/c-ares,gh/571708,https://github.com/c-ares/c-ares.git,ok,163,2026-05-19T11:23:31+00:00
calvinmetcalf/minimalistic-assert,gh/29144257,https://github.com/calvinmetcalf/minimalistic-assert.git,ok,2,2026-05-19T11:23:32+00:00
calvinmetcalf/process-nextick-args,gh/36039131,https://github.com/calvinmetcalf/process-nextick-args.git,ok,7,2026-05-19T11:23:33+00:00
caolan/async,gh/698041,https://github.com/caolan/async.git,ok,235,2026-05-19T11:23:36+00:00
certbot/certbot,gh/26516210,https://github.com/certbot/certbot.git,ok,383,2026-05-19T11:23:38+00:00
certifi/python-certifi,gh/3060959,https://github.com/certifi/python-certifi.git,ok,38,2026-05-19T11:23:37+00:00
chaijs/type-detect,gh/12107007,https://github.com/chaijs/type-detect.git,ok,17,2026-05-19T11:23:38+00:00
chalk/ansi-regex,gh/20451415,https://github.com/chalk/ansi-regex.git,ok,13,2026-05-19T11:23:39+00:00
chalk/ansi-styles,gh/11803168,https://github.com/chalk/ansi-styles.git,ok,19,2026-05-19T11:23:40+00:00
chalk/chalk,gh/11855195,https://github.com/chalk/chalk.git,ok,58,2026-05-19T11:23:40+00:00
chalk/slice-ansi,gh/43191689,https://github.com/chalk/slice-ansi.git,ok,11,2026-05-19T11:23:41+00:00
chalk/strip-ansi,gh/15014856,https://github.com/chalk/strip-ansi.git,ok,11,2026-05-19T11:23:42+00:00
chalk/supports-color,gh/11855007,https://github.com/chalk/supports-color.git,ok,38,2026-05-19T11:23:43+00:00
chalk/wrap-ansi,gh/41053676,https://github.com/chalk/wrap-ansi.git,ok,10,2026-05-19T11:23:43+00:00
chalker/safer-buffer,gh/125825141,https://github.com/chalker/safer-buffer.git,ok,6,2026-05-19T11:23:45+00:00
chardet/chardet,gh/5196969,https://github.com/chardet/chardet.git,ok,53,2026-05-19T11:23:46+00:00
cheeriojs/dom-serializer,gh/18991884,https://github.com/cheeriojs/dom-serializer.git,ok,21,2026-05-19T11:23:47+00:00
chicoxyzzy/node-releases,gh/73765596,https://github.com/chicoxyzzy/node-releases.git,ok,11,2026-05-19T11:23:47+00:00
chronotope/chrono,gh/18210201,https://github.com/chronotope/chrono.git,ok,235,2026-05-19T11:23:50+00:00
chronotope/humantime,gh/59320323,https://github.com/chronotope/humantime.git,ok,19,2026-05-19T11:23:50+00:00
clap-rs/clap,gh/31315121,https://github.com/clap-rs/clap.git,ok,409,2026-05-19T11:23:53+00:00
cloudflare/cloudflare-python,gh/753271547,https://github.com/cloudflare/cloudflare-python.git,ok,14,2026-05-19T11:23:52+00:00
colinhacks/zod,gh/245704608,https://github.com/colinhacks/zod.git,ok,462,2026-05-19T11:23:59+00:00
colorjs/color-name,gh/27038309,https://github.com/colorjs/color-name.git,ok,8,2026-05-19T11:23:54+00:00
comex/rust-shlex,gh/37886228,https://github.com/comex/rust-shlex.git,ok,9,2026-05-19T11:23:55+00:00
component/escape-html,gh/5444800,https://github.com/component/escape-html.git,ok,8,2026-05-19T11:23:57+00:00
component/toidentifier,gh/114743189,https://github.com/component/toidentifier.git,ok,2,2026-05-19T11:23:58+00:00
composefs/tar-rs,gh/21946092,https://github.com/composefs/tar-rs.git,ok,82,2026-07-13T16:59:46+00:00
conventional-changelog/commitlint,gh/51575745,https://github.com/conventional-changelog/commitlint.git,ok,273,2026-05-19T11:24:01+00:00
conventional-changelog/conventional-changelog,gh/15639771,https://github.com/conventional-changelog/conventional-changelog.git,ok,152,2026-05-19T11:24:00+00:00
cosmiconfig/cosmiconfig,gh/45750507,https://github.com/cosmiconfig/cosmiconfig.git,ok,34,2026-05-19T11:24:02+00:00
coveragepy/coveragepy,gh/138421996,https://github.com/coveragepy/coveragepy.git,ok,170,2026-05-19T11:24:04+00:00
cpburnz/python-pathspec,gh/14648551,https://github.com/cpburnz/python-pathspec.git,ok,27,2026-05-19T11:24:05+00:00
crate-py/rpds,gh/608018848,https://github.com/crate-py/rpds.git,ok,20,2026-05-19T11:24:06+00:00
criterion-rs/criterion.rs,gh/1081104682,https://github.com/criterion-rs/criterion.rs.git,ok,128,2026-05-19T11:24:07+00:00
crossbeam-rs/crossbeam,gh/35566048,https://github.com/crossbeam-rs/crossbeam.git,ok,149,2026-05-19T11:24:08+00:00
css-modules/icss-utils,gh/42766912,https://github.com/css-modules/icss-utils.git,ok,12,2026-05-19T11:24:09+00:00
cssnano/cssnano,gh/33943153,https://github.com/cssnano/cssnano.git,ok,116,2026-05-19T11:24:11+00:00
csstools/postcss-plugins,gh/219192307,https://github.com/csstools/postcss-plugins.git,ok,127,2026-05-19T11:24:12+00:00
