login,sponsoring_count,sponsoring_status,fetched_at
ethers-io,0,ok,2026-06-29T23:54:19+00:00
evanw,0,ok,2026-06-29T23:54:19+00:00
eventualbuddha,1,ok,2026-06-29T23:54:19+00:00
executablebooks,0,ok,2026-06-29T23:54:19+00:00
exodusoss,0,ok,2026-06-29T23:54:19+00:00
expressjs,0,ok,2026-06-29T23:54:19+00:00
facebook,0,ok,2026-06-29T23:54:19+00:00
facelessuser,0,ok,2026-06-29T23:54:19+00:00
fastify,0,ok,2026-06-29T23:54:20+00:00
faye,0,ok,2026-06-29T23:54:20+00:00
fb55,0,ok,2026-06-29T23:54:20+00:00
felixge,0,ok,2026-06-29T23:54:20+00:00
feross,0,ok,2026-06-29T23:54:20+00:00
ffmpeg,0,ok,2026-06-29T23:54:20+00:00
firebase,0,ok,2026-06-29T23:54:20+00:00
fitzgen,0,ok,2026-07-13T16:59:59+00:00
floatdrop,0,ok,2026-07-13T16:59:59+00:00
floating-ui,0,ok,2026-06-29T23:54:20+00:00
follow-redirects,0,ok,2026-06-29T23:54:20+00:00
fontconfig,0,ok,2026-05-31T18:21:23+00:00
form-data,0,ok,2026-06-29T23:54:20+00:00
formatjs,0,ok,2026-06-29T23:54:20+00:00
freedesktop,0,ok,2026-05-31T18:21:23+00:00
freedesktop-unofficial-mirror,0,ok,2026-06-29T23:54:20+00:00
freetype,0,ok,2026-06-29T23:54:20+00:00
frenic,0,ok,2026-06-29T23:54:20+00:00
frommi,0,ok,2026-06-29T23:54:21+00:00
fsevents,0,ok,2026-06-29T23:54:21+00:00
fsspec,0,ok,2026-06-29T23:54:21+00:00
garycourt,0,ok,2026-06-29T23:54:21+00:00
gcc-mirror,0,ok,2026-06-29T23:54:21+00:00
getsentry,0,ok,2026-06-29T23:54:21+00:00
giampaolo,0,ok,2026-06-29T23:54:21+00:00
git,0,ok,2026-06-29T23:54:21+00:00
gitlab-freedesktop-mirrors,0,ok,2026-06-29T23:54:21+00:00
gitoxidelabs,0,ok,2026-06-29T23:54:21+00:00
gitpython-developers,0,ok,2026-06-29T23:54:21+00:00
gkz,0,ok,2026-06-29T23:54:21+00:00
gmp-mirror,0,ok,2026-06-29T23:54:22+00:00
gnome,0,ok,2026-06-29T23:54:21+00:00
gnutls,0,ok,2026-05-31T18:21:23+00:00
gnutools,0,ok,2026-07-13T20:12:58+00:00
google,0,ok,2026-06-29T23:54:22+00:00
googleapis,0,ok,2026-06-29T23:54:22+00:00
googlechrome,0,ok,2026-06-29T23:54:22+00:00
gpg,0,ok,2026-07-13T20:12:58+00:00
grahamdumpleton,0,ok,2026-06-29T23:54:22+00:00
grantjenks,0,ok,2026-06-29T23:54:22+00:00
graydon,0,ok,2026-06-29T23:54:22+00:00
gregberge,0,ok,2026-06-29T23:54:22+00:00
grncdr,0,ok,2026-06-29T23:54:22+00:00
grpc,0,ok,2026-06-29T23:54:22+00:00
gsnedders,0,ok,2026-06-29T23:54:22+00:00
guillaumegomez,0,ok,2026-06-29T23:54:22+00:00
gulpjs,0,ok,2026-06-29T23:54:22+00:00
gweis,0,ok,2026-06-29T23:54:22+00:00
gyscos,0,ok,2026-06-29T23:54:22+00:00
hapijs,0,ok,2026-06-29T23:54:23+00:00
harfbuzz,0,ok,2026-06-29T23:54:23+00:00
hiddentao,0,ok,2026-06-29T23:54:23+00:00
holmgren,0,ok,2026-07-13T16:59:59+00:00
httplib2,0,ok,2026-06-29T23:54:23+00:00
huggingface,5,ok,2026-06-29T23:54:23+00:00
hukkin,0,ok,2026-06-29T23:54:18+00:00
hyperium,0,ok,2026-06-29T23:54:18+00:00
iarna,0,ok,2026-06-29T23:54:18+00:00
import-js,0,ok,2026-06-29T23:54:19+00:00
indexmap-rs,0,ok,2026-06-29T23:54:19+00:00
indutny,2,ok,2026-06-29T23:54:19+00:00
indygreg,0,ok,2026-06-29T23:54:19+00:00
inikulin,0,ok,2026-06-29T23:54:19+00:00
inspect-js,0,ok,2026-06-29T23:54:19+00:00
ipython,0,ok,2026-06-29T23:54:19+00:00
isaacs,0,ok,2026-06-29T23:54:19+00:00
istanbuljs,0,ok,2026-06-29T23:54:19+00:00
jamesmunns,0,ok,2026-06-29T23:54:19+00:00
jaraco,0,ok,2026-06-29T23:54:19+00:00
jaredhanson,0,ok,2026-06-29T23:54:19+00:00
jaredwray,3,ok,2026-06-29T23:54:19+00:00
jawah,0,ok,2026-06-29T23:54:20+00:00
jbgutierrez,0,ok,2026-06-29T23:54:20+00:00
jd,0,ok,2026-06-29T23:54:20+00:00
jensyt,0,ok,2026-06-29T23:54:20+00:00
jestjs,0,ok,2026-06-29T23:54:20+00:00
jimmywarting,0,ok,2026-07-13T16:59:59+00:00
jimp-dev,0,ok,2026-06-29T23:54:20+00:00
jmespath,0,ok,2026-06-29T23:54:20+00:00
joblib,0,ok,2026-06-29T23:54:20+00:00
jonathanong,0,ok,2026-06-29T23:54:20+00:00
jonschlinkert,0,ok,2026-06-29T23:54:20+00:00
jorgebucaran,0,ok,2026-06-29T23:54:20+00:00
joshuakgoldberg,0,ok,2026-06-29T23:54:20+00:00
jpadilla,0,ok,2026-06-29T23:54:20+00:00
jprichardson,0,ok,2026-06-29T23:54:21+00:00
jquast,8,ok,2026-06-29T23:54:21+00:00
jquery,0,ok,2026-06-29T23:54:21+00:00
jridgewell,0,ok,2026-06-29T23:54:21+00:00
jsdom,0,ok,2026-06-29T23:54:21+00:00
jshttp,0,ok,2026-06-29T23:54:21+00:00
jslicense,0,ok,2026-06-29T23:54:21+00:00
json-c,0,ok,2026-07-13T16:59:59+00:00
json5,0,ok,2026-06-29T23:54:21+00:00
juliangruber,0,ok,2026-06-29T23:54:21+00:00
justmoon,1,ok,2026-06-29T23:54:21+00:00
jviereck,0,ok,2026-06-29T23:54:21+00:00
ka-weihe,0,ok,2026-06-29T23:54:21+00:00
kaelzhang,0,ok,2026-06-29T23:54:21+00:00
kemitchell,0,ok,2026-06-29T23:54:21+00:00
kevinbeaty,0,ok,2026-06-29T23:54:21+00:00
kevva,0,ok,2026-06-29T23:54:22+00:00
kilian,0,ok,2026-06-29T23:54:22+00:00
kjd,0,ok,2026-06-29T23:54:22+00:00
knurling-rs,1,ok,2026-06-29T23:54:22+00:00
kpdecker,0,ok,2026-06-29T23:54:22+00:00
krb5,0,ok,2026-06-29T23:54:22+00:00
kriskowal,0,ok,2026-06-29T23:54:22+00:00
kriszyp,0,ok,2026-06-29T23:54:22+00:00
la10736,0,ok,2026-07-13T16:59:59+00:00
langchain-ai,0,ok,2026-06-29T23:54:22+00:00
laurent-laporte-pro,0,ok,2026-06-29T23:54:22+00:00
