repo,repo_id,gh_sponsorships_in,gh_sponsors_enabled,sponsors_status,fetched_at
browserify/node-util,gh/14568009,0,False,ok,2026-06-30T10:25:27+00:00
browserify/randombytes,gh/29300004,0,False,ok,2026-06-30T10:25:28+00:00
browserify/resolve,gh/1915099,0,False,ok,2026-06-30T10:25:28+00:00
browserslist/browserslist,gh/27971466,0,False,ok,2026-06-30T10:25:28+00:00
browserslist/caniuse-lite,gh/80221890,0,False,ok,2026-06-30T10:25:29+00:00
browserslist/update-db,gh/505548145,0,False,ok,2026-06-30T10:25:29+00:00
burntsushi/aho-corasick,gh/37290678,110,True,ok,2026-06-30T10:25:29+00:00
burntsushi/jiff,gh/759017108,110,True,ok,2026-06-30T10:25:29+00:00
burntsushi/memchr,gh/37290652,110,True,ok,2026-06-30T10:25:30+00:00
burntsushi/quickcheck,gh/17559913,110,True,ok,2026-06-30T10:25:30+00:00
burntsushi/same-file,gh/78375612,110,True,ok,2026-06-30T10:25:30+00:00
burntsushi/termcolor,gh/141345580,110,True,ok,2026-06-30T10:25:30+00:00
burntsushi/ucd-generate,gh/123997498,110,True,ok,2026-06-30T10:25:31+00:00
burntsushi/walkdir,gh/42685794,110,True,ok,2026-06-30T10:25:31+00:00
burntsushi/winapi-util,gh/146040682,110,True,ok,2026-06-30T10:25:31+00:00
businho/pytest-ruff,gh/599731435,0,False,ok,2026-06-30T10:25:31+00:00
bytecodealliance/rustix,gh/295544240,0,False,ok,2026-06-30T10:25:32+00:00
bytecodealliance/wasi-rs,gh/196445196,0,False,ok,2026-06-30T10:25:32+00:00
bzip2/bzip2,,0,False,ok,2026-07-12T21:33:38+00:00
c-ares/c-ares,gh/571708,0,False,ok,2026-06-30T10:25:32+00:00
calvinmetcalf/minimalistic-assert,gh/29144257,0,False,ok,2026-06-30T10:25:33+00:00
calvinmetcalf/process-nextick-args,gh/36039131,0,False,ok,2026-06-30T10:25:33+00:00
caolan/async,gh/698041,0,False,ok,2026-06-30T10:25:33+00:00
certbot/certbot,gh/26516210,0,False,ok,2026-06-30T10:25:33+00:00
certifi/python-certifi,gh/3060959,0,False,ok,2026-06-30T10:25:34+00:00
chaijs/type-detect,gh/12107007,0,False,ok,2026-06-30T10:25:34+00:00
chalk/ansi-regex,gh/20451415,0,False,ok,2026-06-30T10:25:34+00:00
chalk/ansi-styles,gh/11803168,0,False,ok,2026-06-30T10:25:34+00:00
chalk/chalk,gh/11855195,0,False,ok,2026-06-30T10:25:35+00:00
chalk/slice-ansi,gh/43191689,0,False,ok,2026-06-30T10:25:35+00:00
chalk/strip-ansi,gh/15014856,0,False,ok,2026-06-30T10:25:35+00:00
chalk/supports-color,gh/11855007,0,False,ok,2026-06-30T10:25:36+00:00
chalk/wrap-ansi,gh/41053676,0,False,ok,2026-06-30T10:25:36+00:00
chalker/safer-buffer,gh/125825141,0,False,ok,2026-06-30T10:25:20+00:00
chardet/chardet,gh/5196969,0,False,ok,2026-06-30T10:25:20+00:00
cheeriojs/dom-serializer,gh/18991884,5,True,ok,2026-06-30T10:25:20+00:00
chicoxyzzy/node-releases,gh/73765596,0,False,ok,2026-06-30T10:25:20+00:00
chronotope/chrono,gh/18210201,0,False,ok,2026-06-30T10:25:21+00:00
chronotope/humantime,gh/59320323,0,False,ok,2026-06-30T10:25:21+00:00
clap-rs/clap,gh/31315121,12,True,ok,2026-06-30T10:25:21+00:00
cloudflare/cloudflare-python,gh/753271547,0,False,ok,2026-06-30T10:25:21+00:00
colinhacks/zod,gh/245704608,56,True,ok,2026-06-30T10:25:22+00:00
colorjs/color-name,gh/27038309,0,False,ok,2026-06-30T10:25:22+00:00
comex/rust-shlex,gh/37886228,0,False,ok,2026-06-30T10:25:22+00:00
component/escape-html,gh/5444800,0,False,ok,2026-06-30T10:25:22+00:00
component/toidentifier,gh/114743189,0,False,ok,2026-06-30T10:25:23+00:00
composefs/tar-rs,gh/21946092,0,False,ok,2026-07-06T11:10:41+00:00
conventional-changelog/commitlint,gh/51575745,0,False,ok,2026-06-30T10:25:23+00:00
conventional-changelog/conventional-changelog,gh/15639771,0,False,ok,2026-06-30T10:25:23+00:00
cosmiconfig/cosmiconfig,gh/45750507,0,False,ok,2026-06-30T10:25:23+00:00
coveragepy/coveragepy,gh/138421996,0,False,ok,2026-06-30T10:25:24+00:00
cpburnz/python-pathspec,gh/14648551,0,False,ok,2026-06-30T10:25:24+00:00
cpython-team/python3-defaults,,0,False,ok,2026-07-06T11:10:40+00:00
crate-py/rpds,gh/608018848,0,False,ok,2026-06-30T10:25:24+00:00
criterion-rs/criterion.rs,gh/1081104682,0,False,ok,2026-06-30T10:25:24+00:00
crossbeam-rs/crossbeam,gh/35566048,0,False,ok,2026-06-30T10:25:25+00:00
css-modules/icss-utils,gh/42766912,0,False,ok,2026-06-30T10:25:25+00:00
cssnano/cssnano,gh/33943153,0,False,ok,2026-06-30T10:25:25+00:00
csstools/postcss-plugins,gh/219192307,6,True,ok,2026-06-30T10:25:25+00:00
csstree/csstree,gh/67236461,0,False,ok,2026-06-30T10:25:26+00:00
curl/curl,gh/569041,67,True,ok,2026-06-30T10:25:26+00:00
cuviper/autocfg,gh/135481335,0,False,ok,2026-06-30T10:25:26+00:00
cyan4973/xxhash,gh/19330466,0,False,ok,2026-06-30T10:25:26+00:00
daaku/nodejs-makeerror,gh/2097803,0,False,ok,2026-06-30T10:25:27+00:00
daaku/nodejs-tmpl,gh/2171213,0,False,ok,2026-06-30T10:25:27+00:00
dateutil/dateutil,gh/26876372,0,False,ok,2026-06-30T10:25:27+00:00
davidhalter/parso,gh/90668463,4,True,ok,2026-06-30T10:25:28+00:00
davisjam/safe-regex,gh/90781457,0,False,ok,2026-06-30T10:25:28+00:00
dchest/tweetnacl-js,gh/15649752,0,False,ok,2026-06-30T10:25:28+00:00
dcodeio/long.js,gh/8678904,1,True,ok,2026-06-30T10:25:28+00:00
debian/bzip2,,0,False,ok,2026-07-06T11:10:40+00:00
debian/ca-certificates,,0,False,ok,2026-07-06T11:10:41+00:00
debian/gdbm,,0,False,ok,2026-07-06T11:10:41+00:00
debian/giflib,,0,False,ok,2026-07-06T11:10:41+00:00
debug-js/debug,gh/2871998,0,False,ok,2026-06-30T10:25:29+00:00
definitelytyped/definitelytyped,gh/6093316,0,False,ok,2026-06-30T10:25:29+00:00
defunctzombie/node-process,gh/7580644,0,False,ok,2026-06-30T10:25:29+00:00
django/asgiref,gh/48501860,145,True,ok,2026-06-30T10:25:29+00:00
djc/rustc-version-rs,gh/41272773,27,True,ok,2026-06-30T10:25:30+00:00
dmitrysoshnikov/regexp-tree,gh/85459304,0,False,ok,2026-06-30T10:25:30+00:00
docutils/docutils,gh/44840244,0,False,ok,2026-06-30T10:25:30+00:00
dominictarr/through,gh/4885140,0,False,ok,2026-07-06T11:10:41+00:00
doowb/ansi-colors,gh/47135420,5,True,ok,2026-06-30T10:25:30+00:00
douglasdwyer/wasm_sync,gh/668034655,0,False,ok,2026-06-30T10:25:31+00:00
dougwilson/nodejs-depd,gh/20848667,0,False,ok,2026-06-30T10:25:31+00:00
dtolnay/anyhow,gh/212936374,126,True,ok,2026-06-30T10:25:31+00:00
dtolnay/automod,gh/173074854,126,True,ok,2026-06-30T10:25:31+00:00
dtolnay/dissimilar,gh/229514821,126,True,ok,2026-06-30T10:25:32+00:00
dtolnay/indoc,gh/54252316,126,True,ok,2026-06-30T10:25:32+00:00
dtolnay/itoa,gh/61962375,126,True,ok,2026-06-30T10:25:32+00:00
dtolnay/no-panic,gh/143469762,126,True,ok,2026-06-30T10:25:33+00:00
dtolnay/paste,gh/155652490,125,True,ok,2026-07-06T11:10:41+00:00
dtolnay/proc-macro2,gh/91860126,126,True,ok,2026-06-30T10:25:33+00:00
dtolnay/quote,gh/67273122,126,True,ok,2026-06-30T10:25:33+00:00
dtolnay/ref-cast,gh/106295902,126,True,ok,2026-06-30T10:25:34+00:00
dtolnay/rustversion,gh/183990447,126,True,ok,2026-06-30T10:25:34+00:00
dtolnay/ryu,gh/142720484,126,True,ok,2026-06-30T10:25:34+00:00
dtolnay/semver,gh/22432442,126,True,ok,2026-06-30T10:25:34+00:00
dtolnay/syn,gh/67305738,126,True,ok,2026-06-30T10:25:35+00:00
dtolnay/target-triple,gh/734167706,126,True,ok,2026-06-30T10:25:35+00:00
dtolnay/thiserror,gh/213836768,126,True,ok,2026-06-30T10:25:35+00:00
dtolnay/trybuild,gh/184941159,126,True,ok,2026-06-30T10:25:35+00:00
dtolnay/unicode-ident,gh/492639579,126,True,ok,2026-06-30T10:25:36+00:00
eemeli/yaml,gh/119439276,4,True,ok,2026-06-30T10:25:36+00:00
ehmicky/human-signals,gh/214467546,0,False,ok,2026-06-30T10:25:20+00:00
eliben/pycparser,gh/10589864,0,False,ok,2026-06-30T10:25:20+00:00
emotion-js/emotion,gh/92570536,0,False,ok,2026-06-30T10:25:20+00:00
enarx/ciborium,gh/313759241,0,False,ok,2026-07-06T11:10:40+00:00
encode/httpcore,gh/237210639,32,True,ok,2026-06-30T10:25:20+00:00
encode/httpx,gh/179492861,32,True,ok,2026-06-30T10:25:21+00:00
epoberezkin/fast-deep-equal,gh/94483360,14,True,ok,2026-06-30T10:25:21+00:00
epoberezkin/fast-json-stable-stringify,gh/108103016,14,True,ok,2026-06-30T10:25:21+00:00
epoberezkin/json-schema-traverse,gh/93333933,14,True,ok,2026-06-30T10:25:21+00:00
