user_id,login,has_sponsors_listing,status,fetched_at
67512,dougwilson,False,ok,2026-07-05T18:36:58+00:00
68855,viirya,False,ok,2026-07-05T18:36:53+00:00
70274,xhochy,False,ok,2026-07-05T18:36:55+00:00
71256,tootallnate,False,ok,2026-07-05T18:36:52+00:00
72844,troygoode,False,ok,2026-07-05T18:36:52+00:00
73579,hpk42,False,ok,2026-07-05T18:37:02+00:00
73973,mariusvniekerk,False,ok,2026-07-05T18:37:00+00:00
74571,fitzgen,False,ok,2026-07-05T18:36:57+00:00
76371,shellscape,True,ok,2026-07-05T18:36:56+00:00
76983,raszi,False,ok,2026-07-05T18:36:51+00:00
77272,charris,False,ok,2026-07-05T18:36:52+00:00
78493,jablko,False,ok,2026-07-05T18:36:58+00:00
78827,jnothman,False,ok,2026-07-05T18:37:02+00:00
81942,mathiasbynens,True,ok,2026-07-05T18:37:01+00:00
82634,grncdr,False,ok,2026-07-05T18:37:00+00:00
83319,jpadilla,True,ok,2026-07-05T18:36:56+00:00
83924,mhammond,False,ok,2026-07-05T18:36:51+00:00
84792,defunctzombie,False,ok,2026-07-05T18:36:56+00:00
85749,webreflection,False,ok,2026-07-05T18:36:54+00:00
89061,ogrisel,False,ok,2026-07-05T18:36:56+00:00
89993,atgreen,False,ok,2026-07-05T18:36:58+00:00
92839,mjackson,True,ok,2026-07-05T18:36:52+00:00
94782,ixti,False,ok,2026-07-05T18:36:57+00:00
96283,alexei,False,ok,2026-07-05T18:36:53+00:00
98330,rgommers,False,ok,2026-07-05T18:36:52+00:00
100200,ryanflorence,False,ok,2026-07-05T18:36:53+00:00
105852,iurisilvio,False,ok,2026-07-05T18:36:57+00:00
106176,kuba,False,ok,2026-07-05T18:36:55+00:00
106511,andrewrk,True,ok,2026-07-05T18:36:56+00:00
111730,pprett,False,ok,2026-07-05T18:37:01+00:00
112982,jridgewell,False,ok,2026-07-05T18:36:57+00:00
117777,wez,True,ok,2026-07-05T18:36:54+00:00
118266,keithamus,True,ok,2026-07-05T18:37:00+00:00
119893,kennethreitz,True,ok,2026-07-05T18:37:00+00:00
121766,feross,True,ok,2026-07-05T18:36:56+00:00
122434,medikoo,True,ok,2026-07-05T18:36:51+00:00
122851,shkuropat,False,ok,2026-07-05T18:36:56+00:00
125332,vvakame,True,ok,2026-07-05T18:36:54+00:00
127063,alexindigo,False,ok,2026-07-05T18:36:53+00:00
127790,dscho,False,ok,2026-07-05T18:36:58+00:00
