repo,repo_id,has_funding_links,has_funding_yml,funding_link_platforms,github,patreon,open_collective,ko_fi,tidelift,community_bridge,liberapay,issuehunt,lfx_crowdfunding,polar,buy_me_a_coffee,thanks_dev,otechie,custom,fetched_at
aws/aws-sdk-js-crypto-helpers,gh/149673986,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
aws/aws-sdk-js-v3,gh/87228090,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
axios/axios,gh/23088740,True,True,"github,open_collective",axios,,axios,,,,,,,,,,,,2026-06-30T14:18:42+00:00
azure/azure-sdk-for-js,gh/108311273,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
azure/azure-sdk-for-python,gh/4127088,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
azure/msrest-for-python,gh/71186468,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
azuread/microsoft-authentication-library-for-python,gh/67243113,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
babel/babel,gh/24560307,True,True,"github,open_collective",babel,,babel,,,,,,,,,,,,2026-06-30T14:18:42+00:00
babel/babel-polyfills,gh/190579283,True,True,"github,open_collective",babel,,babel,,,,,,,,,,,,2026-06-30T14:18:43+00:00
babel/minify,gh/55723051,True,True,"github,open_collective",babel,,babel,,,,,,,,,,,,2026-06-30T14:18:43+00:00
bdwgc/bdwgc,gh/2109456,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
beatgammit/base64-js,gh/2853282,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
benjaminp/six,gh/77868600,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
besser82/libxcrypt,gh/35503965,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
bincode-org/bincode,gh/24130045,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
bitflags/bitflags,gh/29287955,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
blakeembrey/array-flatten,gh/17789771,True,True,github,blakeembrey,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
blakeembrey/change-case,gh/9440238,True,True,github,blakeembrey,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
bluss/bencher,gh/65987276,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
bminor/binutils-gdb,,,,,,,,,,,,,,,,,,,2026-05-31T18:21:22+00:00
bminor/glibc,gh/13868694,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
boto/boto3,gh/24774658,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
boto/botocore,gh/6670942,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
boto/s3transfer,gh/49535299,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
braveg1rl/performance-now,gh/336187529,,,,,,,,,,,,,,,,,,2026-05-31T15:56:46+00:00
brianc/node-postgres,gh/991475,True,True,github,brianc,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
broofa/mime,gh/534940,True,True,github,broofa,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
broofa/node-int64,gh/1208666,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
browserify/events,gh/1649251,True,True,tidelift,,,,,events,,,,,,,,,,2026-06-30T14:18:43+00:00
browserify/node-util,gh/14568009,True,True,tidelift,,,,,util,,,,,,,,,,2026-06-30T14:18:43+00:00
browserify/randombytes,gh/29300004,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
browserify/resolve,gh/1915099,True,True,"github,tidelift",ljharb,,,,resolve,,,,,,,,,,2026-06-30T14:18:43+00:00
browserslist/browserslist,gh/27971466,True,True,"github,open_collective,tidelift",ai,,browserslist,,browserslist,,,,,,,,,,2026-06-30T14:18:43+00:00
browserslist/caniuse-lite,gh/80221890,True,True,"github,open_collective,tidelift",ai,,browserslist,,caniuse-lite,,,,,,,,,,2026-06-30T14:18:43+00:00
browserslist/update-db,gh/505548145,True,True,"github,open_collective,tidelift",ai,,browserslist,,browserslist,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/aho-corasick,gh/37290678,True,True,github,burntsushi,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/jiff,gh/759017108,True,True,github,burntsushi,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/memchr,gh/37290652,True,True,github,burntsushi,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/quickcheck,gh/17559913,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/same-file,gh/78375612,True,True,github,burntsushi,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/termcolor,gh/141345580,True,True,github,burntsushi,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/ucd-generate,gh/123997498,True,True,github,burntsushi,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/walkdir,gh/42685794,True,True,github,burntsushi,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
burntsushi/winapi-util,gh/146040682,True,True,github,burntsushi,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
businho/pytest-ruff,gh/599731435,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
bytecodealliance/rustix,gh/295544240,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
bytecodealliance/wasi-rs,gh/196445196,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
c-ares/c-ares,gh/571708,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
calvinmetcalf/minimalistic-assert,gh/29144257,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
calvinmetcalf/process-nextick-args,gh/36039131,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
caolan/async,gh/698041,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
certbot/certbot,gh/26516210,True,True,custom,,,,,,,,,,,,,,https://supporters.eff.org/donate/support-work-on-certbot,2026-06-30T14:18:43+00:00
certifi/python-certifi,gh/3060959,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
chaijs/type-detect,gh/12107007,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
chalk/ansi-regex,gh/20451415,True,False,"github,tidelift","sindresorhus,qix-",,,,ansi-regex,,,,,,,,,,2026-06-30T14:18:43+00:00
chalk/ansi-styles,gh/11803168,True,False,"github,tidelift","sindresorhus,qix-",,,,ansi-styles,,,,,,,,,,2026-06-30T14:18:43+00:00
chalk/chalk,gh/11855195,True,False,"github,open_collective,tidelift,custom","sindresorhus,qix-",,sindresorhus,,chalk,,,,,,,,,https://sindresorhus.com/donate,2026-06-30T14:18:43+00:00
chalk/slice-ansi,gh/43191689,True,False,"github,tidelift","sindresorhus,qix-",,,,slice-ansi,,,,,,,,,,2026-06-30T14:18:43+00:00
chalk/strip-ansi,gh/15014856,True,False,"github,tidelift","sindresorhus,qix-",,,,strip-ansi,,,,,,,,,,2026-06-30T14:18:43+00:00
chalk/supports-color,gh/11855007,True,False,github,"sindresorhus,qix-",,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
chalk/wrap-ansi,gh/41053676,True,False,"github,tidelift","sindresorhus,qix-",,,,wrap-ansi,,,,,,,,,,2026-06-30T14:18:43+00:00
chalker/safer-buffer,gh/125825141,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:43+00:00
chardet/chardet,gh/5196969,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
cheeriojs/dom-serializer,gh/18991884,True,True,"github,open_collective","cheeriojs,fb55",,cheerio,,,,,,,,,,,,2026-06-30T14:18:51+00:00
chicoxyzzy/node-releases,gh/73765596,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
chronotope/chrono,gh/18210201,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
chronotope/humantime,gh/59320323,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
clap-rs/clap,gh/31315121,True,True,"github,open_collective",clap-rs,,clap,,,,,,,,,,,,2026-06-30T14:18:51+00:00
cloudflare/cloudflare-python,gh/753271547,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
colinhacks/zod,gh/245704608,True,True,github,colinhacks,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
colorjs/color-name,gh/27038309,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
comex/rust-shlex,gh/37886228,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
component/escape-html,gh/5444800,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
component/toidentifier,gh/114743189,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
composefs/tar-rs,gh/21946092,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
conventional-changelog/commitlint,gh/51575745,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
conventional-changelog/conventional-changelog,gh/15639771,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
cosmiconfig/cosmiconfig,gh/45750507,True,True,"github,custom",d-fischer,,,,,,,,,,,,,paypal.me/dfischerdev,2026-06-30T14:18:51+00:00
coveragepy/coveragepy,gh/138421996,True,True,"github,tidelift",nedbat,,,,coverage,,,,,,,,,,2026-06-30T14:18:51+00:00
cpburnz/python-pathspec,gh/14648551,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
cpython-team/python3-defaults,,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
crate-py/rpds,gh/608018848,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
criterion-rs/criterion.rs,gh/1081104682,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
crossbeam-rs/crossbeam,gh/35566048,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
css-modules/icss-utils,gh/42766912,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
cssnano/cssnano,gh/33943153,True,True,open_collective,,,cssnano,,,,,,,,,,,,2026-06-30T14:18:51+00:00
csstools/postcss-plugins,gh/219192307,True,True,"github,open_collective",csstools,,csstools,,,,,,,,,,,,2026-06-30T14:18:51+00:00
csstree/csstree,gh/67236461,True,True,open_collective,,,csstree,,,,,,,,,,,,2026-06-30T14:18:51+00:00
curl/curl,gh/569041,True,True,"github,open_collective",curl,,curl,,,,,,,,,,,,2026-06-30T14:18:51+00:00
cuviper/autocfg,gh/135481335,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
cyan4973/xxhash,gh/19330466,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
daaku/nodejs-makeerror,gh/2097803,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
daaku/nodejs-tmpl,gh/2171213,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dateutil/dateutil,gh/26876372,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
davidhalter/parso,gh/90668463,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
davisjam/safe-regex,gh/90781457,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dchest/tweetnacl-js,gh/15649752,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dcodeio/long.js,gh/8678904,True,True,github,dcodeio,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
debian/bzip2,,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
debian/ca-certificates,,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
debian/gdbm,,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
debian/giflib,,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
