package,license,fetched_at
ca-certificates,mpl-2.0,2026-07-21T21:08:14Z
cabextract,gpl-3.0-or-later,2026-07-21T21:08:14Z
caddy,apache-2.0,2026-07-21T21:08:14Z
cairo,lgpl-2.1-only or mpl-1.1,2026-07-21T21:08:14Z
capnp,mit,2026-07-21T21:08:14Z
capstone,bsd-3-clause,2026-07-21T21:08:14Z
cargo-c,mit,2026-07-21T21:08:14Z
carthage,mit,2026-07-21T21:08:14Z
cask,gpl-3.0-or-later,2026-07-21T21:08:14Z
cassandra,apache-2.0,2026-07-21T21:08:14Z
ccache,gpl-3.0-or-later,2026-07-21T21:08:14Z
cdk8s,apache-2.0,2026-07-21T21:08:14Z
cdrtools,cddl-1.0,2026-07-21T21:08:14Z
ceres-solver,bsd-3-clause,2026-07-21T21:08:14Z
certbot,apache-2.0,2026-07-21T21:08:14Z
certifi,mpl-2.0,2026-07-21T21:08:14Z
cffi,mit-0,2026-07-21T21:08:14Z
cfitsio,cfitsio,2026-07-21T21:08:14Z
cfn-lint,mit-0,2026-07-21T21:08:14Z
cgal,gpl-3.0-or-later,2026-07-21T21:08:14Z
cgif,mit,2026-07-21T21:08:14Z
cgns,bsd-3-clause,2026-07-21T21:08:14Z
checkov,apache-2.0,2026-07-21T21:08:14Z
chezmoi,mit,2026-07-21T21:08:14Z
chibi-scheme,bsd-3-clause,2026-07-21T21:08:14Z
chruby,mit,2026-07-21T21:08:14Z
circleci,mit,2026-07-21T21:08:14Z
cjson,mit,2026-07-21T21:08:14Z
clamav,gpl-2.0-or-later,2026-07-21T21:08:14Z
clang-format,apache-2.0 with llvm-exception,2026-07-21T21:08:14Z
cliclick,bsd-3-clause,2026-07-21T21:08:14Z
clisp,gpl-2.0-or-later,2026-07-21T21:08:14Z
cloc,gpl-2.0-or-later,2026-07-21T21:08:14Z
clojure,epl-1.0,2026-07-21T21:08:14Z
cloudflared,apache-2.0,2026-07-21T21:08:14Z
cmake,bsd-3-clause,2026-07-21T21:08:14Z
cmake-docs,bsd-3-clause,2026-07-21T21:08:14Z
cmatrix,gpl-3.0-or-later,2026-07-21T21:08:14Z
cmocka,apache-2.0,2026-07-21T21:08:14Z
cocoapods,mit,2026-07-21T21:08:14Z
colima,mit,2026-07-21T21:08:14Z
commitizen,mit,2026-07-21T21:08:14Z
composer,mit,2026-07-21T21:08:14Z
conan,mit,2026-07-21T21:08:14Z
conftest,apache-2.0,2026-07-21T21:08:14Z
confuse,isc,2026-07-21T21:08:14Z
cookiecutter,bsd-3-clause,2026-07-21T21:08:14Z
coreutils,gpl-3.0-or-later,2026-07-21T21:08:14Z
cosign,apache-2.0,2026-07-21T21:08:14Z
cowsay,gpl-3.0-only,2026-07-21T21:08:14Z
cpio,gpl-3.0-or-later,2026-07-21T21:08:14Z
cppcheck,gpl-3.0-or-later,2026-07-21T21:08:14Z
cppzmq,mit,2026-07-21T21:08:14Z
cpu_features,apache-2.0,2026-07-21T21:08:14Z
cryptography,apache-2.0 or bsd-3-clause,2026-07-21T21:08:14Z
crystal,apache-2.0,2026-07-21T21:08:14Z
cscope,bsd-3-clause,2026-07-21T21:08:14Z
cunit,lgpl-2.0-or-later,2026-07-21T21:08:14Z
cups,apache-2.0 with llvm-exception,2026-07-21T21:08:14Z
curl,curl,2026-07-21T21:08:14Z
cyrus-sasl,bsd-3-clause-attribution,2026-07-21T21:08:14Z
cython,apache-2.0,2026-07-21T21:08:14Z
d2,mpl-2.0,2026-07-21T21:08:14Z
daemontools,licenseref-homebrew-public-domain,2026-07-21T21:08:14Z
dav1d,bsd-2-clause,2026-07-21T21:08:14Z
dbmate,mit,2026-07-21T21:08:14Z
dbus,afl-2.1 or gpl-2.0-or-later,2026-07-21T21:08:14Z
deno,mit,2026-07-21T21:08:14Z
dependency-check,apache-2.0,2026-07-21T21:08:14Z
dfu-util,gpl-2.0-or-later,2026-07-21T21:08:14Z
dialog,lgpl-2.1-or-later,2026-07-21T21:08:14Z
difftastic,mit,2026-07-21T21:08:14Z
diffutils,gpl-3.0-or-later,2026-07-21T21:08:14Z
direnv,mit,2026-07-21T21:08:14Z
dive,mit,2026-07-21T21:08:14Z
dnsmasq,gpl-2.0-only or gpl-3.0-only,2026-07-21T21:08:14Z
docbook,licenseref-homebrew-cannot-represent,2026-07-21T21:08:14Z
docbook-xsl,mit,2026-07-21T21:08:14Z
docker,apache-2.0,2026-07-21T21:08:14Z
docker-buildx,apache-2.0,2026-07-21T21:08:14Z
docker-completion,apache-2.0,2026-07-21T21:08:14Z
docker-compose,apache-2.0,2026-07-21T21:08:14Z
docker-credential-helper,mit,2026-07-21T21:08:14Z
docker-credential-helper-ecr,apache-2.0,2026-07-21T21:08:14Z
docker-machine,apache-2.0,2026-07-21T21:08:14Z
doctl,apache-2.0,2026-07-21T21:08:14Z
docutils,licenseref-homebrew-public-domain and bsd-2-clause and gpl-3.0-or-later and python-2.0,2026-07-21T21:08:14Z
dos2unix,bsd-2-clause,2026-07-21T21:08:14Z
dotnet,mit,2026-07-21T21:08:14Z
dotnet@8,mit,2026-07-21T21:08:14Z
double-conversion,bsd-3-clause,2026-07-21T21:08:14Z
doxygen,gpl-2.0-only,2026-07-21T21:08:14Z
dpkg,gpl-2.0-or-later,2026-07-21T21:08:14Z
dtc,gpl-2.0-or-later or bsd-2-clause,2026-07-21T21:08:14Z
duckdb,mit,2026-07-21T21:08:14Z
duktape,mit,2026-07-21T21:08:14Z
dust,apache-2.0,2026-07-21T21:08:14Z
dvc,apache-2.0,2026-07-21T21:08:14Z
dwarfutils,bsd-2-clause and lgpl-2.1-or-later and gpl-2.0-or-later,2026-07-21T21:08:14Z
dysk,mit,2026-07-21T21:08:14Z
edencommon,mit,2026-07-21T21:08:14Z
eigen,mpl-2.0 and apache-2.0 and bsd-3-clause and minpack,2026-07-21T21:08:14Z
eksctl,apache-2.0,2026-07-21T21:08:14Z
elfutils,gpl-3.0-or-later and (gpl-2.0-or-later or lgpl-3.0-or-later) and gfdl-1.3-no-invariants-or-later,2026-07-21T21:08:14Z
elixir,apache-2.0,2026-07-21T21:08:14Z
emacs,gpl-3.0-or-later,2026-07-21T21:08:14Z
emscripten,apache-2.0 and (apache-2.0 with llvm-exception) and (mit or ncsa),2026-07-21T21:08:14Z
enchant,lgpl-2.1-or-later,2026-07-21T21:08:14Z
epsilon,bsd-3-clause and (gpl-3.0-or-later or lgpl-3.0-or-later),2026-07-21T21:08:14Z
epstool,gpl-2.0-only,2026-07-21T21:08:14Z
erlang,apache-2.0,2026-07-21T21:08:14Z
erlang@28,apache-2.0,2026-07-21T21:08:14Z
eslint,mit,2026-07-21T21:08:14Z
etcd,apache-2.0,2026-07-21T21:08:14Z
ethereum,lgpl-3.0-or-later,2026-07-21T21:08:14Z
exercism,mit,2026-07-21T21:08:14Z
exiftool,artistic-1.0-perl or gpl-1.0-or-later,2026-07-21T21:08:14Z
expat,mit,2026-07-21T21:08:14Z
expect,licenseref-homebrew-public-domain,2026-07-21T21:08:14Z
eza,eupl-1.2,2026-07-21T21:08:14Z
faac,lgpl-2.1-or-later,2026-07-21T21:08:14Z
faad2,gpl-2.0-or-later,2026-07-21T21:08:14Z
fastfetch,mit,2026-07-21T21:08:14Z
fastlane,mit,2026-07-21T21:08:14Z
faudio,zlib,2026-07-21T21:08:14Z
fb303,apache-2.0,2026-07-21T21:08:14Z
fbthrift,apache-2.0,2026-07-21T21:08:14Z
fd,apache-2.0 or mit,2026-07-21T21:08:14Z
fdk-aac,apache-2.0,2026-07-21T21:08:14Z
fetch,mit,2026-07-21T21:08:14Z
ffmpeg,gpl-3.0-or-later,2026-07-21T21:08:14Z
ffmpeg@4,gpl-3.0-or-later,2026-07-21T21:08:14Z
ffmpeg@6,gpl-3.0-or-later,2026-07-21T21:08:14Z
fftw,gpl-2.0-or-later and bsd-2-clause,2026-07-21T21:08:14Z
fig2dev,mit,2026-07-21T21:08:14Z
figlet,bsd-3-clause,2026-07-21T21:08:14Z
findutils,gpl-3.0-or-later,2026-07-21T21:08:14Z
firebase-cli,mit,2026-07-21T21:08:14Z
fish,gpl-2.0-only,2026-07-21T21:08:14Z
fizz,bsd-3-clause,2026-07-21T21:08:14Z
