repo,repo_id,criticality_score,language,license,star_count,created_at,updated_at,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_release_count,updated_issues_count,closed_issues_count,issue_comment_frequency,github_mention_count,depsdev_enabled,checked_at,status,error_reason
indygreg/python-zstandard,gh/67307930,0.49089,C,"BSD 3-Clause ""New"" or ""Revised"" License",636,2016-09-03T19:28:44Z,2026-06-28T18:02:59Z,119,0,47,9,1.75,2,0,0,0,594,False,2026-06-29T12:55:33+00:00,ok,
burntsushi/walkdir,gh/42685794,0.49064,Rust,The Unlicense,1512,2015-09-17T22:40:28Z,2024-12-31T13:27:47Z,131,18,41,7,0,3,0,1,0,2450,False,2026-06-29T11:54:00+00:00,ok,
postcss/postcss-selector-parser,gh/36500102,0.48925,JavaScript,MIT License,214,2015-05-29T11:24:37Z,2026-06-11T12:31:23Z,134,0,48,6,0.33,6,0,0,0,1158,False,2026-06-29T14:24:25+00:00,ok,
broofa/mime,gh/534940,0.48873,TypeScript,MIT License,2353,2010-02-25T01:05:42Z,2026-04-24T18:26:42Z,198,2,57,7,0.15,1,0,0,0,2445,False,2026-06-29T11:51:45+00:00,ok,
webpack/minimizer-webpack-plugin,gh/143057914,0.48873,JavaScript,MIT License,1961,2018-07-31T19:25:19Z,2026-06-17T10:52:30Z,96,0,40,9,0.75,7,0,0,0,505,False,2026-06-29T15:28:49+00:00,ok,
ardatan/whatwg-node,gh/429511342,0.48857,TypeScript,MIT License,194,2021-11-18T16:58:56Z,2026-06-30T03:37:38Z,56,0,33,5,14.33,13,0,0,0,407,False,2026-06-30T16:02:47+00:00,ok,
tartley/colorama,gh/18892209,0.48833,Python,"BSD 3-Clause ""New"" or ""Revised"" License",3793,2014-04-17T20:18:25Z,2026-05-13T18:21:46Z,148,1,53,7,0.25,1,0,0,0,2424,False,2026-06-29T15:11:59+00:00,ok,
jawah/charset_normalizer,gh/200259335,0.48818,Python,MIT License,777,2019-08-02T15:37:20Z,2026-06-02T03:08:50Z,84,0,27,4,3,5,0,0,0,4251,False,2026-06-29T13:16:47+00:00,ok,
gnutls/libtasn1,gh/59017205,0.48784,C,Other,16,2002-04-05T19:57:55Z,2023-02-23T10:44:44Z,295,41,28,9,0,3,0,0,0,3583,False,2026-07-13T16:58:18+00:00,ok,
burntsushi/termcolor,gh/141345580,0.48700,Rust,The Unlicense,490,2016-02-27T16:07:26Z,2024-12-31T13:59:34Z,125,18,185,6,0,1,0,0,0,722,False,2026-06-29T11:53:49+00:00,ok,
evanw/node-source-map-support,gh/7682781,0.48658,JavaScript,MIT License,2194,2013-01-18T07:56:20Z,2022-11-01T10:23:29Z,163,44,71,6,0,3,1,0,0,1732,False,2026-06-29T12:08:46+00:00,ok,
fastify/fast-uri,gh/419317518,0.48570,JavaScript,Other,109,2021-10-20T12:20:22Z,2026-06-24T12:45:03Z,57,0,15,6,0.77,4,0,0,0,14828,False,2026-06-29T12:33:11+00:00,ok,
inikulin/parse5,gh/8862593,0.48537,TypeScript,MIT License,3906,2013-03-15T20:25:49Z,2026-06-29T03:23:25Z,161,0,43,7,4.52,2,0,0,0,436,False,2026-06-29T12:55:39+00:00,ok,
python-hyper/h11,gh/57372073,0.48503,Python,MIT License,558,2016-04-25T00:32:11Z,2025-04-24T23:29:20Z,123,14,34,8,0,1,0,0,0,3947,False,2026-06-29T14:30:35+00:00,ok,
pypa/distlib,gh/436970140,0.48492,Python,Other,65,2012-09-14T15:07:55Z,2026-06-12T08:12:05Z,167,0,44,7,0.79,2,0,0,0,1192,False,2026-06-29T14:28:12+00:00,ok,
rust-fuzz/arbitrary,gh/90591032,0.48457,Rust,Apache License 2.0,867,2017-05-07T22:07:53Z,2026-06-22T23:06:16Z,111,0,64,5,0.44,4,0,0,0,1192,False,2026-06-29T14:40:15+00:00,ok,
jimp-dev/jimp,gh/24008065,0.48404,TypeScript,MIT License,14628,2014-09-13T22:53:45Z,2026-04-07T17:47:05Z,143,2,177,6,0.02,1,0,0,0,507,False,2026-06-29T13:17:20+00:00,ok,
burntsushi/aho-corasick,gh/37290678,0.48385,Rust,The Unlicense,1260,2015-06-11T23:02:10Z,2026-04-21T20:54:15Z,134,2,35,6,0.13,5,0,0,0,1787,False,2026-06-29T11:53:20+00:00,ok,
tsconfig/bases,gh/263697285,0.48343,TypeScript,MIT License,7828,2020-05-13T17:22:41Z,2026-05-28T14:28:11Z,74,1,99,4,0.69,0,0,0,0,6981,False,2026-06-29T15:17:07+00:00,ok,
grantjenks/python-sortedcontainers,gh/17144859,0.48306,Python,Other,3963,2013-01-03T06:02:05Z,2024-03-01T23:03:38Z,164,28,24,7,0,3,1,1,1,551,False,2026-06-29T12:51:46+00:00,ok,
babel/babel-polyfills,gh/190579283,0.48292,TypeScript,MIT License,356,2019-06-06T09:19:39Z,2026-06-18T11:23:30Z,86,0,26,7,0.38,32,0,0,0,514,False,2026-06-29T11:50:34+00:00,ok,
knurling-rs/defmt,gh/282262730,0.48291,Rust,Apache License 2.0,1191,2020-07-24T16:03:35Z,2026-06-26T21:58:18Z,72,0,94,7,3.31,1,0,0,0,425,False,2026-06-29T13:36:52+00:00,ok,
pyca/pynacl,gh/8350032,0.48288,C,Apache License 2.0,1199,2013-02-22T03:52:39Z,2026-04-29T12:21:46Z,162,2,78,6,0.96,1,0,0,0,881,False,2026-06-29T14:27:39+00:00,ok,
webreflection/flatted,gh/131121620,0.48284,JavaScript,ISC License,1147,2018-04-26T08:05:51Z,2026-04-10T07:53:25Z,99,2,13,3,0.6,5,0,0,0,30834,False,2026-06-29T15:29:20+00:00,ok,
octokit/types.ts,gh/216109757,0.48283,TypeScript,MIT License,151,2019-10-18T21:31:11Z,2026-06-10T23:01:12Z,81,0,28,6,0.31,4,0,0,0,4033,False,2026-06-29T14:18:28+00:00,ok,
py4j/py4j,gh/1045976,0.48268,Java,Other,1287,2009-12-04T13:49:44Z,2026-06-11T17:32:34Z,201,0,45,7,0.52,2,0,0,0,1153,False,2026-06-29T14:26:20+00:00,ok,
micromark/micromark,gh/157420458,0.48249,JavaScript,MIT License,2190,2018-11-13T17:34:37Z,2025-05-10T18:46:45Z,92,13,21,7,0,15,0,0,0,1670,False,2026-06-29T13:50:01+00:00,ok,
pyasn1/pyasn1,gh/512723255,0.48217,Python,"BSD 2-Clause ""Simplified"" License",51,2005-06-14T06:59:38Z,2026-06-27T22:52:45Z,256,0,31,5,0.27,2,0,0,0,5077,False,2026-06-29T14:26:26+00:00,ok,
rust-lang/libz-sys,gh/26042019,0.48210,Rust,Apache License 2.0,132,2014-11-01T04:46:00Z,2026-06-22T07:45:50Z,141,0,58,4,1.12,8,0,0,0,667,False,2026-06-29T14:43:48+00:00,ok,
fb55/css-what,gh/4460687,0.48202,TypeScript,"BSD 2-Clause ""Simplified"" License",247,2012-05-27T08:23:49Z,2026-06-29T10:32:57Z,171,0,25,4,3.23,2,0,0,0,3635,False,2026-06-29T12:33:34+00:00,ok,
chicoxyzzy/node-releases,gh/73765596,0.48175,JavaScript,MIT License,38,2016-11-15T01:05:11Z,2026-06-25T04:30:39Z,117,0,12,4,1.44,14,0,0,0,3649,False,2026-06-29T11:25:18+00:00,ok,
taiki-e/pin-project,gh/164668916,0.48169,Rust,Apache License 2.0,713,2019-01-08T14:39:18Z,2026-06-18T20:21:13Z,90,0,14,6,1.12,3,0,0,0,7057,False,2026-06-29T15:11:28+00:00,ok,
uqfoundation/dill,gh/11031844,0.48153,Python,Other,2439,2009-08-01T06:55:52Z,2026-06-28T19:33:22Z,205,0,49,7,0.42,1,0,0,0,1497,False,2026-06-29T15:18:46+00:00,ok,
estools/escodegen,gh/3611422,0.48132,JavaScript,"BSD 2-Clause ""Simplified"" License",2688,2012-03-03T15:14:16Z,2023-06-29T20:17:10Z,174,36,55,11,0,3,1,1,0,344,False,2026-06-29T12:07:18+00:00,ok,
googleapis/python-cloud-core,gh/226992462,0.48064,,Apache License 2.0,34,2016-09-23T16:18:59Z,2026-02-13T01:34:03Z,119,4,46,8,0.13,1,0,0,0,1476,False,2026-07-05T15:56:54+00:00,ok,
micheles/decorator,gh/14656555,0.48018,Python,"BSD 2-Clause ""Simplified"" License",908,2008-12-03T06:58:37Z,2026-05-22T13:18:22Z,213,1,32,9,0.98,1,0,0,0,1036,False,2026-06-29T13:49:56+00:00,ok,
gitpython-developers/gitdb,gh/1126093,0.47976,Python,Other,225,2010-06-12T12:38:21Z,2026-06-22T11:21:18Z,195,0,39,7,0.44,2,0,0,0,1231,False,2026-06-29T12:45:46+00:00,ok,
pallets/itsdangerous,gh/1945034,0.47938,Python,"BSD 3-Clause ""New"" or ""Revised"" License",3123,2011-06-24T00:09:05Z,2025-06-14T20:35:42Z,182,12,44,7,0,2,0,0,0,1632,False,2026-06-29T14:21:10+00:00,ok,
watson/ci-info,gh/71475907,0.47905,JavaScript,MIT License,364,2016-10-20T15:16:32Z,2026-01-29T16:22:34Z,117,5,34,8,0.27,3,0,0,0,968,False,2026-06-29T15:28:25+00:00,ok,
dchest/tweetnacl-js,gh/15649752,0.47890,JavaScript,The Unlicense,1922,2014-01-05T00:42:12Z,2025-08-15T11:40:45Z,151,10,18,8,0.02,2,1,0,1,613,False,2026-06-29T12:00:38+00:00,ok,
stub42/pytz,gh/63155638,0.47883,C,MIT License,391,2005-05-10T20:54:17Z,2026-05-04T01:09:08Z,257,1,23,3,0.25,3,0,1,0,11251,False,2026-06-29T15:10:50+00:00,ok,
azuread/microsoft-authentication-library-for-python,gh/67243113,0.47866,Python,Other,962,2016-08-30T17:47:48Z,2026-06-22T21:08:47Z,119,0,49,3,1.02,8,0,0,0,1325,False,2026-06-29T11:49:32+00:00,ok,
mrmlnc/fast-glob,gh/77467076,0.47854,JavaScript,MIT License,2816,2016-12-27T16:03:43Z,2025-01-17T06:30:54Z,115,17,30,6,0,4,0,0,0,2679,False,2026-06-29T14:07:31+00:00,ok,
kaelzhang/node-ignore,gh/12519245,0.47851,JavaScript,Other,496,2013-09-01T10:52:11Z,2026-06-24T14:22:36Z,156,0,23,11,0.04,5,0,0,0,709,False,2026-06-29T13:35:27+00:00,ok,
mhammond/pywin32,gh/108187130,0.47792,C++,,5577,1999-08-31T23:05:32Z,2026-06-26T04:33:53Z,326,0,115,2,1.9,2,0,0,0,1584,False,2026-06-29T13:49:50+00:00,ok,
rust-phf/rust-phf,gh/15992970,0.47791,Rust,MIT License,2164,2014-01-17T07:23:04Z,2026-06-24T10:31:49Z,151,0,73,4,1.48,3,0,0,0,681,False,2026-06-29T14:46:47+00:00,ok,
ronaldoussoren/pyobjc,gh/243933900,0.47757,Python,,792,2000-11-17T02:12:42Z,2026-06-19T10:52:05Z,311,0,41,4,4.37,4,0,0,0,612,False,2026-06-29T14:39:51+00:00,ok,
rust-lang/pkg-config-rs,gh/26042035,0.47756,Rust,Apache License 2.0,189,2014-11-01T04:47:22Z,2026-04-14T00:51:51Z,141,2,58,6,0.08,2,0,0,0,1126,False,2026-06-29T14:46:22+00:00,ok,
jonschlinkert/word-wrap,gh/18260583,0.47723,JavaScript,MIT License,207,2014-03-30T08:47:44Z,2023-07-22T14:35:16Z,149,35,14,5,0,0,1,0,0,53138,False,2026-06-29T13:20:14+00:00,ok,
rustcrypto/stream-ciphers,gh/83051505,0.47686,Rust,,323,2017-02-24T14:50:21Z,2026-06-24T13:31:55Z,113,0,31,7,2.17,14,0,0,0,146,False,2026-06-29T14:47:29+00:00,ok,
jamesmunns/postcard,gh/179385478,0.47678,Rust,Apache License 2.0,1449,2019-04-03T23:26:26Z,2026-02-03T12:11:08Z,88,4,70,8,0.71,6,0,1,0,133,False,2026-06-29T13:06:55+00:00,ok,
frommi/miniz_oxide,gh/96124162,0.47614,C,MIT License,239,2017-07-03T15:16:18Z,2026-04-22T23:40:49Z,109,2,58,4,0.52,3,0,0,0,1586,False,2026-06-29T12:39:13+00:00,ok,
npm/ini,gh/2167680,0.47582,JavaScript,ISC License,813,2011-08-07T05:41:15Z,2026-06-18T16:25:11Z,181,0,29,4,0.35,2,0,0,0,5629,False,2026-06-29T14:15:16+00:00,ok,
typeshed-internal/stub_uploader,gh/331669593,0.47580,Python,Apache License 2.0,37,2021-01-21T15:27:10Z,2026-06-28T06:05:27Z,66,0,24,4,6.04,0,0,0,0,10391,False,2026-06-29T15:17:27+00:00,ok,
primus/eventemitter3,gh/13100677,0.47506,JavaScript,MIT License,3534,2013-09-25T17:37:50Z,2026-01-19T15:01:59Z,155,5,32,5,0.31,3,1,0,0,1755,False,2026-06-29T14:25:33+00:00,ok,
webpack/webpack-sources,gh/48954523,0.47498,JavaScript,MIT License,273,2016-01-03T17:30:14Z,2026-06-26T13:43:12Z,127,0,33,6,1.21,4,0,0,0,656,False,2026-06-29T15:29:13+00:00,ok,
crate-py/rpds,gh/608018848,0.47333,Rust,MIT License,63,2023-02-28T11:54:04Z,2026-06-25T22:08:20Z,40,0,20,5,5.02,7,0,0,0,1996,False,2026-06-29T11:59:08+00:00,ok,
autotools-mirror/libtool,gh/47662711,0.47210,Shell,,52,1997-04-01T18:25:22Z,2026-06-04T18:02:44Z,356,0,354,6,1.52,3,0,0,0,15,False,2026-06-29T11:48:34+00:00,ok,
justmoon/node-extend,gh/3967764,0.47147,JavaScript,MIT License,343,2012-04-08T23:56:11Z,2025-03-06T18:47:36Z,173,15,15,7,0,0,0,0,0,14447,False,2026-06-29T13:35:09+00:00,ok,
assert-rs/snapbox,gh/424722460,0.47146,Rust,Apache License 2.0,176,2021-11-04T19:17:05Z,2026-06-01T13:21:33Z,56,0,20,5,2.79,38,0,0,0,516,False,2026-06-29T11:48:04+00:00,ok,
xtuc/webassemblyjs,gh/113006071,0.47044,JavaScript,MIT License,832,2017-12-04T06:49:30Z,2024-11-11T13:28:48Z,104,19,44,6,0,10,0,1,0,354,False,2026-06-29T15:30:56+00:00,ok,
jshttp/mime-types,gh/19380178,0.47027,JavaScript,MIT License,1467,2014-05-02T15:54:07Z,2026-03-02T07:29:13Z,148,3,21,8,0.54,1,0,0,0,1695,False,2026-06-29T13:32:53+00:00,ok,
mrabarnett/mrab-regex,gh/309446978,0.46972,C,Other,590,2010-12-31T02:02:26Z,2026-06-28T22:23:38Z,188,0,14,3,0.92,4,0,0,0,8525,False,2026-06-29T14:07:25+00:00,ok,
executablebooks/markdown-it-py,gh/249956697,0.46970,Python,MIT License,1333,2020-03-25T11:10:01Z,2026-05-19T11:26:54Z,76,1,34,6,0.4,3,0,0,0,1578,False,2026-07-05T15:40:05+00:00,ok,
composefs/tar-rs,gh/21946092,0.46918,Rust,Apache License 2.0,724,2014-07-17T14:27:51Z,2026-05-18T18:26:12Z,145,1,86,5,0.48,1,0,0,0,581,False,2026-06-29T17:28:15+00:00,ok,
jmespath/jmespath.py,gh/8300763,0.46879,Python,MIT License,2442,2013-02-19T22:16:36Z,2026-01-22T16:29:18Z,162,5,32,6,0.38,2,0,0,0,1236,False,2026-06-29T13:17:27+00:00,ok,
hukkin/tomli,gh/370616797,0.46793,Python,MIT License,566,2021-05-23T14:27:13Z,2026-04-14T09:34:49Z,62,2,15,6,0.69,6,0,0,0,2976,False,2026-06-29T12:54:51+00:00,ok,
pytest-dev/iniconfig,gh/66012563,0.46756,Python,MIT License,60,2010-09-29T22:25:34Z,2026-02-25T11:10:21Z,191,4,16,8,0.69,2,1,0,0,990,False,2026-06-29T14:29:47+00:00,ok,
vercel/ms,gh/3655872,0.46741,TypeScript,MIT License,5539,2012-03-08T01:58:41Z,2026-05-20T22:20:35Z,174,1,42,7,0.52,1,0,0,0,676,False,2026-06-29T15:27:45+00:00,ok,
retep998/winapi-rs,gh/23853482,0.46739,Rust,Apache License 2.0,1926,2014-09-09T23:12:28Z,2021-11-06T16:43:26Z,143,56,163,5,0,0,0,0,0,1296,False,2026-06-29T14:38:27+00:00,ok,
browserslist/update-db,gh/505548145,0.46611,JavaScript,MIT License,796,2022-06-20T18:05:58Z,2026-05-20T14:44:03Z,48,1,14,8,0.6,5,0,0,0,2497,False,2026-06-29T11:53:15+00:00,ok,
ljharb/es-abstract,gh/28995155,0.46607,JavaScript,MIT License,123,2013-03-29T18:47:15Z,2026-05-21T11:05:30Z,161,1,13,5,0.38,7,0,0,0,2107,False,2026-06-29T13:41:44+00:00,ok,
jsdom/whatwg-url,gh/34761352,0.46566,JavaScript,MIT License,414,2015-04-28T23:29:03Z,2026-06-29T13:07:56Z,135,0,23,6,0.46,5,0,0,0,730,False,2026-06-29T13:26:05+00:00,ok,
facelessuser/soupsieve,gh/160789418,0.46455,Python,MIT License,266,2018-12-07T07:41:28Z,2026-05-28T01:24:00Z,92,1,16,5,0.35,5,0,0,0,2743,False,2026-06-29T11:25:36+00:00,ok,
oozcitak/xmlbuilder-js,gh/1042809,0.46415,CoffeeScript,MIT License,926,2010-11-01T20:01:15Z,2025-12-01T07:52:09Z,190,7,33,11,0.04,6,1,0,0,109,False,2026-06-29T14:18:35+00:00,ok,
isaacs/sax-js,gh/508894,0.46409,JavaScript,Blue Oak Model License 1.0.0,1157,2010-02-09T01:49:02Z,2026-06-26T01:27:09Z,199,0,46,6,0.4,3,0,0,0,362,False,2026-06-29T13:06:20+00:00,ok,
dtolnay/itoa,gh/61962375,0.46380,Rust,Apache License 2.0,377,2016-06-25T21:32:23Z,2026-06-24T03:02:29Z,121,0,15,4,1.13,3,1,1,0,1848,False,2026-06-29T12:03:01+00:00,ok,
besser82/libxcrypt,gh/35503965,0.46358,C,GNU Lesser General Public License v2.1,236,2015-05-12T17:57:11Z,2025-12-10T13:03:54Z,135,6,26,4,0.46,3,0,0,0,2129,False,2026-06-29T11:50:53+00:00,ok,
fb55/entities,gh/3172629,0.46322,TypeScript,"BSD 2-Clause ""Simplified"" License",380,2012-01-13T16:57:38Z,2026-06-25T20:33:16Z,176,0,24,3,4.81,3,0,0,0,1081,False,2026-06-29T12:33:57+00:00,ok,
blakeembrey/change-case,gh/9440238,0.46315,TypeScript,MIT License,2407,2013-04-15T03:47:39Z,2025-03-27T19:31:15Z,160,15,25,4,0,9,0,1,0,1078,False,2026-06-29T11:25:11+00:00,ok,
gulpjs/glob-parent,gh/29154915,0.46301,JavaScript,ISC License,83,2015-01-12T20:18:40Z,2023-04-15T22:03:21Z,139,39,10,4,0,1,0,0,0,37028,False,2026-06-29T12:53:15+00:00,ok,
jshttp/http-errors,gh/23806086,0.46287,JavaScript,MIT License,1561,2014-09-08T20:02:20Z,2026-03-01T10:32:56Z,143,4,23,9,0.33,1,0,0,0,775,False,2026-06-29T13:31:41+00:00,ok,
tehshrike/deepmerge,gh/3276413,0.46280,JavaScript,MIT License,2815,2012-01-26T18:58:48Z,2023-03-16T22:58:51Z,175,40,39,6,0,3,1,0,0,776,False,2026-06-29T15:12:17+00:00,ok,
sindresorhus/camelcase,gh/25116836,0.46250,JavaScript,MIT License,698,2014-10-12T10:58:21Z,2025-11-10T20:37:36Z,142,7,31,7,0.12,1,0,0,0,1090,False,2026-06-29T14:53:21+00:00,ok,
npm/normalize-package-data,gh/9301720,0.46208,JavaScript,Other,204,2013-04-08T16:56:41Z,2026-06-18T16:25:32Z,160,0,41,6,0.5,3,0,0,0,351,False,2026-06-29T14:15:55+00:00,ok,
mcollina/fastq,gh/37368217,0.46155,JavaScript,ISC License,1136,2015-06-13T10:57:43Z,2025-12-23T07:58:56Z,134,6,30,7,0.15,1,0,0,0,1033,False,2026-06-29T13:49:03+00:00,ok,
jquery/esprima,gh/2833537,0.46090,TypeScript,"BSD 2-Clause ""Simplified"" License",7139,2011-11-23T02:43:49Z,2021-08-22T05:53:00Z,177,59,69,9,0,2,0,0,0,271,False,2026-06-29T13:25:30+00:00,ok,
chalk/supports-color,gh/11855007,0.46077,JavaScript,MIT License,370,2013-08-03T00:00:33Z,2026-01-04T15:23:11Z,157,5,42,5,0.12,3,0,0,0,660,False,2026-06-29T11:57:14+00:00,ok,
tokio-rs/loom,gh/161875917,0.46024,Rust,MIT License,2742,2018-12-15T06:11:47Z,2026-02-20T20:40:49Z,91,4,57,7,0.04,4,0,0,0,225,False,2026-06-29T15:15:26+00:00,ok,
fb55/nth-check,gh/16864923,0.46010,TypeScript,"BSD 2-Clause ""Simplified"" License",62,2014-02-15T15:06:06Z,2026-06-25T14:23:06Z,150,0,7,3,3.46,2,0,0,0,8644,False,2026-06-29T12:34:10+00:00,ok,
sindresorhus/string-width,gh/39222730,0.45887,JavaScript,MIT License,528,2015-07-16T22:05:13Z,2026-04-27T05:26:55Z,133,2,14,7,0.25,5,0,1,0,594,False,2026-06-29T15:01:46+00:00,ok,
autotools-mirror/autoconf,gh/47662429,0.45869,M4,GNU General Public License v2.0,68,1992-03-08T06:28:22Z,2026-05-09T22:08:03Z,417,1,153,7,1.15,2,0,0,0,24,False,2026-06-29T11:48:29+00:00,ok,
mathiasbynens/punycode.js,gh/2755924,0.45851,JavaScript,MIT License,1685,2011-11-11T13:34:12Z,2023-10-30T18:28:01Z,178,32,19,7,0,2,1,0,1,264,False,2026-06-29T13:47:38+00:00,ok,
alexhuszagh/rust-lexical,gh/155286170,0.45818,Rust,Other,361,2018-10-29T21:50:58Z,2026-03-12T23:48:40Z,93,3,27,8,0.29,5,0,1,0,217,False,2026-06-29T11:42:07+00:00,ok,
rust-lang/glob,gh/23241722,0.45713,Rust,Apache License 2.0,585,2014-08-22T22:22:51Z,2025-12-02T07:11:44Z,144,6,51,5,0.19,1,0,0,0,730,False,2026-06-29T14:42:42+00:00,ok,
laurent-laporte-pro/deprecated,gh/111412148,0.45624,Python,MIT License,333,2017-11-20T13:11:55Z,2025-10-30T08:15:30Z,104,8,23,9,0.58,2,0,0,0,354,False,2026-06-29T13:38:19+00:00,ok,
isaacs/node-mkdirp,gh/2718248,0.45623,TypeScript,Other,200,2011-01-06T02:49:15Z,2023-09-15T19:59:23Z,188,33,12,4,0,2,0,0,0,10883,False,2026-06-29T13:03:21+00:00,ok,
mafintosh/tar-stream,gh/15340089,0.45617,JavaScript,MIT License,434,2013-12-19T22:08:43Z,2026-04-29T11:18:38Z,152,2,44,4,0.13,5,0,0,0,472,False,2026-06-29T13:47:09+00:00,ok,
wbond/asn1crypto,gh/36823669,0.45580,Python,MIT License,359,2015-06-03T18:51:56Z,2023-11-03T12:31:26Z,134,32,39,5,0,3,0,0,0,839,False,2026-06-29T15:28:30+00:00,ok,
npm/node-which,gh/2169708,0.45537,JavaScript,ISC License,353,2011-08-07T18:22:14Z,2026-06-18T16:24:15Z,181,0,21,7,0.37,3,0,0,0,453,False,2026-06-29T14:15:42+00:00,ok,
whitequark/ipaddr.js,gh/2110585,0.45521,JavaScript,MIT License,642,2011-07-26T22:08:31Z,2026-06-27T14:39:29Z,181,0,42,10,0.44,2,0,0,0,84,False,2026-06-29T15:30:38+00:00,ok,
gitpython-developers/smmap,gh/1865144,0.45450,Python,"BSD 3-Clause ""New"" or ""Revised"" License",74,2011-06-08T12:37:12Z,2026-06-22T02:55:43Z,183,0,21,5,0.21,1,1,1,0,1235,False,2026-07-05T15:40:16+00:00,ok,
dmitrysoshnikov/regexp-tree,gh/85459304,0.45446,JavaScript,MIT License,423,2017-03-19T07:47:16Z,2025-07-20T04:38:34Z,112,11,28,6,0.08,11,0,0,0,210,False,2026-06-29T12:02:09+00:00,ok,
stream-utils/raw-body,gh/12823654,0.45431,JavaScript,MIT License,400,2013-09-14T02:46:27Z,2025-11-25T18:17:01Z,155,7,18,9,0.35,3,0,0,0,315,False,2026-06-29T15:05:59+00:00,ok,
pillarjs/iconv-lite,gh/2743221,0.45423,JavaScript,MIT License,3174,2011-11-09T17:41:43Z,2026-06-29T07:20:20Z,178,0,44,5,1.12,4,0,0,0,161,False,2026-06-29T14:23:39+00:00,ok,
sindresorhus/p-limit,gh/71542716,0.45340,JavaScript,MIT License,2892,2016-10-21T07:51:44Z,2026-05-20T14:50:48Z,117,1,18,5,0.4,5,0,0,0,747,False,2026-06-29T14:59:57+00:00,ok,
rvagg/through2,gh/11808187,0.45317,JavaScript,MIT License,1906,2013-08-01T04:46:24Z,2026-06-23T05:04:35Z,157,0,23,6,0.15,4,0,0,0,464,False,2026-06-29T14:47:54+00:00,ok,
nodeca/pako,gh/16231859,0.45312,JavaScript,MIT License,6083,2014-01-25T13:57:00Z,2026-06-26T01:32:17Z,151,0,25,4,1.21,2,0,0,0,919,False,2026-06-29T14:11:13+00:00,ok,
rayon-rs/either,gh/42479602,0.45280,Rust,Apache License 2.0,556,2015-09-14T21:04:32Z,2026-05-22T08:54:46Z,131,1,43,3,0.58,2,0,0,0,1024,False,2026-06-29T14:37:36+00:00,ok,
googleapis/python-crc32c,gh/159736041,0.45272,Shell,Apache License 2.0,27,2018-10-24T17:08:25Z,2026-04-01T20:26:48Z,93,3,19,6,0.15,5,0,0,0,727,False,2026-07-05T15:57:00+00:00,ok,
aio-libs/frozenlist,gh/204197530,0.45242,Python,Apache License 2.0,122,2019-08-24T18:36:35Z,2026-06-25T10:10:17Z,83,0,23,5,1.83,1,0,0,0,1173,False,2026-06-29T11:36:27+00:00,ok,
csstree/csstree,gh/67236461,0.45222,JavaScript,MIT License,2112,2016-09-02T16:03:01Z,2026-03-05T14:58:49Z,119,3,30,7,0.33,2,0,0,0,308,False,2026-06-29T11:59:44+00:00,ok,
fb55/css-select,gh/3411063,0.45116,TypeScript,"BSD 2-Clause ""Simplified"" License",631,2012-02-10T21:03:46Z,2026-06-25T13:53:11Z,175,0,26,7,3.12,2,0,0,0,115,False,2026-06-29T12:33:28+00:00,ok,
fb55/domhandler,gh/5414232,0.45095,TypeScript,"BSD 2-Clause ""Simplified"" License",365,2012-08-14T14:47:17Z,2026-06-25T13:23:20Z,168,0,22,7,3.19,2,0,0,0,143,False,2026-06-29T12:33:45+00:00,ok,
dcodeio/long.js,gh/8678904,0.45051,JavaScript,Apache License 2.0,920,2013-03-10T01:21:32Z,2025-04-17T17:30:30Z,161,14,19,3,0,2,1,1,2,231,False,2026-06-29T12:00:44+00:00,ok,
npm/nopt,gh/1544436,0.45021,JavaScript,ISC License,541,2011-03-30T02:32:09Z,2026-06-18T16:25:27Z,185,0,28,7,0.54,3,0,0,0,185,False,2026-06-29T14:15:49+00:00,ok,
azure/msrest-for-python,gh/71186468,0.44940,Python,MIT License,42,2016-10-17T22:26:55Z,2022-11-08T22:12:47Z,118,44,25,4,0,5,0,0,0,1439,False,2026-07-05T15:56:01+00:00,ok,
fb55/domutils,gh/6627949,0.44915,TypeScript,"BSD 2-Clause ""Simplified"" License",225,2012-11-10T13:46:14Z,2026-06-23T22:26:08Z,165,0,22,6,2.6,3,0,0,0,158,False,2026-06-29T12:33:51+00:00,ok,
eslint-community/eslint-utils,gh/568240379,0.44899,JavaScript,MIT License,23,2018-05-02T07:53:50Z,2026-06-19T21:43:14Z,99,0,10,4,0.42,6,0,0,0,2213,False,2026-06-29T12:06:52+00:00,ok,
isaacs/minipass,gh/84886212,0.44886,TypeScript,Blue Oak Model License 1.0.0,261,2017-03-14T00:02:08Z,2026-02-19T00:34:17Z,113,4,12,5,0.06,10,0,0,0,758,False,2026-06-29T13:02:02+00:00,ok,
kriszyp/json-schema,gh/947175,0.44852,JavaScript,Other,528,2010-09-29T01:26:33Z,2021-11-25T03:22:56Z,191,55,17,5,0,0,0,0,0,10415,False,2026-06-29T13:38:05+00:00,ok,
bytecodealliance/wasi-rs,gh/196445196,0.44800,Rust,Apache License 2.0,359,2019-07-11T18:18:29Z,2026-06-12T17:41:47Z,84,0,26,4,0.77,4,0,0,0,733,False,2026-06-29T11:54:23+00:00,ok,
webpack/schema-utils,gh/80306715,0.44800,JavaScript,MIT License,249,2017-01-28T19:50:41Z,2026-01-23T13:25:59Z,114,5,20,9,0.12,1,0,0,0,436,False,2026-06-29T15:28:55+00:00,ok,
