repo,repo_id,criticality_score,language,license,star_count,created_at,updated_at,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_release_count,updated_issues_count,closed_issues_count,issue_comment_frequency,github_mention_count,depsdev_enabled,checked_at,status,error_reason
andialbrecht/sqlparse,gh/4067434,0.52102,Python,"BSD 3-Clause ""New"" or ""Revised"" License",4007,2009-04-03T19:26:42Z,2026-06-06T05:12:43Z,209,0,122,4,0.83,2,0,0,0,10795,False,2026-06-29T11:42:23+00:00,ok,
micromatch/micromatch,gh/27359938,0.52101,JavaScript,MIT License,3035,2014-12-01T02:57:36Z,2024-08-23T16:24:18Z,140,22,31,7,0,5,0,0,0,27796,False,2026-06-29T13:51:20+00:00,ok,
rust-lang/flate2-rs,gh/21954009,0.52099,Rust,Apache License 2.0,1107,2014-07-17T19:02:37Z,2026-06-20T09:53:29Z,145,0,116,3,1.48,7,0,0,0,6048,False,2026-06-29T14:42:29+00:00,ok,
requests/toolbelt,gh/15515181,0.52069,Python,Other,1039,2013-12-08T06:30:36Z,2025-01-09T01:04:53Z,152,17,72,8,0,1,0,1,0,11814,False,2026-06-29T14:38:21+00:00,ok,
websocket-client/websocket-client,gh/1202362,0.52067,Python,Apache License 2.0,3705,2010-12-28T06:35:25Z,2026-05-04T18:17:09Z,188,1,226,6,0.31,1,0,0,0,3395,False,2026-06-29T15:29:31+00:00,ok,
pytest-dev/pluggy,gh/34739117,0.52056,Python,MIT License,1656,2015-04-28T15:32:26Z,2026-06-25T07:55:10Z,135,0,61,9,2.37,2,0,0,0,2525,False,2026-06-29T14:29:54+00:00,ok,
json5/json5,gh/4463453,0.52032,JavaScript,Other,7138,2012-05-27T17:37:34Z,2024-10-25T14:12:31Z,171,20,29,7,0,1,0,0,0,85077,False,2026-06-29T13:33:57+00:00,ok,
hyperium/http,gh/84983058,0.52022,Rust,Apache License 2.0,1360,2017-03-14T18:21:23Z,2026-06-16T14:17:41Z,113,0,135,6,0.71,2,0,0,0,4033,False,2026-06-29T12:54:57+00:00,ok,
chalk/chalk,gh/11855195,0.52016,JavaScript,MIT License,23265,2013-08-03T00:18:58Z,2026-01-27T06:30:36Z,157,5,67,6,0.12,3,0,0,0,12803,False,2026-06-29T11:56:57+00:00,ok,
jridgewell/sourcemaps,gh/897142826,0.52016,TypeScript,,47,2015-10-10T04:49:04Z,2026-04-21T03:33:19Z,130,2,26,9,1.83,10,0,0,0,2929,False,2026-06-29T13:25:42+00:00,ok,
nlnetlabs/unbound,gh/94195301,0.51988,C,"BSD 3-Clause ""New"" or ""Revised"" License",4675,2007-01-03T08:53:52Z,2026-06-26T11:44:27Z,237,0,142,2,8,6,0,0,0,3033,False,2026-06-29T14:08:18+00:00,ok,
kpdecker/jsdiff,gh/1542219,0.51965,JavaScript,"BSD 3-Clause ""New"" or ""Revised"" License",9169,2011-03-29T16:25:28Z,2026-06-01T11:12:55Z,185,0,85,4,0.62,3,0,0,0,14369,False,2026-06-29T13:36:58+00:00,ok,
eslint/rewrite,gh/791446923,0.51947,JavaScript,Apache License 2.0,338,2024-04-23T18:10:51Z,2026-06-27T10:05:22Z,26,0,24,5,4.44,80,0,0,0,21294,False,2026-06-29T12:07:12+00:00,ok,
pyca/pyopenssl,gh/15778059,0.51926,Python,Apache License 2.0,943,2008-02-19T01:50:23Z,2026-06-24T11:19:08Z,223,0,116,5,1.44,2,0,0,0,4772,False,2026-06-29T14:27:45+00:00,ok,
c-ares/c-ares,gh/571708,0.51895,C,MIT License,2157,2003-10-07T21:54:04Z,2026-05-24T15:59:05Z,276,1,185,4,1.08,1,0,0,0,6635,False,2026-06-29T11:54:29+00:00,ok,
ipython/traitlets,gh/14993021,0.51882,Python,"BSD 3-Clause ""New"" or ""Revised"" License",654,2005-07-06T17:52:32Z,2026-06-03T14:43:28Z,255,0,115,12,0.21,2,0,0,0,1738,False,2026-06-29T13:01:08+00:00,ok,
tootallnate/proxy-agents,gh/11293703,0.51857,TypeScript,,1146,2013-07-09T20:42:59Z,2026-05-24T07:20:03Z,157,1,48,5,0.94,36,0,0,0,2455,False,2026-06-29T15:16:03+00:00,ok,
salesforce/tough-cookie,gh/2606873,0.51816,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",1062,2011-10-18T17:07:47Z,2026-06-04T17:09:42Z,178,0,43,5,0.87,2,0,0,0,25691,False,2026-06-29T14:48:05+00:00,ok,
npm/ssri,gh/193817839,0.51775,JavaScript,Other,60,2017-03-23T04:55:07Z,2026-06-18T16:01:44Z,112,0,17,5,0.52,3,0,0,0,99393,False,2026-06-29T14:16:50+00:00,ok,
snowflakedb/snowflake-connector-python,gh/62262074,0.51748,Python,Apache License 2.0,727,2016-06-29T22:29:53Z,2026-06-29T14:41:35Z,121,0,161,3,4.77,15,0,0,0,646,False,2026-06-29T15:04:13+00:00,ok,
yargs/y18n,gh/39720886,0.51730,JavaScript,ISC License,154,2015-07-26T09:47:46Z,2022-11-11T22:34:33Z,133,44,20,6,0,2,1,0,0,127873,False,2026-06-29T15:31:31+00:00,ok,
pnggroup/libpng,gh/3768025,0.51667,C,Other,1612,2009-04-06T21:04:01Z,2026-06-26T15:37:31Z,209,0,121,2,3.6,94,0,0,0,1532,False,2026-06-29T14:24:12+00:00,ok,
netflix/vmaf,gh/51317975,0.51634,C,Other,5389,2016-01-30T07:51:38Z,2026-06-22T18:02:59Z,126,0,113,6,2.96,2,0,0,0,1681,False,2026-06-29T14:08:00+00:00,ok,
tokio-rs/prost,gh/94262864,0.51608,Rust,Apache License 2.0,4720,2017-01-29T23:09:49Z,2026-06-07T09:53:58Z,114,0,171,3,1.35,3,0,0,0,5355,False,2026-06-29T15:15:32+00:00,ok,
raszi/node-tmp,gh/2313213,0.51521,JavaScript,MIT License,773,2011-09-02T10:39:43Z,2026-05-27T15:45:48Z,180,1,39,8,0.21,2,0,0,0,12245,False,2026-06-29T14:35:00+00:00,ok,
dtolnay/anyhow,gh/212936374,0.51511,Rust,Apache License 2.0,6574,2019-10-05T03:04:29Z,2026-06-25T20:43:15Z,81,0,27,4,1.25,5,0,0,0,49324,False,2026-06-29T12:02:38+00:00,ok,
paulmillr/chokidar,gh/4090287,0.51446,TypeScript,MIT License,12155,2012-04-20T19:17:49Z,2026-05-09T11:42:21Z,172,1,122,3,0.27,1,0,0,0,27106,False,2026-06-29T14:22:40+00:00,ok,
servo/rust-smallvec,gh/33456236,0.51409,Rust,Apache License 2.0,1653,2015-04-05T21:42:27Z,2026-02-16T04:06:32Z,136,4,97,5,0.13,2,0,0,0,9550,False,2026-06-29T14:52:40+00:00,ok,
microsoft/tslib,gh/34414315,0.51336,TypeScript,BSD Zero Clause License,1337,2015-04-22T20:32:42Z,2026-03-02T20:16:11Z,136,3,41,5,0.02,4,0,0,0,21947,False,2026-06-29T13:51:40+00:00,ok,
json-c/json-c,gh/1139119,0.51304,C,Other,3280,2007-03-13T08:26:17Z,2026-07-04T15:40:42Z,235,0,175,3,1.46,1,0,0,0,7466,False,2026-07-06T12:53:08+00:00,ok,
fsevents/fsevents,gh/1402936,0.51224,C,MIT License,568,2011-02-23T16:41:56Z,2023-08-21T16:21:41Z,186,34,43,10,0,4,0,0,0,5567,False,2026-06-29T12:39:18+00:00,ok,
juliangruber/brace-expansion,gh/13539234,0.51111,TypeScript,Other,210,2013-10-09T13:21:46Z,2026-06-29T03:46:54Z,154,0,27,5,0.54,2,0,0,0,38147,False,2026-06-29T13:34:10+00:00,ok,
npm/cacache,gh/193812470,0.51084,JavaScript,Other,300,2016-11-18T07:52:15Z,2026-06-18T16:24:50Z,117,0,39,6,0.65,7,0,0,0,5174,False,2026-06-29T14:12:44+00:00,ok,
pillarjs/send,gh/4879977,0.51069,JavaScript,MIT License,812,2012-07-04T01:09:07Z,2026-03-01T10:37:18Z,170,4,36,7,0.48,2,0,0,0,11937,False,2026-06-29T14:23:58+00:00,ok,
jd/tenacity,gh/65468547,0.51052,Python,Apache License 2.0,8687,2013-01-20T04:37:34Z,2026-06-25T07:39:32Z,163,0,108,5,1.21,2,0,0,0,3202,False,2026-06-29T13:17:02+00:00,ok,
python/importlib_resources,gh/306147182,0.51041,Python,,72,2017-09-22T17:48:35Z,2026-04-13T23:37:10Z,106,2,51,8,0.48,2,0,0,0,5805,False,2026-06-29T14:33:14+00:00,ok,
fb55/htmlparser2,gh/2279062,0.51036,TypeScript,MIT License,4775,2010-03-31T20:05:01Z,2026-06-25T12:43:18Z,197,0,68,9,2.92,3,0,0,0,689,False,2026-06-29T12:34:04+00:00,ok,
teddriggs/darling,gh/89984100,0.51020,Rust,MIT License,1254,2017-05-02T01:45:05Z,2026-01-15T13:34:03Z,111,5,46,10,1.42,6,0,1,0,775,False,2026-06-29T15:12:11+00:00,ok,
tokio-rs/slab,gh/37093133,0.51008,Rust,MIT License,915,2015-06-08T21:13:10Z,2026-01-31T12:57:27Z,134,4,40,7,0.12,2,1,0,1,1890,False,2026-06-29T15:15:38+00:00,ok,
istanbuljs/istanbuljs,gh/81482340,0.50975,JavaScript,,1101,2015-11-21T20:30:20Z,2025-08-18T12:12:06Z,129,10,129,9,0.08,1,0,1,0,1456,False,2026-06-29T13:06:38+00:00,ok,
micromatch/braces,gh/25475303,0.50966,JavaScript,MIT License,249,2014-10-20T16:26:13Z,2025-01-19T20:06:12Z,142,17,14,7,0,2,0,0,0,76205,False,2026-06-29T13:50:14+00:00,ok,
tkem/cachetools,gh/18006791,0.50943,Python,MIT License,2754,2014-03-22T10:09:33Z,2026-05-21T22:30:52Z,149,1,22,6,1.88,5,0,0,0,8446,False,2026-06-29T15:15:14+00:00,ok,
p11-glue/p11-kit,gh/12060420,0.50893,C,Other,189,2011-01-21T20:48:43Z,2026-06-15T14:25:04Z,187,0,109,4,1.06,8,0,0,0,1668,False,2026-06-29T14:20:11+00:00,ok,
burntsushi/jiff,gh/759017108,0.50855,Rust,The Unlicense,2758,2024-02-17T18:31:06Z,2026-06-27T08:04:25Z,28,0,52,7,4.52,45,0,0,0,1283,False,2026-06-29T11:53:26+00:00,ok,
rust-num/num-traits,gh/114705611,0.50816,Rust,Apache License 2.0,950,2014-09-16T17:35:35Z,2025-06-17T21:37:55Z,143,12,131,5,0,3,0,0,0,3728,False,2026-06-29T14:46:41+00:00,ok,
dateutil/dateutil,gh/26876372,0.50806,Python,Other,2626,2003-09-28T01:20:02Z,2026-05-19T18:39:32Z,277,1,133,6,0.5,0,0,0,0,5623,False,2026-06-29T12:00:21+00:00,ok,
indexmap-rs/indexmap,gh/68294628,0.50769,Rust,Apache License 2.0,2386,2016-09-15T13:04:59Z,2026-05-02T00:12:04Z,119,1,58,3,1.77,7,0,0,0,6396,False,2026-06-29T12:55:21+00:00,ok,
dtolnay/quote,gh/67273122,0.50749,Rust,Apache License 2.0,1551,2016-09-03T05:34:45Z,2026-06-24T03:02:32Z,119,0,28,4,1.79,6,0,0,0,11476,False,2026-06-29T12:03:19+00:00,ok,
davidhalter/parso,gh/90668463,0.50654,Python,Other,676,2017-05-08T07:20:29Z,2026-05-01T23:07:05Z,111,1,52,9,0.48,3,0,0,0,2256,False,2026-06-29T12:00:27+00:00,ok,
jaraco/zipp,gh/157774633,0.50634,Python,,67,2015-12-20T03:29:56Z,2026-05-18T20:03:19Z,128,1,34,6,0.65,2,0,0,0,12099,False,2026-06-30T16:03:08+00:00,ok,
tukaani-project/xz,gh/553665726,0.50632,C,Other,1596,2007-12-08T22:42:33Z,2026-06-21T16:29:59Z,225,0,65,5,2.63,2,0,0,0,3241,False,2026-06-29T15:17:14+00:00,ok,
sqlite/sqlite,gh/176278485,0.50587,C,Other,9937,2000-05-29T14:15:59Z,2026-06-28T19:05:29Z,317,0,37,0,37.96,14,0,0,0,20953,False,2026-06-29T15:04:33+00:00,ok,
indutny/bn.js,gh/19176350,0.50582,JavaScript,MIT License,1229,2014-04-26T12:01:44Z,2026-06-26T00:50:29Z,148,0,35,6,0.08,10,0,1,0,3472,False,2026-06-29T12:55:27+00:00,ok,
pyca/bcrypt,gh/9993757,0.50575,Python,Apache License 2.0,1484,2013-05-11T02:03:55Z,2026-06-29T04:39:54Z,159,0,40,6,3.15,2,0,0,0,3748,False,2026-06-29T14:27:27+00:00,ok,
pcre2project/pcre2,gh/398251321,0.50481,C,Other,1307,2014-02-18T10:48:27Z,2026-05-21T03:56:00Z,150,1,64,5,2.83,2,0,0,0,2874,False,2026-06-29T14:22:52+00:00,ok,
gyscos/zstd-rs,gh/52115335,0.50472,Rust,"BSD 3-Clause ""New"" or ""Revised"" License",644,2016-02-19T20:44:03Z,2026-06-24T12:27:16Z,126,0,67,5,0.12,8,0,0,0,2837,False,2026-06-29T12:53:27+00:00,ok,
yaml/libyaml,gh/2699072,0.50438,C,MIT License,1136,2006-05-12T13:01:32Z,2026-05-13T17:24:17Z,245,1,35,9,0.15,1,0,0,0,8047,False,2026-06-29T15:31:08+00:00,ok,
facebook/prop-types,gh/87597642,0.50366,JavaScript,MIT License,4452,2017-04-08T00:44:02Z,2023-01-27T17:24:18Z,112,41,57,8,0,1,1,1,0,6270,False,2026-07-05T15:56:32+00:00,ok,
encode/httpcore,gh/237210639,0.50348,Python,"BSD 3-Clause ""New"" or ""Revised"" License",542,2020-01-30T12:41:11Z,2025-10-13T12:41:26Z,78,8,59,7,0.06,8,0,0,0,2980,False,2026-06-29T12:04:44+00:00,ok,
webmproject/libwebp,gh/23368445,0.50335,C,"BSD 3-Clause ""New"" or ""Revised"" License",2342,2010-09-30T13:55:07Z,2026-06-18T02:16:47Z,191,0,79,3,3.85,4,0,0,0,2720,False,2026-06-29T15:28:36+00:00,ok,
