repo_id,repository_url,class,valid,ecosystem,package,registry_hit,ok,error,critical,critical_via,rank_average,dependent_repos_count,dependent_packages_count,fetched_at
gh/358917250,https://github.com/apache/arrow-rs,A,True,crates,arrow-schema,crates.io,True,,,,1.8231525013487933,434,91,2026-07-06T17:14:41Z
gh/54432168,https://github.com/ardatan/graphql-tools,A,True,npm,@graphql-tools/utils,npmjs.org,True,,True,npmjs.org,0.4952648256284717,95265,645,2026-07-06T17:14:41Z
gh/429511342,https://github.com/ardatan/whatwg-node,A,True,npm,@whatwg-node/promise-helpers,npmjs.org,True,,True,npm,30.539524393709527,0,0,2026-07-06T17:14:41Z
gh/424722460,https://github.com/assert-rs/snapbox,A,True,crates,snapbox,crates.io,True,,,,5.449823987307254,503,60,2026-07-06T17:14:41Z
gh/205875548,https://github.com/astanin/python-tabulate,A,True,pypi,tabulate,pypi.org,True,,True,pypi.org,1.1850850533222548,31311,3054,2026-07-06T17:14:41Z
gh/523043277,https://github.com/astral-sh/ruff,A,True,pypi,ruff,pypi.org,True,,True,pypi.org,0.4882549196910531,5870,2931,2026-07-06T17:14:41Z
gh/8116861,https://github.com/auth0/node-jwa,A,True,npm,jwa,npmjs.org,True,,True,npmjs.org,1.6146661946645404,728961,84,2026-07-06T17:14:41Z
gh/47662429,https://github.com/autotools-mirror/autoconf,A,True,cpp,autoconf,spack.io,True,,,,0.09031540919827706,0,386,2026-07-06T17:14:41Z
gh/47662595,https://github.com/autotools-mirror/gettext,A,True,cpp,gettext,spack.io,True,,,,0.34041961928581355,0,79,2026-07-06T17:14:41Z
gh/47662711,https://github.com/autotools-mirror/libtool,A,True,cpp,libtool,spack.io,True,,,,0.08336807002917883,0,401,2026-07-06T17:14:41Z
gh/66880383,https://github.com/autotools-mirror/m4,A,True,cpp,m4,spack.io,True,,,,0.10421008753647354,0,323,2026-07-06T17:14:41Z
gh/6780767,https://github.com/aws/aws-cli,A,True,pypi,awscli,pypi.org,True,,True,pypi.org,0.12524432884997153,11361,174,2026-07-06T17:14:41Z
gh/149673986,https://github.com/aws/aws-sdk-js-crypto-helpers,A,True,npm,@aws-crypto/util,npmjs.org,True,,True,npmjs.org,2.2476658565868153,65199,13,2026-07-06T17:14:41Z
gh/87228090,https://github.com/aws/aws-sdk-js-v3,A,True,npm,@aws-sdk/types,npmjs.org,True,,True,npmjs.org,0.5831539725995392,75143,1494,2026-07-06T17:11:17Z
gh/23088740,https://github.com/axios/axios,A,True,npm,axios,npmjs.org,True,,True,npmjs.org,0.07642166102094629,453457,97210,2026-07-06T17:14:41Z
gh/108311273,https://github.com/azure/azure-sdk-for-js,A,True,npm,@azure/abort-controller,npmjs.org,True,,True,npmjs.org,0.6080741854795793,18613,269,2026-07-06T17:14:41Z
gh/4127088,https://github.com/azure/azure-sdk-for-python,A,True,pypi,azure-core,pypi.org,True,,True,pypi.org,0.3886597200696249,4044,238,2026-07-06T17:11:17Z
gh/71186468,https://github.com/azure/msrest-for-python,A,True,pypi,msrest,pypi.org,True,,True,pypi.org,3.235498932821234,3989,296,2026-07-06T17:14:41Z
gh/67243113,https://github.com/azuread/microsoft-authentication-library-for-python,A,True,pypi,msal,pypi.org,True,,True,pypi.org,1.3800263019366954,2773,209,2026-07-06T17:14:41Z
gh/24560307,https://github.com/babel/babel,A,True,npm,@babel/helper-plugin-utils,npmjs.org,True,,True,npmjs.org,0.15960618306029706,3527362,1068,2026-07-06T17:11:17Z
gh/190579283,https://github.com/babel/babel-polyfills,A,True,npm,@babel/helper-define-polyfill-provider,npmjs.org,True,,True,npmjs.org,1.5280868276619202,1820602,9,2026-07-06T17:14:41Z
gh/55723051,https://github.com/babel/minify,A,True,npm,babel-helper-evaluate-path,npmjs.org,True,,,,0.793870804315628,55490,41,2026-07-05T19:05:43Z
gh/2109456,https://github.com/bdwgc/bdwgc,A,True,cpp,bdw-gc,spack.io,True,,,,7.093233291649298,0,3,2026-07-06T17:14:41Z
gh/2853282,https://github.com/beatgammit/base64-js,A,True,npm,base64-js,npmjs.org,True,,True,npmjs.org,0.7278333831646188,1564057,2788,2026-07-06T17:14:41Z
gh/77868600,https://github.com/benjaminp/six,A,True,pypi,six,pypi.org,True,,True,pypi.org,1.16891382539109,591238,6588,2026-07-06T17:14:41Z
gh/35503965,https://github.com/besser82/libxcrypt,A,True,cpp,libxcrypt,spack.io,True,,True,homebrew,15.607197443379185,0,4,2026-07-06T17:14:41Z
gh/24130045,https://github.com/bincode-org/bincode,A,True,crates,bincode,crates.io,True,,True,crates.io,1.114268990176097,21396,2955,2026-07-06T17:14:41Z
gh/29287955,https://github.com/bitflags/bitflags,A,True,crates,bitflags,crates.io,True,,True,crates.io,1.8404244565587895,104118,2865,2026-07-06T17:14:41Z
gh/17789771,https://github.com/blakeembrey/array-flatten,A,True,npm,array-flatten,npmjs.org,True,,True,npmjs.org,1.7495714371374051,4097259,1118,2026-07-06T17:14:41Z
gh/9440238,https://github.com/blakeembrey/change-case,A,True,npm,no-case,npmjs.org,True,,True,npmjs.org,0.8621727330213053,2491087,435,2026-07-06T17:14:41Z
gh/65987276,https://github.com/bluss/bencher,A,True,crates,bencher,crates.io,True,,,,5.389555209870188,730,323,2026-07-06T17:14:41Z
gh/13868694,https://github.com/bminor/glibc,A,True,cpp,glibc,spack.io,True,,,,28.962791331606923,0,0,2026-07-06T17:14:41Z
gh/24774658,https://github.com/boto/boto3,A,True,pypi,boto3,pypi.org,True,,True,pypi.org,0.20692674200279657,80369,3938,2026-07-06T17:14:41Z
gh/6670942,https://github.com/boto/botocore,A,True,pypi,botocore,pypi.org,True,,True,pypi.org,0.699833639336685,60835,979,2026-07-06T17:11:17Z
gh/49535299,https://github.com/boto/s3transfer,A,True,pypi,s3transfer,pypi.org,True,,True,pypi.org,1.9897029935419024,52800,263,2026-07-06T17:14:41Z
gh/991475,https://github.com/brianc/node-postgres,A,True,npm,pg-protocol,npmjs.org,True,,True,npmjs.org,0.5076540777042943,139948,35,2026-07-06T17:14:41Z
gh/534940,https://github.com/broofa/mime,A,True,npm,mime,npmjs.org,True,,True,npmjs.org,0.6556419960894418,2602089,8416,2026-07-06T17:14:41Z
gh/1208666,https://github.com/broofa/node-int64,A,True,npm,node-int64,npmjs.org,True,,True,npmjs.org,1.346444251845836,1430044,1166,2026-07-06T17:14:41Z
gh/1649251,https://github.com/browserify/events,A,True,npm,events,npmjs.org,True,,True,npmjs.org,0.7725674575055955,1326229,6717,2026-07-06T17:14:41Z
gh/14568009,https://github.com/browserify/node-util,A,True,npm,util,npmjs.org,True,,True,npmjs.org,1.1795869886132706,701284,5372,2026-07-06T17:14:41Z
gh/29300004,https://github.com/browserify/randombytes,A,True,npm,randombytes,npmjs.org,True,,True,npmjs.org,1.518471526622501,1888601,2276,2026-07-06T17:14:41Z
gh/1915099,https://github.com/browserify/resolve,A,True,npm,resolve,npmjs.org,True,,True,npmjs.org,0.7871198356626264,5229428,10935,2026-07-06T17:14:41Z
gh/27971466,https://github.com/browserslist/browserslist,A,True,npm,browserslist,npmjs.org,True,,True,npmjs.org,0.3968432154430987,4076082,4424,2026-07-06T17:14:41Z
gh/80221890,https://github.com/browserslist/caniuse-lite,A,True,npm,caniuse-lite,npmjs.org,True,,True,npmjs.org,1.0427013959696163,4039789,2698,2026-07-06T17:14:41Z
gh/505548145,https://github.com/browserslist/update-db,A,True,npm,update-browserslist-db,npmjs.org,True,,True,npmjs.org,1.3940851696785812,1574874,999,2026-07-06T17:14:41Z
gh/37290678,https://github.com/burntsushi/aho-corasick,A,True,crates,aho-corasick,crates.io,True,,True,crates.io,2.173059608689418,66037,144,2026-07-06T17:14:41Z
gh/759017108,https://github.com/burntsushi/jiff,A,True,crates,jiff,crates.io,True,,,,53.35414818757022,0,0,2026-07-06T17:14:41Z
gh/37290652,https://github.com/burntsushi/memchr,A,True,crates,memchr,crates.io,True,,True,crates.io,2.199858483136691,91118,650,2026-07-06T17:14:41Z
gh/17559913,https://github.com/burntsushi/quickcheck,A,True,crates,quickcheck,crates.io,True,,True,crates.io,1.562444903629837,3878,1255,2026-07-06T17:14:41Z
gh/78375612,https://github.com/burntsushi/same-file,A,True,crates,same-file,crates.io,True,,True,crates.io,4.458368888857545,36226,51,2026-07-06T17:14:41Z
gh/141345580,https://github.com/burntsushi/termcolor,A,True,crates,termcolor,crates.io,True,,True,crates.io,2.8541976675576115,45842,552,2026-07-06T17:14:41Z
gh/123997498,https://github.com/burntsushi/ucd-generate,A,True,crates,ucd-trie,crates.io,True,,True,crates.io,4.681927920430851,16964,23,2026-07-06T17:14:41Z
