name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
fslsfonts,fslsfonts,x.org,https://gitlab.freedesktop.org/xorg/app/fslsfonts,gitlab-freedesktop-mirrors/fslsfonts,,,fslsfonts prints a list of fonts served by an X font server.,2026-07-05T17:43:27+00:00
fstobdf,fstobdf,x.org,https://gitlab.freedesktop.org/xorg/app/fstobdf,gitlab-freedesktop-mirrors/fstobdf,,,generate BDF font from X font server,2026-07-05T17:43:27+00:00
gccmakedep,gccmakedep,x.org,https://gitlab.freedesktop.org/xorg/util/gccmakedep,gitlab-freedesktop-mirrors/gccmakedep,,,script to create dependencies in makefiles using 'gcc -M',2026-07-05T17:43:27+00:00
ibm-type1,ibm-type1,x.org,https://gitlab.freedesktop.org/xorg/font/ibm-type1,gitlab-freedesktop-mirrors/ibm-type1,,,,2026-07-05T17:43:27+00:00
iceauth,iceauth,x.org,https://gitlab.freedesktop.org/xorg/app/iceauth,gitlab-freedesktop-mirrors/iceauth,,,libICE authority file utility,2026-07-05T17:43:27+00:00
ico,ico,x.org,https://gitlab.freedesktop.org/xorg/app/ico,gitlab-freedesktop-mirrors/ico,,,A simple animation program that may be used for testing various X11 operations and extensions.,2026-07-05T17:43:27+00:00
imake,imake,x.org,https://gitlab.freedesktop.org/xorg/util/imake,gitlab-freedesktop-mirrors/imake,,,Obsolete C preprocessor interface to the make utility,2026-07-05T17:43:27+00:00
isas-misc,isas-misc,x.org,https://gitlab.freedesktop.org/xorg/font/isas-misc,gitlab-freedesktop-mirrors/isas-misc,,,,2026-07-05T17:43:27+00:00
jis-misc,jis-misc,x.org,https://gitlab.freedesktop.org/xorg/font/jis-misc,gitlab-freedesktop-mirrors/jis-misc,,,,2026-07-05T17:43:27+00:00
libAppleWM,libapplewm,x.org,https://gitlab.freedesktop.org/xorg/lib/libapplewm,gitlab-freedesktop-mirrors/libapplewm,,,Xlib-based library for the Apple-WM extension,2026-07-05T17:43:27+00:00
libdmx,libdmx,x.org,https://gitlab.freedesktop.org/xorg/lib/libdmx,gitlab-freedesktop-mirrors/libdmx,,,Xlib-based library for the DMX (Distributed Multihead X) extension,2026-07-05T17:43:27+00:00
libfontenc,libfontenc,x.org,https://gitlab.freedesktop.org/xorg/lib/libfontenc,gitlab-freedesktop-mirrors/libfontenc,,,X font encoding library,2026-07-05T17:43:27+00:00
libFS,libfs,x.org,https://gitlab.freedesktop.org/xorg/lib/libfs,gitlab-freedesktop-mirrors/libfs,,,X Font Service client library,2026-07-05T17:43:27+00:00
libICE,libice,x.org,https://gitlab.freedesktop.org/xorg/lib/libice,gitlab-freedesktop-mirrors/libice,,,Inter-Client Exchange Library,2026-07-05T17:43:27+00:00
libpciaccess,libpciaccess,x.org,https://gitlab.freedesktop.org/xorg/lib/libpciaccess,gitlab-freedesktop-mirrors/libpciaccess,,,Generic PCI access library,2026-07-05T17:43:27+00:00
libSM,libsm,x.org,https://gitlab.freedesktop.org/xorg/lib/libsm,gitlab-freedesktop-mirrors/libsm,,,X Session Management Library,2026-07-05T17:43:27+00:00
libX11,libx11,x.org,https://gitlab.freedesktop.org/xorg/lib/libx11,gitlab-freedesktop-mirrors/libx11,,,"Core X11 protocol client library (aka ""Xlib"")",2026-07-05T17:43:27+00:00
libXau,libxau,x.org,https://gitlab.freedesktop.org/xorg/lib/libxau,gitlab-freedesktop-mirrors/libxau,,,Functions for handling Xauthority files and entries.,2026-07-05T17:43:27+00:00
libXaw,libxaw,x.org,https://gitlab.freedesktop.org/xorg/lib/libxaw,gitlab-freedesktop-mirrors/libxaw,,,"X Athena Widget Set, based on the X Toolkit Intrinsics (Xt) Library",2026-07-05T17:43:27+00:00
libXaw3d,libxaw3d,x.org,https://gitlab.freedesktop.org/xorg/lib/libxaw3d,gitlab-freedesktop-mirrors/libxaw3d,,,"3D appearance variant of the X Athena Widget Set, based on the X Toolkit Intrinsics (Xt) Library",2026-07-05T17:43:27+00:00
libxcb,libxcb,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcb,gitlab-freedesktop-mirrors/libxcb,,,"C interface to the X Window System protocol, which replaces the traditional Xlib interface.",2026-07-05T17:43:27+00:00
libxcb-cursor,libxcb-cursor,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcb-cursor,gitlab-freedesktop-mirrors/libxcb-cursor,,,XCB port of libXcursor,2026-07-05T17:43:27+00:00
libxcb-errors,libxcb-errors,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcb-errors,gitlab-freedesktop-mirrors/libxcb-errors,,,"XCB utility library that gives human readable names to error, event, & request codes.",2026-07-05T17:43:27+00:00
libxcb-image,libxcb-image,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcb-image,gitlab-freedesktop-mirrors/libxcb-image,,,XCB port of Xlib's XImage and XShmImage functions.,2026-07-05T17:43:27+00:00
libxcb-keysyms,libxcb-keysyms,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcb-keysyms,gitlab-freedesktop-mirrors/libxcb-keysyms,,,Standard X key constants and conversion to/from keycodes,2026-07-05T17:43:27+00:00
libxcb-render-util,libxcb-render-util,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcb-render-util,gitlab-freedesktop-mirrors/libxcb-render-util,,,XCB convenience functions for the Render extension.,2026-07-05T17:43:27+00:00
libxcb-util,libxcb-util,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcb-util,gitlab-freedesktop-mirrors/libxcb-util,,,XCB utility libraries,2026-07-05T17:43:27+00:00
libxcb-wm,libxcb-wm,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcb-wm,gitlab-freedesktop-mirrors/libxcb-wm,,,XCB client and window-manager helpers for ICCCM & EWMH.,2026-07-05T17:43:27+00:00
libXcomposite,libxcomposite,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcomposite,gitlab-freedesktop-mirrors/libxcomposite,,,Xlib-based client library for the Composite extension to the X11 protocol,2026-07-05T17:43:27+00:00
libXcursor,libxcursor,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcursor,gitlab-freedesktop-mirrors/libxcursor,,,Xlib-based Cursor management library,2026-07-05T17:43:27+00:00
libxcvt,libxcvt,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcvt,gitlab-freedesktop-mirrors/libxcvt,,,VESA CVT standard timing modeline generation library & utility.,2026-07-05T17:43:27+00:00
libxcwm,libxcwm,x.org,https://gitlab.freedesktop.org/xorg/lib/libxcwm,gitlab-freedesktop-mirrors/libxcwm,,,Rootless Compositing Window Manager library,2026-07-05T17:43:27+00:00
libXdamage,libxdamage,x.org,https://gitlab.freedesktop.org/xorg/lib/libxdamage,gitlab-freedesktop-mirrors/libxdamage,,,X Damage Extension library,2026-07-05T17:43:27+00:00
libXdmcp,libxdmcp,x.org,https://gitlab.freedesktop.org/xorg/lib/libxdmcp,gitlab-freedesktop-mirrors/libxdmcp,,,X Display Manager Control Protocol library,2026-07-05T17:43:27+00:00
libXext,libxext,x.org,https://gitlab.freedesktop.org/xorg/lib/libxext,gitlab-freedesktop-mirrors/libxext,,,Xlib-based library for common extensions to the X11 protocol,2026-07-05T17:43:27+00:00
libXfixes,libxfixes,x.org,https://gitlab.freedesktop.org/xorg/lib/libxfixes,gitlab-freedesktop-mirrors/libxfixes,,,Xlib-based library for the XFIXES Extension,2026-07-05T17:43:27+00:00
libXfont,libxfont,x.org,https://gitlab.freedesktop.org/xorg/lib/libxfont,gitlab-freedesktop-mirrors/libxfont,,,X font handling library for server & utilities,2026-07-05T17:43:27+00:00
libXft,libxft,x.org,https://gitlab.freedesktop.org/xorg/lib/libxft,gitlab-freedesktop-mirrors/libxft,,,X FreeType library,2026-07-05T17:43:27+00:00
libXi,libxi,x.org,https://gitlab.freedesktop.org/xorg/lib/libxi,gitlab-freedesktop-mirrors/libxi,,,Xlib library for the X Input Extension,2026-07-05T17:43:27+00:00
libXinerama,libxinerama,x.org,https://gitlab.freedesktop.org/xorg/lib/libxinerama,gitlab-freedesktop-mirrors/libxinerama,,,Xlib API for Xinerama extension to X11 Protocol,2026-07-05T17:43:27+00:00
libxkbfile,libxkbfile,x.org,https://gitlab.freedesktop.org/xorg/lib/libxkbfile,gitlab-freedesktop-mirrors/libxkbfile,,,XKB file handling routines,2026-07-05T17:43:27+00:00
libXmu,libxmu,x.org,https://gitlab.freedesktop.org/xorg/lib/libxmu,gitlab-freedesktop-mirrors/libxmu,,,X miscellaneous utility routines library,2026-07-05T17:43:27+00:00
libXp,libxp,x.org,https://gitlab.freedesktop.org/xorg/lib/libxp,gitlab-freedesktop-mirrors/libxp,,,X Print Client Library,2026-07-05T17:43:27+00:00
libXpm,libxpm,x.org,https://gitlab.freedesktop.org/xorg/lib/libxpm,gitlab-freedesktop-mirrors/libxpm,,,X Pixmap (XPM) image file format library,2026-07-05T17:43:27+00:00
libXpresent,libxpresent,x.org,https://gitlab.freedesktop.org/xorg/lib/libxpresent,gitlab-freedesktop-mirrors/libxpresent,,,Xlib-based library for the X Present Extension,2026-07-05T17:43:27+00:00
libXrandr,libxrandr,x.org,https://gitlab.freedesktop.org/xorg/lib/libxrandr,gitlab-freedesktop-mirrors/libxrandr,,,"Xlib Resize, Rotate and Reflection (RandR) extension library",2026-07-05T17:43:27+00:00
libXrender,libxrender,x.org,https://gitlab.freedesktop.org/xorg/lib/libxrender,gitlab-freedesktop-mirrors/libxrender,,,Xlib library for the Render Extension to the X11 protocol,2026-07-05T17:43:27+00:00
libXRes,libxres,x.org,https://gitlab.freedesktop.org/xorg/lib/libxres,gitlab-freedesktop-mirrors/libxres,,,Xlib-based X-Resource extension client library,2026-07-05T17:43:27+00:00
libXScrnSaver,libxscrnsaver,x.org,https://gitlab.freedesktop.org/xorg/lib/libxscrnsaver,gitlab-freedesktop-mirrors/libxscrnsaver,,,Xlib-based X11 Screen Saver extension client library,2026-07-05T17:43:27+00:00
libxshmfence,libxshmfence,x.org,https://gitlab.freedesktop.org/xorg/lib/libxshmfence,gitlab-freedesktop-mirrors/libxshmfence,,,Shared memory 'SyncFence' synchronization primitive,2026-07-05T17:43:27+00:00
libXt,libxt,x.org,https://gitlab.freedesktop.org/xorg/lib/libxt,gitlab-freedesktop-mirrors/libxt,,,X Toolkit Intrinsics library,2026-07-05T17:43:27+00:00
libxtrans,libxtrans,x.org,https://gitlab.freedesktop.org/xorg/lib/libxtrans,gitlab-freedesktop-mirrors/libxtrans,,,X Window System Protocols Transport layer shared code,2026-07-05T17:43:27+00:00
libXtst,libxtst,x.org,https://gitlab.freedesktop.org/xorg/lib/libxtst,gitlab-freedesktop-mirrors/libxtst,,,Xlib-based library for XTEST & RECORD extensions,2026-07-05T17:43:27+00:00
libXv,libxv,x.org,https://gitlab.freedesktop.org/xorg/lib/libxv,gitlab-freedesktop-mirrors/libxv,,,Xlib-based library for the X Video (Xv) extension to the X Window System,2026-07-05T17:43:27+00:00
libXvMC,libxvmc,x.org,https://gitlab.freedesktop.org/xorg/lib/libxvmc,gitlab-freedesktop-mirrors/libxvmc,,,Xlib-based X-Video Motion Compensation API,2026-07-05T17:43:27+00:00
libXxf86dga,libxxf86dga,x.org,https://gitlab.freedesktop.org/xorg/lib/libxxf86dga,gitlab-freedesktop-mirrors/libxxf86dga,,,Xlib-based library for the XFree86-DGA extension,2026-07-05T17:43:27+00:00
libXxf86vm,libxxf86vm,x.org,https://gitlab.freedesktop.org/xorg/lib/libxxf86vm,gitlab-freedesktop-mirrors/libxxf86vm,,,Xlib-based library for the XFree86-VidMode X extension,2026-07-05T17:43:27+00:00
listres,listres,x.org,https://gitlab.freedesktop.org/xorg/app/listres,gitlab-freedesktop-mirrors/listres,,,Utility to list X resources for a widget in an X client written using a toolkit based on libXt.,2026-07-05T17:43:27+00:00
lndir,lndir,x.org,https://gitlab.freedesktop.org/xorg/util/lndir,gitlab-freedesktop-mirrors/lndir,,,Utility to create a shadow directory of symbolic links to another directory tree,2026-07-05T17:43:27+00:00
macros,macros,x.org,https://gitlab.freedesktop.org/xorg/util/macros,gitlab-freedesktop-mirrors/macros,,,GNU autoconf macros shared across X.Org projects,2026-07-05T17:43:27+00:00
makedepend,makedepend,x.org,https://gitlab.freedesktop.org/xorg/util/makedepend,gitlab-freedesktop-mirrors/makedepend,,,Utility to parse C source files to make dependency lists for Makefiles,2026-07-05T17:43:27+00:00
meta,meta,x.org,https://gitlab.freedesktop.org/xorg/meta,gitlab-freedesktop-mirrors/meta,,,"Metaproject for Xorg-related issues (gitlab group membership, bz migration, etc.)",2026-07-05T17:43:27+00:00
micro-misc,micro-misc,x.org,https://gitlab.freedesktop.org/xorg/font/micro-misc,gitlab-freedesktop-mirrors/micro-misc,,,,2026-07-05T17:43:27+00:00
misc-cyrillic,misc-cyrillic,x.org,https://gitlab.freedesktop.org/xorg/font/misc-cyrillic,gitlab-freedesktop-mirrors/misc-cyrillic,,,,2026-07-05T17:43:27+00:00
misc-ethiopic,misc-ethiopic,x.org,https://gitlab.freedesktop.org/xorg/font/misc-ethiopic,gitlab-freedesktop-mirrors/misc-ethiopic,,,,2026-07-05T17:43:27+00:00
misc-meltho,misc-meltho,x.org,https://gitlab.freedesktop.org/xorg/font/misc-meltho,gitlab-freedesktop-mirrors/misc-meltho,,,,2026-07-05T17:43:27+00:00
misc-misc,misc-misc,x.org,https://gitlab.freedesktop.org/xorg/font/misc-misc,gitlab-freedesktop-mirrors/misc-misc,,,,2026-07-05T17:43:27+00:00
mkcomposecache,mkcomposecache,x.org,https://gitlab.freedesktop.org/xorg/app/mkcomposecache,gitlab-freedesktop-mirrors/mkcomposecache,,,libX11 Compose file cache creator,2026-07-05T17:43:27+00:00
mkfontscale,mkfontscale,x.org,https://gitlab.freedesktop.org/xorg/app/mkfontscale,gitlab-freedesktop-mirrors/mkfontscale,,,Utilities to create the fonts.scale and fonts.dir index files used by the legacy X11 font system.,2026-07-05T17:43:27+00:00
modular,modular,x.org,https://gitlab.freedesktop.org/xorg/util/modular,gitlab-freedesktop-mirrors/modular,,,Project build & release scripts for the X.Org modular build system,2026-07-05T17:43:27+00:00
mutt-misc,mutt-misc,x.org,https://gitlab.freedesktop.org/xorg/font/mutt-misc,gitlab-freedesktop-mirrors/mutt-misc,,,,2026-07-05T17:43:27+00:00
oclock,oclock,x.org,https://gitlab.freedesktop.org/xorg/app/oclock,gitlab-freedesktop-mirrors/oclock,,,round X clock,2026-07-05T17:43:27+00:00
pthread-stubs,pthread-stubs,x.org,https://gitlab.freedesktop.org/xorg/lib/pthread-stubs,gitlab-freedesktop-mirrors/pthread-stubs,,,Stub replacements for POSIX Threads functions,2026-07-05T17:43:27+00:00
quartz-wm,quartz-wm,x.org,https://gitlab.freedesktop.org/xorg/app/quartz-wm,gitlab-freedesktop-mirrors/quartz-wm,,,XQuartz window manager,2026-07-05T17:43:27+00:00
rendercheck,rendercheck,x.org,https://gitlab.freedesktop.org/xorg/test/rendercheck,gitlab-freedesktop-mirrors/rendercheck,,,program to test a Render extension implementation for expected output,2026-07-05T17:43:27+00:00
rgb,rgb,x.org,https://gitlab.freedesktop.org/xorg/app/rgb,gitlab-freedesktop-mirrors/rgb,,,X color name database & tools,2026-07-05T17:43:27+00:00
rstart,rstart,x.org,https://gitlab.freedesktop.org/xorg/app/rstart,gitlab-freedesktop-mirrors/rstart,,,A Flexible Remote Execution Protocol Based on rsh [DEPRECATED],2026-07-05T17:43:27+00:00
schumacher-misc,schumacher-misc,x.org,https://gitlab.freedesktop.org/xorg/font/schumacher-misc,gitlab-freedesktop-mirrors/schumacher-misc,,,,2026-07-05T17:43:27+00:00
screen-cyrillic,screen-cyrillic,x.org,https://gitlab.freedesktop.org/xorg/font/screen-cyrillic,gitlab-freedesktop-mirrors/screen-cyrillic,,,,2026-07-05T17:43:27+00:00
scripts,scripts,x.org,https://gitlab.freedesktop.org/xorg/app/scripts,gitlab-freedesktop-mirrors/scripts,,,,2026-07-05T17:43:27+00:00
sessreg,sessreg,x.org,https://gitlab.freedesktop.org/xorg/app/sessreg,gitlab-freedesktop-mirrors/sessreg,,,Utility to manage utmp & wtmp entries for X sessions.,2026-07-05T17:43:27+00:00
setxkbmap,setxkbmap,x.org,https://gitlab.freedesktop.org/xorg/app/setxkbmap,gitlab-freedesktop-mirrors/setxkbmap,,,"Set keymaps, layouts, and options via the X Keyboard Extension (XKB)",2026-07-05T17:43:27+00:00
showfont,showfont,x.org,https://gitlab.freedesktop.org/xorg/app/showfont,gitlab-freedesktop-mirrors/showfont,,,Utility to display data about a font from an X font server.,2026-07-05T17:43:27+00:00
smproxy,smproxy,x.org,https://gitlab.freedesktop.org/xorg/app/smproxy,gitlab-freedesktop-mirrors/smproxy,,,Session Manager Proxy,2026-07-05T17:43:27+00:00
sony-misc,sony-misc,x.org,https://gitlab.freedesktop.org/xorg/font/sony-misc,gitlab-freedesktop-mirrors/sony-misc,,,,2026-07-05T17:43:27+00:00
sun-misc,sun-misc,x.org,https://gitlab.freedesktop.org/xorg/font/sun-misc,gitlab-freedesktop-mirrors/sun-misc,,,,2026-07-05T17:43:27+00:00
transset,transset,x.org,https://gitlab.freedesktop.org/xorg/app/transset,gitlab-freedesktop-mirrors/transset,,,Utility for setting opacity/transparency property on a window.,2026-07-05T17:43:27+00:00
twm,twm,x.org,https://gitlab.freedesktop.org/xorg/app/twm,gitlab-freedesktop-mirrors/twm,,,Tab Window Manager for the X Window System,2026-07-05T17:43:27+00:00
util,util,x.org,https://gitlab.freedesktop.org/xorg/font/util,gitlab-freedesktop-mirrors/util,,,X.Org font package creation/installation utilities,2026-07-05T17:43:27+00:00
viewres,viewres,x.org,https://gitlab.freedesktop.org/xorg/app/viewres,gitlab-freedesktop-mirrors/viewres,,,Graphical class browser for the Athena Widget Set (libXaw).,2026-07-05T17:43:27+00:00
wiki,wiki,x.org,https://gitlab.freedesktop.org/xorg/wiki,gitlab-freedesktop-mirrors/wiki,,,This is the source code of https://x.org,2026-07-05T17:43:27+00:00
winitzki-cyrillic,winitzki-cyrillic,x.org,https://gitlab.freedesktop.org/xorg/font/winitzki-cyrillic,gitlab-freedesktop-mirrors/winitzki-cyrillic,,,,2026-07-05T17:43:27+00:00
