repo,repo_id,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
open-telemetry/opentelemetry-js,gh/185901023,2025,2072,345051,252490,597541,2514,semantic-conventions/src/experimental_attributes.ts,31245,31.1,2026-05-03T17:22:01Z
sqlalchemy/sqlalchemy,gh/159271175,2025,3141,384075,205221,589296,862,test/orm/test_deprecations.py,17684,55.7,2026-05-03T17:22:01Z
formatjs/formatjs,gh/19117456,2025,2348,472109,110413,582522,1224,packages/intl-relativetimeformat/test262-main.ts,182834,38.3,2026-05-03T17:22:01Z
python/mypy,gh/7053637,2025,3811,362695,218489,581184,1882,mypy/checker.py,13947,86.2,2026-05-03T17:22:01Z
pydantic/pydantic,gh/90194616,2025,4395,356334,192317,548651,1099,pydantic/_internal/_generate_schema.py,11951,85.2,2026-07-05T22:58:49Z
matplotlib/matplotlib,gh/1385122,2025,9794,290396,257645,548041,1930,lib/matplotlib/widgets.py,8970,156.1,2026-05-03T22:57:48Z
scikit-learn/scikit-learn,gh/843222,2025,6875,343499,196690,540189,1094,sklearn/utils/estimator_checks.py,6569,94.0,2026-05-03T17:22:01Z
prettier/prettier,gh/75104123,2025,5530,291360,239088,530448,11363,vendors/tempy.js,20414,66.5,2026-05-03T17:22:01Z
gnome/glib,gh/4537082,2025,6585,291599,236909,528508,1725,glib/gunibreak.h,54834,51.8,2026-05-03T17:22:01Z
clap-rs/clap,gh/31315121,2025,3901,280377,245897,526274,928,src/build/arg/mod.rs,16871,12.6,2026-05-03T17:22:01Z
sqlite/sqlite,gh/176278485,2025,8104,295834,214133,509967,617,ext/jni/src/c/sqlite3-jni.c,25050,271.7,2026-05-18T00:11:16Z
facebook/regenerator,gh/13346571,2025,132,255748,250174,505922,30,docs/bundle.js,499249,7.7,2026-05-03T17:22:01Z
gnutls/gnutls,gh/58873704,2025,1219,260592,232654,493246,1275,lib/nettle/gost/kuztable.h,82542,95.4,2026-05-03T17:22:01Z
libjxl/libjxl,gh/340219494,2025,3141,278830,201681,480511,970,lib/jxl/decode_test.cc,12667,18.7,2026-05-03T17:22:01Z
pypa/pip,gh/1446467,2025,3230,245438,215189,460627,854,src/pip/_vendor/idna/uts46data.py,29824,40.4,2026-05-03T17:22:01Z
vitest-dev/vitest,gh/434708679,2025,5286,299561,154455,454016,3407,packages/vitest/src/node/core.ts,6536,30.2,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-js-contrib,gh/255986659,2025,1691,263960,166960,430920,1793,plugins/node/opentelemetry-instrumentation-mysql2/test/mysql.test.ts,4658,48.1,2026-05-03T17:22:01Z
harfbuzz/harfbuzz,gh/5050525,2025,8237,246200,172954,419154,670,src/hb-ucd-table.hh,42020,37.3,2026-05-03T17:22:01Z
bytecodealliance/rustix,gh/295544240,2025,2146,250623,166445,417068,793,src/imp/linux_raw/syscalls.rs,11410,4.8,2026-05-03T17:22:01Z
ardatan/graphql-tools,gh/54432168,2025,4683,201998,203276,405274,1711,packages/federation/src/supergraph.ts,6038,74.4,2026-05-03T17:22:01Z
c-ares/c-ares,gh/571708,2025,880,189494,213317,402811,305,src/lib/ares_platform.c,76582,6.6,2026-05-03T17:22:01Z
pypa/setuptools,gh/54980593,2025,4547,211605,185845,397450,680,pkg_resources/_vendor/more_itertools/more.py,18812,48.1,2026-05-03T17:22:01Z
zloirock/core-js,gh/11481338,2025,4266,223658,168600,392258,5651,deno/corejs/index.js,138700,31.1,2026-05-03T17:22:01Z
gnome/libxml2,gh/4537118,2025,2718,130569,252998,383567,329,testapi.c,66626,17.2,2026-05-03T17:22:01Z
snowflakedb/snowflake-connector-python,gh/62262074,2025,961,247900,127828,375728,680,src/snowflake/connector/nanoarrow_cpp/ArrowIterator/nanoarrow_ipc.c,63269,17.8,2026-05-03T17:22:01Z
ethers-io/ethers.js,gh/63465664,2025,781,286340,88266,374606,1126,dist/ethers.js,92708,165.6,2026-05-03T17:22:01Z
git/git,gh/36502,2025,12822,230050,136236,366286,1032,object-file.c,7978,102.4,2026-05-03T17:22:01Z
evanw/esbuild,gh/61137153,2025,2802,238650,127417,366067,229,internal/js_parser/js_parser.go,29407,9.8,2026-05-03T17:22:01Z
rust-lang/libc,gh/29197565,2025,2704,205194,155034,360228,627,src/unix/linux_like/linux/mod.rs,17856,25.1,2026-05-03T17:22:01Z
mhammond/pywin32,gh/108187130,2025,538,212480,135317,347797,1187,com/win32comext/mapi/src/MAPIStubLibrary/include/mimeole.h,9637,68.9,2026-05-03T17:22:01Z
nlnetlabs/unbound,gh/94195301,2025,1784,168805,164792,333597,231,util/configlexer.c,137247,30.1,2026-05-03T17:22:01Z
reactivex/rxjs,gh/32247847,2025,879,157066,159883,316949,1885,spec/operators/groupBy-spec.ts,4215,43.4,2026-05-03T17:22:01Z
gregberge/svgr,gh/102155012,2025,188,154556,153701,308257,171,.yarn/releases/yarn-1.18.0.cjs,294310,9.2,2026-05-03T17:22:01Z
facebook/watchman,gh/6930489,2025,8797,157268,139692,296960,1117,watchman/watcher/eden.cpp,4595,20.8,2026-05-03T17:22:01Z
libjpeg-turbo/libjpeg-turbo,gh/39760454,2025,508,161444,131987,293431,628,java/doc/jquery/jszip/dist/jszip.js,11370,10.1,2026-05-18T00:11:16Z
pcre2project/pcre2,gh/398251321,2025,937,137599,149370,286969,113,src/pcre2_ucd.c,67369,23.3,2026-05-03T17:22:01Z
wasm-bindgen/wasm-bindgen,gh/114685405,2025,992,185641,98976,284617,2501,crates/cli-support/src/js/mod.rs,7541,43.5,2026-05-03T17:22:01Z
csstools/postcss-plugins,gh/219192307,2025,4556,189037,91603,280640,3018,plugins/postcss-progressive-custom-properties/src/matchers.ts,7223,16.0,2026-05-03T17:22:01Z
browserslist/caniuse-lite,gh/80221890,2025,742,139438,139149,278587,903,publish.js,867,33.4,2026-05-18T00:11:16Z
smithy-lang/smithy-typescript,gh/208319207,2025,2429,195661,80347,276008,1637,packages/signature-v4a/src/elliptic/Ec.ts,9563,17.7,2026-05-03T17:22:01Z
huggingface/huggingface_hub,gh/323591830,2025,2052,176458,98718,275176,838,src/huggingface_hub/hf_api.py,25110,9.6,2026-07-05T23:06:12Z
mrabarnett/mrab-regex,gh/309446978,2025,104,106922,166827,273749,27,regex_3/_regex_unicode.c,76979,3.1,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-python,gh/185478926,2025,1263,164082,106382,270464,928,opentelemetry-proto/src/opentelemetry/proto/metrics/v1/metrics_pb2.pyi,4409,10.0,2026-05-18T00:11:16Z
rustcrypto/formats,gh/406051759,2025,1639,173451,96872,270323,574,const-oid/src/db/gen.rs,56334,6.0,2026-05-03T17:22:01Z
certbot/certbot,gh/26516210,2025,1137,133897,134026,267923,810,certbot/certbot/_internal/tests/main_test.py,5384,35.8,2026-05-03T17:22:01Z
radix-ui/primitives,gh/273499522,2025,1164,144925,120503,265428,632,packages/react/dropdown-menu/src/DropdownMenu.stories.tsx,9420,31.1,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-python-contrib,gh/220524743,2025,1644,151216,113046,264262,1187,reference/ddtrace/vendor/msgpack/_cmsgpack.cpp,15777,7.3,2026-05-18T00:11:16Z
vuejs/core,gh/137078487,2025,3830,166214,97999,264213,731,packages/compiler-sfc/src/compileScript.ts,8433,16.4,2026-05-03T17:22:01Z
socketio/socket.io,gh/557980,2025,1035,141915,111672,253587,604,dist/socket.io.js,26187,16.3,2026-05-03T17:22:01Z
toml-rs/toml,gh/95902102,2025,1579,131276,116481,247757,429,crates/toml_edit/tests/testsuite/parse.rs,7086,1.5,2026-07-05T22:56:54Z
indygreg/python-zstandard,gh/67307930,2025,385,114081,133631,247712,83,zstd/zstdlib.c,156379,3.9,2026-05-03T17:22:01Z
python-poetry/poetry-core,gh/238972646,2025,795,115411,114870,230281,594,src/poetry/core/_vendor/pyparsing.py,14214,4.8,2026-05-03T17:22:01Z
burntsushi/jiff,gh/759017108,2025,543,170692,46718,217410,229,src/span.rs,10649,2.4,2026-05-03T17:22:01Z
rust-lang/compiler-builtins,gh/65153793,2025,1096,121429,95466,216895,674,libm/src/math/support/hex_float.rs,4068,1.9,2026-05-03T17:22:01Z
bdwgc/bdwgc,gh/2109456,2025,2516,112506,104121,216627,153,os_dep.c,19627,11.8,2026-05-18T00:11:16Z
tokio-rs/tokio,gh/67836789,2025,1995,151105,65462,216567,816,tokio/src/runtime/metrics/runtime.rs,6468,4.0,2026-07-05T22:56:10Z
jestjs/jest,gh/15062869,2025,2229,127619,86871,214490,2158,packages/jest-mock/src/index.ts,3516,185.4,2026-05-03T17:22:01Z
time-rs/time,gh/26459635,2025,727,120323,93185,213508,390,tests/parsing.rs,5186,3.4,2026-05-03T17:22:01Z
taiki-e/portable-atomic,gh/448365131,2025,1755,121672,86726,208398,405,src/lib.rs,13833,6.5,2026-05-03T17:22:01Z
burntsushi/memchr,gh/37290652,2025,112,133580,69025,202605,123,bench/data/code/rust-library.rs,104190,6.7,2026-05-03T17:22:01Z
facebook/metro,gh/76504246,2025,1727,131134,67947,199081,746,flow-typed/npm/babel-types_v17.x.x.js,8028,57.0,2026-05-03T17:22:01Z
python-poetry/poetry,gh/123303402,2025,1994,117388,80543,197931,656,tests/installation/test_installer.py,7220,15.0,2026-05-18T00:11:16Z
aio-libs/aiohttp,gh/13258039,2025,5091,141898,55124,197022,173,aiohttp/client_reqrep.py,11538,9.2,2026-07-05T22:55:57Z
nghttp2/nghttp2,gh/11452676,2025,1395,93578,86191,179769,358,third-party/llhttp/src/llhttp.c,30118,16.1,2026-05-03T17:22:01Z
pyca/cryptography,gh/11939484,2025,6421,105749,68078,173827,449,src/rust/src/x509/certificate.rs,6263,15.8,2026-07-05T22:56:24Z
floating-ui/floating-ui,gh/54994103,2025,1429,102124,60469,162593,728,website/pages/index.js,8331,34.5,2026-05-03T17:22:01Z
jridgewell/resolve-uri,gh/196878944,2025,44,105428,57093,162521,23,test/resolve-uri.test.js,46604,1.1,2026-05-03T17:22:01Z
rust-lang/regex,gh/27890669,2025,515,122105,38867,160972,316,regex-automata/src/dfa/dense.rs,5498,7.2,2026-05-03T17:22:01Z
util-linux/util-linux,gh/2339555,2025,5358,111248,47876,159124,580,misc-utils/lsfd.c,9612,99.1,2026-05-03T17:22:01Z
googleapis/python-storage,gh/226992639,2025,644,115417,41297,156714,371,tests/unit/gapic/storage_v2/test_storage.py,11790,24.4,2026-05-03T17:22:01Z
bytecodealliance/wasi-rs,gh/196445196,2025,59,96488,57562,154050,50,src/bindings.rs,60928,1.3,2026-05-03T17:22:01Z
python-pillow/pillow,gh/5171600,2025,5738,88415,60876,149291,449,src/PIL/Image.py,5340,40.8,2026-05-03T22:57:48Z
ljharb/es-abstract,gh/28995155,2025,459,107192,41601,148793,2681,test/tests.js,35172,4.7,2026-05-03T17:22:01Z
sindresorhus/execa,gh/47475908,2025,503,89579,56694,146273,802,index.test-d.ts,12495,1.2,2026-07-05T22:56:54Z
pygments/pygments,gh/205564111,2025,1468,83046,57804,140850,658,pygments/lexers/_lilypond_builtins.py,5764,11.3,2026-07-05T22:56:54Z
kjd/idna,gh/10323585,2025,142,91426,38543,129969,23,tests/test_idna_uts46.py,75524,0.8,2026-05-03T17:22:01Z
lxml/lxml,gh/1353927,2025,1088,61136,58364,119500,132,src/lxml/tests/test_etree.py,13084,24.5,2026-05-03T17:22:01Z
google/zerocopy,gh/534354967,2025,1417,76521,38689,115210,366,src/lib.rs,37828,73.6,2026-07-05T22:58:49Z
micromark/micromark,gh/157420458,2025,316,60401,52065,112466,417,test/io/flow/html.js,3425,1.9,2026-05-03T17:22:01Z
giampaolo/psutil,gh/20101515,2025,725,56253,54434,110687,289,psutil/tests/test_linux.py,5383,21.1,2026-05-03T17:22:01Z
facebook/zstd,gh/29759715,2025,2056,70606,39517,110123,311,lib/compress/zstd_compress.c,12946,25.4,2026-05-03T17:22:01Z
coveragepy/coveragepy,gh/138421996,2025,2648,61307,48224,109531,223,tests/test_process.py,3835,13.1,2026-05-03T17:22:01Z
chronotope/chrono,gh/18210201,2025,996,59697,45213,104910,77,src/format/parse.rs,8662,6.1,2026-05-03T17:22:01Z
axios/axios,gh/23088740,2025,809,55546,44234,99780,197,dist/axios.js,32951,11.0,2026-05-03T17:22:01Z
rustcrypto/hashes,gh/74106774,2025,331,52292,45196,97488,291,fsb/src/pi.rs,34054,2.5,2026-05-03T17:22:01Z
freetype/freetype,gh/187000659,2025,1510,59125,38139,97264,503,src/gzip/crc32.h,10318,18.8,2026-05-03T22:57:48Z
serde-rs/serde,gh/14367737,2025,1005,48389,47163,95552,206,serde_derive/src/de.rs,6233,6.9,2026-05-03T17:22:01Z
rustcrypto/utils,gh/77307442,2025,890,49848,44880,94728,278,hybrid-array/src/lib.rs,3468,2.0,2026-05-03T17:22:01Z
webmproject/libwebp,gh/23368445,2025,806,54361,39517,93878,252,sharpyuv/sharpyuv_risk_table.c,12420,6.3,2026-05-03T17:22:01Z
boto/botocore,gh/6670942,2025,3919,62963,29113,92076,277,tests/functional/test_s3.py,6239,180.9,2026-05-03T17:22:01Z
google/brotli,gh/24993138,2025,319,57455,34295,91750,205,c/enc/static_dict_lut.c,11898,7.4,2026-07-05T22:58:49Z
servo/rust-url,gh/14934771,2025,211,38889,50639,89528,34,idna/src/uts46_mapping_table.rs,71729,2.0,2026-05-03T17:22:01Z
ardatan/whatwg-node,gh/429511342,2025,2900,51280,37522,88802,229,e2e/deno/lib.deno.d.ts,30756,11.5,2026-05-03T17:22:01Z
dtolnay/syn,gh/67305738,2025,1753,48492,38251,86743,135,src/gen/debug.rs,7605,8.4,2026-05-03T17:22:01Z
pytest-dev/pytest,gh/37489525,2025,2812,57329,29149,86478,276,src/_pytest/fixtures.py,3798,15.7,2026-05-03T17:22:01Z
streamich/memfs,gh/37490572,2025,1085,53322,31127,84449,331,src/volume.ts,7550,5.9,2026-05-03T17:22:01Z
conventional-changelog/conventional-changelog,gh/15639771,2025,393,45333,37783,83116,371,packages/conventional-changelog-core/test/index.spec.js,5254,3.2,2026-05-03T17:22:01Z
rustcrypto/traits,gh/85605821,2025,1252,43975,36703,80678,174,elliptic-curve/src/jwk.rs,1976,3.5,2026-05-03T17:22:01Z
tokio-rs/tracing,gh/165289175,2025,739,54847,25617,80464,262,tracing-subscriber/src/filter/layer_filters.rs,3226,2.6,2026-07-05T22:56:24Z
eemeli/yaml,gh/119439276,2025,583,38973,40947,79920,304,tests/cst/YAML-1.2.spec.js,3608,5.3,2026-05-03T17:22:01Z
python-cffi/cffi,gh/696427398,2025,182,37621,35945,73566,170,src/c/_cffi_backend.c,9232,45.0,2026-05-03T17:22:01Z
krb5/krb5,gh/4307702,2025,406,31070,41269,72339,747,src/plugins/preauth/pkinit/pkinit_crypto_openssl.c,4985,39.3,2026-05-03T17:22:01Z
mitsuhiko/insta,gh/165561258,2025,624,44900,27189,72089,112,cargo-insta/tests/main.rs,5644,4.4,2026-05-03T17:22:01Z
sinclairzx81/sinclair-typebox,gh/1122129819,2025,8,71977,17,71994,989,src/syntax/parser.ts,1686,1.0,2026-05-03T17:22:01Z
gnome/pango,gh/4537144,2025,1297,46543,25124,71667,187,pango/pango-layout.c,8051,4.3,2026-07-05T22:56:54Z
rust-random/rand,gh/30227790,2025,574,33353,38207,71560,165,src/distributions/uniform.rs,3272,2.4,2026-05-03T17:22:01Z
jaredwray/cacheable,gh/9267870,2025,1425,44220,27098,71318,199,packages/cacheable/test/index.test.ts,3445,4.6,2026-05-03T17:22:01Z
nodejs/readable-stream,gh/5187096,2025,38,40990,29438,70428,405,lib/internal/streams/readable.js,1956,2.0,2026-05-03T17:22:01Z
pallets/werkzeug,gh/997338,2025,781,34512,34049,68561,143,src/werkzeug/datastructures.py,4268,7.8,2026-05-03T17:22:01Z
sval-rs/sval,gh/157205610,2025,171,43377,24004,67381,153,buffer/src/value.rs,6002,1.7,2026-05-03T17:22:01Z
babel/babel-polyfills,gh/190579283,2025,229,54381,12400,66781,724,.yarn/releases/yarn-3.6.1.cjs,3496,5.3,2026-05-03T17:22:01Z
jamesmunns/postcard,gh/179385478,2025,234,41634,24974,66608,122,src/ser/mod.rs,3157,1.2,2026-05-03T17:22:01Z
googleapis/google-auth-library-python,gh/69199387,2025,617,50389,15592,65981,175,tests/test_aws.py,5964,2.9,2026-05-03T17:22:01Z
knurling-rs/defmt,gh/282262730,2025,1310,37157,28778,65935,244,decoder/src/lib.rs,6977,1.9,2026-05-03T17:22:01Z
fsspec/filesystem_spec,gh/130727736,2025,1109,42227,23605,65832,116,versioneer.py,4107,3.9,2026-05-03T17:22:01Z
pyparsing/pyparsing,gh/91262163,2025,933,35438,29267,64705,166,tests/test_unit.py,11466,16.8,2026-05-03T17:22:01Z
cyan4973/xxhash,gh/19330466,2025,555,56466,5977,62443,44,tests/sanity_test_vectors.h,45832,2.1,2026-07-05T22:55:49Z
assert-rs/snapbox,gh/424722460,2025,1045,35817,23456,59273,107,src/runner.rs,5434,1.5,2026-05-03T17:22:01Z
gnutls/nettle,gh/59017402,2025,579,40063,19084,59147,584,testsuite/shake128-test.c,1348,16.4,2026-05-03T17:22:01Z
jaredwray/keyv,gh/96540810,2025,1654,37140,21875,59015,202,packages/website/site/_includes/assets/css/highlight/highlight.min.js,2866,2.2,2026-05-03T17:22:01Z
dateutil/dateutil,gh/26876372,2025,66,29541,29462,59003,87,src/dateutil/test/test_rrule.py,9828,1.6,2026-07-05T22:56:04Z
nicolo-ribaudo/babel-preset-current-node-syntax,gh/253327079,2025,15,11980,46805,58785,8,.yarn/plugins/@yarnpkg/plugin-version.js,34800,2.1,2026-05-03T17:22:01Z
python-jsonschema/jsonschema,gh/3072629,2025,930,10718,47296,58014,47,jsonschema/tests/test_validators.py,11898,2.9,2026-05-03T17:22:01Z
cssnano/cssnano,gh/33943153,2025,541,30652,26335,56987,525,packages/postcss-merge-longhand/test/borders.js,1338,26.7,2026-05-03T17:22:01Z
netflix/vmaf,gh/51317975,2025,525,25400,31323,56723,281,libvmaf/src/feature/cambi.c,3202,55.7,2026-05-18T00:11:16Z
python-greenlet/greenlet,gh/3003137,2025,536,32050,23073,55123,88,src/greenlet/greenlet.cpp,21707,2.5,2026-05-03T17:22:01Z
selinuxproject/selinux,gh/20648799,2025,1223,35000,19685,54685,389,libselinux/src/label_file.c,3210,2.7,2026-05-18T00:11:16Z
agronholm/anyio,gh/145337588,2025,814,36331,18107,54438,87,src/anyio/_backends/_asyncio.py,8019,4.0,2026-05-03T17:22:01Z
libuv/libuv,gh/14812739,2025,852,31466,22940,54406,329,src/unix/linux.c,4955,8.3,2026-05-03T17:22:01Z
python/typing,gh/24604008,2025,452,26344,27016,53360,174,typing_extensions/src/typing_extensions.py,6664,2.2,2026-05-03T17:22:01Z
sindresorhus/type-fest,gh/175398594,2025,747,40742,11188,51930,461,source/internal.d.ts,1882,3.4,2026-05-03T17:22:01Z
rust-lang/cc-rs,gh/26039547,2025,651,28981,21067,50048,123,src/target/generated.rs,12578,2.9,2026-05-03T17:22:01Z
cpburnz/python-pathspec,gh/14648551,2025,159,30954,18179,49133,130,tests/test_03_pathspec.py,3396,2.1,2026-05-03T17:22:01Z
aio-libs/aiobotocore,gh/36618494,2025,340,30641,18396,49037,127,tests/test_patches.py,4046,1.3,2026-07-05T22:55:49Z
isaacs/minimatch,gh/2056549,2025,176,34331,13578,47909,40,tap-snapshots/test/optimization-level-2.ts.test.cjs,13653,1.4,2026-05-03T17:22:01Z
isaacs/node-tar,gh/1534331,2025,182,20453,27098,47551,231,test/unpack.js,4434,8.1,2026-05-03T17:22:01Z
p11-glue/p11-kit,gh/12060420,2025,368,31013,16296,47309,183,p11-kit/virtual.c,4944,2.8,2026-05-03T17:22:01Z
pest-parser/pest,gh/56964647,2025,225,32130,14855,46985,75,pest/src/unicode/script.rs,21510,2.9,2026-05-03T17:22:01Z
eslint/rewrite,gh/791446923,2025,335,36999,9725,46724,142,packages/config-array/tests/config-array.test.js,10763,18.6,2026-05-03T17:22:01Z
textualize/rich,gh/220809393,2025,1993,29744,15882,45626,198,rich/console.py,3480,39.1,2026-05-03T17:22:01Z
remusao/tldts,gh/97631656,2025,1492,22502,21744,44246,61,packages/tldts-tests/src/tldts-tests.ts,40780,9.4,2026-05-03T17:22:01Z
exodusoss/bytes,gh/885154008,2025,714,30530,13039,43569,273,fallback/multi-byte.js,1864,20.8,2026-05-03T17:22:01Z
linux-audit/audit-userspace,gh/52464964,2025,1114,28846,14681,43527,247,auparse/test/auparse_test.ref.py,2782,3.1,2026-05-03T17:22:01Z
tukaani-project/xz,gh/553665726,2025,1706,30748,12402,43150,262,src/liblzma/common/stream_decoder_mt.c,2464,8.7,2026-05-03T17:22:01Z
yargs/yargs,gh/14210523,2025,191,23614,19526,43140,137,test/usage.cjs,5837,2.1,2026-05-03T17:22:01Z
aws/aws-cli,gh/6780767,2025,3073,27360,15482,42842,351,doc/source/conf.py,2537,236.6,2026-05-03T17:22:01Z
inikulin/parse5,gh/8862593,2025,1101,22323,20128,42451,122,packages/parse5/lib/parser/index.ts,6165,7.5,2026-05-03T17:22:01Z
salesforce/tough-cookie,gh/2606873,2025,221,23103,18914,42017,86,lib/cookie.ts,7595,4.0,2026-05-03T17:22:01Z
rust-cli/anstyle,gh/493821282,2025,842,25584,16051,41635,113,crates/anstyle-parse/tests/testsuite.rs,2525,1.2,2026-05-03T17:22:01Z
libexpat/libexpat,gh/80314213,2025,1139,25089,16183,41272,84,expat/tests/runtests.c,13927,11.9,2026-05-03T17:22:01Z
legrandin/pycryptodome,gh/19378935,2025,529,30900,10190,41090,284,lib/Crypto/PublicKey/ECC.py,2856,45.4,2026-05-03T17:22:01Z
