repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
beatgammit/base64-js,gh/2853282,2.1,2026-04-20,MIT,4,,,2026-05-03T19:09:37+00:00
benjaminp/six,gh/77868600,3.9,2026-04-20,MIT,109,,,2026-05-03T19:09:37+00:00
besser82/libxcrypt,gh/35503965,,,LGPL-2.1,35,,,2026-05-03T19:09:37+00:00
bincode-org/bincode,gh/24130045,,,,23,,,2026-05-03T19:09:37+00:00
bitflags/bitflags,gh/29287955,7.4,2026-04-20,Apache-2.0,14,,,2026-05-03T19:09:38+00:00
blakeembrey/array-flatten,gh/17789771,3.3,2026-04-20,MIT,8,,,2026-05-03T19:09:45+00:00
blakeembrey/change-case,gh/9440238,3.7,2026-04-20,MIT,13,,,2026-05-03T19:09:47+00:00
bluss/bencher,gh/65987276,2.3,2026-04-20,Apache-2.0,7,,,2026-05-03T19:09:46+00:00
bminor/glibc,gh/13868694,3,2026-04-20,LGPL-2.1,0,,,2026-05-03T19:09:46+00:00
boto/boto3,gh/24774658,7.7,2026-04-20,Apache-2.0,188,,,2026-05-03T19:09:47+00:00
boto/botocore,gh/6670942,8.2,2026-04-20,Apache-2.0,156,,,2026-05-03T19:09:47+00:00
boto/s3transfer,gh/49535299,7.7,2026-04-20,Apache-2.0,65,,,2026-05-03T19:09:47+00:00
braveg1rl/performance-now,gh/336187529,1.5,2026-04-20,,0,,,2026-05-03T19:09:48+00:00
brianc/node-postgres,gh/991475,5.2,2026-04-20,MIT,523,,,2026-05-03T19:09:48+00:00
brianloveswords/node-jwa,gh/8116861,4.5,2026-04-20,MIT,17,,,2026-05-03T19:09:48+00:00
broofa/mime,gh/534940,3.9,2026-04-20,MIT,5,,,2026-05-03T19:09:48+00:00
broofa/node-int64,gh/1208666,2.3,2026-04-20,MIT,0,,,2026-05-03T19:09:49+00:00
browserify/events,gh/1649251,3.5,2026-05-04,MIT,13,,,2026-05-17T23:42:50+00:00
browserify/node-util,gh/14568009,3.5,2026-04-20,MIT,23,,,2026-05-03T19:09:49+00:00
browserify/randombytes,gh/29300004,,,,,,,2026-05-17T23:42:49+00:00
browserify/resolve,gh/1915099,7.1,2026-04-20,MIT,17,passing,189,2026-05-03T19:09:49+00:00
browserslist/browserslist,gh/27971466,5.9,2026-04-20,MIT,45,,,2026-05-03T19:09:49+00:00
browserslist/caniuse-lite,gh/80221890,4.5,2026-05-04,non-standard,7,,,2026-05-17T23:42:53+00:00
