repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
form-data/form-data,gh/1755793,4.6,2026-04-20,MIT,139,,,2026-05-03T19:11:29+00:00
formatjs/formatjs,gh/19117456,4.2,2026-04-20,,13,,,2026-05-03T19:11:30+00:00
freedesktop-unofficial-mirror/cairo,gh/34372735,,,,,,,2026-05-17T23:42:49+00:00
freetype/freetype,gh/187000659,,,non-standard,1,,,2026-05-17T23:42:51+00:00
frenic/csstype,gh/104001328,3.4,2026-04-20,MIT,78,,,2026-05-03T19:11:30+00:00
frommi/miniz_oxide,gh/96124162,4.3,2026-04-20,MIT,31,,,2026-05-03T19:11:30+00:00
fsevents/fsevents,gh/1402936,3.1,2026-04-20,MIT,16,,,2026-05-03T19:11:31+00:00
fsspec/filesystem_spec,gh/130727736,5.2,2026-04-20,BSD-3-Clause,346,,,2026-05-03T19:11:31+00:00
fsspec/s3fs,gh/53987953,4.2,2026-04-20,BSD-3-Clause,174,,,2026-05-03T19:11:31+00:00
garycourt/uri-js,gh/989080,2.4,2026-04-20,non-standard,30,,,2026-05-03T19:11:32+00:00
gcc-mirror/gcc,gh/22711503,4.1,2026-04-20,GPL-2.0,51,,,2026-05-03T19:11:32+00:00
getsentry/sentry-javascript,gh/3328572,5.8,2026-04-20,MIT,590,,,2026-05-03T19:11:33+00:00
giampaolo/psutil,gh/20101515,5.2,2026-04-20,BSD-3-Clause,372,,,2026-05-03T19:11:32+00:00
git/git,gh/36502,5.2,2026-04-20,non-standard,373,in_progress,18,2026-05-03T19:11:32+00:00
gitlab-freedesktop-mirrors/libxcb,gh/444023705,,,,,,,2026-05-03T19:11:33+00:00
gitoxidelabs/gitoxide,gh/136510559,,,Apache-2.0,180,,,2026-05-03T19:11:36+00:00
gitpython-developers/gitdb,gh/1126093,5.9,2026-04-20,non-standard,8,,,2026-05-03T19:11:33+00:00
gitpython-developers/smmap,gh/1865144,5.6,2026-04-20,BSD-3-Clause,3,,,2026-05-03T19:11:33+00:00
gkz/levn,gh/13287279,2,2026-04-20,MIT,2,,,2026-05-03T19:11:34+00:00
gkz/optionator,gh/13435927,2.1,2026-04-20,MIT,13,,,2026-05-03T19:11:34+00:00
gkz/prelude-ls,gh/4457759,2.1,2026-04-20,MIT,30,,,2026-05-03T19:11:34+00:00
gkz/type-check,gh/13182168,2.3,2026-04-20,MIT,9,,,2026-05-03T19:11:35+00:00
gmp-mirror/gmp,gh/681340775,,,,,,,2026-05-03T19:11:35+00:00
gnome/gdk-pixbuf,gh/4533539,,,LGPL-2.1,0,,,2026-05-03T19:11:35+00:00
gnome/glib,gh/4537082,5,2026-04-20,non-standard,0,,,2026-05-03T19:11:36+00:00
gnome/libxml2,gh/4537118,4,2026-04-20,non-standard,0,,,2026-05-03T19:11:36+00:00
gnome/pango,gh/4537144,,,non-standard,0,,,2026-05-03T19:11:36+00:00
gnutls/gnutls,gh/58873704,,,GPL-3.0,0,,,2026-05-03T19:11:52+00:00
gnutls/libtasn1,gh/59017205,,,,,,,2026-05-03T19:11:52+00:00
gnutls/nettle,gh/59017402,,,LGPL-3.0,0,,,2026-05-03T19:11:53+00:00
google/brotli,gh/24993138,7.3,2026-04-20,MIT,95,in_progress,57,2026-05-03T19:11:53+00:00
google/highway,gh/206791328,6.4,2026-06-22,non-standard,79,,,2026-07-06T11:07:57+00:00
google/zerocopy,gh/534354967,6.4,2026-04-20,Apache-2.0,389,,,2026-05-03T19:11:53+00:00
googleapis/google-auth-library-python,gh/69199387,7.3,2026-04-20,Apache-2.0,0,,,2026-05-03T19:11:53+00:00
googleapis/google-cloud-node-core,gh/1052931509,,,Apache-2.0,1,,,2026-05-03T19:11:54+00:00
googleapis/google-cloud-python,gh/16316451,6.9,2026-05-04,Apache-2.0,1051,,,2026-05-17T23:43:03+00:00
googleapis/google-resumable-media-python,gh/88091939,6,2026-04-20,Apache-2.0,0,,,2026-05-03T19:11:54+00:00
googleapis/python-api-core,gh/226992456,7.1,2026-04-20,Apache-2.0,0,,,2026-05-03T19:11:54+00:00
googleapis/python-cloud-core,gh/226992462,6.6,2026-06-22,Apache-2.0,0,,,2026-07-05T23:23:01+00:00
googleapis/python-crc32c,gh/159736041,7.5,2026-04-20,Apache-2.0,0,,,2026-05-03T19:11:54+00:00
googleapis/python-storage,gh/226992639,5.8,2026-04-20,Apache-2.0,0,,,2026-05-03T19:11:55+00:00
googlechrome/workbox,gh/55424670,5,2026-04-20,MIT,81,,,2026-05-03T19:11:56+00:00
gozala/events,gh/1649251,3.5,2026-04-20,MIT,13,,,2026-05-03T19:11:55+00:00
gpg/libgpg-error,gh/42075984,,,GPL-2.0,2,,,2026-05-03T19:11:55+00:00
grahamdumpleton/wrapt,gh/10357291,3.8,2026-04-20,non-standard,0,,,2026-05-03T19:11:55+00:00
grantjenks/python-sortedcontainers,gh/17144859,2.7,2026-06-22,non-standard,35,,,2026-07-05T23:23:03+00:00
graydon/exhaustigen-rs,gh/432630522,,,,4,,,2026-05-03T19:11:56+00:00
gregberge/svgr,gh/102155012,4.9,2026-04-20,MIT,143,,,2026-05-03T19:11:56+00:00
grncdr/merge-stream,gh/10579821,2.5,2026-04-20,MIT,0,,,2026-05-03T19:11:56+00:00
grpc/grpc,gh/27729880,6.6,2026-04-20,Apache-2.0,1304,passing,109,2026-05-03T19:11:57+00:00
gsnedders/python-webencodings,gh/7043404,2.6,2026-04-20,non-standard,13,,,2026-05-03T19:11:57+00:00
guillaumegomez/doc-comment,gh/127254922,2.1,2026-04-20,MIT,8,,,2026-05-03T19:11:57+00:00
gulpjs/glob-parent,gh/29154915,3.7,2026-04-20,non-standard,4,,,2026-05-03T19:11:58+00:00
gweis/isodate,gh/6449370,3.8,2026-04-20,BSD-3-Clause,28,,,2026-05-03T19:11:58+00:00
gyscos/zstd-rs,gh/52115335,4.7,2026-04-20,BSD-3-Clause,82,,,2026-05-03T19:11:58+00:00
hapijs/hoek,gh/5831189,3.9,2026-04-20,non-standard,3,,,2026-05-03T19:11:59+00:00
harfbuzz/harfbuzz,gh/5050525,7.8,2026-04-20,non-standard,89,in_progress,97,2026-05-03T19:11:58+00:00
hiddentao/fast-levenshtein,gh/9490451,2.3,2026-04-20,MIT,10,,,2026-05-03T19:12:00+00:00
holmgren/nettle,gl/debian-50952,,,,,,,2026-07-06T11:07:53+00:00
httplib2/httplib2,gh/53002916,5.3,2026-04-20,non-standard,61,,,2026-05-03T19:12:00+00:00
huggingface/huggingface_hub,gh/323591830,6.4,2026-06-22,Apache-2.0,207,,,2026-07-05T23:23:03+00:00
hukkin/tomli,gh/370616797,5,2026-04-20,MIT,7,,,2026-05-03T19:12:01+00:00
hyperium/http,gh/84983058,5.1,2026-04-20,Apache-2.0,176,,,2026-05-03T19:12:01+00:00
hyperium/http-body,gh/183281612,3.9,2026-04-20,MIT,26,,,2026-05-03T19:12:01+00:00
iarna/aproba,gh/31432421,2.1,2026-04-20,non-standard,1,,,2026-05-03T19:12:01+00:00
import-js/eslint-plugin-import,gh/32238354,5.3,2026-04-20,MIT,592,,,2026-05-03T19:12:02+00:00
indexmap-rs/indexmap,gh/68294628,,,Apache-2.0,12,,,2026-05-03T19:12:02+00:00
indutny/bn.js,gh/19176350,3.2,2026-04-20,MIT,49,,,2026-05-03T19:12:02+00:00
indygreg/python-zstandard,gh/67307930,3.9,2026-04-20,BSD-3-Clause,67,,,2026-05-03T19:12:02+00:00
inikulin/parse5,gh/8862593,6.4,2026-04-20,MIT,35,,,2026-05-03T19:12:03+00:00
inspect-js/array-buffer-byte-length,gh/607836784,3.8,2026-04-20,MIT,1,,,2026-05-03T19:12:03+00:00
inspect-js/available-typed-arrays,gh/235965505,4,2026-04-20,MIT,1,,,2026-05-03T19:12:03+00:00
inspect-js/functions-have-names,gh/198357138,4.4,2026-04-20,MIT,1,,,2026-05-03T19:12:04+00:00
inspect-js/has-bigints,gh/201714166,4.1,2026-05-04,MIT,1,,,2026-05-17T23:42:51+00:00
inspect-js/has-property-descriptors,gh/481834578,3.8,2026-04-20,MIT,1,,,2026-05-03T19:12:04+00:00
inspect-js/has-proto,gh/577580747,3.4,2026-04-20,MIT,1,,,2026-05-03T19:12:04+00:00
inspect-js/has-symbols,gh/68573418,3.8,2026-04-20,MIT,2,,,2026-05-03T19:12:04+00:00
inspect-js/has-tostringtag,gh/392913710,4.7,2026-04-20,MIT,1,,,2026-05-03T19:12:04+00:00
inspect-js/hasown,gh/703350811,4,2026-04-20,MIT,1,,,2026-05-03T19:12:05+00:00
inspect-js/is-accessor-descriptor,gh/41658954,3.8,2026-04-20,MIT,0,,,2026-05-03T19:12:05+00:00
inspect-js/is-arguments,gh/15725461,4.4,2026-04-20,MIT,1,,,2026-05-03T19:12:05+00:00
inspect-js/is-array-buffer,gh/45977026,3.4,2026-04-20,MIT,0,,,2026-05-03T19:12:06+00:00
inspect-js/is-bigint,gh/149682261,3.8,2026-04-20,MIT,1,,,2026-05-03T19:12:06+00:00
inspect-js/is-boolean-object,gh/34700259,3.8,2026-04-20,MIT,1,,,2026-05-03T19:12:06+00:00
inspect-js/is-callable,gh/30012910,3.8,2026-04-20,MIT,3,,,2026-05-03T19:12:06+00:00
inspect-js/is-core-module,gh/24578130,4,2026-04-20,MIT,2,,,2026-05-03T19:12:22+00:00
inspect-js/is-data-descriptor,gh/41659073,3.8,2026-04-20,MIT,0,,,2026-05-03T19:12:22+00:00
inspect-js/is-data-view,gh/751048078,,,MIT,1,,,2026-05-03T19:12:22+00:00
inspect-js/is-date-object,gh/29991041,3.8,2026-04-20,MIT,1,,,2026-05-03T19:12:23+00:00
inspect-js/is-descriptor,gh/41658845,3.4,2026-04-20,MIT,0,,,2026-05-03T19:12:23+00:00
inspect-js/is-number-object,gh/29991666,3.8,2026-04-20,MIT,1,,,2026-05-03T19:12:23+00:00
inspect-js/is-regex,gh/15930063,4.3,2026-04-20,MIT,1,,,2026-05-03T19:12:24+00:00
inspect-js/is-string,gh/30010185,,,MIT,2,,,2026-05-03T19:12:24+00:00
inspect-js/is-symbol,gh/29791606,4.1,2026-04-20,MIT,1,,,2026-05-03T19:12:24+00:00
inspect-js/is-typed-array,gh/43528820,3.8,2026-04-20,MIT,1,,,2026-05-03T19:12:24+00:00
inspect-js/node-supports-preserve-symlinks-flag,gh/443970899,3.8,2026-04-20,MIT,1,,,2026-05-03T19:12:25+00:00
inspect-js/object-inspect,gh/11683441,4,2026-04-20,MIT,8,,,2026-05-03T19:12:25+00:00
inspect-js/typed-array-buffer,gh/649850465,,,MIT,1,,,2026-05-03T19:12:25+00:00
inspect-js/which-boxed-primitive,gh/201685155,4.2,2026-04-20,MIT,1,,,2026-05-03T19:12:25+00:00
inspect-js/which-typed-array,gh/43708371,4,2026-04-20,MIT,1,,,2026-05-03T19:12:26+00:00
ipython/traitlets,gh/14993021,4.3,2026-04-20,BSD-3-Clause,113,,,2026-05-03T19:12:26+00:00
isaacs/chownr,gh/3858354,3.4,2026-04-20,non-standard,3,,,2026-05-03T19:12:26+00:00
isaacs/cliui,gh/634056857,,,non-standard,0,,,2026-05-03T19:12:26+00:00
isaacs/core-util-is,gh/12391440,3,2026-04-20,MIT,3,,,2026-05-03T19:12:27+00:00
isaacs/fs-minipass,gh/102982143,,,non-standard,3,,,2026-05-17T23:42:50+00:00
isaacs/fs.realpath,gh/61231712,3.4,2026-04-20,non-standard,0,,,2026-05-03T19:12:27+00:00
isaacs/inflight-deprecated-do-not-use,gh/19442260,,,,,,,2026-07-05T23:23:00+00:00
isaacs/inherits,gh/1580001,3.6,2026-04-20,non-standard,6,,,2026-05-03T19:12:27+00:00
isaacs/isexe,gh/49804297,5.4,2026-04-20,non-standard,6,,,2026-05-03T19:12:27+00:00
isaacs/minimatch,gh/2056549,6.2,2026-04-20,non-standard,7,,,2026-05-03T19:12:28+00:00
isaacs/minipass,gh/84886212,3.6,2026-04-20,non-standard,3,,,2026-05-03T19:12:28+00:00
isaacs/minizlib,gh/86429676,3.4,2026-04-20,non-standard,1,,,2026-05-03T19:12:28+00:00
isaacs/node-glob,gh/357681,5.5,2026-04-20,non-standard,3,,,2026-05-03T19:12:28+00:00
isaacs/node-graceful-fs,gh/2077020,3.4,2026-04-20,non-standard,51,,,2026-05-03T19:12:30+00:00
isaacs/node-lru-cache,gh/679662,5.8,2026-04-20,non-standard,1,,,2026-05-03T19:12:30+00:00
isaacs/node-mkdirp,gh/2718248,3.5,2026-04-20,non-standard,1,,,2026-05-03T19:12:31+00:00
isaacs/node-tar,gh/1534331,6.2,2026-04-20,non-standard,9,,,2026-05-03T19:12:31+00:00
isaacs/once,gh/5409660,3.6,2026-04-20,non-standard,4,,,2026-05-03T19:12:31+00:00
isaacs/package-json-from-dist,gh/800543709,,,non-standard,0,,,2026-05-03T19:12:31+00:00
isaacs/path-scurry,gh/591569499,4.9,2026-04-20,non-standard,3,,,2026-05-03T19:12:32+00:00
isaacs/rimraf,gh/1341324,5.5,2026-04-20,non-standard,8,,,2026-05-03T19:12:32+00:00
isaacs/sax-js,gh/508894,4.1,2026-04-20,non-standard,96,,,2026-05-03T19:12:32+00:00
isaacs/wrappy,gh/24208073,,,,,,,2026-05-17T23:42:49+00:00
isaacs/yallist,gh/48222381,3.4,2026-04-20,non-standard,5,,,2026-05-03T19:12:32+00:00
istanbuljs/istanbuljs,gh/81482340,4,2026-04-20,,189,,,2026-05-03T19:12:33+00:00
istanbuljs/schema,gh/211950686,4.5,2026-04-20,MIT,10,,,2026-05-03T19:12:33+00:00
istanbuljs/test-exclude,gh/60489570,4.4,2026-04-20,non-standard,18,,,2026-05-03T19:12:33+00:00
jamesmunns/postcard,gh/179385478,5.4,2026-04-20,Apache-2.0,70,,,2026-05-03T19:12:33+00:00
jaraco/jaraco.develop,gh/48289082,4.5,2026-04-20,,5,,,2026-05-03T19:12:34+00:00
jaraco/pytest-perf,gh/372026120,4.1,2026-04-20,,5,,,2026-05-03T19:12:34+00:00
jaraco/zipp,gh/157774633,5.8,2026-04-20,,7,,,2026-05-03T19:12:34+00:00
jaredhanson/utils-merge,gh/11349896,2.1,2026-04-20,MIT,7,,,2026-05-03T19:12:34+00:00
jaredwray/cacheable,gh/9267870,,,MIT,0,,,2026-05-03T19:12:35+00:00
jaredwray/keyv,gh/96540810,4.8,2026-04-20,MIT,1,,,2026-05-03T19:12:35+00:00
jawah/charset_normalizer,gh/200259335,,,MIT,1,passing,109,2026-05-03T19:12:35+00:00
jbgutierrez/path-parse,gh/34113780,2.5,2026-04-20,MIT,8,,,2026-05-03T19:12:35+00:00
jd/tenacity,gh/65468547,6.7,2026-04-20,Apache-2.0,91,,,2026-05-03T19:12:36+00:00
jensyt/imurmurhash-js,gh/11802843,2,2026-04-20,MIT,2,,,2026-05-03T19:12:36+00:00
jestjs/jest,gh/15062869,,,MIT,251,,,2026-05-03T19:12:55+00:00
jimmywarting/node-domexception,gh/371470141,2.5,2026-04-20,MIT,0,,,2026-05-03T19:12:36+00:00
jimp-dev/jimp,gh/24008065,,,MIT,176,,,2026-05-03T19:12:54+00:00
jmespath/jmespath.py,gh/8300763,6.2,2026-04-20,MIT,63,,,2026-05-03T19:12:52+00:00
joblib/joblib,gh/654608,6.3,2026-04-20,BSD-3-Clause,434,,,2026-05-03T19:12:52+00:00
jonathanong/ee-first,gh/20707897,2,2026-04-20,MIT,1,,,2026-05-03T19:12:52+00:00
jonschlinkert/assign-symbols,gh/45661176,2,2026-04-20,MIT,0,,,2026-05-03T19:12:52+00:00
jonschlinkert/define-property,gh/40633359,2,2026-04-20,MIT,4,,,2026-05-03T19:12:53+00:00
jonschlinkert/extend-shallow,gh/25867410,2,2026-04-20,MIT,3,,,2026-05-03T19:12:53+00:00
jonschlinkert/fill-range,gh/27113310,3.3,2026-04-20,MIT,6,,,2026-05-03T19:12:53+00:00
jonschlinkert/get-value,gh/24911025,2.3,2026-04-20,MIT,4,,,2026-05-03T19:12:54+00:00
jonschlinkert/global-prefix,gh/31455984,3.4,2026-04-20,MIT,6,,,2026-05-03T19:12:54+00:00
jonschlinkert/has-value,gh/24310408,2.1,2026-04-20,MIT,2,,,2026-05-03T19:12:54+00:00
jonschlinkert/has-values,gh/33009186,2,2026-04-20,MIT,2,,,2026-05-03T19:12:55+00:00
jonschlinkert/is-extendable,gh/38225016,2.1,2026-04-20,MIT,0,,,2026-05-03T19:12:55+00:00
jonschlinkert/is-extglob,gh/31788841,3,2026-04-20,MIT,0,,,2026-05-03T19:12:56+00:00
jonschlinkert/is-number,gh/24313173,2.1,2026-04-20,MIT,16,,,2026-05-03T19:12:56+00:00
jonschlinkert/is-plain-object,gh/24306940,2.1,2026-04-20,MIT,12,,,2026-05-03T19:12:56+00:00
jonschlinkert/isobject,gh/21342886,2.3,2026-04-20,MIT,4,,,2026-05-03T19:12:56+00:00
jonschlinkert/kind-of,gh/24491562,2.1,2026-04-20,MIT,14,,,2026-05-03T19:12:57+00:00
jonschlinkert/map-cache,gh/32450614,2,2026-04-20,MIT,0,,,2026-05-03T19:12:57+00:00
jonschlinkert/normalize-path,gh/21224182,2,2026-04-20,MIT,2,,,2026-05-03T19:12:57+00:00
jonschlinkert/object-visit,gh/38545952,2,2026-04-20,MIT,2,,,2026-05-03T19:12:57+00:00
jonschlinkert/word-wrap,gh/18260583,3,2026-04-20,MIT,14,,,2026-05-03T19:12:58+00:00
jorgebucaran/colorette,gh/34648097,3,2026-04-20,MIT,9,,,2026-05-03T19:12:58+00:00
joshuakgoldberg/ts-api-utils,gh/597893818,4.6,2026-04-20,MIT,27,,,2026-05-03T19:12:58+00:00
jpadilla/pyjwt,gh/1408162,7.8,2026-04-20,MIT,49,,,2026-05-03T19:12:58+00:00
jprichardson/node-fs-extra,gh/2791348,5.3,2026-04-20,MIT,13,,,2026-05-03T19:13:00+00:00
jprichardson/node-jsonfile,gh/5754307,3.5,2026-04-20,MIT,2,,,2026-05-03T19:13:00+00:00
jquast/wcwidth,gh/18464187,5,2026-04-20,non-standard,4,,,2026-05-03T19:13:01+00:00
jquery/esprima,gh/2833537,3.9,2026-04-20,non-standard,149,,,2026-05-03T19:13:01+00:00
jridgewell/resolve-uri,gh/196878944,2.8,2026-04-20,MIT,18,,,2026-05-03T19:13:01+00:00
jridgewell/sourcemaps,gh/897142826,,,,4,,,2026-05-03T19:13:01+00:00
jsdom/tr46,gh/36964214,3.8,2026-04-20,MIT,1,,,2026-05-03T19:13:02+00:00
jsdom/webidl-conversions,gh/23000311,4.6,2026-04-20,non-standard,2,,,2026-05-03T19:13:02+00:00
jsdom/whatwg-mimetype,gh/71014420,4.1,2026-04-20,MIT,0,,,2026-05-03T19:13:02+00:00
jsdom/whatwg-url,gh/34761352,5,2026-04-20,MIT,8,,,2026-05-03T19:13:03+00:00
jsdom/xml-name-validator,gh/28553202,3.8,2026-04-20,Apache-2.0,0,,,2026-05-03T19:13:03+00:00
jshttp/accepts,gh/15482433,6.3,2026-04-20,MIT,11,,,2026-05-03T19:13:03+00:00
jshttp/content-disposition,gh/24216676,7.5,2026-04-20,MIT,15,,,2026-05-03T19:13:03+00:00
jshttp/content-type,gh/30172150,7.2,2026-04-20,MIT,4,,,2026-05-03T19:13:04+00:00
jshttp/cookie,gh/4475810,7.1,2026-04-20,MIT,15,,,2026-05-03T19:13:04+00:00
jshttp/etag,gh/22894570,5.1,2026-04-20,MIT,12,,,2026-05-03T19:13:04+00:00
jshttp/forwarded,gh/24300217,5.3,2026-04-20,MIT,8,,,2026-05-03T19:13:04+00:00
jshttp/fresh,gh/4617552,5.8,2026-04-20,MIT,8,,,2026-05-03T19:13:05+00:00
jshttp/http-errors,gh/23806086,7.2,2026-04-20,MIT,18,,,2026-05-03T19:13:05+00:00
jshttp/media-typer,gh/20814275,5.7,2026-04-20,MIT,6,,,2026-05-03T19:13:05+00:00
jshttp/methods,gh/8274071,5.3,2026-04-20,MIT,4,,,2026-05-03T19:13:06+00:00
jshttp/mime-db,gh/22970419,6.7,2026-04-20,MIT,40,,,2026-05-03T19:13:06+00:00
jshttp/mime-types,gh/19380178,6.8,2026-04-20,MIT,23,,,2026-05-03T19:13:06+00:00
jshttp/negotiator,gh/3275614,5.9,2026-04-20,MIT,14,,,2026-05-03T19:13:06+00:00
jshttp/on-finished,gh/15349765,5.7,2026-04-20,MIT,18,,,2026-05-03T19:13:07+00:00
jshttp/range-parser,gh/4627131,5.6,2026-04-20,MIT,4,,,2026-05-03T19:13:23+00:00
jshttp/statuses,gh/17690272,6.3,2026-04-20,MIT,8,,,2026-05-03T19:13:23+00:00
jshttp/type-is,gh/15484233,6,2026-04-20,MIT,9,,,2026-05-03T19:13:23+00:00
jshttp/vary,gh/20498698,5.9,2026-04-20,MIT,1,,,2026-05-03T19:13:23+00:00
jslicense/spdx-correct.js,gh/34817196,3,2026-04-20,Apache-2.0,2,,,2026-05-03T19:13:24+00:00
jslicense/spdx-exceptions.json,gh/40062896,2.7,2026-05-04,,2,,,2026-05-17T23:42:50+00:00
jslicense/spdx-expression-parse.js,gh/40067336,2.8,2026-04-20,MIT,8,,,2026-05-03T19:13:24+00:00
jslicense/spdx-license-ids,gh/26001547,2.5,2026-05-04,,0,,,2026-05-17T23:42:54+00:00
json-c/json-c,gh/1139119,5.2,2026-06-22,non-standard,23,,,2026-07-06T11:07:57+00:00
json5/json5,gh/4463453,3.8,2026-04-20,non-standard,41,,,2026-05-03T19:13:24+00:00
juliangruber/balanced-match,gh/13538817,5.7,2026-04-20,non-standard,9,,,2026-05-03T19:13:24+00:00
juliangruber/brace-expansion,gh/13539234,6.3,2026-04-20,non-standard,5,,,2026-05-03T19:13:25+00:00
juliangruber/isarray,gh/10227611,7,2026-04-20,MIT,1,passing,113,2026-05-03T19:13:25+00:00
justmoon/node-extend,gh/3967764,3.5,2026-04-20,MIT,0,,,2026-05-03T19:13:25+00:00
jviereck/regjsparser,gh/14087781,3.2,2026-04-20,non-standard,8,,,2026-05-03T19:13:25+00:00
ka-weihe/fastest-levenshtein,gh/158960628,2.3,2026-04-20,MIT,2,,,2026-05-03T19:13:26+00:00
kaelzhang/node-ignore,gh/12519245,2.7,2026-04-20,non-standard,4,,,2026-05-03T19:13:26+00:00
kemitchell/validate-npm-package-license.js,gh/35000460,2.8,2026-04-20,Apache-2.0,0,,,2026-05-03T19:13:26+00:00
kevinbeaty/any-promise,gh/26247715,2.1,2026-04-20,MIT,6,,,2026-05-03T19:13:26+00:00
kevva/dir-glob,gh/49264969,3.3,2026-04-20,MIT,0,,,2026-05-03T19:13:27+00:00
kevva/shebang-command,gh/47402913,3.1,2026-04-20,MIT,3,,,2026-05-03T19:13:27+00:00
kilian/electron-to-chromium,gh/78972540,4.5,2026-04-20,non-standard,1,,,2026-05-03T19:13:27+00:00
kjd/idna,gh/10323585,8.3,2026-04-20,BSD-3-Clause,3,,,2026-05-03T19:13:27+00:00
knurling-rs/defmt,gh/282262730,6.1,2026-04-20,Apache-2.0,116,,,2026-05-03T19:13:28+00:00
kpdecker/jsdiff,gh/1542219,3.5,2026-04-20,BSD-3-Clause,14,,,2026-05-03T19:13:28+00:00
krb5/krb5,gh/4307702,5.3,2026-04-20,,39,,,2026-05-03T19:13:28+00:00
kriskowal/asap,gh/11295071,2.5,2026-04-20,MIT,14,,,2026-05-03T19:13:29+00:00
kriszyp/json-schema,gh/947175,3.4,2026-04-20,non-standard,30,,,2026-05-03T19:13:29+00:00
la10736/rstest,gh/124802455,3.4,2026-06-22,Apache-2.0,72,,,2026-07-06T11:07:58+00:00
langchain-ai/langchain,gh/552661142,6.5,2026-04-20,MIT,557,,,2026-05-03T19:13:29+00:00
laurent-laporte-pro/deprecated,gh/111412148,,,MIT,9,,,2026-05-03T19:13:30+00:00
lddubeau/xmlchars,gh/139881982,3,2026-04-20,MIT,13,,,2026-05-03T19:13:31+00:00
legrandin/pycryptodome,gh/19378935,5.4,2026-04-20,non-standard,82,,,2026-05-03T19:13:31+00:00
libevent/libevent,gh/1856976,7.1,2026-04-20,non-standard,134,,,2026-05-03T19:13:31+00:00
libexpat/libexpat,gh/80314213,7.6,2026-04-20,MIT,19,passing,111,2026-05-03T19:13:31+00:00
libffi/libffi,gh/321154,3.9,2026-04-20,non-standard,200,,,2026-05-03T19:13:32+00:00
libidn/libidn2,gh/87378214,,,GPL-3.0,0,,,2026-05-03T19:13:32+00:00
libjpeg-turbo/libjpeg-turbo,gh/39760454,5.3,2026-05-04,non-standard,16,,,2026-05-17T23:42:54+00:00
libjxl/libjxl,gh/340219494,8.7,2026-04-20,BSD-3-Clause,443,silver,291,2026-05-03T19:13:32+00:00
libpixman/pixman,gh/81675971,,,,,,,2026-05-03T19:13:32+00:00
libtiff/libtiff,gl/4720790,,,,,,,2026-07-06T11:07:56+00:00
libuv/libuv,gh/14812739,6,2026-04-20,MIT,213,,,2026-05-03T19:13:33+00:00
linusu/buffer-from,gh/66025821,2,2026-04-20,MIT,1,,,2026-05-03T19:13:33+00:00
linux-audit/audit-userspace,gh/52464964,4.5,2026-04-20,GPL-2.0,14,,,2026-05-03T19:13:33+00:00
linux-pam/linux-pam,gh/76264690,4.8,2026-05-04,non-standard,167,,,2026-05-17T23:42:54+00:00
litejs/natural-compare-lite,gh/9146732,3.9,2026-04-20,MIT,0,,,2026-05-03T19:13:33+00:00
ljharb/call-bind,gh/308533760,4.2,2026-04-20,MIT,3,,,2026-05-03T19:13:34+00:00
ljharb/call-bind-apply-helpers,gh/898190951,,,MIT,3,,,2026-05-03T19:13:34+00:00
ljharb/call-bound,gh/898125972,,,MIT,2,,,2026-05-03T19:13:34+00:00
ljharb/concat-map,gh/548993448,3.8,2026-04-20,MIT,2,,,2026-05-03T19:13:34+00:00
ljharb/define-data-property,gh/689109338,3.8,2026-04-20,MIT,1,,,2026-05-03T19:13:35+00:00
ljharb/define-properties,gh/28768789,3.8,2026-04-20,MIT,1,,,2026-05-03T19:13:35+00:00
ljharb/es-abstract,gh/28995155,4.6,2026-04-20,MIT,11,,,2026-05-03T19:13:35+00:00
ljharb/es-define-property,gh/756570458,,,MIT,1,,,2026-05-03T19:13:36+00:00
ljharb/es-errors,gh/752160492,,,MIT,1,,,2026-05-03T19:13:36+00:00
ljharb/es-object-atoms,gh/773229339,,,MIT,1,,,2026-05-03T19:13:36+00:00
ljharb/es-shim-unscopables,gh/480458584,3.8,2026-04-20,MIT,1,,,2026-05-03T19:13:36+00:00
ljharb/es-to-primitive,gh/32377814,3.8,2026-04-20,MIT,1,,,2026-05-03T19:13:37+00:00
ljharb/get-intrinsic,gh/308516559,3.8,2026-04-20,MIT,2,,,2026-05-03T19:13:52+00:00
ljharb/get-proto,gh/911035271,,,MIT,1,,,2026-05-03T19:13:52+00:00
ljharb/gopd,gh/560708130,4,2026-04-20,MIT,2,,,2026-05-03T19:13:53+00:00
ljharb/has-bigints,gh/201714166,4.1,2026-04-20,MIT,1,,,2026-05-03T19:13:53+00:00
ljharb/internal-slot,gh/216159146,3.8,2026-04-20,MIT,1,,,2026-05-03T19:13:53+00:00
ljharb/object-keys,gh/9103992,4.2,2026-04-20,MIT,0,,,2026-05-03T19:13:53+00:00
ljharb/object.assign,gh/17755831,3.8,2026-04-20,MIT,0,,,2026-05-03T19:13:54+00:00
ljharb/possible-typed-array-names,gh/760136716,,,MIT,1,,,2026-05-03T19:13:54+00:00
ljharb/qs,gh/22266795,5.2,2026-04-20,BSD-3-Clause,71,passing,178,2026-05-03T19:13:54+00:00
ljharb/safe-regex-test,gh/540138887,4,2026-04-20,MIT,1,,,2026-05-03T19:13:54+00:00
ljharb/set-function-length,gh/704249795,3.8,2026-04-20,MIT,1,,,2026-05-03T19:13:55+00:00
