repo,repo_id,packages_queried,fetched_at
astanin/python-tabulate,205875548,PyPI:tabulate,2026-06-28T20:20:33+00:00
astral-sh/ruff,523043277,PyPI:ruff,2026-05-18T01:11:38+00:00
auth0/node-jwa,8116861,npm:jwa,2026-05-18T01:11:39+00:00
autotools-mirror/autoconf,47662429,Debian:autoconf,2026-05-18T01:11:39+00:00
autotools-mirror/libtool,47662711,Debian:libtool,2026-05-18T01:11:40+00:00
autotools-mirror/m4,66880383,Debian:m4,2026-05-18T01:11:41+00:00
aws/aws-cli,6780767,"PyPI:awscli,Debian:awscli",2026-05-18T01:11:42+00:00
aws/aws-sdk-js-crypto-helpers,149673986,"npm:@aws-crypto/util,npm:@aws-crypto/sha256-js,npm:@aws-crypto/supports-web-crypto,npm:@aws-crypto/sha256-browser,npm:@aws-crypto/crc32,npm:@aws-crypto/crc32c,npm:@aws-crypto/sha1-browser",2026-05-18T01:11:47+00:00
aws/aws-sdk-js-v3,87228090,"npm:@aws-sdk/types,npm:@aws-sdk/core,npm:@aws-sdk/nested-clients,npm:@aws-sdk/util-endpoints,npm:@aws-sdk/middleware-user-agent,npm:@aws-sdk/middleware-recursion-detection,npm:@aws-sdk/region-config-resolver,npm:@aws-sdk/credential-provider-process,npm:@aws-sdk/credential-provider-env,npm:@aws-sdk/token-providers,npm:@aws-sdk/util-user-agent-node,npm:@aws-sdk/credential-provider-ini,npm:@aws-sdk/credential-provider-sso,npm:@aws-sdk/credential-provider-node,npm:@aws-sdk/util-user-agent-browser,npm:@aws-sdk/middleware-host-header,npm:@aws-sdk/middleware-logger,npm:@aws-sdk/credential-provider-web-identity,npm:@aws-sdk/credential-provider-http,npm:@aws-sdk/client-sts,npm:@aws-sdk/util-locate-window,npm:@aws-sdk/xml-builder,npm:@aws-sdk/util-utf8-browser,npm:@aws-sdk/client-sso-oidc,npm:@aws-sdk/middleware-sdk-s3,npm:@aws-sdk/signature-v4-multi-region,npm:@aws-sdk/util-arn-parser,npm:@aws-sdk/middleware-flexible-checksums,npm:@aws-sdk/middleware-bucket-endpoint,npm:@aws-sdk/client-s3,npm:@aws-sdk/middleware-ssec,npm:@aws-sdk/middleware-expect-continue,npm:@aws-sdk/middleware-location-constraint,npm:@aws-sdk/util-hex-encoding,npm:@aws-sdk/querystring-builder,npm:@aws-sdk/hash-node,npm:@aws-sdk/client-cognito-identity,npm:@aws-sdk/credential-provider-cognito-identity,npm:@aws-sdk/credential-providers,npm:@aws-sdk/util-format-url,npm:@aws-sdk/middleware-endpoint,npm:@aws-sdk/util-waiter,npm:@aws-sdk/credential-provider-login,npm:@aws-sdk/client-lambda,npm:@aws-sdk/util-retry,npm:@aws-sdk/endpoint-cache,npm:@aws-sdk/client-secrets-manager,npm:@aws-sdk/middleware-endpoint-discovery,npm:@aws-sdk/client-dynamodb,npm:@aws-sdk/middleware-sdk-sqs,npm:@aws-sdk/client-sqs,npm:@aws-sdk/util-dynamodb,npm:@aws-sdk/client-cloudwatch-logs,npm:@aws-sdk/lib-storage,npm:@aws-sdk/client-iam,npm:@aws-sdk/client-ssm,npm:@aws-sdk/lib-dynamodb,npm:@aws-sdk/client-sfn,npm:@aws-sdk/crc64-nvme,npm:@aws-sdk/dynamodb-codec",2026-05-18T01:12:41+00:00
axios/axios,23088740,npm:axios,2026-05-18T01:11:44+00:00
azure/azure-sdk-for-js,108311273,"npm:@azure/abort-controller,npm:@azure/core-tracing,npm:@azure/core-util,npm:@typespec/ts-http-runtime,npm:@azure/logger,npm:@azure/core-auth,npm:@azure/core-rest-pipeline,npm:@azure/core-paging,npm:@azure/core-lro,npm:@azure/core-client,npm:@azure/identity,npm:@azure/core-http-compat,npm:@azure/storage-blob,npm:@azure/keyvault-keys,npm:@azure/core-xml,npm:@azure/keyvault-common,npm:@azure/storage-common,npm:@azure-rest/core-client",2026-05-18T01:12:01+00:00
azure/azure-sdk-for-python,4127088,"PyPI:azure-core,PyPI:azure-nspkg,PyPI:azure-common,PyPI:azure-mgmt-core,PyPI:azure-storage-blob,PyPI:azure-identity,PyPI:azure-mgmt-nspkg,PyPI:azure-keyvault-secrets,PyPI:azure-storage-file-datalake,PyPI:azure-mgmt-resource,PyPI:azure-mgmt-storage,PyPI:azure-cosmos,PyPI:azure-keyvault-keys,PyPI:azure-mgmt-containerregistry,PyPI:azure-mgmt-keyvault,PyPI:azure-mgmt-authorization,PyPI:azure-mgmt-datalake-nspkg,PyPI:azure-keyvault,PyPI:azure-graphrbac,PyPI:azure-servicebus,PyPI:azure-keyvault-certificates,PyPI:azure-batch,PyPI:azure-mgmt-compute,PyPI:azure-mgmt-cosmosdb,PyPI:azure-eventhub,PyPI:azure-mgmt-containerinstance,PyPI:azure-mgmt-datafactory,PyPI:azure-mgmt-containerservice,PyPI:azure-mgmt-datalake-store,PyPI:azure-mgmt-network,PyPI:azure-storage-file-share,PyPI:azure-data-tables,PyPI:azure-mgmt-sql,PyPI:azure-mgmt-monitor,PyPI:azure-mgmt-msi,PyPI:azure-mgmt-web,PyPI:azure-mgmt-rdbms,PyPI:azure-mgmt-redis,PyPI:azure-mgmt-servicebus,PyPI:azure-mgmt-batch,PyPI:azure-mgmt-recoveryservices,PyPI:azure-mgmt-iothub,PyPI:azure-mgmt-cdn,PyPI:azure-mgmt-eventhub,PyPI:azure-mgmt-loganalytics,PyPI:azure-mgmt-trafficmanager,PyPI:azure-mgmt-managementgroups,PyPI:azure-mgmt-cognitiveservices,PyPI:azure-mgmt-signalr,PyPI:azure-mgmt-recoveryservicesbackup,PyPI:azure-mgmt-search,PyPI:azure-mgmt-marketplaceordering,PyPI:azure-mgmt-applicationinsights,PyPI:azure-mgmt-eventgrid,PyPI:azure-mgmt-advisor,PyPI:azure-mgmt-dns,PyPI:azure-mgmt-media,PyPI:azure-mgmt-billing,PyPI:azure-mgmt-servicefabric,PyPI:azure-mgmt-policyinsights,PyPI:azure-mgmt-iothubprovisioningservices,PyPI:azure-mgmt-batchai,PyPI:azure-mgmt-iotcentral,PyPI:azure-mgmt-datamigration,PyPI:azure-mgmt-maps,PyPI:azure-synapse-artifacts,PyPI:azure-appconfiguration,PyPI:azure-mgmt-devtestlabs,PyPI:azure-synapse-spark,PyPI:azure-mgmt-datalake-analytics,PyPI:azure-loganalytics,PyPI:azure-mgmt-consumption,PyPI:azure-mgmt-reservations,PyPI:azure-mgmt-relay,PyPI:azure-mgmt-apimanagement,PyPI:azure-mgmt-security,PyPI:azure-mgmt-hdinsight,PyPI:azure-mgmt-privatedns,PyPI:azure-mgmt-netapp,PyPI:azure-mgmt-appconfiguration,PyPI:azure-eventgrid,PyPI:azure-mgmt-synapse,PyPI:azure-mgmt-redhatopenshift,PyPI:azure-mgmt-sqlvirtualmachine,PyPI:azure-mgmt-botservice,PyPI:azure-keyvault-administration,PyPI:azure-mgmt-imagebuilder,PyPI:azure-synapse-accesscontrol,PyPI:azure-mgmt-servicefabricmanagedclusters,PyPI:azure-mgmt-extendedlocation,PyPI:azure-synapse-managedprivateendpoints,PyPI:azure-mgmt-servicelinker,PyPI:azure-monitor-opentelemetry-exporter,PyPI:azure-mgmt-databoxedge,PyPI:azure-mgmt-kusto,PyPI:azure-monitor-query,PyPI:azure-mgmt-managedservices,PyPI:azure-synapse-nspkg,PyPI:azure-mgmt-subscription,PyPI:azure,PyPI:azure-core-tracing-opentelemetry,PyPI:azure-monitor-opentelemetry,PyPI:azure-mgmt-logic,PyPI:azure-mgmt-notificationhubs,PyPI:azure-mgmt,PyPI:azure-servicefabric,PyPI:azure-servicemanagement-legacy,PyPI:azure-mgmt-scheduler,PyPI:azure-mgmt-deploymentmanager,PyPI:azure-mgmt-commerce,PyPI:azure-mgmt-powerbiembedded,PyPI:azure-mgmt-hanaonazure,PyPI:azure-mgmt-managementpartner,PyPI:azure-mgmt-machinelearningcompute,PyPI:azure-applicationinsights,PyPI:azure-mgmt-devspaces,PyPI:azure-mgmt-appcontainers,PyPI:azure-search-documents,PyPI:azure-ai-ml,PyPI:azure-mgmt-postgresqlflexibleservers,PyPI:azure-mgmt-mysqlflexibleservers,PyPI:azure-schemaregistry,PyPI:azure-keyvault-securitydomain,PyPI:azure-mgmt-resource-deploymentstacks,PyPI:azure-mgmt-resource-templatespecs,PyPI:azure-mgmt-resource-deployments,PyPI:azure-mgmt-resource-deploymentscripts",2026-05-18T01:14:03+00:00
azure/msrest-for-python,71186468,PyPI:msrest,2026-05-03T18:55:46+00:00
azuread/microsoft-authentication-library-for-python,67243113,"PyPI:msal,PyPI:pymsalruntime",2026-05-18T01:11:46+00:00
