repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
nitrux/maui-shell,93,6670,4888,793,11.9,17.6,2.4,82559,2026-03-12T17:28:05Z
slgobinath/safeeyes,38,6653,5043,768,11.5,17.6,2.4,82338,2026-03-12T21:05:25Z
scaleflex/js-cloudimage-360-view,90,6648,5344,803,12.1,17.5,2.4,82273,2026-03-12T21:53:44Z
mps-youtube/yewtube,51,6621,6053,1373,20.7,17.5,2.4,81922,2026-03-12T21:05:25Z
hexagon/croner,31,6587,5131,1032,15.7,17.4,2.3,81480,2026-03-12T17:28:05Z
alexhallam/tv,21,6521,4408,814,12.5,17.2,2.3,80623,2026-03-12T21:05:25Z
webpack/terser-webpack-plugin,81,6490,2598,265,4.1,17.1,2.3,80221,2026-04-27T14:02:28Z
lost-pixel/lost-pixel,113,6478,4290,386,6.0,17.1,2.3,80065,2026-03-12T21:05:25Z
baowenbo/dain,94,6470,3966,920,14.2,17.0,2.3,79961,2026-03-12T21:53:44Z
mdn/kuma,142,6459,5093,431,6.7,17.0,2.3,79819,2026-03-12T21:05:25Z
openbmb/cpm-bee,57,6456,4037,857,13.3,17.0,2.3,79780,2026-03-12T21:05:25Z
junshutang/make-it-3d,36,6439,5616,756,11.7,17.0,2.3,79559,2026-03-12T21:05:25Z
flolagale/mailin,30,6358,5475,601,9.5,16.7,2.3,78509,2026-03-12T21:05:25Z
thelinmichael/spotify-web-api-node,27,6319,2291,90,1.4,16.6,2.3,78003,2026-03-12T21:05:25Z
estools/estraverse,10,6318,3567,1033,16.4,16.6,2.3,77990,2026-04-27T14:02:28Z
biati-digital/glightbox,22,6317,4171,1405,22.2,16.6,2.3,77977,2026-03-12T22:31:48Z
alexcrichton/tar-rs,19,6311,4619,603,9.6,16.6,2.3,77899,2026-04-27T14:02:28Z
pyeve/cerberus,23,6308,4364,255,4.0,16.6,2.3,77860,2026-03-12T21:53:44Z
alexpfau/calendar-card-pro,19,6269,5588,1135,18.1,16.5,2.3,77355,2026-03-12T21:05:25Z
shankarpandala/lazypredict,37,6235,4652,585,9.4,16.4,2.3,76915,2026-03-12T21:05:25Z
stickerdaniel/linkedin-mcp-server,47,6226,3941,555,8.9,16.4,2.3,76798,2026-03-12T21:05:25Z
gregberge/svgr,103,6218,4126,309,5.0,16.4,2.3,76694,2026-04-27T14:02:28Z
webpack/watchpack,35,6210,3875,592,9.5,16.3,2.3,76591,2026-04-27T14:02:28Z
postmanlabs/newman,73,6179,4114,488,7.9,16.2,2.3,76189,2026-03-12T21:05:25Z
mkocabas/vibe,52,6173,5424,659,10.7,16.2,2.3,76112,2026-03-12T21:05:25Z
cosmiconfig/cosmiconfig,23,6156,2304,165,2.7,16.2,2.2,75892,2026-03-12T22:31:48Z
weaigc/bingo,92,6154,4034,431,7.0,16.2,2.2,75866,2026-03-12T21:05:25Z
jawah/charset_normalizer,34,6147,4484,664,10.8,16.2,2.2,75775,2026-04-27T14:02:28Z
cuixiaorui/mini-vue,103,6140,3875,780,12.7,16.1,2.2,75685,2026-03-12T21:05:25Z
dtolnay/proc-macro2,27,6135,4093,672,11.0,16.1,2.2,75620,2026-04-27T14:02:28Z
oozcitak/xmlbuilder-js,123,6132,3867,491,8.0,16.1,2.2,75581,2026-04-27T14:02:28Z
eslint-community/eslint-utils,33,6126,3092,378,6.2,16.1,2.2,75503,2026-04-27T14:02:28Z
torchensemble-community/ensemble-pytorch,39,6119,2562,644,10.5,16.1,2.2,75413,2026-03-12T22:31:48Z
nadbm/react-datasheet,33,6117,3557,569,9.3,16.1,2.2,75387,2026-03-12T22:31:48Z
pytest-dev/pytest-django,43,6114,3410,256,4.2,16.1,2.2,75348,2026-03-12T17:40:22Z
jpadilla/pyjwt,26,6098,3819,624,10.2,16.0,2.2,75141,2026-04-27T14:02:28Z
justfoolingaround/animdl,97,6060,4478,798,13.2,15.9,2.2,74649,2026-03-12T21:05:25Z
justlovemaki/cloudflare-ai-insight-daily,38,6039,3654,926,15.3,15.9,2.2,74378,2026-03-12T21:05:25Z
ngx-translate/core,51,5991,3238,247,4.1,15.7,2.2,73757,2026-03-12T22:31:48Z
blampe/ibpy,67,5973,4804,1089,18.2,15.7,2.2,73525,2026-03-12T21:05:25Z
pixijs/filters,130,5956,3981,354,5.9,15.6,2.2,73305,2026-03-12T22:27:36Z
andialbrecht/sqlparse,36,5954,5207,533,9.0,15.6,2.2,73279,2026-04-27T14:02:28Z
lisong/code-push-server,52,5942,2998,523,8.8,15.6,2.2,73124,2026-03-12T21:53:44Z
mickhansen/graphql-sequelize,38,5911,2805,279,4.7,15.5,2.2,72723,2026-03-12T17:30:11Z
sindresorhus/globby,21,5894,3506,275,4.7,15.5,2.2,72504,2026-04-27T14:02:28Z
michaelshimeles/nextjs-starter-kit,77,5889,3574,206,3.5,15.4,2.2,72439,2026-03-12T22:31:48Z
vita-group/enlightengan,61,5887,3937,1254,21.3,15.4,2.2,72413,2026-03-12T21:05:25Z
executablebooks/markdown-it-py,88,5849,4666,1010,17.3,15.3,2.2,71923,2026-04-27T14:02:28Z
johnwmillr/lyricsgenius,44,5827,3297,350,6.0,15.3,2.2,71639,2026-03-13T00:03:44Z
hustvl/yolop,44,5779,5043,845,14.6,15.1,2.2,71019,2026-03-12T21:05:25Z
stephane/libmodbus,19,5778,3818,1354,23.4,15.1,2.2,71006,2026-03-12T17:28:05Z
vespa314/bilibili-api,40,5769,2453,1056,18.3,15.1,2.2,70890,2026-03-12T21:05:25Z
isaacs/rimraf,49,5769,2963,600,10.4,15.1,2.2,70890,2026-04-27T14:02:28Z
7rulnik/source-map-js,41,5736,4062,504,8.8,15.0,2.1,70464,2026-04-27T14:02:28Z
