repo,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
pypa/pip,2025,3230,245438,215189,460627,854,src/pip/_vendor/idna/uts46data.py,29824,40.4,2026-05-03T17:22:01Z
vitest-dev/vitest,2025,5286,299561,154455,454016,3407,packages/vitest/src/node/core.ts,6536,30.2,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-js-contrib,2025,1691,263960,166960,430920,1793,plugins/node/opentelemetry-instrumentation-mysql2/test/mysql.test.ts,4658,48.1,2026-05-03T17:22:01Z
harfbuzz/harfbuzz,2025,8237,246200,172954,419154,670,src/hb-ucd-table.hh,42020,37.3,2026-05-03T17:22:01Z
bytecodealliance/rustix,2025,2146,250623,166445,417068,793,src/imp/linux_raw/syscalls.rs,11410,4.8,2026-05-03T17:22:01Z
ardatan/graphql-tools,2025,4683,201998,203276,405274,1711,packages/federation/src/supergraph.ts,6038,74.4,2026-05-03T17:22:01Z
c-ares/c-ares,2025,880,189494,213317,402811,305,src/lib/ares_platform.c,76582,6.6,2026-05-03T17:22:01Z
pypa/setuptools,2025,4547,211605,185845,397450,680,pkg_resources/_vendor/more_itertools/more.py,18812,48.1,2026-05-03T17:22:01Z
zloirock/core-js,2025,4266,223658,168600,392258,5651,deno/corejs/index.js,138700,31.1,2026-05-03T17:22:01Z
gnome/libxml2,2025,2718,130569,252998,383567,329,testapi.c,66626,17.2,2026-05-03T17:22:01Z
snowflakedb/snowflake-connector-python,2025,961,247900,127828,375728,680,src/snowflake/connector/nanoarrow_cpp/ArrowIterator/nanoarrow_ipc.c,63269,17.8,2026-05-03T17:22:01Z
ethers-io/ethers.js,2025,781,286340,88266,374606,1126,dist/ethers.js,92708,165.6,2026-05-03T17:22:01Z
git/git,2025,12822,230050,136236,366286,1032,object-file.c,7978,102.4,2026-05-03T17:22:01Z
evanw/esbuild,2025,2802,238650,127417,366067,229,internal/js_parser/js_parser.go,29407,9.8,2026-05-03T17:22:01Z
rust-lang/libc,2025,2704,205194,155034,360228,627,src/unix/linux_like/linux/mod.rs,17856,25.1,2026-05-03T17:22:01Z
mhammond/pywin32,2025,538,212480,135317,347797,1187,com/win32comext/mapi/src/MAPIStubLibrary/include/mimeole.h,9637,68.9,2026-05-03T17:22:01Z
nlnetlabs/unbound,2025,1784,168805,164792,333597,231,util/configlexer.c,137247,30.1,2026-05-03T17:22:01Z
reactivex/rxjs,2025,879,157066,159883,316949,1885,spec/operators/groupBy-spec.ts,4215,43.4,2026-05-03T17:22:01Z
gregberge/svgr,2025,188,154556,153701,308257,171,.yarn/releases/yarn-1.18.0.cjs,294310,9.2,2026-05-03T17:22:01Z
facebook/watchman,2025,8797,157268,139692,296960,1117,watchman/watcher/eden.cpp,4595,20.8,2026-05-03T17:22:01Z
pcre2project/pcre2,2025,937,137599,149370,286969,113,src/pcre2_ucd.c,67369,23.3,2026-05-03T17:22:01Z
wasm-bindgen/wasm-bindgen,2025,992,185641,98976,284617,2501,crates/cli-support/src/js/mod.rs,7541,43.5,2026-05-03T17:22:01Z
csstools/postcss-plugins,2025,4556,189037,91603,280640,3018,plugins/postcss-progressive-custom-properties/src/matchers.ts,7223,16.0,2026-05-03T17:22:01Z
smithy-lang/smithy-typescript,2025,2429,195661,80347,276008,1637,packages/signature-v4a/src/elliptic/Ec.ts,9563,17.7,2026-05-03T17:22:01Z
mrabarnett/mrab-regex,2025,104,106922,166827,273749,27,regex_3/_regex_unicode.c,76979,3.1,2026-05-03T17:22:01Z
rustcrypto/formats,2025,1639,173451,96872,270323,574,const-oid/src/db/gen.rs,56334,6.0,2026-05-03T17:22:01Z
certbot/certbot,2025,1137,133897,134026,267923,810,certbot/certbot/_internal/tests/main_test.py,5384,35.8,2026-05-03T17:22:01Z
radix-ui/primitives,2025,1164,144925,120503,265428,632,packages/react/dropdown-menu/src/DropdownMenu.stories.tsx,9420,31.1,2026-05-03T17:22:01Z
vuejs/core,2025,3830,166214,97999,264213,731,packages/compiler-sfc/src/compileScript.ts,8433,16.4,2026-05-03T17:22:01Z
socketio/socket.io,2025,1035,141915,111672,253587,604,dist/socket.io.js,26187,16.3,2026-05-03T17:22:01Z
toml-rs/toml,2025,1579,131276,116481,247757,429,crates/toml_edit/tests/testsuite/parse.rs,7086,5.2,2026-05-03T17:22:01Z
indygreg/python-zstandard,2025,385,114081,133631,247712,83,zstd/zstdlib.c,156379,3.9,2026-05-03T17:22:01Z
python-poetry/poetry-core,2025,795,115411,114870,230281,594,src/poetry/core/_vendor/pyparsing.py,14214,4.8,2026-05-03T17:22:01Z
burntsushi/jiff,2025,543,170692,46718,217410,229,src/span.rs,10649,2.4,2026-05-03T17:22:01Z
rust-lang/compiler-builtins,2025,1096,121429,95466,216895,674,libm/src/math/support/hex_float.rs,4068,1.9,2026-05-03T17:22:01Z
tokio-rs/tokio,2025,1995,151105,65462,216567,816,tokio/src/runtime/metrics/runtime.rs,6468,28.6,2026-05-03T17:22:01Z
jestjs/jest,2025,2229,127619,86871,214490,2158,packages/jest-mock/src/index.ts,3516,185.4,2026-05-03T17:22:01Z
time-rs/time,2025,727,120323,93185,213508,390,tests/parsing.rs,5186,3.4,2026-05-03T17:22:01Z
taiki-e/portable-atomic,2025,1755,121672,86726,208398,405,src/lib.rs,13833,6.5,2026-05-03T17:22:01Z
burntsushi/memchr,2025,112,133580,69025,202605,123,bench/data/code/rust-library.rs,104190,6.7,2026-05-03T17:22:01Z
facebook/metro,2025,1727,131134,67947,199081,746,flow-typed/npm/babel-types_v17.x.x.js,8028,57.0,2026-05-03T17:22:01Z
nghttp2/nghttp2,2025,1395,93578,86191,179769,358,third-party/llhttp/src/llhttp.c,30118,16.1,2026-05-03T17:22:01Z
pyca/cryptography,2025,6421,105251,67707,172958,430,src/rust/src/x509/certificate.rs,6263,58.7,2026-05-03T17:22:01Z
floating-ui/floating-ui,2025,1429,102124,60469,162593,728,website/pages/index.js,8331,34.5,2026-05-03T17:22:01Z
jridgewell/resolve-uri,2025,44,105428,57093,162521,23,test/resolve-uri.test.js,46604,1.1,2026-05-03T17:22:01Z
rust-lang/regex,2025,515,122105,38867,160972,316,regex-automata/src/dfa/dense.rs,5498,7.2,2026-05-03T17:22:01Z
util-linux/util-linux,2025,5358,111248,47876,159124,580,misc-utils/lsfd.c,9612,99.1,2026-05-03T17:22:01Z
googleapis/python-storage,2025,644,115417,41297,156714,371,tests/unit/gapic/storage_v2/test_storage.py,11790,24.4,2026-05-03T17:22:01Z
bytecodealliance/wasi-rs,2025,59,96488,57562,154050,50,src/bindings.rs,60928,1.3,2026-05-03T17:22:01Z
python-pillow/pillow,2025,5738,88415,60876,149291,449,src/PIL/Image.py,5340,40.8,2026-05-03T22:57:48Z
ljharb/es-abstract,2025,459,107192,41601,148793,2681,test/tests.js,35172,4.7,2026-05-03T17:22:01Z
sindresorhus/execa,2025,503,89579,56694,146273,802,index.test-d.ts,12495,3.0,2026-05-03T17:22:01Z
