repo,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
isaacs/rimraf,2025,158,15215,9803,25018,106,test/rimraf-windows.js,2026,1.4,2026-05-03T17:22:01Z
python-attrs/attrs,2025,922,15591,8478,24069,69,src/attr/_make.py,6016,4.3,2026-05-03T17:22:01Z
indexmap-rs/indexmap,2025,319,15953,8022,23975,44,src/map.rs,2705,0.9,2026-05-03T17:22:01Z
frommi/miniz_oxide,2025,170,13624,9423,23047,50,miniz/miniz.c,7147,4.1,2026-05-03T17:22:01Z
rayon-rs/rayon,2025,402,14380,8633,23013,165,src/slice/sort.rs,1718,5.0,2026-05-03T17:22:01Z
pillarjs/path-to-regexp,2025,103,11044,11881,22925,6,src/index.spec.ts,11935,2.7,2026-05-03T17:22:01Z
pypa/wheel,2025,261,11082,11375,22457,74,src/wheel/vendored/packaging/specifiers.py,2094,2.5,2026-05-03T17:22:01Z
ajv-validator/ajv,2025,543,15830,6336,22166,213,spec/types/jtd-schema.spec.ts,1023,37.1,2026-05-03T17:22:01Z
rustcrypto/stream-ciphers,2025,192,11447,10675,22122,74,chacha20/src/rng.rs,2298,1.3,2026-05-03T17:22:01Z
encode/httpx,2025,584,13036,9028,22064,62,httpx/_client.py,2855,7.9,2026-05-03T17:22:01Z
rust-itertools/itertools,2025,667,14400,7076,21476,77,src/lib.rs,3982,1.2,2026-05-03T17:22:01Z
lz4/lz4,2025,828,14065,7342,21407,66,programs/lz4io.c,3432,10.4,2026-05-03T17:22:01Z
boto/boto3,2025,2738,12211,8712,20923,102,setup.py,2495,10.2,2026-05-03T17:22:01Z
pallets/click,2025,767,13489,7053,20542,65,src/click/core.py,5431,6.4,2026-05-03T17:22:01Z
pypa/virtualenv,2025,576,11067,8775,19842,170,tests/unit/create/test_creator.py,1731,189.2,2026-05-03T17:22:01Z
nodeca/pako,2025,35,8848,10805,19653,28,dist/pako.es5.js,5905,2.0,2026-05-03T17:22:01Z
pypa/distlib,2025,170,2906,16145,19051,72,distlib/_backport/tarfile.py,2607,13.9,2026-05-03T17:22:01Z
uqfoundation/dill,2025,237,10871,7868,18739,76,dill/_dill.py,5058,1.9,2026-05-03T17:22:01Z
mm2/little-cms,2025,498,12628,6004,18632,82,Projects/Xcode_26/lcms2/threaded_plugin_testbed/threaded_testbed.c,1776,98.1,2026-05-03T17:22:01Z
psf/requests,2025,271,9975,8563,18538,51,tests/test_requests.py,2658,18.5,2026-05-03T17:22:01Z
more-itertools/more-itertools,2025,846,12179,6339,18518,10,more_itertools/more.py,6857,2.0,2026-05-03T17:22:01Z
acornjs/acorn,2025,294,16301,2103,18404,87,test/tests-class-features-2022.js,6529,9.0,2026-05-03T17:22:01Z
marshallpierce/rust-base64,2025,146,9372,8662,18034,36,src/engine/tests.rs,3759,1.7,2026-05-03T17:22:01Z
pyca/pynacl,2025,153,12040,5943,17983,216,src/libsodium/src/libsodium/crypto_aead/aes256gcm/aesni/aead_aes256gcm_aesni.c,1800,61.5,2026-05-03T17:22:01Z
tootallnate/proxy-agents,2025,149,12876,5004,17880,121,packages/agent-base/test/test-legacy.js,1378,2.7,2026-05-03T17:22:01Z
libffi/libffi,2025,492,13389,4116,17505,219,src/wasm32/ffi.c,1914,3.6,2026-05-03T17:22:01Z
mrmlnc/fast-glob,2025,155,12991,4192,17183,138,__snapshots__/regular.e2e.js,5678,2.1,2026-05-03T17:22:01Z
browserslist/browserslist,2025,442,8544,7780,16324,88,index.js,2076,2.8,2026-05-03T17:22:01Z
import-js/eslint-plugin-import,2025,139,11571,4727,16298,180,tests/src/rules/order.js,4161,2.2,2026-05-03T17:22:01Z
aio-libs/yarl,2025,1049,10410,5562,15972,41,yarl/_url.py,5893,3.7,2026-05-03T17:22:01Z
npm/cacache,2025,197,6829,9024,15853,62,test/verify.js,1157,0.9,2026-05-03T17:22:01Z
pkgconf/pkgconf,2025,672,10827,4895,15722,41,cli/main.c,3453,1.8,2026-05-03T17:22:01Z
websocket-client/websocket-client,2025,364,10918,4757,15675,39,websocket/_app.py,2010,1.2,2026-05-03T17:22:01Z
burntsushi/ucd-generate,2025,60,10694,4953,15647,68,benches/tables/slice/names.rs,7353,4.3,2026-05-03T17:22:01Z
rust-lang/flate2-rs,2025,187,3620,11912,15532,58,miniz-sys/miniz.c,7563,1.2,2026-05-03T17:22:01Z
eslint-community/eslint-utils,2025,112,8767,6590,15357,62,test/reference-tracker.mjs,1572,0.9,2026-05-03T17:22:01Z
isaacs/path-scurry,2025,122,10959,4369,15328,11,src/index.ts,7374,0.8,2026-05-03T17:22:01Z
crossbeam-rs/crossbeam,2025,458,9913,5312,15225,121,crossbeam-utils/src/atomic/atomic_cell.rs,1833,4.4,2026-05-03T17:22:01Z
httplib2/httplib2,2025,61,3863,11293,15156,48,python2/httplib2/__init__.py,2538,1.9,2026-05-03T17:22:01Z
webpack/webpack-sources,2025,94,10121,4492,14613,50,test/fixtures/es6-promise.js,1174,1.2,2026-05-03T17:22:01Z
kilian/electron-to-chromium,2025,3390,8570,5999,14569,8,full-chromium-versions.js,8586,3.0,2026-05-03T17:22:01Z
sinonjs/fake-timers,2025,241,7560,6884,14444,24,test/fake-timers-test.js,8384,2.8,2026-05-03T17:22:01Z
dcodeio/long.js,2025,34,5447,8861,14308,21,index.js,2228,1.6,2026-05-03T17:22:01Z
azuread/microsoft-authentication-library-for-python,2025,413,10693,3543,14236,62,msal/application.py,3282,2.3,2026-05-03T17:22:01Z
pallets/jinja,2025,389,8390,5607,13997,55,src/jinja2/filters.py,1650,2.3,2026-05-03T17:22:01Z
gpg/libgpg-error,2025,305,10173,3765,13938,50,src/spawn-w32.c,2467,2.8,2026-05-03T17:22:01Z
boto/s3transfer,2025,217,9417,4234,13651,48,s3transfer/crt.py,2169,1.7,2026-05-03T17:22:01Z
brianc/node-postgres,2025,325,8660,4810,13470,240,packages/pg-connection-string/test/parse.js,758,3.4,2026-05-03T17:22:01Z
rust-random/getrandom,2025,395,7350,6073,13423,90,src/lib.rs,1575,1.3,2026-05-03T17:22:01Z
rust-cli/env_logger,2025,345,6886,6495,13381,53,crates/env_filter/src/lib.rs,1762,0.7,2026-05-03T17:22:01Z
kpdecker/jsdiff,2025,160,8004,5121,13125,68,test/patch/merge.js,1445,1.2,2026-05-03T17:22:01Z
antonk52/lilconfig,2025,93,7041,5987,13028,26,src/spec/index.spec.js,6011,1.3,2026-05-03T17:22:01Z
teddriggs/darling,2025,271,9625,3394,13019,138,core/src/from_meta.rs,1785,1.6,2026-05-03T17:22:01Z
hukkin/tomli,2025,290,7238,5692,12930,31,tomli/_parser.py,4386,1.8,2026-05-03T17:22:01Z
rich-harris/magic-string,2025,137,8079,4743,12822,26,benchmark/data.js,3178,2.3,2026-05-03T17:22:01Z
lokathor/bytemuck,2025,305,9431,3128,12559,32,derive/src/traits.rs,2984,2.4,2026-05-03T17:22:01Z
sec-ant/readable-stream,2025,118,7267,5224,12491,29,test/index.spec.ts,2256,1.2,2026-05-03T17:22:01Z
tower-rs/tower,2025,197,8114,4346,12460,144,tower/src/util/mod.rs,1032,5.0,2026-05-03T17:22:01Z
madler/zlib,2025,393,6043,5898,11941,65,zconf.h,1164,7.0,2026-05-03T17:22:01Z
pyca/pyopenssl,2025,300,5907,5978,11885,18,tests/test_crypto.py,3255,7.0,2026-05-03T17:22:01Z
mysticatea/event-target-shim,2025,15,6432,5241,11673,40,test/event-target.ts,1588,1.3,2026-05-03T17:22:01Z
mathiasbynens/regexpu-core,2025,71,8931,2405,11336,22,tests/tests.js,2592,1.0,2026-05-03T17:22:01Z
paramiko/paramiko,2025,449,6967,4338,11305,92,paramiko/transport.py,1037,3.2,2026-05-03T17:22:01Z
taiki-e/pin-project-lite,2025,447,6763,4407,11170,104,src/lib.rs,3326,0.9,2026-05-03T17:22:01Z
besser82/libxcrypt,2025,269,7861,3274,11135,83,build-aux/BuildCommon.pm,1446,4.6,2026-05-03T17:22:01Z
octokit/types.ts,2025,417,6808,4049,10857,26,src/generated/Endpoints.ts,9913,9.6,2026-05-03T17:22:01Z
criterion-rs/criterion.rs,2025,213,5557,5288,10845,82,src/bencher.rs,2429,2.3,2026-05-03T17:22:01Z
tox-dev/platformdirs,2025,314,6369,4364,10733,21,src/platformdirs/__init__.py,3209,1.7,2026-05-03T17:22:01Z
libevent/libevent,2025,554,8652,2040,10692,110,evutil.c,924,10.8,2026-05-03T17:22:01Z
isaacs/minipass,2025,114,6331,4168,10499,94,index.js,1713,1.0,2026-05-03T17:22:01Z
webpack/watchpack,2025,59,6178,4315,10493,31,test/Watchpack.js,2512,1.1,2026-05-03T17:22:01Z
webpack/terser-webpack-plugin,2025,185,6346,4080,10426,41,src/index.js,2437,3.8,2026-05-03T17:22:01Z
jprichardson/node-fs-extra,2025,73,5374,4867,10241,117,lib/copy/copy.js,470,1.4,2026-05-03T17:22:01Z
websockets/ws,2025,281,7693,2510,10203,34,test/websocket.test.js,3816,12.0,2026-05-03T17:22:01Z
sindresorhus/globby,2025,111,7009,2708,9717,22,tests/globby.js,1363,0.7,2026-05-03T17:22:01Z
sindresorhus/meow,2025,68,5437,4158,9595,59,test/test.js,1649,1.2,2026-05-03T17:22:01Z
python-jsonschema/referencing,2025,587,6617,2898,9515,19,referencing/_core.py,3087,1.7,2026-05-03T17:22:01Z
sindresorhus/file-type,2025,210,5196,4213,9409,11,core.js,4842,118.1,2026-05-03T17:22:01Z
cosmiconfig/cosmiconfig,2025,166,6199,3083,9282,30,test/successful-directories.test.ts,2225,3.0,2026-05-03T17:22:01Z
pillarjs/iconv-lite,2025,27,5132,4071,9203,43,encodings/dbcs-codec.js,989,1.7,2026-05-03T17:22:01Z
googleapis/google-resumable-media-python,2025,155,5768,3348,9116,44,tests/unit/test__helpers.py,1062,6.5,2026-05-03T17:22:01Z
sindresorhus/globals,2025,144,6755,2319,9074,87,data/browser.mjs,1229,0.8,2026-05-03T17:22:01Z
serde-rs/json,2025,574,5356,3716,9072,55,src/read.rs,1316,5.3,2026-05-03T17:22:01Z
jd/tenacity,2025,116,4997,3921,8918,27,tenacity/tests/test_tenacity.py,2635,1.4,2026-05-03T17:22:01Z
rust-lang/log,2025,272,5343,3567,8910,18,src/kv/value.rs,2247,1.4,2026-05-03T17:22:01Z
uuidjs/uuid,2025,146,4962,3893,8855,128,src/test/v7.test.ts,586,6.4,2026-05-03T17:22:01Z
xtuc/webassemblyjs,2025,90,5741,3095,8836,152,types/lib/core.js,2132,7.0,2026-05-03T17:22:01Z
yargs/yargs-parser,2025,61,4500,4222,8722,17,test/yargs-parser.mjs,4205,1.1,2026-05-03T17:22:01Z
python-poetry/tomlkit,2025,237,5717,2960,8677,27,tomlkit/items.py,2857,1.0,2026-05-03T17:22:01Z
gnome/gdk-pixbuf,2025,363,6452,2179,8631,85,gdk-pixbuf/io-glycin-utils.c,1638,36.8,2026-05-03T17:22:01Z
proptest-rs/proptest,2025,257,6210,2293,8503,113,proptest-state-machine/src/strategy.rs,1316,4.3,2026-05-03T17:22:01Z
executablebooks/markdown-it-py,2025,176,4206,4182,8388,113,markdown_it/tree.py,593,2.3,2026-05-03T17:22:01Z
ljharb/qs,2025,210,5234,3143,8377,11,dist/qs.js,4548,5.5,2026-05-03T17:22:01Z
fsspec/s3fs,2025,354,5657,2671,8328,12,s3fs/core.py,3282,2.0,2026-05-03T17:22:01Z
dtolnay/proc-macro2,2025,520,5550,2714,8264,27,src/fallback.rs,1668,0.9,2026-05-03T17:22:01Z
tkem/cachetools,2025,182,4769,3446,8215,43,src/cachetools/__init__.py,1761,0.7,2026-05-03T17:22:01Z
peternator7/strum,2025,196,5596,2286,7882,59,strum_macros/src/lib.rs,856,1.5,2026-05-03T17:22:01Z
npm/hosted-git-info,2025,136,4014,3805,7819,29,test/github.js,1063,0.7,2026-05-03T17:22:01Z
libidn/libidn2,2025,287,3964,3725,7689,50,tests/test-lookup.c,1496,2.1,2026-05-03T17:22:01Z
python/importlib_metadata,2025,738,4893,2784,7677,39,importlib_metadata/__init__.py,3239,1.5,2026-05-03T17:22:01Z
tokio-rs/bytes,2025,160,6429,1246,7675,30,src/buf/buf_impl.rs,2294,1.7,2026-05-03T17:22:01Z
broofa/mime,2025,120,4466,3183,7649,35,types/standard.js,1004,1.0,2026-05-03T17:22:01Z
serde-rs/test,2025,142,3864,3760,7624,16,src/configure.rs,1087,1.3,2026-05-03T17:22:01Z
dtolnay/anyhow,2025,444,5384,2235,7619,34,src/ensure.rs,2183,4.3,2026-05-03T17:22:01Z
rust-phf/rust-phf,2025,146,4991,2544,7535,36,phf_macros_tests/tests/test.rs,1368,5.2,2026-05-03T17:22:01Z
fb55/entities,2025,1499,4926,2516,7442,31,src/decode.ts,1901,6.8,2026-05-03T17:22:01Z
rust-fuzz/arbitrary,2025,162,4950,2342,7292,65,src/lib.rs,2714,0.9,2026-05-03T17:22:01Z
python/importlib_resources,2025,537,4340,2829,7169,48,importlib_resources/tests/test_resource.py,636,3.1,2026-05-03T17:22:01Z
pytest-dev/pluggy,2025,320,4603,2524,7127,31,src/pluggy/_hooks.py,1566,1.5,2026-05-03T17:22:01Z
fastify/fast-uri,2025,140,5103,1985,7088,25,test/uri-js.test.js,2506,1.0,2026-05-03T17:22:01Z
dtolnay/semver,2025,247,3824,3258,7082,26,src/version_req.rs,1092,2.0,2026-05-03T17:22:01Z
servo/rust-smallvec,2025,88,4156,2912,7068,7,src/lib.rs,5870,1.2,2026-05-03T17:22:01Z
postcss/postcss-selector-parser,2025,54,3719,3274,6993,55,src/__tests__/attributes.js,578,3.4,2026-05-03T17:22:01Z
hyperium/http-body,2025,88,4996,1961,6957,36,src/limited.rs,598,1.0,2026-05-03T17:22:01Z
fb55/htmlparser2,2025,1324,3501,3368,6869,19,src/Tokenizer.ts,2970,6.7,2026-05-03T17:22:01Z
tox-dev/filelock,2025,300,3995,2851,6846,18,tests/test_filelock.py,2036,2.6,2026-05-03T17:22:01Z
caolan/async,2025,192,5382,1445,6827,106,docs/v3/scripts/async.js,1885,4.1,2026-05-03T17:22:01Z
hyperium/http,2025,146,3802,3015,6817,42,src/header/name.rs,1221,1.5,2026-05-03T17:22:01Z
amanieu/parking_lot,2025,182,4507,2104,6611,40,lock_api/src/rwlock.rs,1898,2.5,2026-05-03T17:22:01Z
stub42/pytz,2025,75,3912,2697,6609,18,zic.c,2548,5.4,2026-05-03T17:22:01Z
mvdnes/spin-rs,2025,93,4187,2254,6441,13,src/once.rs,1347,1.2,2026-05-03T17:22:01Z
agronholm/exceptiongroup,2025,206,4779,1572,6351,17,tests/test_exceptiongroup.py,1576,0.8,2026-05-03T17:22:01Z
micheles/decorator,2025,84,3206,3145,6351,10,src/tests/documentation.py,2827,1.0,2026-05-03T17:22:01Z
fb55/css-select,2025,1195,3435,2768,6203,30,test/qwery.ts,1005,7.3,2026-05-03T17:22:01Z
dtolnay/unicode-ident,2025,184,4345,1851,6196,18,tests/trie/trie.rs,1247,0.9,2026-05-03T17:22:01Z
dtolnay/thiserror,2025,432,4346,1832,6178,57,impl/src/expand.rs,1312,1.3,2026-05-03T17:22:01Z
nodelib/nodelib,2025,122,3633,2480,6113,82,packages/fs/fs.scandir/src/providers/async.spec.ts,368,1.1,2026-05-03T17:22:01Z
psycopg/psycopg2,2025,258,2496,3617,6113,129,scripts/build/appveyor.py,1736,3.6,2026-05-03T17:22:01Z
matklad/once_cell,2025,172,3610,2495,6105,18,src/lib.rs,1588,1.9,2026-05-03T17:22:01Z
mozilla/source-map,2025,37,4459,1561,6020,32,test/test-source-map-consumer.js,1230,2.1,2026-05-03T17:22:01Z
jsdom/whatwg-url,2025,87,2950,2833,5783,27,lib/url-state-machine.js,1439,2.0,2026-05-03T17:22:01Z
jpadilla/pyjwt,2025,294,4364,1391,5755,24,jwt/algorithms.py,1248,1.7,2026-05-03T17:22:01Z
node-fetch/node-fetch,2025,97,3819,1915,5734,24,test/main.js,2711,3.6,2026-05-03T17:22:01Z
gnutls/libtasn1,2025,83,3027,2689,5716,59,fuzz/libtasn1_pkix_der_fuzzer.c,1050,3.4,2026-05-03T17:22:01Z
dtolnay/trybuild,2025,345,3824,1853,5677,45,src/tests.rs,1296,1.0,2026-05-03T17:22:01Z
jshttp/cookie,2025,137,3300,2354,5654,19,test/serialize.js,984,0.9,2026-05-03T17:22:01Z
jaraco/zipp,2025,404,3300,2313,5613,29,tests/test_zipp.py,1342,1.2,2026-05-03T17:22:01Z
motdotla/dotenv,2025,496,3115,2434,5549,30,lib/main.js,1164,1.4,2026-05-03T17:22:01Z
gweis/isodate,2025,27,2691,2792,5483,24,src/isodate/tests/test_duration.py,1170,1.1,2026-05-03T17:22:01Z
webpack/schema-utils,2025,83,3059,2193,5252,30,test/index.test.js,2036,2.3,2026-05-03T17:22:01Z
sindresorhus/get-stream,2025,75,3379,1851,5230,36,test.js,1392,0.7,2026-05-03T17:22:01Z
sindresorhus/get-east-asian-width,2025,21,2923,2269,5192,5,lookup.js,4681,1.0,2026-05-03T17:22:01Z
scikit-build/ninja-python-distributions,2025,265,1299,3725,5024,19,versioneer.py,1871,0.6,2026-05-03T17:22:01Z
rust-random/rand_core,2025,173,2388,2577,4965,10,src/block.rs,1311,0.9,2026-05-03T17:22:01Z
stebalien/tempfile,2025,192,3016,1902,4918,20,src/lib.rs,965,0.8,2026-05-03T17:22:01Z
rust-random/rngs,2025,75,3195,1707,4902,35,benches/mod.rs,753,0.8,2026-05-03T17:22:01Z
oauthlib/oauthlib,2025,193,3601,1159,4760,95,oauthlib/oauth2/rfc6749/clients/base.py,460,2.4,2026-05-03T17:22:01Z
alexeyraspopov/picocolors,2025,74,2706,1898,4604,25,benchmarks/complex.js,602,1.1,2026-05-03T17:22:01Z
executablebooks/mdurl,2025,37,2936,1524,4460,19,tests/fixtures/url.py,1966,0.7,2026-05-03T17:22:01Z
rust-num/num-traits,2025,138,2960,1400,4360,19,src/ops/euclid.rs,1177,1.4,2026-05-03T17:22:01Z
jsdom/webidl-conversions,2025,23,2207,2077,4284,16,lib/index.js,1051,1.1,2026-05-03T17:22:01Z
tokio-rs/loom,2025,102,3416,800,4216,58,src/cell/unsafe_cell.rs,491,0.9,2026-05-03T17:22:01Z
django/asgiref,2025,175,3095,1099,4194,21,asgiref/sync.py,1184,0.9,2026-05-03T17:22:01Z
ai/nanoid,2025,415,1975,2201,4176,28,test/index.test.js,830,3.2,2026-05-03T17:22:01Z
alexcrichton/tar-rs,2025,75,3208,961,4169,14,tests/all.rs,1447,1.7,2026-05-03T17:22:01Z
chalk/chalk,2025,63,2229,1935,4164,26,index.d.ts,1193,1.4,2026-05-03T17:22:01Z
minimistjs/minimist,2025,81,2253,1909,4162,19,index.js,1346,0.8,2026-05-03T17:22:01Z
dtolnay/quote,2025,270,2370,1746,4116,18,src/lib.rs,2195,1.1,2026-05-03T17:22:01Z
pydantic/typing-inspection,2025,47,3132,907,4039,16,src/typing_inspection/introspection.py,1061,5.1,2026-05-03T17:22:01Z
pyca/bcrypt,2025,722,783,3241,4024,20,src/_csrc/sha2.c,812,2.1,2026-05-03T17:22:01Z
pyasn1/pyasn1,2025,46,2015,2006,4021,59,tests/codec/ber/test_decoder.py,1047,1.3,2026-05-03T17:22:01Z
isaacs/sax-js,2025,30,2248,1696,3944,72,lib/sax.js,918,1.4,2026-05-03T17:22:01Z
syntax-tree/unist-util-is,2025,55,2063,1807,3870,11,index.js,941,0.9,2026-05-03T17:22:01Z
npm/node-semver,2025,162,2517,1209,3726,125,tap-snapshots/test/bin/semver.js.test.cjs,496,1.1,2026-05-03T17:22:01Z
theskumar/python-dotenv,2025,134,2356,1355,3711,20,tests/test_parser.py,708,1.0,2026-05-03T17:22:01Z
facelessuser/soupsieve,2025,86,2362,1320,3682,39,soupsieve/css_match.py,1096,5.5,2026-05-03T17:22:01Z
node-fetch/fetch-blob,2025,50,2100,1569,3669,8,test.js,1432,1.2,2026-05-03T17:22:01Z
npm/nopt,2025,91,2172,1473,3645,15,test/basic.js,944,0.8,2026-05-03T17:22:01Z
estools/esquery,2025,33,2342,1242,3584,13,parser.js,1853,1.0,2026-05-03T17:22:01Z
blakeembrey/change-case,2025,162,1901,1564,3465,48,packages/change-case/src/index.ts,646,2.1,2026-05-03T17:22:01Z
webpack/loader-utils,2025,48,1652,1809,3461,26,lib/getHashDigest.js,553,1.4,2026-05-03T17:22:01Z
vorner/signal-hook,2025,131,2242,1211,3453,34,src/low_level/signal_details.rs,427,1.2,2026-05-03T17:22:01Z
paulmillr/readdirp,2025,61,1688,1757,3445,11,index.test.js,1466,1.2,2026-05-03T17:22:01Z
aws/aws-sdk-js-crypto-helpers,2025,149,1723,1677,3400,54,packages/sha1-browser/test/ie11Sha1.test.ts,588,2.4,2026-05-03T17:22:01Z
rust-lang/libz-sys,2025,178,2097,1242,3339,18,build_zng.rs,1664,1.9,2026-05-03T17:22:01Z
kaelzhang/node-ignore,2025,90,1995,1304,3299,17,index.js,713,0.6,2026-05-03T17:22:01Z
sindresorhus/find-up,2025,22,2054,1235,3289,8,test.js,1220,0.6,2026-05-03T17:22:01Z
aio-libs/propcache,2025,168,2675,599,3274,24,tests/test_under_cached_property.py,554,0.7,2026-05-03T17:22:01Z
npm/ssri,2025,111,1849,1414,3263,18,lib/index.js,924,1.2,2026-05-03T17:22:01Z
fb55/css-what,2025,1061,1795,1126,2921,8,src/parse.ts,1269,3.7,2026-05-03T17:22:01Z
realpython/pytest-mypy,2025,100,1680,1233,2913,5,tests/test_pytest_mypy.py,1033,1.5,2026-05-03T17:22:01Z
autotools-mirror/m4,2025,105,1416,1454,2870,12,src/eval.c,940,3.7,2026-05-03T17:22:01Z
tsconfig/bases,2025,229,573,2290,2863,13,scripts/vendor/node-jsonc-parser/parser.ts,682,0.8,2026-05-03T17:22:01Z
mafintosh/tar-stream,2025,21,1600,1257,2857,10,extract.js,893,0.8,2026-05-03T17:22:01Z
expressjs/body-parser,2025,218,1616,1174,2790,14,test/urlencoded.js,517,1.0,2026-05-03T17:22:01Z
microsoft/tslib,2025,82,2005,760,2765,23,tslib.es6.js,1265,1.5,2026-05-03T17:22:01Z
jviereck/regjsparser,2025,129,1882,825,2707,11,parser.js,1960,5.7,2026-05-03T17:22:01Z
facebook/create-react-app,2025,136,1314,1341,2655,122,packages/react-scripts/config/webpack.config.js,487,21.3,2026-05-03T17:22:01Z
isaacs/node-mkdirp,2025,40,1512,1087,2599,36,tap-snapshots/test/cmd.ts.test.cjs,552,0.8,2026-05-03T17:22:01Z
10der/homeassistant-custom_components-awtrix,2025,55,1602,984,2586,11,custom_components/awtrix_notification/awtrix.py,1379,1.2,2026-05-03T17:22:01Z
vercel/ms,2025,38,1717,818,2535,12,src/index.test.ts,573,1.0,2026-05-03T17:22:01Z
tapjs/signal-exit,2025,35,1561,856,2417,40,index.js,527,1.2,2026-05-03T17:22:01Z
sybrenstuvel/python-rsa,2025,100,1363,1033,2396,30,rsa/key.py,597,1.4,2026-05-03T17:22:01Z
rayon-rs/either,2025,104,1552,770,2322,5,src/lib.rs,1443,1.2,2026-05-03T17:22:01Z
sindresorhus/quick-lru,2025,32,1989,331,2320,4,test.js,1714,0.8,2026-05-03T17:22:01Z
istanbuljs/istanbuljs,2025,112,1899,384,2283,47,packages/istanbul-lib-coverage/test/file.test.js,711,2.8,2026-05-03T17:22:01Z
dtolnay/itoa,2025,195,1170,1100,2270,6,src/lib.rs,1649,1.8,2026-05-03T17:22:01Z
jaraco/jaraco.develop,2025,407,1671,545,2216,32,jaraco/develop/git.py,334,2.4,2026-05-03T17:22:01Z
annotated-types/annotated-types,2025,80,1452,753,2205,8,annotated_types/__init__.py,972,0.8,2026-05-03T17:22:01Z
npm/normalize-package-data,2025,118,1416,779,2195,18,test/normalize.js,573,1.0,2026-05-03T17:22:01Z
nodeca/js-yaml,2025,14,1389,708,2097,11,dist/js-yaml.js,928,3.7,2026-05-03T17:22:01Z
follow-redirects/follow-redirects,2025,88,1489,593,2082,6,test/test.js,1184,1.1,2026-05-03T17:22:01Z
isaacs/minizlib,2025,20,1272,764,2036,28,src/index.ts,523,36.6,2026-05-03T17:22:01Z
wbond/asn1crypto,2025,78,1724,302,2026,30,dev/pyenv-install.py,266,1.5,2026-05-03T17:22:01Z
andialbrecht/sqlparse,2025,198,1487,519,2006,28,sqlparse/keywords.py,291,1.6,2026-05-03T17:22:01Z
json5/json5,2025,42,1178,786,1964,12,test/errors.js,809,1.6,2026-05-03T17:22:01Z
jonschlinkert/get-value,2025,6,1190,770,1960,49,test/units.ts,506,1.0,2026-05-03T17:22:01Z
pallets/markupsafe,2025,336,957,955,1912,20,src/markupsafe/__init__.py,886,0.9,2026-05-03T17:22:01Z
qt/qt5,2025,2082,1341,548,1889,12,init-repository.pl,653,15.3,2026-05-03T17:22:01Z
python-hyper/h11,2025,59,1158,666,1824,26,h11/tests/test_connection.py,268,1.2,2026-05-03T17:22:01Z
sindresorhus/open,2025,100,1111,693,1804,5,index.js,1003,0.7,2026-05-03T17:22:01Z
eliben/pycparser,2025,81,1388,396,1784,53,tests/test_c_parser.py,304,1.9,2026-05-03T17:22:01Z
comex/rust-shlex,2025,30,1524,233,1757,9,src/bytes.rs,674,1.0,2026-05-03T17:22:01Z
laurent-laporte-pro/deprecated,2025,136,1129,604,1733,18,tests/test_deprecated_params.py,328,3.4,2026-05-03T17:22:01Z
qix-/color-convert,2025,18,1542,188,1730,8,index.d.ts,744,0.9,2026-05-03T17:22:01Z
lodash/lodash,2025,23,561,1159,1720,10,test/saucelabs.js,908,25.0,2026-05-03T17:22:01Z
browserslist/update-db,2025,158,1279,437,1716,9,index.js,820,1.1,2026-05-03T17:22:01Z
aio-libs/frozenlist,2025,587,1242,465,1707,14,packaging/pep517_backend/_backend.py,486,2.6,2026-05-03T17:22:01Z
form-data/form-data,2025,60,900,798,1698,35,lib/form_data.js,424,1.4,2026-05-03T17:22:01Z
fb55/domutils,2025,1499,1269,427,1696,17,src/feeds.ts,349,5.6,2026-05-03T17:22:01Z
msgpack/msgpack-python,2025,102,580,1114,1694,30,msgpack/fallback.py,522,0.7,2026-05-03T17:22:01Z
browserify/resolve,2025,149,1485,172,1657,15,test/resolver_sync.js,759,0.9,2026-05-03T17:22:01Z
douglasdwyer/wasm_sync,2025,4,1641,3,1644,3,src/wasm.rs,1581,0.6,2026-05-03T17:22:01Z
inspect-js/is-accessor-descriptor,2025,48,811,816,1627,3,test/index.js,789,0.8,2026-05-03T17:22:01Z
isaacs/yallist,2025,15,848,751,1599,5,src/index.ts,835,0.9,2026-05-03T17:22:01Z
djc/rustc-version-rs,2025,39,807,774,1581,3,src/lib.rs,836,1.5,2026-05-03T17:22:01Z
smol-rs/fastrand,2025,85,1126,427,1553,5,src/lib.rs,793,0.7,2026-05-03T17:22:01Z
chronotope/humantime,2025,44,1036,498,1534,6,src/duration.rs,938,1.5,2026-05-03T17:22:01Z
webpack/tapable,2025,24,943,527,1470,31,lib/__tests__/HookTester.js,519,0.9,2026-05-03T17:22:01Z
jorgebucaran/colorette,2025,122,881,581,1462,13,index.js,541,1.0,2026-05-03T17:22:01Z
micromatch/braces,2025,18,804,583,1387,23,test/bash-expanded-sets.js,389,1.5,2026-05-03T17:22:01Z
sindresorhus/p-map,2025,39,1157,227,1384,6,test.js,652,0.8,2026-05-03T17:22:01Z
lydell/js-tokens,2025,68,931,441,1372,19,test/index.test.js,243,1.5,2026-05-03T17:22:01Z
sindresorhus/ansi-escapes,2025,29,735,625,1360,7,index.d.ts,416,0.9,2026-05-03T17:22:01Z
rust-embedded/critical-section,2025,104,989,340,1329,4,src/lib.rs,868,0.6,2026-05-03T17:22:01Z
