github_repo,metric,2021,2022,2023,2024,2025,2021-2025
php/php-src,commits,4715,3090,3673,5278,4521,21277
php/php-src,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
php/php-src,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
qmk/qmk_firmware,bus_factor,2,3,3,3,2,3
qmk/qmk_firmware,hhi,2317,1470,1347,1719,2404,1385
qmk/qmk_firmware,contributors,14,36,37,33,25,46
qmk/qmk_firmware,bots,0,1,1,1,1,1
qmk/qmk_firmware,commits,2322,2377,3328,1813,928,10768
qmk/qmk_firmware,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
qmk/qmk_firmware,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
rswier/c4,bus_factor,,,,,,
rswier/c4,hhi,,,,,,
rswier/c4,contributors,0,0,0,0,0,0
rswier/c4,bots,0,0,0,0,0,0
rswier/c4,commits,0,0,0,0,0,0
rswier/c4,first_date,,,,,,
rswier/c4,last_date,,,,,,
robertdavidgraham/masscan,bus_factor,1,1,1,1,1,1
robertdavidgraham/masscan,hhi,4778,2891,5529,10000,10000,3796
robertdavidgraham/masscan,contributors,11,8,9,1,1,24
robertdavidgraham/masscan,bots,0,0,0,0,0,0
robertdavidgraham/masscan,commits,69,16,53,2,1,141
robertdavidgraham/masscan,first_date,2021-01-03,2022-01-09,2023-01-29,2024-09-15,2025-03-02,2021-01-03
robertdavidgraham/masscan,last_date,2021-10-16,2022-12-10,2023-12-09,2024-09-21,2025-03-08,2025-03-08
systemd/systemd,bus_factor,2,2,3,3,2,3
systemd/systemd,hhi,2117,1866,1431,1456,1860,1608
systemd/systemd,contributors,43,44,51,52,42,68
systemd/systemd,bots,1,1,1,1,1,1
systemd/systemd,commits,6166,5873,7668,7738,6446,33891
systemd/systemd,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
systemd/systemd,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
vanhauser-thc/thc-hydra,bus_factor,2,1,1,2,2,2
vanhauser-thc/thc-hydra,hhi,3120,7325,2769,2800,2103,2715
vanhauser-thc/thc-hydra,contributors,11,6,11,4,11,38
vanhauser-thc/thc-hydra,bots,0,0,0,0,0,0
vanhauser-thc/thc-hydra,commits,61,54,22,5,49,191
vanhauser-thc/thc-hydra,first_date,2021-01-24,2022-01-09,2023-01-01,2024-02-25,2025-02-02,2021-01-24
vanhauser-thc/thc-hydra,last_date,2022-01-01,2022-11-19,2023-12-09,2024-08-17,2026-01-03,2026-01-03
awesome-harmonyos/harmonyos,bus_factor,1,,,,,1
awesome-harmonyos/harmonyos,hhi,10000,,,,,10000
awesome-harmonyos/harmonyos,contributors,1,0,0,0,0,1
awesome-harmonyos/harmonyos,bots,0,0,0,0,0,0
awesome-harmonyos/harmonyos,commits,1,0,0,0,0,1
awesome-harmonyos/harmonyos,first_date,2021-05-30,,,,,2021-05-30
awesome-harmonyos/harmonyos,last_date,2021-06-05,,,,,2021-06-05
flipperdevices/flipperzero-firmware,bus_factor,2,2,2,2,2,2
flipperdevices/flipperzero-firmware,hhi,2719,2232,2336,1960,1806,2097
flipperdevices/flipperzero-firmware,contributors,18,46,52,44,21,95
flipperdevices/flipperzero-firmware,bots,0,0,0,0,0,0
flipperdevices/flipperzero-firmware,commits,836,1174,860,724,212,3806
flipperdevices/flipperzero-firmware,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
flipperdevices/flipperzero-firmware,last_date,2022-01-01,2022-12-31,2024-01-06,2024-12-28,2025-12-06,2025-12-06
valkey-io/valkey,bus_factor,5,4,3,3,4,5
valkey-io/valkey,hhi,944,942,1338,1117,867,738
valkey-io/valkey,contributors,38,43,35,48,42,79
valkey-io/valkey,bots,0,1,1,1,0,1
valkey-io/valkey,commits,797,715,430,839,735,3516
valkey-io/valkey,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
valkey-io/valkey,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
libsdl-org/sdl,bus_factor,3,3,2,2,2,2
libsdl-org/sdl,hhi,1376,1639,2374,2117,2002,1828
libsdl-org/sdl,contributors,43,53,38,56,56,87
libsdl-org/sdl,bots,0,0,0,0,0,0
libsdl-org/sdl,commits,1792,2638,2671,3911,2451,13463
libsdl-org/sdl,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
libsdl-org/sdl,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
ish-app/ish,bus_factor,1,1,1,1,1,1
ish-app/ish,hhi,5246,3920,4722,4286,5556,4329
ish-app/ish,contributors,27,6,6,5,2,36
ish-app/ish,bots,1,1,1,1,1,1
