github_repo,metric,2021,2022,2023,2024,2025,2021-2025
mumble-voip/mumble,bus_factor,1,1,1,2,2,1
mumble-voip/mumble,hhi,3522,4496,4795,1831,2555,3209
mumble-voip/mumble,contributors,29,31,22,27,20,56
mumble-voip/mumble,bots,0,0,0,0,0,0
mumble-voip/mumble,commits,1007,775,324,406,537,3049
mumble-voip/mumble,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
mumble-voip/mumble,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
rawtherapee/rawtherapee,bus_factor,3,3,2,2,2,2
rawtherapee/rawtherapee,hhi,1799,1470,2129,2463,2876,1791
rawtherapee/rawtherapee,contributors,22,20,28,20,14,50
rawtherapee/rawtherapee,bots,0,0,0,0,0,0
rawtherapee/rawtherapee,commits,395,194,438,453,320,1800
rawtherapee/rawtherapee,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
rawtherapee/rawtherapee,last_date,2021-12-25,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
fltk/fltk,bus_factor,1,1,1,1,1,1
fltk/fltk,hhi,7788,6370,4792,4437,4418,5123
fltk/fltk,contributors,11,16,10,10,6,35
fltk/fltk,bots,0,0,0,0,0,0
fltk/fltk,commits,351,568,753,530,274,2476
fltk/fltk,first_date,2021-01-24,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-24
fltk/fltk,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
festvox/flite,bus_factor,2,1,,,,1
festvox/flite,hhi,2500,7396,,,,5225
festvox/flite,contributors,4,2,0,0,0,5
festvox/flite,bots,0,0,0,0,0,0
festvox/flite,commits,4,13,0,0,0,17
festvox/flite,first_date,2021-02-07,2022-03-06,,,,2021-02-07
festvox/flite,last_date,2021-10-09,2022-05-21,,,,2022-05-21
kitware/cmake,bus_factor,1,1,1,1,1,1
kitware/cmake,hhi,5098,4748,4286,5175,4728,4772
kitware/cmake,contributors,39,34,34,39,39,63
kitware/cmake,bots,0,0,0,0,0,0
kitware/cmake,commits,3978,4266,3795,3696,4852,20587
kitware/cmake,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
kitware/cmake,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
aleksoid1978/mpc-be,bus_factor,1,1,1,1,1,1
aleksoid1978/mpc-be,hhi,5517,4859,4993,4861,4589,4943
aleksoid1978/mpc-be,contributors,3,10,9,9,11,17
aleksoid1978/mpc-be,bots,0,0,0,0,0,0
aleksoid1978/mpc-be,commits,866,782,926,782,799,4155
aleksoid1978/mpc-be,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
aleksoid1978/mpc-be,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
rust-gcc/gccrs,bus_factor,5,6,6,4,6,7
rust-gcc/gccrs,hhi,889,681,616,883,590,500
rust-gcc/gccrs,contributors,59,61,60,45,54,75
rust-gcc/gccrs,bots,1,1,1,0,0,1
rust-gcc/gccrs,commits,3235,4806,4179,2477,4617,19314
rust-gcc/gccrs,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
rust-gcc/gccrs,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
mfem/mfem,bus_factor,5,4,6,6,5,7
mfem/mfem,hhi,796,851,649,646,733,549
mfem/mfem,contributors,49,36,49,50,44,81
mfem/mfem,bots,0,0,0,0,0,0
mfem/mfem,commits,3503,2594,2762,2788,3201,14848
mfem/mfem,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
mfem/mfem,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
simhacker/micropolis,bus_factor,,,,1,,1
simhacker/micropolis,hhi,,,,10000,,10000
simhacker/micropolis,contributors,0,0,0,1,0,1
simhacker/micropolis,bots,0,0,0,0,0,0
simhacker/micropolis,commits,0,0,0,2,0,2
simhacker/micropolis,first_date,,,,2024-10-06,,2024-10-06
simhacker/micropolis,last_date,,,,2024-10-12,,2024-10-12
4paradigm/openmldb,bus_factor,3,4,3,3,1,4
4paradigm/openmldb,hhi,1534,1026,1574,1234,5031,1035
4paradigm/openmldb,contributors,32,62,16,19,7,96
4paradigm/openmldb,bots,1,2,2,1,1,2
4paradigm/openmldb,commits,1744,1004,401,213,36,3398
4paradigm/openmldb,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
4paradigm/openmldb,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2025-12-27,2025-12-27
meganz/sdk,bus_factor,3,3,5,5,3,5
meganz/sdk,hhi,1533,1455,845,860,1382,804
meganz/sdk,contributors,25,32,49,48,42,76
meganz/sdk,bots,0,0,0,0,0,0
meganz/sdk,commits,1979,3020,3175,2352,2644,13170
meganz/sdk,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
meganz/sdk,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
vygr/chrysalisp,bus_factor,1,1,1,1,1,1
vygr/chrysalisp,hhi,9560,9702,9919,9891,9978,9837
vygr/chrysalisp,contributors,2,2,4,3,2,7
vygr/chrysalisp,bots,0,0,0,0,1,1
vygr/chrysalisp,commits,1067,66,1974,367,925,4399
vygr/chrysalisp,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
vygr/chrysalisp,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
acidanthera/lilu,bus_factor,2,2,2,2,1,2
acidanthera/lilu,hhi,3117,2353,2249,1972,3889,2161
acidanthera/lilu,contributors,9,7,8,7,3,17
acidanthera/lilu,bots,0,0,0,0,0,0
acidanthera/lilu,commits,59,34,26,17,6,142
acidanthera/lilu,first_date,2021-01-03,2022-01-02,2023-01-01,2024-05-05,2025-01-05,2021-01-03
acidanthera/lilu,last_date,2021-12-11,2022-12-31,2023-12-23,2025-01-04,2025-07-19,2025-07-19
fluent/fluent-bit,bus_factor,1,2,3,2,2,2
fluent/fluent-bit,hhi,3185,2372,1364,2198,2955,2041
fluent/fluent-bit,contributors,34,30,33,25,28,74
fluent/fluent-bit,bots,1,2,2,2,1,2
fluent/fluent-bit,commits,1034,1126,846,903,1196,5105
fluent/fluent-bit,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
fluent/fluent-bit,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
openocd-org/openocd,bus_factor,2,2,3,2,2,2
openocd-org/openocd,hhi,2768,2497,1657,2471,2301,2169
openocd-org/openocd,contributors,22,19,23,23,22,44
openocd-org/openocd,bots,0,0,0,0,0,0
openocd-org/openocd,commits,450,428,321,329,339,1867
openocd-org/openocd,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
openocd-org/openocd,last_date,2021-12-25,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
contiki-os/contiki,bus_factor,,,,,,
contiki-os/contiki,hhi,,,,,,
contiki-os/contiki,contributors,0,0,0,0,0,0
contiki-os/contiki,bots,0,0,0,0,0,0
contiki-os/contiki,commits,0,0,0,0,0,0
contiki-os/contiki,first_date,,,,,,
contiki-os/contiki,last_date,,,,,,
rusefi/rusefi,bus_factor,2,2,2,2,2,2
rusefi/rusefi,hhi,3019,3497,3306,3304,3053,3127
rusefi/rusefi,contributors,18,19,23,22,24,61
rusefi/rusefi,bots,0,1,1,1,1,1
rusefi/rusefi,commits,2920,2825,3899,5529,6112,21285
rusefi/rusefi,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
rusefi/rusefi,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
lammps/lammps,bus_factor,1,1,1,1,1,1
lammps/lammps,hhi,4866,4065,3654,3052,4471,3993
lammps/lammps,contributors,34,46,39,42,40,79
lammps/lammps,bots,0,0,0,0,0,0
lammps/lammps,commits,4277,4695,3891,3572,4161,20596
lammps/lammps,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
lammps/lammps,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
openttd/openttd,bus_factor,3,3,2,2,2,2
openttd/openttd,hhi,1494,1525,2202,2413,2673,1787
openttd/openttd,contributors,37,31,35,28,34,77
openttd/openttd,bots,0,0,0,1,1,1
openttd/openttd,commits,1316,351,1453,1335,1723,6178
openttd/openttd,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
openttd/openttd,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
schedmd/slurm,bus_factor,6,5,3,4,3,4
schedmd/slurm,hhi,752,722,1307,1008,1168,902
schedmd/slurm,contributors,30,31,38,36,35,57
schedmd/slurm,bots,0,0,0,0,0,0
schedmd/slurm,commits,4491,4583,6175,6048,6681,27978
schedmd/slurm,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
schedmd/slurm,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
bluez/bluez,bus_factor,2,1,1,2,2,2
bluez/bluez,hhi,2170,4178,3278,1805,2296,2249
bluez/bluez,contributors,21,17,25,20,14,46
bluez/bluez,bots,0,0,0,0,0,0
bluez/bluez,commits,453,415,487,628,633,2616
bluez/bluez,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
bluez/bluez,last_date,2021-12-25,2022-12-31,2024-01-06,2024-12-21,2026-01-03,2026-01-03
corosync/corosync,bus_factor,1,1,1,1,1,1
corosync/corosync,hhi,3908,5510,4922,4183,7606,5049
corosync/corosync,contributors,7,3,3,4,6,12
corosync/corosync,bots,0,0,0,0,0,0
corosync/corosync,commits,41,7,16,19,69,152
corosync/corosync,first_date,2021-01-10,2022-01-02,2023-01-22,2024-01-07,2025-03-23,2021-01-10
corosync/corosync,last_date,2021-12-04,2022-10-22,2023-12-23,2024-11-30,2025-12-06,2025-12-06
dosbox-staging/dosbox-staging,bus_factor,1,1,2,1,1,2
dosbox-staging/dosbox-staging,hhi,3898,4108,2825,3122,4109,2273
dosbox-staging/dosbox-staging,contributors,42,35,37,34,20,83
dosbox-staging/dosbox-staging,bots,0,1,2,2,2,2
dosbox-staging/dosbox-staging,commits,2008,1599,2154,1414,1407,8582
dosbox-staging/dosbox-staging,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
dosbox-staging/dosbox-staging,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
fargroup/farmanager,bus_factor,1,1,1,1,1,1
fargroup/farmanager,hhi,5190,6833,4811,5304,4924,5204
fargroup/farmanager,contributors,15,10,14,14,18,33
fargroup/farmanager,bots,0,0,0,0,0,0
fargroup/farmanager,commits,643,382,520,576,603,2724
fargroup/farmanager,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
fargroup/farmanager,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
stellar-group/hpx,bus_factor,2,1,2,2,1,2
stellar-group/hpx,hhi,3090,3005,1950,2537,3823,1968
stellar-group/hpx,contributors,18,23,16,15,21,44
stellar-group/hpx,bots,0,0,1,1,1,1
stellar-group/hpx,commits,1939,1634,1115,528,585,5801
stellar-group/hpx,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
stellar-group/hpx,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
fontforge/fontforge,bus_factor,2,2,1,2,1,3
fontforge/fontforge,hhi,2657,2071,4000,2244,3316,1514
fontforge/fontforge,contributors,12,15,5,10,12,32
fontforge/fontforge,bots,0,0,0,0,0,0
fontforge/fontforge,commits,160,109,10,38,56,373
fontforge/fontforge,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-03-23,2021-01-03
fontforge/fontforge,last_date,2021-12-25,2022-12-31,2024-01-06,2025-01-04,2025-12-27,2025-12-27
enjoy-digital/litex,bus_factor,1,1,1,1,2,1
enjoy-digital/litex,hhi,4624,4705,4807,3799,2463,4070
enjoy-digital/litex,contributors,41,44,25,20,22,77
enjoy-digital/litex,bots,0,0,0,0,0,0
enjoy-digital/litex,commits,1019,985,643,652,477,3776
enjoy-digital/litex,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
enjoy-digital/litex,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
sorbet/sorbet,bus_factor,2,2,2,2,2,2
sorbet/sorbet,hhi,2208,3095,3118,2960,2635,2661
sorbet/sorbet,contributors,43,43,38,39,32,68
sorbet/sorbet,bots,1,1,1,1,1,2
sorbet/sorbet,commits,2014,2236,1135,1099,2167,8651
sorbet/sorbet,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
sorbet/sorbet,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
swi-prolog/swipl-devel,bus_factor,1,1,1,1,1,1
swi-prolog/swipl-devel,hhi,7918,8466,8196,9193,9461,8661
swi-prolog/swipl-devel,contributors,16,18,19,15,8,47
swi-prolog/swipl-devel,bots,0,0,0,0,0,0
swi-prolog/swipl-devel,commits,856,1317,930,967,1128,5198
swi-prolog/swipl-devel,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
swi-prolog/swipl-devel,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
crawl/crawl,bus_factor,3,2,2,2,2,3
crawl/crawl,hhi,1784,2414,2151,2262,2618,1188
crawl/crawl,contributors,30,29,30,27,28,47
crawl/crawl,bots,0,0,0,0,0,0
crawl/crawl,commits,2890,1841,2143,2785,2687,12346
crawl/crawl,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
crawl/crawl,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
zeek/zeek,bus_factor,2,2,2,2,2,2
zeek/zeek,hhi,1789,1973,2422,1955,2803,1878
zeek/zeek,contributors,27,24,16,19,22,51
zeek/zeek,bots,0,1,0,0,0,1
zeek/zeek,commits,1414,1583,1839,1534,2232,8602
zeek/zeek,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
zeek/zeek,last_date,2021-12-25,2022-12-24,2024-01-06,2025-01-04,2026-01-03,2026-01-03
xemu-project/xemu,bus_factor,5,6,2,4,3,6
xemu-project/xemu,hhi,744,579,2528,1065,1277,748
xemu-project/xemu,contributors,60,49,33,45,44,88
xemu-project/xemu,bots,0,0,0,0,1,1
xemu-project/xemu,commits,1850,782,260,846,1264,5002
xemu-project/xemu,first_date,2021-01-03,2022-01-02,2023-01-01,2024-02-18,2025-01-05,2021-01-03
xemu-project/xemu,last_date,2022-01-01,2022-12-24,2023-10-28,2025-01-04,2026-01-03,2026-01-03
checkpoint-restore/criu,bus_factor,2,4,3,3,3,4
checkpoint-restore/criu,hhi,1580,1102,1352,1230,1181,912
checkpoint-restore/criu,contributors,21,20,22,18,21,55
checkpoint-restore/criu,bots,0,0,0,0,0,0
checkpoint-restore/criu,commits,556,424,474,231,359,2044
checkpoint-restore/criu,first_date,2021-01-10,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-10
checkpoint-restore/criu,last_date,2022-01-01,2022-12-17,2024-01-06,2025-01-04,2026-01-03,2026-01-03
diffblue/cbmc,bus_factor,3,1,2,1,1,2
diffblue/cbmc,hhi,1638,3191,2210,4251,6036,2497
diffblue/cbmc,contributors,25,21,17,15,8,43
diffblue/cbmc,bots,0,0,1,1,1,1
diffblue/cbmc,commits,1951,1884,1585,870,376,6666
diffblue/cbmc,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
diffblue/cbmc,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
istoreos/istoreos,bus_factor,8,8,7,8,3,9
istoreos/istoreos,hhi,482,458,510,478,2092,401
istoreos/istoreos,contributors,69,67,58,61,41,83
istoreos/istoreos,bots,0,0,0,0,0,0
istoreos/istoreos,commits,2408,2484,2358,2735,915,10900
istoreos/istoreos,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
istoreos/istoreos,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
natlabrockies/energyplus,bus_factor,4,5,4,3,4,5
natlabrockies/energyplus,hhi,886,837,1131,1345,1113,748
natlabrockies/energyplus,contributors,34,34,32,26,24,62
natlabrockies/energyplus,bots,0,0,1,1,1,1
natlabrockies/energyplus,commits,5920,4450,3832,2803,2148,19153
natlabrockies/energyplus,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
natlabrockies/energyplus,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2025-12-27,2025-12-27
ramensoftware/windhawk,bus_factor,,1,1,1,1,1
ramensoftware/windhawk,hhi,,10000,10000,7222,10000,9093
ramensoftware/windhawk,contributors,0,1,1,2,1,2
ramensoftware/windhawk,bots,0,0,0,0,0,0
ramensoftware/windhawk,commits,0,2,5,6,8,21
ramensoftware/windhawk,first_date,,2022-02-27,2023-08-13,2024-07-21,2025-04-27,2022-02-27
ramensoftware/windhawk,last_date,,2022-04-23,2023-11-11,2024-10-05,2025-12-13,2025-12-13
apache/nuttx,bus_factor,5,6,9,14,12,13
apache/nuttx,hhi,691,921,469,285,323,343
apache/nuttx,contributors,42,52,64,72,60,91
apache/nuttx,bots,0,1,1,1,1,1
apache/nuttx,commits,3185,3678,3732,3817,2375,16787
apache/nuttx,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
apache/nuttx,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
openssh/openssh-portable,bus_factor,1,1,1,1,2,2
openssh/openssh-portable,hhi,4703,4535,4419,4760,4373,4429
openssh/openssh-portable,contributors,17,16,18,24,20,67
openssh/openssh-portable,bots,0,0,0,0,0,0
openssh/openssh-portable,commits,610,481,406,383,566,2446
openssh/openssh-portable,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-12,2021-01-03
openssh/openssh-portable,last_date,2022-01-01,2022-12-24,2024-01-06,2024-12-14,2026-01-03,2026-01-03
libreoffice/core,bus_factor,5,5,6,4,3,5
libreoffice/core,hhi,936,820,618,897,1290,750
libreoffice/core,contributors,63,58,51,51,53,69
libreoffice/core,bots,0,0,0,0,0,0
libreoffice/core,commits,9724,8073,6947,7356,7420,39520
libreoffice/core,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
libreoffice/core,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
openmathlib/openblas,bus_factor,1,1,1,1,1,1
openmathlib/openblas,hhi,6584,6946,6750,6954,6948,6817
openmathlib/openblas,contributors,17,16,35,26,25,67
openmathlib/openblas,bots,0,0,0,0,0,0
openmathlib/openblas,commits,763,599,836,1140,947,4285
openmathlib/openblas,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
openmathlib/openblas,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
projectchrono/chrono,bus_factor,1,1,1,1,1,1
projectchrono/chrono,hhi,4081,3705,3873,3505,5140,3899
projectchrono/chrono,contributors,24,21,22,22,23,59
projectchrono/chrono,bots,0,0,0,0,0,0
projectchrono/chrono,commits,1405,1161,1318,1362,1147,6393
projectchrono/chrono,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
projectchrono/chrono,last_date,2022-01-01,2022-12-31,2024-01-06,2024-12-28,2026-01-03,2026-01-03
fastled/fastled,bus_factor,4,1,3,1,1,1
fastled/fastled,hhi,899,3595,1458,9684,9731,9107
fastled/fastled,contributors,22,17,13,14,17,56
fastled/fastled,bots,0,0,1,1,2,2
fastled/fastled,commits,105,178,101,3884,7294,11562
fastled/fastled,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
fastled/fastled,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
domoticz/domoticz,bus_factor,2,1,1,1,1,1
domoticz/domoticz,hhi,2473,4399,6032,4072,3835,3802
domoticz/domoticz,contributors,25,20,15,13,12,43
domoticz/domoticz,bots,0,0,0,0,0,0
domoticz/domoticz,commits,1018,805,828,605,552,3808
domoticz/domoticz,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
domoticz/domoticz,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
liballeg/allegro5,bus_factor,2,1,2,1,1,1
liballeg/allegro5,hhi,2510,3237,1948,5278,3931,2867
liballeg/allegro5,contributors,12,9,14,13,13,37
liballeg/allegro5,bots,0,0,0,0,0,0
liballeg/allegro5,commits,88,72,90,89,72,411
liballeg/allegro5,first_date,2021-01-03,2022-01-09,2023-01-22,2024-01-07,2025-01-05,2021-01-03
liballeg/allegro5,last_date,2021-12-25,2022-12-17,2023-12-23,2025-01-04,2026-01-03,2026-01-03
myscale/myscaledb,bus_factor,1,1,3,2,,2
myscale/myscaledb,hhi,10000,10000,1349,2440,,1808
myscale/myscaledb,contributors,1,1,10,11,0,21
myscale/myscaledb,bots,0,0,0,0,0,0
myscale/myscaledb,commits,11,36,17,85,0,149
myscale/myscaledb,first_date,2021-01-03,2022-02-13,2023-04-02,2024-03-10,,2021-01-03
myscale/myscaledb,last_date,2021-03-27,2022-10-01,2023-10-14,2024-11-16,,2024-11-16
banjorecomp/banjorecomp,bus_factor,,,,,1,1
banjorecomp/banjorecomp,hhi,,,,,3814,3814
banjorecomp/banjorecomp,contributors,0,0,0,0,6,6
banjorecomp/banjorecomp,bots,0,0,0,0,0,0
banjorecomp/banjorecomp,commits,0,0,0,0,116,116
banjorecomp/banjorecomp,first_date,,,,,2025-02-16,2025-02-16
banjorecomp/banjorecomp,last_date,,,,,2026-01-03,2026-01-03
warzone2100/warzone2100,bus_factor,1,1,1,1,1,1
warzone2100/warzone2100,hhi,4046,5361,5752,4064,5021,4658
warzone2100/warzone2100,contributors,26,16,20,15,20,50
warzone2100/warzone2100,bots,1,1,1,1,2,2
warzone2100/warzone2100,commits,1440,879,1008,1064,990,5381
warzone2100/warzone2100,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
warzone2100/warzone2100,last_date,2022-01-01,2022-12-31,2024-01-06,2024-12-14,2026-01-03,2026-01-03
mariadb/server,bus_factor,4,3,4,5,4,4
mariadb/server,hhi,1269,1398,947,813,948,993
mariadb/server,contributors,44,42,41,45,43,63
mariadb/server,bots,0,0,0,0,0,0
mariadb/server,commits,2734,2624,2343,2274,1632,11607
mariadb/server,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
mariadb/server,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
su2code/su2,bus_factor,2,3,3,3,3,4
su2code/su2,hhi,1984,1349,1351,1169,1686,1218
su2code/su2,contributors,26,30,31,20,18,61
su2code/su2,bots,0,1,1,2,2,2
su2code/su2,commits,2282,1537,1334,792,746,6691
su2code/su2,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
su2code/su2,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
morganstanley/hobbes,bus_factor,1,1,1,1,1,2
morganstanley/hobbes,hhi,4814,6250,10000,8828,5000,3143
morganstanley/hobbes,contributors,3,2,1,2,2,7
morganstanley/hobbes,bots,0,0,0,1,1,1
morganstanley/hobbes,commits,37,12,4,16,4,73
morganstanley/hobbes,first_date,2021-01-03,2022-01-16,2023-01-01,2024-10-20,2025-03-09,2021-01-03
morganstanley/hobbes,last_date,2021-10-30,2022-12-17,2023-08-12,2024-12-14,2025-12-27,2025-12-27
apache/cloudberry,bus_factor,2,10,10,5,4,12
apache/cloudberry,hhi,2738,385,365,780,1187,321
apache/cloudberry,contributors,19,67,78,61,23,97
apache/cloudberry,bots,0,0,0,0,0,0
apache/cloudberry,commits,214,673,957,603,388,2835
apache/cloudberry,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
apache/cloudberry,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
bluekitchen/btstack,bus_factor,1,1,1,1,1,1
bluekitchen/btstack,hhi,5601,7487,7664,6756,4937,6170
bluekitchen/btstack,contributors,6,7,17,12,11,36
bluekitchen/btstack,bots,0,0,0,0,0,0
bluekitchen/btstack,commits,1700,925,1123,854,1099,5701
bluekitchen/btstack,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
bluekitchen/btstack,last_date,2022-01-01,2022-12-31,2024-01-06,2024-12-28,2025-12-27,2025-12-27
openbsd/src,bus_factor,7,5,3,3,5,4
openbsd/src,hhi,566,888,1241,1290,947,920
openbsd/src,contributors,57,55,53,53,55,73
openbsd/src,bots,0,0,0,0,0,0
openbsd/src,commits,5246,5085,5741,5261,4191,25524
openbsd/src,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
openbsd/src,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
gnome/gtk,bus_factor,4,4,6,6,1,4
gnome/gtk,hhi,1254,805,675,609,6031,1193
gnome/gtk,contributors,47,43,44,38,38,59
gnome/gtk,bots,0,0,0,0,0,0
gnome/gtk,commits,873,886,632,784,2001,5176
gnome/gtk,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
gnome/gtk,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
firebirdsql/firebird,bus_factor,2,2,3,3,3,3
firebirdsql/firebird,hhi,2246,2490,1833,1814,1649,1554
firebirdsql/firebird,contributors,18,18,16,20,25,44
firebirdsql/firebird,bots,1,1,1,2,1,2
firebirdsql/firebird,commits,521,538,683,591,1235,3568
firebirdsql/firebird,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
firebirdsql/firebird,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
lfortran/lfortran,bus_factor,1,2,3,3,4,3
lfortran/lfortran,hhi,4740,2382,1587,1122,924,1479
lfortran/lfortran,contributors,10,31,25,39,40,92
lfortran/lfortran,bots,0,1,1,0,1,1
lfortran/lfortran,commits,4260,2563,3493,4544,5028,19888
lfortran/lfortran,first_date,2021-02-14,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-02-14
lfortran/lfortran,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
