repo,login,contributions,account_type
curl/curl,bagder,20380,User
curl/curl,vszakats,2993,User
curl/curl,yangtse,2587,User
curl/curl,captain-caveman2k,1916,User
curl/curl,dfandrich,1447,User
curl/curl,icing,1037,User
curl/curl,jay,779,User
curl/curl,gknauf,662,User
curl/curl,gvanem,498,User
curl/curl,mback2k,461,User
curl/curl,marcelraad,405,User
curl/curl,monnerat,363,User
curl/curl,kdudka,255,User
curl/curl,danielgustafsson,217,User
curl/curl,renovate[bot],212,Bot
curl/curl,tatsuhiro-t,150,User
curl/curl,mkauf,84,User
curl/curl,ghedo,83,User
curl/curl,fabiankeil,77,User
curl/curl,nickzman,70,User
curl/curl,lekensteyn,61,User
curl/curl,yirkha,59,User
curl/curl,jchaffraix,54,User
curl/curl,dscho,50,User
curl/curl,cvengler,45,User
curl/curl,x2018,45,User
curl/curl,jan2000,40,User
curl/curl,dependabot[bot],40,Bot
curl/curl,snikulov,39,User
curl/curl,yedayak,38,User
curl/curl,jzakrzewski,34,User
curl/curl,cpu,31,User
curl/curl,karlson2k,30,User
curl/curl,mantoniak,29,User
curl/curl,rikardfalkeborn,29,User
curl/curl,sesse,29,User
curl/curl,monkeybreadsoftware,27,User
curl/curl,jsha,27,User
curl/curl,talregev,27,User
curl/curl,gevaerts,24,User
curl/curl,falconindy,23,User
curl/curl,michael-o,22,User
curl/curl,orgads,22,User
curl/curl,megamansec,22,User
curl/curl,sukender,22,User
curl/curl,greearb,21,User
curl/curl,ngg,21,User
curl/curl,iboukris,20,User
curl/curl,samueloph,20,User
curl/curl,michal42,19,User
curl/curl,emanuele6,18,User
curl/curl,wb8tyw,18,User
curl/curl,fabianfrank,17,User
curl/curl,jdepooter,17,User
curl/curl,linusnielsen,17,User
curl/curl,jsoref,16,User
curl/curl,pghmcfc,16,User
curl/curl,billhoffman,16,User
curl/curl,andy5995,16,User
curl/curl,andersbakken,16,User
curl/curl,zagor,15,User
curl/curl,jonrumsey,14,User
curl/curl,ryandesign,14,User
curl/curl,andrewkirillov-ibm,12,User
curl/curl,masali-hp,12,User
curl/curl,xquery,12,User
curl/curl,sergio-nsk,11,User
curl/curl,futaura,11,User
curl/curl,nnethercote,11,User
curl/curl,jbampton,11,User
curl/curl,bradh,11,User
curl/curl,panjf2000,11,User
curl/curl,antbryan,10,User
curl/curl,kylehuff,10,User
curl/curl,mihaigmarin,10,User
curl/curl,davidben,10,User
curl/curl,ruslo,10,User
curl/curl,tvbuehler,10,User
curl/curl,zenju,10,User
curl/curl,verhovsky,9,User
