repo,repo_id,status,n_contributors,fetched_at
calvinmetcalf/minimalistic-assert,29144257,ok,2,2026-05-19T11:23:32+00:00
calvinmetcalf/process-nextick-args,36039131,ok,7,2026-05-19T11:23:33+00:00
caolan/async,698041,ok,235,2026-05-19T11:23:36+00:00
certbot/certbot,26516210,ok,383,2026-05-19T11:23:38+00:00
certifi/python-certifi,3060959,ok,38,2026-05-19T11:23:37+00:00
chaijs/type-detect,12107007,ok,17,2026-05-19T11:23:38+00:00
chalk/ansi-regex,20451415,ok,13,2026-05-19T11:23:39+00:00
chalk/ansi-styles,11803168,ok,19,2026-05-19T11:23:40+00:00
chalk/chalk,11855195,ok,58,2026-05-19T11:23:40+00:00
chalk/slice-ansi,43191689,ok,11,2026-05-19T11:23:41+00:00
chalk/strip-ansi,15014856,ok,11,2026-05-19T11:23:42+00:00
chalk/supports-color,11855007,ok,38,2026-05-19T11:23:43+00:00
chalk/wrap-ansi,41053676,ok,10,2026-05-19T11:23:43+00:00
chalker/safer-buffer,125825141,ok,6,2026-05-19T11:23:45+00:00
chardet/chardet,5196969,ok,53,2026-05-19T11:23:46+00:00
cheeriojs/dom-serializer,18991884,ok,21,2026-05-19T11:23:47+00:00
chicoxyzzy/node-releases,73765596,ok,11,2026-05-19T11:23:47+00:00
chronotope/chrono,18210201,ok,235,2026-05-19T11:23:50+00:00
chronotope/humantime,59320323,ok,19,2026-05-19T11:23:50+00:00
clap-rs/clap,31315121,ok,409,2026-05-19T11:23:53+00:00
cloudflare/cloudflare-python,753271547,ok,14,2026-05-19T11:23:52+00:00
colinhacks/zod,245704608,ok,462,2026-05-19T11:23:59+00:00
colorjs/color-name,27038309,ok,8,2026-05-19T11:23:54+00:00
comex/rust-shlex,37886228,ok,9,2026-05-19T11:23:55+00:00
component/escape-html,5444800,ok,8,2026-05-19T11:23:57+00:00
component/toidentifier,114743189,ok,2,2026-05-19T11:23:58+00:00
conventional-changelog/commitlint,51575745,ok,273,2026-05-19T11:24:01+00:00
conventional-changelog/conventional-changelog,15639771,ok,152,2026-05-19T11:24:00+00:00
cosmiconfig/cosmiconfig,45750507,ok,34,2026-05-19T11:24:02+00:00
coveragepy/coveragepy,138421996,ok,170,2026-05-19T11:24:04+00:00
cpburnz/python-pathspec,14648551,ok,27,2026-05-19T11:24:05+00:00
crate-py/rpds,608018848,ok,20,2026-05-19T11:24:06+00:00
criterion-rs/criterion.rs,1081104682,ok,128,2026-05-19T11:24:07+00:00
crossbeam-rs/crossbeam,35566048,ok,149,2026-05-19T11:24:08+00:00
css-modules/icss-utils,42766912,ok,12,2026-05-19T11:24:09+00:00
cssnano/cssnano,33943153,ok,116,2026-05-19T11:24:11+00:00
csstools/postcss-plugins,219192307,ok,127,2026-05-19T11:24:12+00:00
