repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
openbmb/cpm-bee,57,6456,4037,857,13.3,17.0,2.3,79780,2026-03-12T21:05:25Z
junshutang/make-it-3d,36,6439,5616,756,11.7,17.0,2.3,79559,2026-03-12T21:05:25Z
flolagale/mailin,30,6358,5475,601,9.5,16.7,2.3,78509,2026-03-12T21:05:25Z
thelinmichael/spotify-web-api-node,27,6319,2291,90,1.4,16.6,2.3,78003,2026-03-12T21:05:25Z
biati-digital/glightbox,22,6317,4171,1405,22.2,16.6,2.3,77977,2026-03-12T22:31:48Z
pyeve/cerberus,23,6308,4364,255,4.0,16.6,2.3,77860,2026-03-12T21:53:44Z
alexpfau/calendar-card-pro,19,6269,5588,1135,18.1,16.5,2.3,77355,2026-03-12T21:05:25Z
shankarpandala/lazypredict,37,6235,4652,585,9.4,16.4,2.3,76915,2026-03-12T21:05:25Z
stickerdaniel/linkedin-mcp-server,47,6226,3941,555,8.9,16.4,2.3,76798,2026-03-12T21:05:25Z
postmanlabs/newman,73,6179,4114,488,7.9,16.2,2.3,76189,2026-03-12T21:05:25Z
mkocabas/vibe,52,6173,5424,659,10.7,16.2,2.3,76112,2026-03-12T21:05:25Z
cosmiconfig/cosmiconfig,23,6156,2304,165,2.7,16.2,2.2,75892,2026-03-12T22:31:48Z
weaigc/bingo,92,6154,4034,431,7.0,16.2,2.2,75866,2026-03-12T21:05:25Z
cuixiaorui/mini-vue,103,6140,3875,780,12.7,16.1,2.2,75685,2026-03-12T21:05:25Z
torchensemble-community/ensemble-pytorch,39,6119,2562,644,10.5,16.1,2.2,75413,2026-03-12T22:31:48Z
nadbm/react-datasheet,33,6117,3557,569,9.3,16.1,2.2,75387,2026-03-12T22:31:48Z
pytest-dev/pytest-django,43,6114,3410,256,4.2,16.1,2.2,75348,2026-03-12T17:40:22Z
justfoolingaround/animdl,97,6060,4478,798,13.2,15.9,2.2,74649,2026-03-12T21:05:25Z
justlovemaki/cloudflare-ai-insight-daily,38,6039,3654,926,15.3,15.9,2.2,74378,2026-03-12T21:05:25Z
ngx-translate/core,51,5991,3238,247,4.1,15.7,2.2,73757,2026-03-12T22:31:48Z
blampe/ibpy,67,5973,4804,1089,18.2,15.7,2.2,73525,2026-03-12T21:05:25Z
pixijs/filters,130,5956,3981,354,5.9,15.6,2.2,73305,2026-03-12T22:27:36Z
lisong/code-push-server,52,5942,2998,523,8.8,15.6,2.2,73124,2026-03-12T21:53:44Z
mickhansen/graphql-sequelize,38,5911,2805,279,4.7,15.5,2.2,72723,2026-03-12T17:30:11Z
michaelshimeles/nextjs-starter-kit,77,5889,3574,206,3.5,15.4,2.2,72439,2026-03-12T22:31:48Z
vita-group/enlightengan,61,5887,3937,1254,21.3,15.4,2.2,72413,2026-03-12T21:05:25Z
johnwmillr/lyricsgenius,44,5827,3297,350,6.0,15.3,2.2,71639,2026-03-13T00:03:44Z
hustvl/yolop,44,5779,5043,845,14.6,15.1,2.2,71019,2026-03-12T21:05:25Z
stephane/libmodbus,19,5778,3818,1354,23.4,15.1,2.2,71006,2026-03-12T17:28:05Z
vespa314/bilibili-api,40,5769,2453,1056,18.3,15.1,2.2,70890,2026-03-12T21:05:25Z
webpack/sass-loader,50,5683,2405,307,5.4,14.9,2.1,69781,2026-03-12T21:05:25Z
soul-ailab/soulx-flashtalk,22,5682,4029,666,11.7,14.9,2.1,69768,2026-03-12T21:05:25Z
netease-youdao/emotivoice,59,5653,4116,900,15.9,14.8,2.1,69394,2026-03-12T21:05:25Z
lfz/dsb2017,36,5617,2334,963,17.1,14.7,2.1,68930,2026-03-12T21:05:25Z
mishoo/uglifyjs-old,112,5612,4555,1084,19.3,14.7,2.1,68866,2026-03-12T21:05:25Z
probberechts/soccerdata,25,5606,3378,109,1.9,14.7,2.1,68789,2026-03-12T21:05:25Z
elementalui/elemental,62,5555,3029,220,4.0,14.5,2.1,68132,2026-03-12T21:05:25Z
amsul/pickadate.js,109,5445,3724,783,14.4,14.2,2.1,66716,2026-03-12T21:05:25Z
kijai/comfyui-segment-anything-2,26,5434,4791,535,9.8,14.2,2.1,66574,2026-03-12T21:05:25Z
randy3k/radian,35,5308,4747,460,8.7,13.8,2.0,64954,2026-03-12T21:05:25Z
squeezerio/squeezer,111,5295,3409,344,6.5,13.8,2.0,64787,2026-03-12T21:05:25Z
daniele77/cli,59,5267,3217,456,8.7,13.7,2.0,64428,2026-03-12T21:05:25Z
o2sh/onefetch,49,5234,3333,288,5.5,13.6,2.0,64004,2026-03-12T17:30:11Z
mediabrain-sjtu/ming,39,5191,3984,1135,21.9,13.5,2.0,63452,2026-03-12T17:29:19Z
bennylope/django-organizations,96,5167,2763,117,2.3,13.5,2.0,63144,2026-03-12T21:05:25Z
piqnt/stage.js,53,5155,3603,899,17.4,13.4,2.0,62990,2026-03-12T21:05:25Z
frol/flask-restplus-server-example,104,5149,3649,433,8.4,13.4,2.0,62913,2026-03-12T21:05:25Z
containers/bubblewrap,13,5117,3899,1599,31.2,13.3,2.0,62502,2026-03-12T21:05:25Z
gjtool/pdfh5,33,5085,4424,797,15.7,13.2,2.0,62092,2026-03-12T17:30:11Z
contextlab/hypertools,111,5060,4598,539,10.7,13.2,2.0,61772,2026-03-12T21:53:44Z
glotlabs/gdrive,48,5055,2700,368,7.3,13.2,2.0,61707,2026-03-12T21:05:25Z
