repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
jcoglan/sylvester,19,2224,1612,383,17.2,5.6,1.2,26057,2026-03-12T21:05:25Z
nx-js/observer-util,26,2200,1157,105,4.8,5.5,1.2,25762,2026-03-12T21:05:25Z
goldbergyoni/nodejs-testing-best-practices,43,2198,1559,61,2.8,5.5,1.1,25737,2026-03-12T21:05:25Z
a5hik/ng-sortable,27,2185,1173,310,14.2,5.5,1.1,25577,2026-03-12T17:30:11Z
simonaking/homepage,5,2185,1562,233,10.7,5.5,1.1,25577,2026-03-12T22:27:36Z
app2smile/rules,23,2168,1208,716,33.0,5.4,1.1,25368,2026-03-12T21:05:25Z
nakupanda/bootstrap3-dialog,4,2160,836,248,11.5,5.4,1.1,25270,2026-03-12T21:05:25Z
jackvale/rectg,12,2116,1826,374,17.7,5.3,1.1,24730,2026-03-12T21:05:25Z
mavlink/mavlink,7,2110,1852,450,21.3,5.3,1.1,24656,2026-03-12T21:05:25Z
mgechev/mk.js,4,2071,1391,305,14.7,5.2,1.1,24178,2026-03-12T21:05:25Z
bbc/waveform-data.js,16,2068,1281,132,6.4,5.1,1.1,24141,2026-03-12T21:05:25Z
sloria/environs,15,2050,1579,212,10.3,5.1,1.1,23921,2026-03-12T21:05:25Z
tudmotu/gnome-shell-extension-clipboard-indicator,6,2025,1509,219,10.8,5.0,1.1,23614,2026-03-12T21:53:44Z
oconnor663/duct.rs,15,2007,2175,138,6.9,5.0,1.1,23394,2026-03-12T22:27:36Z
mullwar/telebot,34,1977,1522,310,15.7,4.9,1.1,23027,2026-03-12T21:05:25Z
flotype/now,20,1969,1704,369,18.7,4.9,1.1,22929,2026-03-12T21:05:25Z
prerender/prerender,17,1958,1449,235,12.0,4.9,1.1,22795,2026-03-12T21:05:25Z
tinche/aiofiles,19,1947,1176,143,7.3,4.8,1.1,22660,2026-03-12T21:05:25Z
brokensource/depthflow,17,1925,1493,96,5.0,4.8,1.1,22391,2026-03-12T21:05:25Z
thomasloven/lovelace-card-mod,37,1899,1465,415,21.9,4.7,1.0,22074,2026-03-12T21:05:25Z
aloxaf/silicon,12,1895,1553,174,9.2,4.7,1.0,22025,2026-03-12T21:05:25Z
dailenson/sdt,16,1883,1637,170,9.0,4.7,1.0,21879,2026-03-12T22:31:48Z
kentcdodds/react-testing-library-course,66,1863,718,23,1.2,4.6,1.0,21635,2026-03-12T21:05:25Z
microsoft/playwright-mcp,21,1861,1455,149,8.0,4.6,1.0,21610,2026-03-12T17:28:05Z
ikatyang/emoji-cheat-sheet,4,1855,1383,41,2.2,4.6,1.0,21537,2026-03-12T17:30:11Z
davglass/license-checker,13,1827,1145,180,9.9,4.5,1.0,21196,2026-03-12T21:05:25Z
zkat/npx,18,1773,1147,224,12.6,4.4,1.0,20539,2026-03-12T21:05:25Z
benjaminp/six,4,1763,1517,134,7.6,4.4,1.0,20417,2026-03-12T17:30:11Z
shellscape/webpack-manifest-plugin,33,1746,948,43,2.5,4.3,1.0,20210,2026-03-12T17:29:19Z
zpao/qrcode.react,11,1727,1626,284,16.4,4.3,1.0,19980,2026-03-12T21:05:25Z
gvcoder09/nodpi,1,1714,1106,30,1.8,4.2,1.0,19822,2026-03-12T21:05:25Z
rafaelmardojai/blanket,20,1704,1520,186,10.9,4.2,1.0,19700,2026-03-12T21:05:25Z
sl1673495/blogs,37,1679,1353,133,7.9,4.1,1.0,19397,2026-03-12T17:28:05Z
bubbliiiing/deeplabv3-plus-pytorch,18,1677,1836,304,18.1,4.1,1.0,19373,2026-03-12T17:29:19Z
the-ai-summer/self-attention-cv,71,1669,1546,113,6.8,4.1,1.0,19276,2026-03-12T17:30:11Z
joaokristani/discord-server-cloner-2x,25,1660,1255,222,13.4,4.1,1.0,19167,2026-03-12T22:31:48Z
awesome-android-root/awesome-android-root,6,1647,1288,155,9.4,4.1,1.0,19009,2026-03-12T17:30:11Z
pleaseprompto/notebooklm-skill,10,1594,1323,175,11.0,3.9,0.9,18367,2026-03-12T21:05:25Z
bradtraversy/vanillawebprojects,21,1591,1452,125,7.9,3.9,0.9,18331,2026-03-13T00:03:44Z
spadgos/sublime-jsdocs,2,1577,1138,392,24.9,3.9,0.9,18162,2026-03-12T21:05:25Z
yao8839836/text_gcn,19,1561,1203,209,13.4,3.8,0.9,17968,2026-03-12T21:05:25Z
klaudiosinani/ao,28,1556,897,65,4.2,3.8,0.9,17908,2026-03-12T21:05:25Z
facebookresearch/replica-dataset,14,1547,1304,305,19.7,3.8,0.9,17799,2026-03-12T22:27:36Z
leizongmin/node-segment,19,1539,1282,331,21.5,3.8,0.9,17702,2026-03-12T17:28:05Z
acheong08/edgegpt,15,1534,1194,162,10.6,3.8,0.9,17642,2026-03-12T21:05:25Z
khronosgroup/gltf-sample-viewer,7,1521,1268,137,9.0,3.7,0.9,17485,2026-03-12T22:27:36Z
nutlope/logocreator,23,1510,1141,47,3.1,3.7,0.9,17352,2026-03-12T21:05:25Z
microsoft/generative-ai-with-javascript,29,1500,1149,58,3.9,3.7,0.9,17232,2026-03-12T17:40:22Z
banach-space/llvm-tutor,32,1498,1651,192,12.8,3.7,0.9,17208,2026-03-12T17:28:05Z
sathyabhat/spotify-dl,12,1490,1051,92,6.2,3.6,0.9,17111,2026-03-12T17:30:11Z
oblosys/react-lifecycle-visualizer,30,1481,1060,45,3.0,3.6,0.9,17003,2026-03-12T21:05:25Z
google/visualblocks,28,1445,1149,114,7.9,3.5,0.9,16569,2026-03-12T21:05:25Z
saschagrunert/webapp.rs,34,1444,1112,95,6.6,3.5,0.9,16557,2026-03-12T22:27:36Z
evanw/node-source-map-support,15,1428,1019,123,8.6,3.5,0.9,16364,2026-03-12T21:05:25Z
camelot-dev/excalibur,40,1417,1283,163,11.5,3.5,0.9,16232,2026-03-12T21:05:25Z
fossasia/star-me,2,1416,1022,265,18.7,3.5,0.9,16220,2026-03-12T21:05:25Z
quantumsheep/sshs,9,1396,1011,102,7.3,3.4,0.9,15979,2026-03-12T22:27:36Z
vuejs/vue-hackernews-2.0,27,1385,1125,74,5.3,3.4,0.9,15847,2026-03-12T21:05:25Z
fuergaosi233/claude-code-proxy,15,1380,1154,262,19.0,3.4,0.8,15787,2026-03-12T17:28:05Z
codewithharry/the-ultimate-python-course,169,1348,1186,214,15.9,3.3,0.8,15403,2026-03-12T22:31:48Z
ritwickdey/vscode-live-server,17,1337,1262,169,12.6,3.3,0.8,15271,2026-03-12T21:05:25Z
cmliu/workervless2sub,1,1306,1047,161,12.3,3.2,0.8,14899,2026-03-12T17:28:05Z
wkentaro/gdown,14,1296,1019,174,13.4,3.2,0.8,14780,2026-03-12T21:05:25Z
cferdinandi/smooth-scroll,12,1253,1139,334,26.7,3.0,0.8,14265,2026-03-12T17:30:11Z
mgeeky/packmypayload,3,1228,1072,341,27.8,3.0,0.8,13967,2026-03-12T21:05:25Z
orange-cyberdefense/arsenal,10,1200,1302,357,29.8,2.9,0.8,13632,2026-03-12T21:05:25Z
timhutton/twitter-archive-parser,1,1184,1055,205,17.3,2.9,0.8,13442,2026-03-12T17:29:19Z
yoryan/mailrise,15,1182,1165,76,6.4,2.9,0.8,13418,2026-03-12T21:05:25Z
zixiiu/digital_life_server,18,1181,1147,206,17.4,2.9,0.8,13406,2026-03-12T21:05:25Z
vladikoff/grunt-devtools,19,1178,1039,138,11.7,2.9,0.8,13370,2026-03-12T21:05:25Z
songguoxs/gpt4o-image-prompts,3,1167,899,209,17.9,2.8,0.8,13239,2026-03-12T17:28:05Z
bvaughn/redux-search,27,1166,838,26,2.2,2.8,0.8,13227,2026-03-12T21:05:25Z
nikitasrivatsan/deeplearningvideogames,6,1154,950,250,21.7,2.8,0.8,13084,2026-03-12T17:30:11Z
googlechromelabs/quicklink,14,1110,905,107,9.6,2.7,0.7,12561,2026-03-12T21:05:25Z
matthieucourbariaux/binarynet,7,1096,696,56,5.1,2.6,0.7,12395,2026-03-12T17:30:11Z
maslianok/react-resize-detector,17,1095,873,57,5.2,2.6,0.7,12383,2026-03-12T21:05:25Z
systemerrorwang/white-box-cartoonization,17,1095,909,140,12.8,2.6,0.7,12383,2026-03-12T21:05:25Z
michalsnik/aos,32,1086,714,69,6.4,2.6,0.7,12276,2026-03-12T21:05:25Z
morvanzhou/tensorflow-tutorial,22,1082,974,114,10.5,2.6,0.7,12228,2026-03-12T21:05:25Z
admintony/prepare-for-awd,18,1079,514,226,20.9,2.6,0.7,12193,2026-03-12T21:05:25Z
openrecall/openrecall,12,1074,949,170,15.8,2.6,0.7,12133,2026-03-12T21:05:25Z
dominictarr/event-stream,20,1074,761,69,6.4,2.6,0.7,12133,2026-03-12T21:05:25Z
faressoft/terminalizer,15,1067,1128,85,8.0,2.6,0.7,12050,2026-03-12T17:29:19Z
fullcalendar/fullcalendar-vue,8,1058,633,28,2.6,2.5,0.7,11944,2026-03-12T21:05:25Z
drublic/css-modal,14,1022,888,111,10.9,2.5,0.7,11517,2026-03-12T17:28:05Z
posthtml/posthtml,16,989,712,46,4.7,2.4,0.7,11127,2026-03-12T21:05:25Z
fast-average-color/fast-average-color,21,956,650,109,11.4,2.3,0.7,10738,2026-03-12T21:05:25Z
qinlili23333/ctfileget,5,921,612,137,14.9,2.2,0.7,10325,2026-03-12T21:05:25Z
emsu/prophet,20,912,1030,77,8.4,2.2,0.6,10219,2026-03-12T21:05:25Z
reactjs/react-future,22,899,809,43,4.8,2.1,0.6,10066,2026-03-12T21:05:25Z
nickdiego/compiledb,13,896,720,84,9.4,2.1,0.6,10031,2026-03-12T21:05:25Z
chrissimpkins/codeface,20,889,574,43,4.8,2.1,0.6,9949,2026-03-12T21:05:25Z
franciscop/brownies,21,859,512,71,8.3,2.0,0.6,9597,2026-03-12T21:05:25Z
mooncake-labs/pg_mooncake,7,852,535,12,1.4,2.0,0.6,9515,2026-03-12T21:05:25Z
httpcats/http.cat,41,841,582,10,1.2,2.0,0.6,9386,2026-03-12T17:28:05Z
yjxiong/temporal-segment-networks,14,838,728,189,22.6,2.0,0.6,9351,2026-03-12T17:30:11Z
alidcast/rogue.js,43,838,699,82,9.8,2.0,0.6,9351,2026-03-12T21:05:25Z
google/ngx_brotli,2,810,684,239,29.5,1.9,0.6,9023,2026-03-12T17:28:05Z
cleverprogrammers/react-challenge-amazon-clone,18,800,677,33,4.1,1.9,0.6,8906,2026-03-12T17:40:22Z
hxz393/baidupanfilestransfers,8,799,938,74,9.3,1.9,0.6,8894,2026-03-12T21:05:25Z
wickynilliams/headroom.js,11,788,572,56,7.1,1.9,0.6,8766,2026-03-12T21:05:25Z
yeoman/generator-webapp,12,751,458,28,3.7,1.8,0.6,8334,2026-03-12T17:40:22Z
samuraisam/pyapns,13,748,794,89,11.9,1.8,0.6,8299,2026-03-12T21:05:25Z
senchalabs/connect,7,721,468,41,5.7,1.7,0.6,7985,2026-03-12T21:05:25Z
debug-js/debug,7,700,697,81,11.6,1.7,0.5,7741,2026-03-12T17:29:19Z
joelbesada/scrollpath,4,697,661,132,18.9,1.6,0.5,7706,2026-03-12T21:05:25Z
jonschlinkert/markdown-toc,5,688,528,64,9.3,1.6,0.5,7601,2026-03-12T17:30:11Z
ccoenraets/nodecellar,16,688,452,44,6.4,1.6,0.5,7601,2026-03-12T21:05:25Z
auth0/express-jwt,9,686,395,49,7.1,1.6,0.5,7578,2026-03-12T21:05:25Z
vercel/og-image,8,679,504,53,7.8,1.6,0.5,7497,2026-03-13T00:30:02Z
alexeyraspopov/picocolors,9,663,443,12,1.8,1.6,0.5,7312,2026-03-12T21:05:25Z
nightdive-studio/shockmac,901,657,896,1133,172.5,1.5,0.5,7242,2026-03-12T21:05:25Z
fnmsd/mysql_fake_server,9,647,563,96,14.8,1.5,0.5,7127,2026-03-12T21:05:25Z
kurolabs/stegcloak,8,634,523,88,13.9,1.5,0.5,6976,2026-03-12T17:40:22Z
davidkpiano/flipping,5,630,505,36,5.7,1.5,0.5,6930,2026-03-12T21:05:25Z
quenhus/ublock-origin-dev-filter,4,556,513,63,11.3,1.3,0.5,6078,2026-03-12T21:53:44Z
addyosmani/puppeteer-webperf,23,538,344,17,3.2,1.3,0.5,5872,2026-03-12T21:05:25Z
eooce/nodejs-argo,1,535,445,94,17.6,1.2,0.5,5837,2026-03-12T21:05:25Z
rswier/c4,2,514,405,76,14.8,1.2,0.4,5597,2026-03-12T21:05:25Z
mozmorris/react-webcam,5,506,508,70,13.8,1.2,0.4,5505,2026-03-12T22:27:36Z
solusipse/fiche,5,501,574,71,14.2,1.2,0.4,5448,2026-03-12T21:05:25Z
pixielabs/cavy,11,489,632,63,12.9,1.1,0.4,5311,2026-03-12T17:28:05Z
mgdm/htmlq,4,481,373,42,8.7,1.1,0.4,5220,2026-03-12T21:05:25Z
tailwindlabs/tailwindcss-container-queries,6,480,279,35,7.3,1.1,0.4,5209,2026-03-12T21:05:25Z
darkskyapp/skycons,1,480,440,35,7.3,1.1,0.4,5209,2026-03-12T22:27:36Z
chromedevtools/devtools-protocol,2,474,389,63,13.3,1.1,0.4,5140,2026-03-12T21:05:25Z
btholt/complete-intro-to-react-v6,9,468,393,16,3.4,1.1,0.4,5072,2026-03-12T21:05:25Z
observing/pre-commit,4,461,387,54,11.7,1.1,0.4,4992,2026-03-12T21:05:25Z
murtazahassan/learn-opencv-in-3-hours,13,450,325,86,19.1,1.0,0.4,4867,2026-03-12T21:05:25Z
slate/slate,17,446,474,36,8.1,1.0,0.4,4822,2026-03-12T21:05:25Z
ericalli/static-site-boilerplate,9,437,348,19,4.3,1.0,0.4,4720,2026-03-12T17:28:05Z
btholt/complete-intro-to-react-v4,9,429,303,24,5.6,1.0,0.4,4629,2026-03-12T21:05:25Z
gregberge/react-teleporter,5,397,247,19,4.8,0.9,0.4,4267,2026-03-12T17:40:22Z
pygod7/authix,1,387,298,74,19.1,0.9,0.4,4155,2026-03-12T17:29:19Z
snarktank/ralph,4,373,321,12,3.2,0.9,0.4,3997,2026-03-12T21:05:25Z
billryan/algorithm-exercise,13,369,342,76,20.6,0.8,0.4,3952,2026-03-12T17:29:19Z
richtr/nosleep.js,5,369,316,72,19.5,0.8,0.4,3952,2026-03-12T21:05:25Z
spyoungtech/grequests,3,368,330,28,7.6,0.8,0.4,3941,2026-03-12T21:53:44Z
produck/svg-captcha,9,363,283,33,9.1,0.8,0.4,3884,2026-03-12T17:30:11Z
gtalarico/flask-vuejs-template,20,362,328,4,1.1,0.8,0.4,3873,2026-03-12T17:28:05Z
learnk8s/xlskubectl,2,358,272,9,2.5,0.8,0.4,3828,2026-03-12T21:05:25Z
jefferson-henrique/getoldtweets-python,14,357,329,75,21.0,0.8,0.4,3817,2026-03-12T21:05:25Z
m8sec/crosslinked,6,357,343,71,19.9,0.8,0.4,3817,2026-03-12T21:53:44Z
missuo/freegpt35,1,346,293,33,9.5,0.8,0.3,3694,2026-03-12T17:29:19Z
btholt/complete-intro-to-react-v5,10,339,284,8,2.4,0.8,0.3,3615,2026-03-12T17:30:11Z
mapbox/polylabel,6,327,315,56,17.1,0.7,0.3,3481,2026-03-12T17:28:05Z
verbalexpressions/pythonverbalexpressions,5,324,231,19,5.9,0.7,0.3,3447,2026-03-12T21:05:25Z
slexaxton/css-colorguard,5,323,241,12,3.7,0.7,0.3,3436,2026-03-12T21:05:25Z
pcqpcq/open-source-android-apps,2,323,304,129,39.9,0.7,0.3,3436,2026-03-12T21:05:25Z
pyllyukko/user.js,1,316,1046,0,0.0,0.7,0.3,3358,2026-03-12T17:40:22Z
filamentgroup/fixed-sticky,3,315,262,30,9.5,0.7,0.3,3347,2026-03-12T21:05:25Z
thisjam/sd-webui-oldsix-prompt,11,314,377,64,20.4,0.7,0.3,3336,2026-03-12T17:40:22Z
dchrastil/scrapedin,2,308,330,49,15.9,0.7,0.3,3269,2026-03-12T21:05:25Z
godweiyang/nn-cuda-example,8,304,211,40,13.2,0.7,0.3,3224,2026-03-12T17:29:19Z
hephaest0s/usbkill,3,302,383,101,33.4,0.7,0.3,3202,2026-03-12T21:05:25Z
jianchang512/vocal-separate,6,298,296,76,25.5,0.7,0.3,3158,2026-03-12T21:53:44Z
megadose/ignorant,11,294,252,43,14.6,0.7,0.3,3113,2026-03-12T21:05:25Z
allmarkedup/purl,3,286,243,73,25.5,0.6,0.3,3024,2026-03-12T21:05:25Z
miniglome/archive.org-downloader,1,273,271,79,28.9,0.6,0.3,2880,2026-03-13T00:30:02Z
cyberpunkmetalhead/binance-news-sentiment-bot,1,269,331,66,24.5,0.6,0.3,2836,2026-03-12T17:29:19Z
coz-m/mplus_fonts,1,266,261,48,18.0,0.6,0.3,2803,2026-03-12T21:05:25Z
laishulu/sarasa-term-sc-nerd,1,253,247,53,20.9,0.6,0.3,2659,2026-03-12T22:31:48Z
obenner/data-engineering-interview-questions,2,252,208,34,13.5,0.6,0.3,2648,2026-03-12T17:30:11Z
soulwire/fit.js,2,246,251,55,22.4,0.6,0.3,2582,2026-03-12T21:05:25Z
jcjohnson/pytorch-examples,10,239,350,23,9.6,0.5,0.3,2505,2026-03-12T17:40:22Z
import-ai/omnibox,2,239,209,26,10.9,0.5,0.3,2505,2026-03-12T22:27:36Z
madisonmay/commonregex,4,236,195,40,16.9,0.5,0.3,2472,2026-03-12T21:05:25Z
jaweii/vueg----page-transition-plugin,2,233,258,64,27.5,0.5,0.3,2439,2026-03-12T21:05:25Z
gudastudio/codexmcp,3,230,237,47,20.4,0.5,0.3,2406,2026-03-12T21:05:25Z
sudodoki/copy-to-clipboard,9,225,192,23,10.2,0.5,0.3,2351,2026-03-12T22:31:48Z
imagemin/imagemin,2,211,146,9,4.3,0.5,0.2,2197,2026-03-12T17:29:19Z
sergiodxa/remix-auth,6,211,265,7,3.3,0.5,0.2,2197,2026-03-12T21:05:25Z
fossasia/meilix-systemlock,2,210,118,24,11.4,0.5,0.2,2187,2026-03-12T17:28:05Z
alloyteam/alloylever,1,194,171,41,21.1,0.4,0.2,2012,2026-03-12T21:05:25Z
panjiachen/awesome-bookmarks,8,191,146,7,3.7,0.4,0.2,1979,2026-03-12T21:05:25Z
nicodjimenez/lstm,2,170,198,11,6.5,0.4,0.2,1751,2026-03-12T21:05:25Z
overturemaps/data,2,163,157,25,15.3,0.4,0.2,1676,2026-03-12T17:28:05Z
vercel/async-retry,3,160,126,11,6.9,0.4,0.2,1643,2026-03-12T17:29:19Z
un33k/django-ipware,9,153,147,7,4.6,0.3,0.2,1568,2026-03-12T21:05:25Z
sindresorhus/multiline,5,146,107,9,6.2,0.3,0.2,1493,2026-03-12T21:05:25Z
callmecavs/layzr.js,5,143,128,15,10.5,0.3,0.2,1461,2026-03-12T17:29:19Z
killedbyapixel/jsoncrush,2,142,161,38,26.8,0.3,0.2,1450,2026-03-12T21:05:25Z
htoooth/leaflet.chinesetmsproviders,1,132,101,8,6.1,0.3,0.2,1343,2026-03-12T17:30:11Z
stas00/the-art-of-debugging,6,131,117,15,11.5,0.3,0.2,1332,2026-03-12T21:05:25Z
wandergis/coordtransform,2,110,117,13,11.8,0.2,0.2,1109,2026-03-12T17:29:19Z
camsong/you-dont-need-jquery,5,109,119,0,0.0,0.2,0.2,1098,2026-03-12T21:05:25Z
automatic1111/stable-diffusion-webui-rembg,3,102,110,14,13.7,0.2,0.2,1024,2026-03-12T21:05:25Z
erkserkserks/h264ify,4,102,140,17,16.7,0.2,0.2,1024,2026-03-12T21:05:25Z
valpackett/awesome-gtk,1,96,86,14,14.6,0.2,0.1,961,2026-03-12T21:05:25Z
csurfer/pyheatmagic,2,75,107,5,6.7,0.2,0.1,742,2026-03-12T21:05:25Z
guyulongcs/awesome-deep-learning-papers-for-search-recommendation-advertising,1,66,71,27,40.9,0.1,0.1,649,2026-03-12T22:31:48Z
mostafatouny/awesome-theoretical-computer-science,3,61,73,18,29.5,0.1,0.1,597,2026-03-12T21:05:25Z
mtdvio/ru-tech-chats,1,58,52,7,12.1,0.1,0.1,566,2026-03-12T21:05:25Z
matthew-andrews/isomorphic-fetch,4,58,54,3,5.2,0.1,0.1,566,2026-03-12T22:31:48Z
conanhujinming/comments-for-awesome-courses,1,54,57,19,35.2,0.1,0.1,525,2026-03-12T21:05:25Z
cs-baoyan/cssummercamp2023,1,51,56,17,33.3,0.1,0.1,495,2026-03-12T21:05:25Z
kev0143/telegram-medicalbot,26,49,49,11,22.4,0.1,0.1,474,2026-03-12T17:30:11Z
rameshaditya/asciify,1,44,70,8,18.2,0.1,0.1,424,2026-03-12T21:05:25Z
ha3mrx/ddos-attack,1,41,41,2,4.9,0.1,0.1,393,2026-03-12T21:05:25Z
heydon/inclusive-design-checklist,1,22,34,2,9.1,0.0,0.1,205,2026-03-12T21:05:25Z
shlomi-noach/awesome-mysql,1,21,24,7,33.3,0.0,0.1,195,2026-03-12T21:05:25Z
asuharietygvar/appleneuralhash2onnx,1,19,36,3,15.8,0.0,0.1,175,2026-03-12T22:31:48Z
torfsen/python-systemd-tutorial,1,10,13,2,20.0,0.0,0.0,89,2026-03-12T17:29:19Z
i5ting/learn-rust-for-fe,2,6,4,0,0.0,0.0,0.0,52,2026-03-12T22:31:48Z
pintariching/rustle,2,3,4,0,0.0,0.0,0.0,25,2026-03-12T21:05:25Z
fendouai/awesome-chatbot,1,1,4,0,0.0,0.0,0.0,8,2026-03-12T17:29:19Z
rainx/pytdx,0,0,0,0,0,0,0,0,2026-03-12T21:05:25Z
andersontr15/clean-code-javascript-es,0,0,0,0,0,0,0,0,2026-03-12T21:05:25Z
honestsoul/generative_ai_project,16,0,1,0,0,0,0,0,2026-03-12T21:05:25Z
advanced-frontend/daily-interview-question,0,0,0,0,0,0,0,0,2026-03-12T22:27:36Z
