"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"cvsps","","","","","","",""
"cwidget","","","","","","",""
"cyrus-sasl2","","","","","","",""
"czmq","","","","","","",""
"dash","","","","","","",""
"dav1d","","","","","","",""
"db-defaults","","","","","","",""
"db-util","","","","","","",""
"db5.3","","","","","","",""
"dbconfig-mysql","","","","","","",""
"dbconfig-pgsql","","","","","","",""
"dbus","","","","","","",""
"dbus-glib","","","","","","",""
"dbus-python","","","","","","",""
"dconf","","","","","","",""
"dconf-cli","","","","","","",""
"dctrl-tools","https://github.com/ajkaijanaho/dctrl-tools.git","","","","","",""
"ddcutil","","","","","","",""
"debconf","","","","","","",""
"debconf-kde","","","","","","",""
"debconf-kde-data","","","","","","",""
"debhelper","","","","","","",""
"debhelper-compat","","","","","","",""
"debian-archive-keyring","","","","","","",""
"debianutils","","","","","","",""
"deborphan","","","","","","",""
"debugedit","","","","","","https://sourceware.org/debugedit/",""
"dee","","","","","","",""
"default-dbus-session-bus","","","","","","",""
"default-dbus-system-bus","","","","","","",""
"default-jdk","","","","","","",""
"default-jre-headless","","","","","","",""
"default-libmysqlclient-dev","","","","","","",""
"default-logind","","","","","","",""
"default-mta","","","","","","",""
"desktop-base","","","","","","",""
"desktop-file-utils","","","","","","",""
"device-tree-compiler","","","","","","https://git.kernel.org/cgit/utils/dtc/dtc.git",""
"dhcpcd","https://github.com/networkconfiguration/dhcpcd.git","","","","","",""
"diffutils","","","","","","",""
"dirmngr","","","","","","",""
"discount","","","","","","",""
"discover","","","","","","",""
"discover-data","","","","","","",""
"distro-info","","","","","","",""
"distro-info-data","","","","","","",""
"djview4","","","","","","",""
"djvulibre","","","","","","",""
"dleyna","","https://gitlab.gnome.org/world/dleyna.git","","","","",""
"dmeventd","","","","","","",""
"dmidecode","","","","","","",""
"dmz-cursor-theme","","","","","","",""
"dns-root-data","","","","","","",""
"dnsmasq","","","","","","",""
"dnsutils","","","","","","",""
"docbook-xml","","","","","","",""
"docbook-xsl","","","","","","",""
"dolphin","","","","","","",""
"dos2unix","","","","","","",""
"dosfstools","https://github.com/dosfstools/dosfstools.git","","","","","",""
"dotconf","https://github.com/williamh/dotconf.git","","","","","",""
"double-conversion","https://github.com/google/double-conversion.git","","","","","",""
"dpkg","","","","","","",""
"draco","https://github.com/google/draco.git","","","","","",""
"dracut","https://github.com/dracut-ng/dracut-ng.git","","","","","",""
"dragon","","","","","","",""
"duktape","","","","","","",""
"dvd+rw-tools","","","","","","",""
"dvdauthor","","","","","","",""
"e2fsprogs","","","","","","",""
"ebook-tools","","","","","","",""
"ed","","","","","","",""
"editorconfig-core","","","","","","",""
"efivar","https://github.com/rhinstaller/efivar.git","","","","","",""
"egl-wayland","https://github.com/nvidia/egl-wayland.git","","","","","",""
"eigen3","","","","","","",""
"elfutils","","","","","","https://sourceware.org/elfutils/",""
"ell","","","","","","",""
"enca","","","","","","",""
"enchant-2","","","","","","",""
"eog","","","","","","",""
"esnacc","","","","","","",""
"espeak-ng","https://github.com/espeak-ng/espeak-ng.git","","","","","",""
"espeak-ng-data","","","","","","",""
"ethtool","","","","","","",""
"eventviews","","","","","","https://invent.kde.org/pim/eventviews",""
"evince","","","","","","",""
"evolution","","https://gitlab.gnome.org/gnome/evolution.git","","","","",""
"evolution-data-server","","https://gitlab.gnome.org/gnome/evolution.git","","","","",""
"evolution-data-server-common","","","","","","",""
"exempi","","","","","","",""
"exim4","","","","","","",""
"exiv2","","","","","","",""
"exo","","","","","","",""
"expat","","","","","","",""
"faad2","https://github.com/knik0/faad2.git","","","","","",""
"fakeroot","","","","","","",""
"farstream-0.2","","","","","","",""
"ffmpeg","","","","","","",""
"ffmpegthumbnailer","https://github.com/dirkvdb/ffmpegthumbnailer.git","","","","","",""
"ffms2","https://github.com/ffms/ffms2.git","","","","","",""
"fftw3","","","","","","",""
"file","","","","","","",""
"file-roller","","","","","","",""
"filezilla","","","","","","",""
"findutils","","","","","","",""
"firebird4.0","","","","","","",""
"firebird4.0-common","","","","","","",""
"firebird4.0-common-doc","","","","","","",""
"five-or-more","","","","","","",""
"flac","","","","","","",""
"flashrom","","","","","","",""
"flatpak","","","","","","",""
"flex","https://github.com/westes/flex.git","","","","","",""
"flite","","","","","","",""
"fltk1.3","","","","","","",""
"fluid-soundfont-gm","","","","","","",""
"fluidsynth","https://github.com/fluidsynth/fluidsynth.git","","","","","",""
"fmtlib","","","","","","",""
"folks","","","","","","",""
"fontconfig","","","","","","",""
"fonts-cantarell","","","","","","",""
"fonts-dejavu-core","","","","","","",""
"fonts-freefont-ttf","","","","","","",""
"fonts-noto-color-emoji","","","","","","",""
"fonts-noto-core","","","","","","",""
"fonts-open-sans","","","","","","",""
"fonts-opensymbol","","","","","","",""
"fonts-urw-base35","","","","","","",""
"foo2zjs","","","","","","",""
"fortune-mod","https://github.com/shlomif/fortune-mod.git","","","","","",""
"four-in-a-row","","","","","","",""
"fping","","","","","","",""
"frameworkintegration","","","","","","https://invent.kde.org/frameworks/frameworkintegration",""
"freeglut","","","","","","",""
"freeglut3","","","","","","",""
"freerdp3","","","","","","",""
"freetds","","","","","","",""
"freetype","","","","","","",""
"freexl","","","","","","",""
"fribidi","","","","","","",""
"fstrm","https://github.com/farsightsec/fstrm.git","","","","","",""
"fsverity-utils","","","","","","https://git.kernel.org/pub/scm/fs/fsverity/fsverity-utils.git",""
"fuse","https://github.com/libfuse/libfuse.git","","","","","",""
"fuse3","https://github.com/libfuse/libfuse.git","","","","","",""
"fwupd","https://github.com/fwupd/fwupd.git","","","","","",""
"fyba","https://github.com/kartverket/fyba.git","","","","","",""
"g++-14","","","","","","",""
"g++-x86-64-linux-gnu","","","","","","",""
"galera-4","","","","","","",""
"game-music-emu","https://github.com/libgme/game-music-emu.git","","","","","",""
"garcon","","","","","","",""
"gawk","","","","","","",""
"gcab","","","","","","",""
"gcc","","","","","","",""
"gcc-12","","","","","","",""
"gcc-14","","","","","","",""
"gcc-defaults","","","","","","",""
"gconf2","","","","","","",""
"gcr","","","","","","",""
"gcr4","","","","","","",""
"gdal","","","","","","",""
"gdal-data","","","","","","",""
"gdal-plugins","","","","","","",""
"gdb","","","","","","",""
"gdbm","","","","","","",""
"gdcm","","","","","","",""
"gdisk","","","","","","",""
"gdk-pixbuf","","","","","","",""
"gdk-pixbuf-xlib","","","","","","",""
"gdm3","","","","","","",""
"gedit","","","","","","",""
"gegl","","","","","","",""
"genisoimage","","","","","","",""
"geoclue-2.0","","https://gitlab.freedesktop.org/geoclue/geoclue/wikis/home.git","","","","",""
"geocode-glib","","","","","","",""
"geoip","","","","","","",""
"geoip-bin","","","","","","",""
"geos","","","","","","",""
"gettext","","","","","","",""
"gettext-base","","","","","","",""
"gexiv2","","","","","","",""
"gfortran","","","","","","",""
"gfortran-14","","","","","","",""
"ghostscript","","","","","","",""
"ghostscript-x","","","","","","",""
"giflib","","","","","","",""
"gimp","","","","","","",""
"gir1.2-accounts-1.0","","","","","","",""
"gir1.2-accountsservice-1.0-dev","","","","","","",""
"gir1.2-adw-1","","","","","","",""
"gir1.2-adw-1-dev","","","","","","",""
"gir1.2-amtk-5","","","","","","",""
"gir1.2-amtk-5-dev","","","","","","",""
"gir1.2-appstream-1.0","","","","","","",""
"gir1.2-appstreamcompose-1.0","","","","","","",""
"gir1.2-appstreamglib-1.0","","","","","","",""
"gir1.2-atk-1.0","","","","","","",""
"gir1.2-atk-1.0-dev","","","","","","",""
"gir1.2-atrildocument-1.5.0","","","","","","",""
"gir1.2-atrilview-1.5.0","","","","","","",""
"gir1.2-atspi-2.0","","","","","","",""
