"package","dependency","type"
"bind9","libcap2","declared"
"bind9","libedit","declared"
"bind9","libidn2","declared"
"bind9","libmaxminddb","declared"
"bind9","liburcu","declared"
"bind9","libuv1","declared"
"bind9","libxml2","declared"
"bind9","lmdb","declared"
"bind9","netbase","declared"
"bind9","nghttp2","declared"
"bind9","openssl","declared"
"bind9","protobuf-c","declared"
"bind9","zlib","declared"
"ceph","boost1.83","declared"
"ceph","cryptsetup","declared"
"ceph","curl","declared"
"ceph","expat","declared"
"ceph","fmtlib","declared"
"ceph","gcc-14","declared"
"ceph","glibc","declared"
"ceph","icu","declared"
"ceph","librabbitmq","declared"
"ceph","lua5.3","declared"
"ceph","openldap","declared"
"ceph","openssl","declared"
"ceph","rdma-core","declared"
"ceph","sqlite3","declared"
"ceph","systemd","declared"
"ceph","util-linux","declared"
"libgedit-tepl","cairo","declared"
"libgedit-tepl","gir1.2-amtk-5-dev","declared"
"libgedit-tepl","gir1.2-gtk-3.0-dev","declared"
"libgedit-tepl","gir1.2-gtksource-300-dev","declared"
"libgedit-tepl","gir1.2-tepl-6","declared"
"libgedit-tepl","glib2.0","declared"
"libgedit-tepl","glibc","declared"
"libgedit-tepl","gsettings-desktop-schemas-dev","declared"
"libgedit-tepl","gtk+3.0","declared"
"libgedit-tepl","icu","declared"
"libgedit-tepl","libgedit-amtk","declared"
"libgedit-tepl","libgedit-gfls","declared"
"libgedit-tepl","libgedit-gtksourceview","declared"
"libgedit-tepl","libhandy-1","declared"
"libgedit-tepl","pango1.0","declared"
"xserver-xorg-video-vmware","glibc","declared"
"xserver-xorg-video-vmware","libdrm","declared"
"xserver-xorg-video-vmware","libx11","declared"
"xserver-xorg-video-vmware","libxext","declared"
"xserver-xorg-video-vmware","mesa","declared"
"xserver-xorg-video-vmware","systemd","declared"
"xserver-xorg-video-vmware","xorg-server","declared"
"xserver-xorg-video-vmware","xorg-video-abi-25","declared"
"xxhash","glibc","declared"
"bsd-mailx","default-mta","declared"
"bsd-mailx","glibc","declared"
"bsd-mailx","libbsd","declared"
"bsd-mailx","liblockfile","declared"
"libxml2","glibc","declared"
"libxml2","python3-defaults","declared"
"libxml2","xz-utils","declared"
"libxml2","zlib","declared"
"atkmm1.6","at-spi2-core","declared"
"atkmm1.6","gcc-14","declared"
"atkmm1.6","glib2.0","declared"
"atkmm1.6","glibc","declared"
"atkmm1.6","glibmm2.4","declared"
"atkmm1.6","libsigc++-2.0","declared"
"synaptic","apt","declared"
"synaptic","gcc-14","declared"
"synaptic","gdk-pixbuf","declared"
"synaptic","glib2.0","declared"
"synaptic","glibc","declared"
"synaptic","gtk+3.0","declared"
"synaptic","hicolor-icon-theme","declared"
"synaptic","pango1.0","declared"
"synaptic","policykit-1","declared"
"synaptic","vte2.91","declared"
"lilv","glibc","declared"
"lilv","lv2","declared"
"lilv","serd","declared"
"lilv","sord","declared"
"lilv","sratom","declared"
"lilv","zix","declared"
"liblzf","glibc","declared"
"dragon","gcc-14","declared"
"dragon","glibc","declared"
"dragon","kf6-kconfig","declared"
"dragon","kf6-kconfigwidgets","declared"
"dragon","kf6-kcoreaddons","declared"
"dragon","kf6-kcrash","declared"
"dragon","kf6-kdbusaddons","declared"
"dragon","kf6-ki18n","declared"
"dragon","kf6-kio","declared"
"dragon","kf6-kparts","declared"
"dragon","kf6-kservice","declared"
"dragon","kf6-kwidgetsaddons","declared"
"dragon","kf6-kwindowsystem","declared"
"dragon","kf6-kxmlgui","declared"
"dragon","kf6-solid","declared"
"dragon","phonon","declared"
"dragon","phonon4qt6","declared"
"dragon","qt6-base","declared"
"metis","glibc","declared"
"cups-filters","cups","declared"
"cups-filters","dbus","declared"
"cups-filters","glibc","declared"
"cups-filters","libexif","declared"
"cups-filters","libjpeg-turbo","declared"
"cups-filters","libpng1.6","declared"
"cups-filters","tiff","declared"
"qca2","cyrus-sasl2","declared"
"qca2","gcc-14","declared"
"qca2","glibc","declared"
"qca2","openssl","declared"
"qca2","qt6-5compat","declared"
"qca2","qt6-base","declared"
"qca2","qtbase-opensource-src","declared"
"nemo","gdk-pixbuf","declared"
