"package","github_repo","git","eco_guess","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class"
"gir1.2-gio-2.0-dev","","","","0","0","0","0","0","0","False","False","False","0.00121374","B"
"libidn2","","","","212517","178844","184264","204706","231669","263102","True","True","False","0.00118712","B"
"debianutils","","","","229908","207364","204687","222113","243173","272204","True","True","False","0.00112333","B"
"fontconfig","","","","195595","178887","175105","190537","205594","227855","True","True","False","0.00110263","B"
"libglvnd","","https://gitlab.freedesktop.org/glvnd/libglvnd.git","","128923","103176","107125","124798","142939","166578","True","True","False","0.00108601","B"
"librevenge","","","","102723","93236","86762","99906","108054","125658","True","True","False","0.00108258","B"
"gnutls28","","","","193022","178781","184256","204691","220688","176696","True","True","False","0.00107865","B"
"popt","rpm-software-management/popt","https://github.com/rpm-software-management/popt.git","","230060","207295","204676","222243","243383","272705","True","True","False","0.00107777","B"
"jansson","","","","191192","142351","159307","183537","218288","252478","True","True","False","0.00107204","B"
"libmnl","","","","221417","193684","194707","213625","237343","267727","True","True","False","0.00104698","B"
"pkg-config","","","","0","0","0","0","0","0","False","False","False","0.00103798","B"
"libbsd","","","","229267","206011","203773","221454","242823","272276","True","True","False","0.00101245","B"
"adduser","","","","0","0","0","0","0","0","False","False","False","0.00099644","B"
"libxfixes","","","","162033","153143","144094","157235","167425","188272","True","True","False","0.00098652","B"
"libxt","","","","133437","137610","128689","142941","147573","110375","True","True","False","0.00096791","B"
"libxrender","","","","174911","164668","155931","169439","181422","203098","True","True","False","0.00095783","B"
"curl","","","","163238","127253","145270","168988","192146","182536","True","True","False","0.00094166","B"
"make-dfsg","","","","130800","122801","119049","123791","134936","153423","True","True","False","0.00092469","B"
"elfutils","","https://sourceware.org/elfutils/","","199964","190474","192121","211405","225243","180581","True","True","False","0.00091444","B"
"libice","","","","154468","145495","134622","148299","161156","182772","True","True","False","0.00091143","B"
"mesa","","","","145794","133802","127098","141276","152665","174131","True","True","False","0.00091042","B"
"libffi","","https://sourceware.org/libffi/","","94902","36235","35843","47098","151592","203742","True","True","False","0.00090449","B"
"libxmu","","","","222094","198865","196048","213941","236001","265618","True","True","False","0.00090173","B"
"brotli","google/brotli","https://github.com/google/brotli.git","","177778","115399","143407","170717","211630","247740","True","True","True","0.00089587","B"
"libmd","","","","150434","58102","112674","145449","197854","238093","True","True","False","0.00089568","B"
"libpam-runtime","","","","0","0","0","0","0","0","False","False","False","0.00089147","B"
"libtasn1-6","","","","222853","196016","196379","215131","238380","268360","True","True","False","0.00089071","B"
"slang2","","","","229888","207230","204572","222101","243147","272390","True","True","False","0.00088531","B"
"libunistring","","","","20077","619","649","658","11575","86887","True","True","False","0.00088025","B"
"icu","","","","40372","29364","28977","30635","39179","73709","True","True","False","0.00087982","B"
"libogg","","","","140449","130312","122447","136260","146458","166772","True","True","False","0.00085860","B"
"e2fsprogs","","","","229993","207325","204695","222264","243286","272399","True","True","False","0.00084288","B"
"libsm","","","","154458","145512","134615","148279","161138","182749","True","True","False","0.00082413","B"
"procps","","https://gitlab.com/procps-ng/procps.git","","229971","207292","204649","222212","243379","272326","True","True","False","0.00081140","B"
"gdbm","","","","173519","144497","161345","185543","208909","167302","True","True","False","0.00080081","B"
"nettle","","","","131546","59292","113319","145979","187210","151930","True","True","False","0.00076479","B"
"libtirpc","","","","166227","88906","130953","160713","206350","244214","True","True","False","0.00075942","B"
"openldap","","","","207896","176775","180185","200064","226706","255753","True","True","False","0.00075318","B"
"xtrans-dev","","","","0","0","0","0","0","0","False","False","False","0.00074014","B"
"libx11-data","","","","0","0","0","0","0","0","False","False","False","0.00074014","B"
"libxi","","","","163285","156360","145890","158367","167638","188171","True","True","False","0.00072819","B"
"p11-kit","","","","227578","203470","201873","219805","241647","271095","True","True","False","0.00072718","B"
"xxhash","","","","154762","68741","117370","149052","199498","239151","True","True","False","0.00072591","B"
"cdebconf","","","","222627","195592","196096","214853","238187","268410","True","True","False","0.00072376","B"
"libpciaccess","","","","147161","134878","127996","142276","154223","176436","True","True","False","0.00071841","B"
"keyutils","","https://git.kernel.org/pub/scm/linux/kernel/git/dhowells/keyutils.git","","229877","206972","204478","222082","243246","272608","True","True","False","0.00071820","B"
"lcms2","","","","165742","153930","146343","160239","173278","194922","True","True","False","0.00071551","B"
"libnfnetlink","","https://git.netfilter.org/libnfnetlink","","204930","200929","185858","198101","208511","231254","True","True","False","0.00071549","B"
"wayland","","","","139992","122945","120157","135746","149021","172095","True","True","False","0.00070790","B"
"shadow","shadow-maint/shadow","https://github.com/shadow-maint/shadow.git","","230127","207365","204741","222317","243429","272783","True","True","False","0.00070121","B"
"file","","","","226452","206133","202263","219172","238138","266554","True","True","False","0.00069712","B"
"lvm2","","https://sourceware.org/lvm2/","","229772","206898","204402","222008","243148","272406","True","True","False","0.00068984","B"
"libdrm","","https://gitlab.freedesktop.org/mesa/drm.git","","161722","143954","141208","156966","171921","194565","True","True","False","0.00068737","B"
"libnl3","thom311/libnl","https://github.com/thom311/libnl.git","","166036","136200","140270","159645","184904","209161","True","True","False","0.00068162","B"
"at-spi2-core","","","","134403","142412","133024","145977","144427","106176","True","True","False","0.00068037","B"
"cups","OpenPrinting/cups","https://github.com/openprinting/cups.git","","161968","167997","160261","174054","174463","133067","True","True","True","0.00067631","B"
"harfbuzz","","","","165196","150007","144548","159719","175135","196571","True","True","False","0.00067579","B"
"cyrus-sasl2","","","","228407","206260","203449","220960","242046","269324","True","True","False","0.00067193","B"
"libtool","","","","179341","167718","160313","175399","189229","204049","True","True","False","0.00066658","B"
"apparmor","","","","214358","181967","186515","206505","232803","264001","True","True","False","0.00065913","B"
"cron","","","","229394","206795","204026","221661","242624","271867","True","True","False","0.00065749","B"
