repo,repo_id,has_gh_sponsors,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_link,funding_link_platforms,has_funding_json,org_fundable,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
encode/httpcore,237210639,True,32,0,32,19.11,540,164,False,,False,False,False,,False,,0,,0,100.0,,,,,1,58,True,True
encode/httpx,179492861,True,32,0,32,19.11,15243,1133,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,58,True,True
epoberezkin/fast-deep-equal,94483360,True,14,0,14,27.37,2046,112,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,65,True,True
epoberezkin/fast-json-stable-stringify,108103016,True,14,0,14,27.37,321,37,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,65,True,True
epoberezkin/json-schema-traverse,93333933,True,14,0,14,27.37,103,20,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,65,True,True
es-shims/array-includes,28753032,False,0,0,0,100.0,43,13,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
es-shims/dunder-proto,898274312,False,0,0,0,100.0,1,1,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
es-shims/es-object-atoms,773229339,False,0,0,0,100.0,5,2,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
es-shims/es-set-tostringtag,580683868,False,0,0,0,100.0,2,2,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
es-shims/math-intrinsics,902014040,False,0,0,0,100.0,2,1,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
es-shims/object.values,41723335,False,0,0,0,100.0,72,7,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
es-shims/regexp.prototype.flags,26932422,False,0,0,0,100.0,8,10,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
es-shims/string.prototype.trimend,114682758,False,0,0,0,100.0,5,5,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
es-shims/string.prototype.trimstart,114682105,False,0,0,0,100.0,4,3,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
eslint-community/eslint-utils,568240379,False,0,0,0,100.0,23,12,True,"github,open_collective,tidelift",False,False,True,https://opencollective.com/eslint,False,,4,,0,100.0,,,,,1,79,True,True
eslint/eslint,11061773,True,68,0,68,16.76,27221,4974,True,"github,open_collective,tidelift",False,False,True,https://eslint.org/donate,False,,4,eslint,58343.97,1.12,lf/openjs,nonprofit,,,0.5,10,True,True
eslint/js,27620277,True,68,0,68,16.76,2379,225,True,"github,open_collective,tidelift",False,False,True,https://opencollective.com/eslint,False,,4,eslint,58343.97,1.12,,,,,1,12,True,True
eslint/rewrite,791446923,True,68,0,68,16.76,333,44,True,"github,open_collective,tidelift",False,False,False,,False,,3,eslint,58343.97,1.12,,,,,1,12,True,True
estools/escodegen,3611422,False,0,0,0,100.0,2687,336,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
estools/esquery,11412938,False,0,0,0,100.0,886,94,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
estools/esrecurse,27429822,False,0,0,0,100.0,80,18,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
estools/estraverse,6145439,False,0,0,0,100.0,967,134,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
estools/esutils,14677293,False,0,0,0,100.0,123,28,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
ethers-io/ethers.js,63465664,True,6,0,6,34.41,8659,2109,True,"github,custom",False,False,True,https://gitcoin.co/grants/13/ethersjs-complete-simple-and-tiny-2,False,,3,ethers,145,17.65,,,,,1,39,True,True
evanw/esbuild,61137153,False,0,0,0,100.0,39865,1304,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
evanw/node-source-map-support,7682781,False,0,0,0,100.0,2193,223,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
eventualbuddha/lines-and-columns,47284288,False,0,1,1,43.69,27,6,False,,False,False,False,,False,,0,,0,100.0,,,,,1,76,False,True
executablebooks/markdown-it-py,249956697,False,0,0,0,100.0,1291,100,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
executablebooks/mdurl,387293763,False,0,0,0,100.0,14,11,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
exodusoss/bytes,885154008,False,0,0,0,100.0,14,5,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
expressjs/body-parser,15669006,False,0,0,0,100.0,5501,753,True,open_collective,False,False,True,https://opencollective.com/express,False,,2,,0,100.0,,,,,1,79,True,True
expressjs/serve-static,17464338,False,0,0,0,100.0,1424,240,True,open_collective,False,False,True,https://opencollective.com/express,False,,2,,0,100.0,,,,,1,79,True,True
facebook/create-react-app,63537249,False,0,0,0,100.0,103474,27081,True,open_collective,False,False,False,,False,,1,create-react-app,203.20,16.87,,,meta.com,company,0,1,True,False
facebook/metro,76504246,False,0,0,0,100.0,5585,677,False,,False,False,False,,False,,0,,0,100.0,,,meta.com,company,0,1,True,False
facebook/react,10270250,False,0,0,0,100.0,244720,50985,False,,False,False,False,,False,,0,,0,100.0,react.foundation,nonprofit,meta.com,company,0,1,True,False
facebook/watchman,6930489,False,0,0,0,100.0,13570,1060,False,,False,False,False,,False,,0,,0,100.0,,,meta.com,company,0,1,True,False
facebook/zstd,29759715,False,0,0,0,100.0,27026,2465,False,,False,False,False,,False,,0,,0,100.0,,,meta.com,company,0,1,True,False
facelessuser/soupsieve,160789418,True,12,0,12,28.6,266,48,True,"github,custom",False,False,False,,False,,2,,0,100.0,,,,,1,66,True,True
fastify/fast-uri,419317518,True,13,0,13,27.93,102,12,True,"github,open_collective",False,False,True,https://github.com/sponsors/fastify,False,,3,,0,100.0,,,,,1,65,True,True
faye/websocket-driver-node,9733816,False,0,0,0,100.0,109,34,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
fb55/boolbase,16864585,True,6,0,6,34.41,20,6,True,github,False,False,True,https://github.com/sponsors/fb55,False,,2,,0,100.0,,,,,1,70,True,True
fb55/css-select,3411063,True,6,0,6,34.41,629,77,True,github,False,False,True,https://github.com/sponsors/fb55,False,,2,,0,100.0,,,,,1,70,True,True
fb55/css-what,4460687,True,6,0,6,34.41,246,49,True,github,False,False,True,https://github.com/sponsors/fb55,False,,2,,0,100.0,,,,,1,70,True,True
fb55/domelementtype,6627835,True,6,0,6,34.41,29,19,True,github,False,False,True,https://github.com/sponsors/fb55,False,,2,,0,100.0,,,,,1,70,True,True
fb55/domhandler,5414232,True,6,0,6,34.41,364,67,True,github,False,False,True,https://github.com/fb55/domhandler?sponsor=1,False,,2,,0,100.0,,,,,1,70,True,True
fb55/domutils,6627949,True,6,0,6,34.41,224,62,True,github,False,False,True,https://github.com/fb55/domutils?sponsor=1,False,,2,,0,100.0,,,,,1,70,True,True
fb55/entities,3172629,True,6,0,6,34.41,378,73,True,github,False,False,True,https://github.com/fb55/entities?sponsor=1,False,,2,,0,100.0,,,,,1,70,True,True
fb55/htmlparser2,2279062,True,6,0,6,34.41,4777,396,True,github,False,False,True,https://github.com/fb55/htmlparser2?sponsor=1,False,,2,,0,100.0,,,,,1,70,True,True
fb55/nth-check,16864923,True,6,0,6,34.41,63,32,True,github,False,False,True,https://github.com/fb55/nth-check?sponsor=1,False,,2,,0,100.0,,,,,1,70,True,True
felixge/node-combined-stream,1787452,False,0,0,0,100.0,144,34,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
felixge/node-delayed-stream,1783893,False,0,0,0,100.0,55,15,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
feross/buffer,14494363,True,8,0,8,31.51,1882,259,True,"github,tidelift",False,False,True,https://github.com/sponsors/feross,False,,3,,0,100.0,,,,,1,68,True,True
feross/ieee754,15489525,True,8,0,8,31.51,122,39,True,"github,tidelift",False,False,True,https://github.com/sponsors/feross,False,,3,,0,100.0,,,,,1,68,True,True
feross/is-buffer,25997846,True,8,0,8,31.51,93,33,True,"github,tidelift",False,False,True,https://github.com/sponsors/feross,False,,3,,0,100.0,,,,,1,68,True,True
feross/queue-microtask,207021895,True,8,0,8,31.51,189,15,True,github,False,False,True,https://github.com/sponsors/feross,False,,2,,0,100.0,,,,,1,68,True,True
feross/run-parallel,18700638,True,8,0,8,31.51,387,17,True,github,False,False,True,https://github.com/sponsors/feross,False,,2,,0,100.0,,,,,1,68,True,True
feross/safe-buffer,49538897,True,8,0,8,31.51,351,41,True,"github,tidelift",False,False,True,https://github.com/sponsors/feross,False,,3,,0,100.0,,,,,1,68,True,True
ffmpeg/ffmpeg,1614410,True,40,0,40,18.1,59336,13746,False,,False,False,False,,False,,0,,0,100.0,,,,,1,57,True,True
firebase/firebase-js-sdk,89290483,False,0,0,0,100.0,5109,1009,False,,False,False,False,,False,,0,,0,100.0,,,google.com,company,0,1,True,False
floating-ui/floating-ui,54994103,True,1,0,1,43.69,32577,1679,True,"github,open_collective",False,False,False,,False,,2,floating-ui,10404.82,3.8,,,,,1,26,True,True
follow-redirects/follow-redirects,6697086,False,0,0,0,100.0,581,180,True,github,False,False,True,https://github.com/sponsors/RubenVerborgh,False,,2,,0,100.0,,,,,1,79,True,True
form-data/form-data,1755793,False,0,0,0,100.0,2347,390,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
formatjs/formatjs,19117456,False,0,0,0,100.0,14707,1385,False,,False,False,False,,False,,0,formatjs,80,18.1,,,,,1,57,True,True
freedesktop-unofficial-mirror/cairo,34372735,False,0,0,0,100.0,0,0,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
freetype/freetype,187000659,False,0,0,0,100.0,816,402,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
frenic/csstype,104001328,False,0,0,0,100.0,1815,75,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
frommi/miniz_oxide,96124162,False,0,0,0,100.0,233,71,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
fsevents/fsevents,1402936,False,0,0,0,100.0,568,119,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
fsspec/filesystem_spec,130727736,False,0,0,0,100.0,1306,440,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
fsspec/s3fs,53987953,False,0,0,0,100.0,1023,290,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
garycourt/uri-js,989080,False,0,0,0,100.0,317,65,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gcc-mirror/gcc,22711503,False,0,0,0,100.0,10877,4745,False,,False,False,False,,False,,0,,0,100.0,fsf.org,nonprofit,,,0.5,79,True,True
getsentry/sentry-javascript,3328572,False,0,0,0,100.0,8642,1767,True,custom,False,False,False,,False,,1,,0,100.0,,,sentry.io,company,0,1,True,False
giampaolo/psutil,20101515,True,6,0,6,34.41,11150,1477,True,"github,tidelift,open_collective,custom",False,False,False,,False,,4,psutil,82.92,17.99,,,,,1,40,True,True
git/git,36502,False,0,0,0,100.0,60617,27847,False,,False,False,False,,False,,0,,0,100.0,sfconservancy.org,nonprofit,,,0.5,79,True,True
gitlab-freedesktop-mirrors/libxcb,444023705,False,0,0,0,100.0,1,1,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gitoxidelabs/gitoxide,136510559,False,0,0,0,100.0,11239,455,True,"github,open_collective",False,False,False,,False,,2,,0,100.0,,,,,1,100,True,True
gitpython-developers/gitdb,1126093,False,0,0,0,100.0,225,68,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gitpython-developers/smmap,1865144,False,0,0,0,100.0,74,31,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gkz/levn,13287279,False,0,0,0,100.0,86,8,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gkz/optionator,13435927,False,0,0,0,100.0,166,16,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gkz/prelude-ls,4457759,False,0,0,0,100.0,427,58,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gkz/type-check,13182168,False,0,0,0,100.0,211,16,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gmp-mirror/gmp,681340775,False,0,0,0,100.0,25,7,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gnome/pango,4537144,False,0,0,0,100.0,182,51,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
google/brotli,24993138,False,0,0,0,100.0,14674,1337,False,,False,False,False,,False,,0,,0,100.0,,,google.com,company,0,1,True,False
google/zerocopy,534354967,False,0,0,0,100.0,2279,151,False,,False,False,False,,False,,0,,0,100.0,,,google.com,company,0,1,True,False
googleapis/google-cloud-python,16316451,False,0,0,0,100.0,5275,1683,False,,False,False,False,,False,,0,,0,100.0,,,google.com,company,0,1,True,False
googlechrome/workbox,55424670,False,0,0,0,100.0,12938,872,False,,False,False,False,,False,,0,,0,100.0,,,google.com,company,0,1,True,False
grahamdumpleton/wrapt,10357291,True,0,0,0,100.0,2281,246,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,100,True,True
grantjenks/python-sortedcontainers,17144859,False,0,0,0,100.0,3933,228,False,,False,False,False,,False,,0,python-sortedcontainers,0,100.0,,,,,1,100,True,True
graydon/exhaustigen-rs,432630522,False,0,0,0,100.0,66,7,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gregberge/svgr,102155012,True,2,0,2,41.34,11027,438,True,"github,open_collective",False,False,True,https://github.com/sponsors/gregberge,False,,3,,0,100.0,,,,,1,74,True,True
grncdr/merge-stream,10579821,False,0,0,0,100.0,212,15,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
grpc/grpc,27729880,False,0,0,0,100.0,44676,11138,False,,False,False,False,,False,,0,,0,100.0,lf/cncf,nonprofit,,,0.5,79,True,True
gsnedders/python-webencodings,7043404,False,0,0,0,100.0,39,34,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
guillaumegomez/doc-comment,127254922,True,11,0,11,28.94,102,5,True,"github,patreon",False,False,False,,False,,2,,0,100.0,,,,,1,66,True,True
gulpjs/glob-parent,29154915,True,8,0,8,31.51,83,51,True,"github,tidelift,open_collective",False,False,False,,False,,3,gulpjs,11722.14,3.58,,,,,1,22,True,True
gweis/isodate,6449370,False,0,0,0,100.0,174,63,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
gyscos/zstd-rs,52115335,False,0,0,0,100.0,634,131,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
hapijs/hoek,5831189,False,0,0,0,100.0,483,178,False,,False,False,False,,False,,0,hapijs,11518.81,3.69,,,,,1,33,True,True
harfbuzz/harfbuzz,5050525,False,0,0,0,100.0,5584,728,False,,False,False,False,,False,,0,harfbuzz,0,100.0,,,,,1,100,True,True
hiddentao/fast-levenshtein,9490451,False,0,0,0,100.0,611,50,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
httplib2/httplib2,53002916,False,0,0,0,100.0,509,190,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
huggingface/huggingface_hub,323591830,False,0,5,5,35.42,3552,1000,False,,False,False,False,,False,,0,,0,100.0,,,huggingface.co,company,0,1,True,False
hukkin/tomli,370616797,False,0,0,0,100.0,560,55,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
hyperium/http,84983058,False,0,0,0,100.0,1326,361,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,100,True,True
hyperium/http-body,183281612,False,0,0,0,100.0,162,67,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,100,True,True
iarna/aproba,31432421,False,0,0,0,100.0,133,15,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
import-js/eslint-plugin-import,32238354,False,0,0,0,100.0,5906,1545,True,"github,open_collective,tidelift",False,False,False,,False,,3,eslint-plugin-import,1650.40,6.15,,,,,1,39,True,True
indexmap-rs/indexmap,68294628,False,0,0,0,100.0,2349,187,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
indutny/bn.js,19176350,True,6,2,8,31.51,1230,153,False,,False,False,False,,False,,0,,0,100.0,,,,,1,68,True,True
indygreg/python-zstandard,67307930,True,8,0,8,31.51,628,114,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,68,True,True
inikulin/parse5,8862593,False,0,0,0,100.0,3886,251,True,"github,open_collective",False,False,True,https://github.com/inikulin/parse5?sponsor=1,False,,3,parse5,45,18.21,,,,,1,57,True,True
inspect-js/array-buffer-byte-length,607836784,False,0,0,0,100.0,2,0,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
inspect-js/available-typed-arrays,235965505,False,0,0,0,100.0,3,3,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/functions-have-names,198357138,False,0,0,0,100.0,9,1,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
inspect-js/has-bigints,201714166,False,0,0,0,100.0,8,5,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/has-property-descriptors,481834578,False,0,0,0,100.0,3,1,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/has-proto,577580747,False,0,0,0,100.0,6,3,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/has-symbols,68573418,False,0,0,0,100.0,18,6,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/has-tostringtag,392913710,False,0,0,0,100.0,5,3,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/hasown,703350811,False,0,0,0,100.0,2,1,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
inspect-js/is-accessor-descriptor,41658954,False,0,0,0,100.0,15,4,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
inspect-js/is-arguments,15725461,False,0,0,0,100.0,17,7,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
inspect-js/is-array-buffer,45977026,False,0,0,0,100.0,13,5,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-bigint,149682261,False,0,0,0,100.0,7,2,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-boolean-object,34700259,False,0,0,0,100.0,8,2,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-callable,30012910,False,0,0,0,100.0,42,9,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-core-module,24578130,False,0,0,0,100.0,26,11,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-data-descriptor,41659073,False,0,0,0,100.0,21,6,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
inspect-js/is-data-view,751048078,False,0,0,0,100.0,2,0,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-date-object,29991041,False,0,0,0,100.0,16,5,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-descriptor,41658845,False,0,0,0,100.0,12,4,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
inspect-js/is-number-object,29991666,False,0,0,0,100.0,8,3,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-regex,15930063,False,0,0,0,100.0,24,11,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-string,30010185,False,0,0,0,100.0,22,3,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-symbol,29791606,False,0,0,0,100.0,19,5,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/is-typed-array,43528820,False,0,0,0,100.0,12,7,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/node-supports-preserve-symlinks-flag,443970899,False,0,0,0,100.0,1,3,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/object-inspect,11683441,False,0,0,0,100.0,161,44,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/typed-array-buffer,649850465,False,0,0,0,100.0,5,0,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
inspect-js/which-boxed-primitive,201685155,False,0,0,0,100.0,7,2,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
inspect-js/which-typed-array,43708371,False,0,0,0,100.0,11,5,True,"github,tidelift",False,False,True,https://github.com/sponsors/ljharb,False,,3,,0,100.0,,,,,1,79,True,True
ipython/traitlets,14993021,True,4,0,4,37.99,650,209,True,tidelift,False,False,False,,True,custom,2,,0,100.0,,,,,1,72,True,True
isaacs/chownr,3858354,True,22,0,22,23.13,29,16,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/cliui,634056857,True,22,0,22,23.13,2,2,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/core-util-is,12391440,True,22,0,22,23.13,101,20,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/fs-minipass,102982143,True,22,0,22,23.13,20,4,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/fs.realpath,61231712,True,22,0,22,23.13,25,11,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/inherits,1580001,True,22,0,22,23.13,353,84,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/isexe,49804297,True,22,0,22,23.13,52,20,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/minimatch,2056549,True,22,0,22,23.13,3500,336,True,github,False,False,True,https://github.com/sponsors/isaacs,False,,2,,0,100.0,,,,,1,61,True,True
isaacs/minipass,84886212,True,22,0,22,23.13,258,29,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/minizlib,86429676,True,22,0,22,23.13,84,12,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/node-glob,357681,True,22,0,22,23.13,8722,526,True,github,False,False,True,https://github.com/sponsors/isaacs,False,,2,,0,100.0,,,,,1,61,True,True
isaacs/node-graceful-fs,2077020,True,22,0,22,23.13,1303,150,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/node-lru-cache,679662,True,22,0,22,23.13,5870,366,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/node-mkdirp,2718248,True,22,0,22,23.13,199,40,True,github,False,False,True,https://github.com/sponsors/isaacs,False,,2,,0,100.0,,,,,1,61,True,True
isaacs/node-tar,1534331,True,22,0,22,23.13,912,256,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/once,5409660,True,22,0,22,23.13,225,27,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/package-json-from-dist,800543709,True,22,0,22,23.13,10,1,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/path-scurry,591569499,True,22,0,22,23.13,45,7,True,github,False,False,True,https://github.com/sponsors/isaacs,False,,2,,0,100.0,,,,,1,61,True,True
isaacs/rimraf,1341324,True,22,0,22,23.13,5842,264,True,github,False,False,True,https://github.com/sponsors/isaacs,False,,2,,0,100.0,,,,,1,61,True,True
isaacs/sax-js,508894,True,22,0,22,23.13,1152,337,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/wrappy,24208073,True,22,0,22,23.13,56,23,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
isaacs/yallist,48222381,True,22,0,22,23.13,216,31,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,61,True,True
istanbuljs/istanbuljs,81482340,False,0,0,0,100.0,1096,250,True,tidelift,False,False,False,,False,,1,,0,100.0,,,,,1,79,True,True
istanbuljs/schema,211950686,False,0,0,0,100.0,3,12,True,tidelift,False,False,False,,False,,1,,0,100.0,,,,,1,79,True,True
istanbuljs/test-exclude,60489570,False,0,0,0,100.0,10,17,True,tidelift,False,False,False,,False,,1,,0,100.0,,,,,1,79,True,True
jamesmunns/postcard,179385478,False,0,0,0,100.0,1397,132,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
jaraco/jaraco.develop,48289082,True,2,0,2,41.34,7,6,False,,False,False,False,,False,,0,,0,100.0,,,,,1,74,True,True
jaraco/pytest-perf,372026120,True,2,0,2,41.34,5,2,False,,False,False,False,,False,,0,,0,100.0,,,,,1,74,True,True
jaraco/zipp,157774633,True,2,0,2,41.34,67,61,True,tidelift,False,False,False,,False,,1,,0,100.0,,,,,1,74,True,True
jaredhanson/utils-merge,11349896,True,9,0,9,30.28,69,18,False,,False,False,False,,False,,0,,0,100.0,,,,,1,67,True,True
jaredwray/cacheable,9267870,False,0,3,3,40.0,1975,201,False,,False,False,False,,False,,0,,0,100.0,,,,,1,74,False,True
jaredwray/keyv,96540810,False,0,3,3,40.0,3128,197,False,,False,False,False,,False,,0,,0,100.0,,,,,1,74,False,True
jawah/charset_normalizer,200259335,False,0,0,0,100.0,768,63,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
jbgutierrez/path-parse,34113780,False,0,0,0,100.0,56,36,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
jd/tenacity,65468547,True,2,0,2,41.34,8565,324,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,74,True,True
jensyt/imurmurhash-js,11802843,False,0,0,0,100.0,103,6,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
jestjs/jest,15062869,False,0,0,0,100.0,45339,6644,True,open_collective,False,False,False,,False,,1,,0,100.0,lf/openjs,nonprofit,,,0.5,79,True,True
jimp-dev/jimp,24008065,False,0,0,0,100.0,14601,779,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,100,True,True
jmespath/jmespath.py,8300763,False,0,0,0,100.0,2432,197,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
joblib/joblib,654608,False,0,0,0,100.0,4341,451,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
