repo,repo_id,loc_eoy,sloc_eoy,scc_complexity_eoy,scc_density_eoy,cognitive_total,cognitive_avg,cognitive_max,cyclomatic_total,cyclomatic_avg,cyclomatic_max,loc_year,loc_eoy_p,scc_complexity_eoy_p,cognitive_max_p,cyclomatic_max_p,score
sindresorhus/array-union,gh/21005682,22,19,0,0,0,0,0,2,1,1,2021,1.16,3.81,3.07,3.17,1.92
sindresorhus/binary-extensions,gh/29771015,14,11,0,0.00,0,0,0,1,1,1,2025,0.85,3.81,3.07,3.17,1.64
sindresorhus/callsites,gh/18938743,62,54,0,0.00,1,0.12,1,8,1,1,2025,6.24,3.81,6.24,3.17,4.45
sindresorhus/camelcase,gh/25116836,683,536,40,7.46,46,1.15,18,79,1.98,16,2025,32.66,33.3,42.39,46.3,38.89
sindresorhus/clean-stack,gh/62838930,415,351,14,3.99,16,0.52,8,47,1.52,9,2025,26.11,21.14,26.85,32.98,29.34
sindresorhus/cli-cursor,gh/23512396,100,77,5,6.49,5,0.38,3,17,1.31,3,2024,10.15,11.21,13.0,10.15,10.15
sindresorhus/crypto-random-string,gh/73665728,333,270,31,11.48,23,0.88,20,49,1.88,21,2022,23.36,29.49,44.61,54.02,35.52
sindresorhus/decamelize,gh/29773710,269,213,4,1.88,9,0.5,6,26,1.44,6,2025,21.46,9.94,22.41,22.52,21.98
sindresorhus/detect-newline,gh/21304485,51,43,5,11.63,6,0.75,4,14,1.75,5,2023,5.5,11.21,16.7,18.6,10.11
sindresorhus/environment,gh/793180075,73,54,18,33.33,0,0,0,1,1,1,2024,7.4,22.83,3.07,3.17,4.84
sindresorhus/escape-string-regexp,gh/21169121,38,31,1,3.23,1,0.2,1,6,1.2,2,2025,4.12,4.97,6.24,6.34,5.11
sindresorhus/execa,gh/47475908,32909,27596,782,2.83,1120,0.47,22,3360,1.42,15,2025,78.65,69.13,46.19,45.03,59.51
sindresorhus/figures,gh/21672939,356,332,4,1.2,6,0.55,3,16,1.45,3,2024,24.74,9.94,13.0,10.15,15.85
sindresorhus/file-type,gh/19105307,3510,2931,322,10.99,567,4.54,411,477,3.82,246,2025,53.07,57.4,93.76,94.61,70.86
sindresorhus/find-cache-directory,gh/48783244,131,102,10,9.8,12,0.86,7,25,1.79,7,2025,12.9,17.86,25.16,26.11,18.35
sindresorhus/find-up,gh/41723004,1337,1070,49,4.58,104,0.37,18,346,1.22,12,2025,40.59,34.78,42.39,39.85,40.22
sindresorhus/find-up-simple,gh/714044439,498,328,18,5.49,1,0.02,1,46,1.02,2,2025,28.65,22.83,6.24,6.34,13.48
sindresorhus/get-east-asian-width,gh/711160838,594,541,528,97.60,308,14.67,151,549,26.14,273,2025,31.08,63.53,82.88,95.24,54.41
sindresorhus/get-stream,gh/44264225,1757,1445,32,2.21,56,0.32,9,216,1.23,10,2024,44.61,30.13,28.54,35.41,39.74
sindresorhus/globals,gh/15186239,4566,4241,88,2.07,112,0.88,12,219,1.72,9,2025,55.92,42.49,33.72,32.98,42.94
sindresorhus/globby,gh/21069494,5123,3733,191,5.12,234,0.54,17,630,1.46,12,2025,57.4,52.64,41.01,39.85,47.83
sindresorhus/has-flag,gh/38718671,29,26,2,7.69,4,1.33,4,7,2.33,5,2021,1.69,6.87,16.7,18.6,5.61
sindresorhus/import-fresh,gh/22020904,133,103,8,7.77,9,0.64,9,22,1.57,9,2025,13.32,15.64,28.54,32.98,20.96
sindresorhus/import-local,gh/90292430,143,120,9,7.5,4,0.57,4,12,1.71,6,2024,13.85,16.6,16.7,22.52,17.66
sindresorhus/indent-string,gh/20576837,114,95,5,5.26,7,0.41,7,24,1.41,8,2022,11.21,11.21,25.16,29.7,18.25
sindresorhus/is-binary-path,gh/29771247,18,15,0,0,0,0,0,3,1,1,2024,1.06,3.81,3.07,3.17,1.83
sindresorhus/is-docker,gh/33590534,149,124,8,6.45,12,0.6,4,32,1.6,5,2025,14.8,15.64,16.7,18.6,16.59
sindresorhus/is-fullwidth-code-point,gh/39222301,29,25,2,8.00,2,0.67,2,5,1.67,3,2025,1.69,6.87,8.99,10.15,4.14
