repo,repo_id,loc_eoy,sloc_eoy,scc_complexity_eoy,scc_density_eoy,cognitive_total,cognitive_avg,cognitive_max,cyclomatic_total,cyclomatic_avg,cyclomatic_max,loc_year,loc_eoy_p,scc_complexity_eoy_p,cognitive_max_p,cyclomatic_max_p,score
teddriggs/darling,gh/89984100,14768,10983,927,8.44,757,0.86,61,1473,1.67,35,2025,69.34,71.35,67.44,68.5,68.92
tehshrike/deepmerge,gh/3276413,1171,952,34,3.57,31,0.34,5,122,1.33,6,2023,39.32,31.08,19.03,22.52,29.76
terkelg/sisteransi,gh/122441239,182,160,9,5.62,8,0.25,4,40,1.25,5,2020,17.34,16.6,16.7,18.6,17.96
terser/terser,gh/29097127,109992,101722,9439,9.28,7391,2.96,388,8294,3.32,256,2025,88.16,89.53,93.34,95.03,91.53
textualize/rich,gh/220809393,39618,33046,1937,5.86,3964,2.21,187,4035,2.25,49,2025,80.02,79.07,85.62,75.37,77.66
theskumar/python-dotenv,gh/23727790,2853,2312,122,5.28,166,1.07,15,266,1.73,10,2025,50.42,46.3,38.9,35.41,42.25
thkukuk/rpcsvc-proto,gh/55140533,7087,5726,1021,17.83,1195,7.33,104,1004,6.16,65,2025,61.73,72.94,77.06,80.13,70.33
thlorenz/convert-source-map,gh/8751561,1004,875,15,1.71,20,0.22,4,107,1.19,4,2025,38.16,21.78,16.7,14.9,23.84
thlorenz/deep-is,gh/9345558,167,124,33,26.61,25,2.08,14,33,2.75,12,2021,16.28,30.66,37.42,39.85,25.47
tim-kos/node-retry,gh/1738798,831,688,67,9.74,72,0.82,8,150,1.7,8,2022,35.31,39.01,26.85,29.7,32.38
time-rs/time,gh/26459635,44401,34347,2056,5.99,2864,1.48,76,4347,2.24,37,2025,81.5,79.49,71.14,69.24,75.12
tj/commander.js,gh/2206953,19267,14550,508,3.49,343,0.16,22,2475,1.15,21,2025,73.36,63.0,46.19,54.02,62.95
tj/node-cookie-signature,gh/6229722,93,60,8,13.33,6,0.6,4,16,1.6,5,2024,9.73,15.64,16.7,18.6,13.45
tjguk/wmi,gh/23124645,4558,3377,514,15.22,738,1.85,48,961,2.42,39,2020,55.81,63.21,62.47,70.3,62.64
tkem/cachetools,gh/18006791,3448,2805,201,7.17,232,0.79,17,445,1.51,13,2025,52.75,53.49,41.01,42.18,47.17
tokio-rs/bytes,gh/30062547,13545,7015,534,7.61,359,0.47,33,1063,1.38,18,2025,68.08,63.85,54.33,50.0,58.34
tokio-rs/loom,gh/161875917,10775,7038,606,8.61,918,1.5,35,1209,1.98,22,2025,66.07,65.12,55.71,56.45,61.07
tokio-rs/prost,gh/94262864,18665,13613,1140,8.37,1298,1.97,188,1628,2.47,69,2025,72.94,73.89,85.73,81.18,76.95
tokio-rs/tokio,gh/67836789,168476,92186,6309,6.84,7331,1.01,109,12807,1.76,42,2025,91.54,87.21,78.22,71.56,80.94
tokio-rs/tracing,gh/165289175,71027,42766,2870,6.71,3610,1.13,136,5895,1.85,46,2025,84.78,81.92,81.29,73.89,79.15
toml-rs/toml,gh/95902102,47453,39536,1931,4.88,2384,0.95,190,4542,1.8,79,2025,82.45,78.86,85.94,83.62,83.03
tootallnate/proxy-agents,gh/11293703,8701,6745,607,9,524,0.77,34,1091,1.6,23,2025,63.85,65.22,55.29,58.25,60.99
tootallnate/util-deprecate,gh/19321056,73,32,9,28.12,10,3.33,5,10,3.33,4,2018,7.4,16.6,19.03,14.9,10.50
torvalds/linux,gh/2325298,36990782,27867574,2627218,9.43,3072374,4.03,808,3184497,4.18,1135,2025,100.0,100.0,96.62,98.52,99.26
tower-rs/tower,gh/98244646,16011,9407,548,5.83,376,0.53,102,1039,1.46,31,2025,71.14,64.16,76.64,66.07,68.56
tox-dev/filelock,gh/17098256,2344,1633,237,14.51,116,0.85,13,239,1.76,10,2025,48.94,54.97,35.94,35.41,41.63
tox-dev/platformdirs,gh/367032142,2700,1858,147,7.91,150,0.72,20,337,1.62,11,2025,49.89,48.94,44.61,37.84,43.45
tqdm/tqdm,gh/36804486,9028,6981,972,13.92,1287,2.83,63,1344,2.97,47,2024,64.48,72.2,68.29,74.31,69.22
tritondatacenter/node-assert-plus,gh/4767976,670,558,28,5.02,30,0.45,6,94,1.4,6,2022,32.35,28.01,22.41,22.52,26.99
tritondatacenter/node-extsprintf,gh/4058064,426,324,32,9.88,19,3.17,13,20,3.33,9,2021,26.53,30.13,35.94,32.98,29.58
troygoode/node-require-directory,gh/3053807,309,186,23,12.37,22,0.71,7,58,1.87,13,2016,22.94,25.48,25.16,42.18,31.11
tsconfig/bases,gh/263697285,435,347,33,9.51,1,0.17,1,7,1.17,2,2025,26.64,30.66,6.24,6.34,13.00
tukaani-project/xz,gh/553665726,64425,34826,6092,17.49,5639,5.79,169,5044,5.19,81,2025,84.04,87.0,84.57,84.04,84.04
typescript-eslint/typescript-eslint,gh/165536154,281071,253289,9935,3.92,9229,1.89,168,13010,2.58,88,2025,93.55,90.27,84.36,85.2,89.28
typeshed-internal/stub_uploader,gh/331669593,2101,1527,206,13.49,161,1.46,14,248,2.25,8,2025,47.89,53.81,37.42,29.7,37.71
unicode-org/icu,gh/49244766,2009067,1443152,203491,14.1,220413,4.91,552,191819,4.27,301,2025,98.73,99.05,95.14,95.67,97.19
unicode-org/icu4x,gh/243395141,437687,294002,18342,6.24,23448,1.34,546,34750,1.98,178,2025,95.56,93.87,95.03,91.97,93.75
unicode-rs/unicode-xid,gh/34637906,2016,1863,55,2.95,49,2.58,14,50,2.63,8,2025,46.83,36.26,37.42,29.7,37.29
unshiftio/requires-port,gh/26316179,136,102,2,1.96,2,0.17,2,20,1.67,9,2023,13.64,6.87,8.99,32.98,21.21
uqfoundation/dill,gh/11031844,10122,7719,1105,14.32,1656,3.19,108,1614,3.18,52,2025,65.54,73.68,77.91,76.53,70.82
urllib3/urllib3,gh/2410676,32405,25457,2456,9.65,2699,1.55,42,3601,2.1,34,2025,78.54,80.87,59.83,67.65,72.89
util-linux/util-linux,gh/2339555,255927,184978,40208,21.74,47093,7.17,377,43193,6.6,185,2025,93.34,96.09,93.13,92.18,92.76
uuidjs/uuid,gh/1203139,3694,2790,178,6.38,94,0.38,12,338,1.36,13,2025,53.49,51.9,33.72,42.18,47.50
vercel/ai,gh/644461337,367406,316594,14339,4.53,13929,0.96,328,24493,1.69,109,2025,94.82,92.07,91.86,87.84,91.26
vercel/ms,gh/3655872,1360,1031,63,6.11,28,0.12,14,293,1.27,44,2025,40.91,38.27,37.42,72.52,54.47
visionmedia/bytes.js,gh/4626886,436,308,31,10.06,0,0,0,36,1,1,2022,26.74,29.49,3.07,3.17,9.21
vitest-dev/vitest,gh/434708679,143276,116774,10869,9.31,8366,0.8,105,16993,1.63,55,2025,90.06,91.01,77.27,77.27,83.42
vorner/signal-hook,gh/137260008,6060,3014,228,7.56,207,0.92,15,409,1.82,7,2025,59.09,54.33,38.9,26.11,39.28
vuejs/core,gh/137078487,150278,126906,10288,8.11,9427,0.9,248,17319,1.65,165,2025,90.38,90.49,88.79,91.33,90.85
wasm-bindgen/wasm-bindgen,gh/114685405,293158,268879,5329,1.98,5576,0.56,117,13959,1.41,58,2025,93.66,85.84,79.39,77.91,85.42
watson/ci-info,gh/71475907,1363,1016,25,2.46,18,0.23,10,93,1.18,7,2025,41.01,26.85,30.13,26.11,32.72
wbond/asn1crypto,gh/36823669,29032,21672,1684,7.77,2839,3.13,85,2763,3.05,44,2023,77.7,77.27,73.26,72.52,75.07
webmproject/libwebp,gh/23368445,109690,86812,12927,14.89,13960,4.83,315,12155,4.22,212,2025,87.95,91.65,91.33,93.55,90.71
webpack/enhanced-resolve,gh/5400204,15576,12545,765,6.10,1051,1.24,55,1726,2.04,35,2025,70.4,68.92,65.22,68.5,69.44
webpack/loader-utils,gh/6503675,1567,1235,122,9.88,165,2.58,48,180,2.81,30,2024,43.23,46.3,62.47,65.22,53.10
webpack/minimizer-webpack-plugin,gh/143057914,7981,6016,178,2.96,278,0.53,54,769,1.47,49,2025,62.9,51.9,64.69,75.37,68.85
webpack/schema-utils,gh/80306715,5946,4651,200,4.30,269,0.58,59,697,1.51,42,2025,58.77,53.38,66.81,71.56,64.85
webpack/tapable,gh/7730086,3855,3317,150,4.52,116,0.19,21,710,1.16,13,2025,54.12,49.37,45.14,42.18,47.78
webpack/watchpack,gh/24119524,5027,3970,484,12.19,520,0.98,71,890,1.67,32,2025,57.19,62.26,70.4,66.7,61.76
webpack/webpack-sources,gh/48954523,8120,5808,637,10.97,1061,2.35,141,1129,2.5,41,2025,63.0,65.96,81.5,71.14,66.95
webreflection/flatted,gh/131121620,1533,1219,154,12.63,235,1.91,10,341,2.77,9,2025,42.81,49.58,30.13,32.98,37.57
webreflection/html-escaper,gh/33597730,260,182,0,0,6,3,6,5,2.5,4,2021,21.14,3.81,22.41,14.9,17.75
websocket-client/websocket-client,gh/1202362,9791,7341,822,11.2,935,1.83,89,1084,2.12,23,2025,65.33,69.77,74.0,58.25,61.69
websockets/ws,gh/2744972,15640,12311,639,5.19,803,0.43,87,2544,1.36,65,2025,70.72,66.07,73.47,80.13,75.28
wesleytodd/setprototypeof,gh/30301031,41,34,7,20.59,6,1.5,3,8,2,3,2022,4.44,13.95,13.0,10.15,6.71
whitequark/ipaddr.js,gh/2110585,1783,1395,137,9.82,297,1.19,17,497,1.99,10,2025,44.82,48.31,41.01,35.41,39.84
withoutboats/heck,gh/86326466,866,512,51,9.96,98,3.06,61,76,2.38,21,2025,36.26,35.52,67.44,54.02,44.26
xiph/ogg,gh/33956205,3872,2928,424,14.48,812,8.64,132,546,5.81,55,2025,54.33,60.78,80.66,77.27,64.79
xorg/lib/libx11,gl/freedesktop-701,153870,114517,17760,15.51,20136,8.71,473,15520,6.71,164,2025,90.59,93.34,93.87,91.23,90.91
xorg/lib/libxau,gl/freedesktop-706,1017,650,147,22.62,137,9.79,34,117,8.36,22,2025,38.48,48.94,55.29,56.45,46.61
xorg/lib/libxdmcp,gl/freedesktop-712,1976,1359,142,10.45,141,2.71,13,169,3.25,7,2025,46.19,48.52,35.94,26.11,34.73
xorg/lib/libxext,gl/freedesktop-714,8888,5583,419,7.5,482,2.84,33,524,3.08,24,2025,64.27,60.57,54.33,59.09,61.63
xorg/lib/libxrender,gl/freedesktop-730,4469,2817,289,10.26,388,6.16,66,327,5.19,30,2025,55.5,56.77,69.34,65.22,60.16
xorg/proto/xorgproto,gl/freedesktop-788,42628,29815,436,1.46,208,13.87,120,98,6.53,45,2025,80.97,60.99,79.7,72.94,76.85
xtuc/webassemblyjs,gh/113006071,39324,28542,2281,7.99,36213,9.73,15533,15256,4.1,2705,2024,79.81,80.13,99.89,99.68,89.19
yahoo/serialize-javascript,gh/24106944,1013,800,59,7.38,67,0.39,25,235,1.37,22,2025,38.27,37.63,48.1,56.45,46.48
yaml/libyaml,gh/2699072,17066,10767,2616,24.3,4824,21.07,852,2679,11.8,231,2024,71.99,81.4,96.72,93.97,82.25
yaml/pyyaml,gh/2700147,9447,7300,1847,25.3,2367,4.06,80,2114,3.63,46,2025,64.8,78.54,72.3,73.89,69.20
yargs/cliui,gh/34287546,962,726,67,9.23,56,0.73,17,128,1.66,12,2025,37.84,39.01,41.01,39.85,38.83
yargs/set-blocking,gh/58830287,69,49,6,12.24,3,0.5,2,10,1.67,4,2021,6.77,12.79,8.99,14.9,10.04
yargs/y18n,gh/39720886,742,594,43,7.24,29,0.35,8,106,1.28,6,2022,33.4,34.04,26.85,22.52,27.43
yargs/yargs,gh/14210523,22271,19824,940,4.74,889,0.34,50,3185,1.22,19,2025,75.48,71.56,63.53,50.95,62.01
yargs/yargs-parser,gh/50258379,6067,5063,464,9.16,308,0.55,20,736,1.32,16,2025,59.2,61.84,44.61,46.3,52.35
yuzujs/setimmediate,gh/1981208,342,268,28,10.45,26,0.55,10,74,1.57,10,2016,24.0,28.01,30.13,35.41,29.15
zertosh/loose-envify,gh/41947687,22106,12767,1598,12.52,2263,2.94,91,2436,3.16,40,2018,75.26,76.64,74.21,70.61,72.90
zesterer/spin-rs,gh/21686666,5125,2773,250,9.02,166,0.59,9,431,1.54,8,2025,57.51,55.18,28.54,29.7,41.33
zloirock/core-js,gh/11481338,115976,96452,7762,8.05,10000,1.08,1215,16699,1.81,521,2025,88.58,88.58,97.57,97.25,92.81
