repo,repo_id,concentration,complexity,security,workload,risk_score
json5/json5,gh/4463453,74.69,56.65,92.76,76.34,73.99
libexpat/libexpat,gh/80314213,74.22,82.24,97.58,50.33,73.99
faye/websocket-driver-node,gh/9733816,100.00,53.56,86.47,64.54,73.94
md/tcp-wrappers,gl/debian-28852,95.56,59.64,81.26,64.39,73.90
legrandin/pycryptodome,gh/19378935,81.46,76.45,72.71,65.76,73.87
lz4/lz4,gh/18106269,64.37,84.45,85.51,63.71,73.77
autotools-mirror/m4,gh/66880383,79.64,71.83,81.26,63.69,73.76
docutils/docutils,gh/44840244,67.40,92.44,71.88,65.87,73.70
taiki-e/pin-project,gh/164668916,99.06,69.97,50.00,85.04,73.68
mysticatea/abort-controller,gh/105228556,100.00,37.91,92.76,83.74,73.67
nodejs/string_decoder,gh/95052330,100.00,49.04,71.88,82.85,73.51
mathiasbynens/cssesc,gh/12001360,100.00,40.27,92.76,78.05,73.48
isaacs/minipass,gh/84886212,91.31,55.90,92.76,61.54,73.47
toml-rs/toml,gh/95902102,93.88,83.38,50.00,73.47,73.23
fontconfig/fontconfig,gl/freedesktop-890,64.23,88.02,64.75,77.89,73.07
andialbrecht/sqlparse,gh/4067434,72.58,63.15,85.51,72.35,72.97
executablebooks/markdown-it-py,gh/249956697,67.51,70.07,82.37,72.72,72.96
sval-rs/sval,gh/157205610,97.68,78.81,50.00,73.41,72.91
fitzgen/glob-to-regexp,gh/11461122,100.00,42.03,95.74,70.09,72.87
lddubeau/xmlchars,gh/139881982,96.08,48.41,84.45,71.68,72.84
stub42/pytz,gh/63155638,82.29,77.71,50.00,87.96,72.82
isaacs/sax-js,gh/508894,59.33,71.72,82.43,80.08,72.80
primus/eventemitter3,gh/13100677,93.55,48.23,82.43,75.53,72.80
pydantic/typing-inspection,gh/930576948,87.90,52.33,77.53,78.76,72.80
sqlalchemy/sqlalchemy,gh/159271175,66.31,89.50,72.71,64.86,72.73
petkaantonov/bluebird,gh/12670444,39.12,80.72,98.83,89.40,72.68
7rulnik/source-map-js,gh/330043541,65.83,63.73,92.76,71.53,72.64
burntsushi/jiff,gh/759017108,89.46,80.07,50.00,77.46,72.57
sinclairzx81/typebox,gh/87454905,91.04,91.65,50.00,66.25,72.51
grahamdumpleton/wrapt,gh/10357291,87.99,70.67,59.00,75.21,72.48
executablebooks/mdurl,gh/387293763,93.86,56.11,81.26,64.11,72.37
fb55/css-what,gh/4460687,87.06,60.83,82.37,62.88,72.37
nodeca/pako,gh/16231859,69.22,87.83,50.00,89.43,72.21
antonk52/lilconfig,gh/238967485,91.27,56.65,81.26,64.50,72.15
jonschlinkert/fill-range,gh/27113310,100.00,44.61,77.53,78.31,72.14
debian/gdbm,gl/debian-32157,83.20,84.00,59.00,65.49,72.09
micromark/micromark,gh/157420458,91.21,69.36,64.75,65.66,72.02
tapjs/stack-utils,gh/48974178,80.34,49.11,88.18,77.34,72.02
rogdham/backports.zstd,gh/977687927,98.38,70.88,50.00,77.03,71.99
jridgewell/sourcemaps,gh/897142826,94.02,62.49,71.88,62.91,71.79
lydell/js-tokens,gh/17552490,94.11,55.85,81.26,62.10,71.76
giampaolo/psutil,gh/20101515,80.67,82.64,50.00,79.12,71.66
follow-redirects/follow-redirects,gh/6697086,82.91,55.11,87.68,65.67,71.62
jquery/esprima,gh/2833537,37.68,87.58,88.18,90.23,71.58
burntsushi/walkdir,gh/42685794,68.72,49.14,95.74,81.12,71.56
uqfoundation/dill,gh/11031844,79.54,71.18,59.00,78.04,71.45
salesforce/tough-cookie,gh/2606873,63.96,72.41,72.71,76.90,71.34
gmp-mirror/gmp,gh/681340775,42.28,92.62,92.76,71.18,71.31
rust-lang/futures-rs,gh/55077261,55.79,73.92,87.68,71.47,71.30
isaacs/node-tar,gh/1534331,78.80,77.50,91.06,46.37,71.26
pnggroup/libpng,gh/3768025,70.60,89.15,50.00,81.79,71.23
assert-rs/snapbox,gh/424722460,95.13,67.09,50.00,79.92,71.06
rust-cli/anstyle,gh/493821282,91.49,55.97,72.71,67.46,70.79
burntsushi/ucd-generate,gh/123997498,78.43,74.63,86.47,49.58,70.78
wbond/asn1crypto,gh/36823669,76.52,75.47,50.00,86.83,70.76
jonschlinkert/get-value,gh/24911025,70.71,53.34,100.00,66.38,70.74
babel/babel-polyfills,gh/190579283,71.73,89.75,50.00,77.65,70.71
ajv-validator/ajv,gh/35914020,61.08,78.95,72.71,71.26,70.70
kriskowal/asap,gh/11295071,70.71,46.68,88.18,85.84,70.70
vuejs/core,gh/137078487,52.29,91.16,72.71,71.24,70.49
guillaumegomez/doc-comment,gh/127254922,100.00,33.87,92.76,78.34,70.44
serde-rs/serde,gh/14367737,75.86,81.95,50.00,79.16,70.43
burntsushi/memchr,gh/37290652,76.21,87.29,50.00,73.92,70.42
zloirock/core-js,gh/11481338,95.33,93.03,64.75,42.64,70.34
p11-glue/p11-kit,gh/12060420,39.10,88.39,82.37,85.95,70.33
rust-lang/regex,gh/27890669,80.86,84.81,72.71,49.02,70.31
moxystudio/node-cross-spawn,gh/21335844,85.31,37.59,97.34,78.20,70.29
conventional-changelog/conventional-changelog,gh/15639771,63.70,68.58,72.71,76.57,70.23
rob--w/proxy-from-env,gh/52038793,100.00,37.13,79.66,81.30,70.03
gkz/levn,gh/13287279,100.00,34.46,95.74,72.80,70.01
acornjs/acorn-jsx,gh/22187098,57.73,55.45,92.76,80.84,70.00
pkgconf/pkgconf,gh/4180110,72.82,78.47,72.71,57.61,69.95
formatjs/formatjs,gh/19117456,79.12,87.12,50.00,69.41,69.94
gnutls/gnutls,gl/179611,59.46,92.62,50.00,85.61,69.68
besser82/libxcrypt,gh/35503965,75.95,80.48,53.25,72.24,69.64
gsnedders/python-webencodings,gh/7043404,100.00,33.03,82.43,85.60,69.48
tapjs/signal-exit,gh/35711072,91.56,41.34,92.76,66.17,69.43
hiddentao/fast-levenshtein,gh/9490451,100.00,35.52,88.18,73.73,69.32
google/zerocopy,gh/534354967,42.11,84.35,72.71,89.19,69.28
caolan/async,gh/698041,53.95,78.42,72.71,74.69,69.23
prettier/prettier,gh/75104123,63.77,92.00,50.00,78.14,69.19
mpc/mpc,gl/inria-22470,73.55,80.80,59.00,65.08,69.12
indutny/bn.js,gh/19176350,62.19,57.07,81.26,79.06,69.10
coveragepy/coveragepy,gh/138421996,94.36,77.90,50.00,61.55,68.97
dtolnay/anyhow,gh/212936374,95.95,63.17,50.00,74.11,68.84
pcre2project/pcre2,gh/398251321,34.45,93.03,88.41,79.22,68.83
pyparsing/pyparsing,gh/91262163,85.29,81.19,50.00,64.84,68.83
gkz/optionator,gh/13435927,86.90,50.21,71.88,71.04,68.70
freetype/freetype,gh/187000659,38.22,94.93,91.06,67.25,68.66
mm2/little-cms,gh/507969,80.59,84.13,50.00,65.57,68.66
davisjam/safe-regex,gh/90781457,100.00,33.37,84.45,78.80,68.65
jonschlinkert/extend-shallow,gh/25867410,100.00,30.71,95.74,75.49,68.64
eslint/doctrine,gh/4286644,100.00,68.27,50.00,65.00,68.63
libffi/libffi,gh/321154,71.21,85.41,50.00,72.37,68.49
nodelib/nodelib,gh/129310478,69.11,58.88,82.43,65.17,68.38
chalker/safer-buffer,gh/125825141,100.00,29.82,92.76,78.93,68.36
unicode-org/icu4x,gh/243395141,31.16,94.13,82.37,90.24,68.33
azuread/microsoft-authentication-library-for-python,gh/67243113,89.25,67.40,50.00,72.41,68.31
burntsushi/aho-corasick,gh/37290678,89.04,71.22,50.00,68.17,68.18
tukaani-project/xz,gh/553665726,73.82,84.29,50.00,69.45,68.18
epoberezkin/fast-json-stable-stringify,gh/108103016,100.00,32.65,95.74,68.95,68.14
gkz/prelude-ls,gh/4457759,100.00,36.25,92.76,64.09,68.13
dtolnay/thiserror,gh/213836768,95.15,65.55,50.00,68.69,68.03
yaml/pyyaml,gh/2700147,38.37,69.54,85.51,93.83,68.02
kevinbeaty/any-promise,gh/26247715,100.00,37.41,96.49,59.28,68.01
madler/zlib,gh/2359378,40.68,87.61,91.06,65.94,68.01
form-data/form-data,gh/1755793,75.68,49.94,72.71,77.47,67.93
epoberezkin/json-schema-traverse,gh/93333933,100.00,34.15,82.43,75.56,67.91
frommi/miniz_oxide,gh/96124162,73.71,83.21,50.00,68.73,67.76
alexindigo/asynckit,gh/59087459,74.54,38.64,97.34,75.13,67.75
cssnano/cssnano,gh/33943153,87.07,68.84,50.00,69.54,67.57
istanbuljs/test-exclude,gh/60489570,100.00,35.31,71.88,81.79,67.50
ljharb/define-data-property,gh/689109338,100.00,43.33,64.75,72.68,67.20
dtolnay/dissimilar,gh/229514821,96.08,53.97,50.00,78.56,67.18
colinhacks/zod,gh/245704608,62.91,87.60,72.71,50.67,67.13
doowb/ansi-colors,gh/47135420,82.46,34.00,92.76,77.99,67.11
inikulin/parse5,gh/8862593,72.18,80.51,50.00,69.69,67.08
yuzujs/setimmediate,gh/1981208,100.00,29.32,92.76,74.39,67.07
facelessuser/soupsieve,gh/160789418,88.68,71.90,50.00,63.38,67.05
isaacs/node-mkdirp,gh/2718248,87.82,43.68,88.18,58.74,66.76
nvzqz/static-assertions,gh/100129252,100.00,26.65,84.45,88.17,66.74
cpburnz/python-pathspec,gh/14648551,87.54,70.39,50.00,64.16,66.68
clap-rs/clap,gh/31315121,75.50,85.09,50.00,61.39,66.64
remusao/tldts,gh/97631656,73.80,65.68,50.00,81.32,66.63
python-jsonschema/referencing,gh/569027868,98.71,47.80,50.00,83.33,66.59
micromatch/to-regex-range,gh/40355891,100.00,41.24,79.66,59.69,66.54
douglasdwyer/wasm_sync,gh/668034655,100.00,31.48,99.25,62.68,66.52
ljharb/es-abstract,gh/28995155,98.59,81.12,50.00,48.93,66.51
pypa/setuptools,gh/54980593,36.30,92.11,87.68,66.25,66.39
util-linux/util-linux,gh/2339555,30.77,93.13,92.75,73.01,66.37
python-pillow/pillow,gh/5171600,68.66,90.14,98.07,31.88,66.32
medikoo/d,gh/10817569,100.00,30.03,86.47,74.37,66.29
tootallnate/proxy-agents,gh/11293703,65.80,61.28,82.37,57.73,66.17
la10736/rstest,gh/124802455,83.53,60.58,50.00,75.62,66.14
sec-ant/readable-stream,gh/569980966,100.00,29.62,75.72,85.04,66.09
aws/aws-sdk-js-v3,gh/87228090,78.25,96.32,50.00,50.09,65.91
floating-ui/floating-ui,gh/54994103,79.68,77.09,50.00,61.15,65.83
rich-harris/estree-walker,gh/33668779,62.27,45.15,96.49,68.04,65.55
fb55/css-select,gh/3411063,93.06,51.11,50.00,77.56,65.53
dchest/tweetnacl-js,gh/15649752,78.07,59.82,99.36,39.58,65.46
pallets/werkzeug,gh/997338,67.10,73.54,93.96,39.60,65.46
minimistjs/minimist,gh/549230701,69.10,54.13,72.71,67.27,65.40
harfbuzz/harfbuzz,gh/5050525,72.81,94.50,85.51,31.03,65.37
samn/json-stable-stringify,gh/76598131,100.00,34.30,98.40,53.92,65.31
dtolnay/proc-macro2,gh/91860126,97.31,61.38,50.00,60.87,65.30
defunctzombie/node-process,gh/7580644,100.00,25.82,92.76,75.77,65.27
kjd/idna,gh/10323585,70.21,68.44,72.71,51.67,65.18
tritondatacenter/node-assert-plus,gh/4767976,100.00,27.13,82.43,80.69,65.18
felixge/node-combined-stream,gh/1787452,100.00,23.78,95.74,79.18,65.16
google/highway,gh/206791328,63.91,78.96,50.00,71.20,65.10
postcss/postcss-value-parser,gh/40920306,40.82,64.76,98.94,68.59,65.08
jsdom/tr46,gh/36964214,86.24,51.79,79.66,50.08,64.97
rustcrypto/utils,gh/77307442,72.41,53.29,82.37,55.96,64.94
dmitrysoshnikov/regexp-tree,gh/85459304,36.11,62.44,92.76,84.81,64.90
evanw/node-source-map-support,gh/7682781,38.03,65.57,92.76,76.62,64.88
rich-harris/magic-string,gh/26143240,58.88,62.70,86.47,55.52,64.88
pixman/pixman,gl/freedesktop-158,28.99,85.14,87.68,81.73,64.85
epoberezkin/fast-deep-equal,gh/94483360,100.00,23.69,88.18,84.49,64.82
jonschlinkert/is-number,gh/24313173,100.00,24.57,92.76,77.39,64.81
dtolnay/ryu,gh/142720484,97.99,58.49,50.00,61.29,64.74
postcss/postcss,gh/13078968,57.71,74.05,85.51,48.06,64.74
browserslist/browserslist,gh/27971466,78.43,70.29,72.71,43.81,64.73
agronholm/anyio,gh/145337588,78.80,64.82,50.00,68.54,64.68
rayon-rs/rayon,gh/24725038,65.70,66.28,50.00,80.32,64.67
kaelzhang/node-ignore,gh/12519245,87.26,40.84,88.18,55.54,64.64
mitsuhiko/insta,gh/165561258,64.59,76.68,50.00,70.23,64.58
eliben/pycparser,gh/10589864,55.42,79.45,50.00,78.30,64.44
pillarjs/iconv-lite,gh/2743221,68.84,67.69,50.00,73.65,64.36
fb55/entities,gh/3172629,93.02,59.65,50.00,61.70,64.32
debian/giflib,gl/debian-12522,35.54,76.50,92.03,68.23,64.28
beatgammit/base64-js,gh/2853282,100.00,25.22,92.76,72.51,64.18
justmoon/node-extend,gh/3967764,93.13,42.30,77.53,55.03,64.03
python-greenlet/greenlet,gh/3003137,85.11,61.16,50.00,64.50,64.01
xorg-team/lib/libx11,gl/debian-4306,28.39,91.21,93.96,68.74,63.95
inspect-js/object-inspect,gh/11683441,96.65,47.92,51.86,69.02,63.81
css-modules/icss-utils,gh/42766912,100.00,29.17,95.74,59.04,63.72
fb55/htmlparser2,gh/2279062,86.48,56.29,50.00,67.56,63.68
gnome/gdk-pixbuf,gl/gnome-1548,31.73,82.00,92.75,67.84,63.61
burntsushi/same-file,gh/78375612,84.98,26.55,92.76,77.87,63.54
rustcrypto/formats,gh/406051759,61.11,76.77,50.00,69.38,63.52
isaacs/node-graceful-fs,gh/2077020,66.03,54.78,92.76,48.33,63.46
curl/curl,gh/569041,35.60,94.83,99.52,48.19,63.43
ljharb/es-to-primitive,gh/32377814,100.00,36.69,59.00,74.72,63.42
eslint-community/eslint-utils,gh/568240379,55.57,72.50,50.00,79.40,63.24
ajv-validator/ajv-keywords,gh/60477053,83.89,48.31,50.00,78.59,63.17
jslicense/spdx-expression-parse.js,gh/40067336,100.00,25.93,86.47,70.96,63.16
troygoode/node-require-directory,gh/3053807,100.00,31.30,95.74,52.80,63.07
marshallpierce/rust-base64,gh/47371310,65.80,56.69,75.72,55.91,63.04
python-attrs/attrs,gh/29918975,79.92,73.80,50.00,53.53,63.03
broofa/node-int64,gh/1208666,100.00,29.16,95.74,55.33,62.69
jonschlinkert/has-values,gh/33009186,100.00,28.28,92.76,58.46,62.58
pyca/pyopenssl,gh/15778059,55.19,59.54,72.71,64.15,62.57
taiki-e/pin-project-lite,gh/216847853,89.39,50.06,50.00,67.98,62.45
jsdom/whatwg-mimetype,gh/71014420,92.04,46.31,64.75,55.06,62.44
csstools/postcss-plugins,gh/219192307,75.71,91.35,50.00,43.89,62.42
ardatan/whatwg-node,gh/429511342,71.50,67.02,50.00,63.05,62.34
dtolnay/unicode-ident,gh/492639579,96.75,50.36,50.00,61.96,62.33
ljharb/object.assign,gh/17755831,100.00,39.88,64.75,58.42,62.32
cuviper/autocfg,gh/135481335,80.25,33.16,79.66,70.72,62.22
isaacs/chownr,gh/3858354,84.98,31.48,95.74,58.47,62.21
selinuxproject/selinux,gh/20648799,38.44,93.56,50.00,83.26,62.20
qix-/node-error-ex,gh/41388258,100.00,28.40,92.76,56.68,62.16
jsdom/webidl-conversions,gh/23000311,91.72,44.87,59.00,61.40,62.14
lukeed/dequal,gh/174421655,66.33,53.81,55.91,74.57,62.11
swc-project/swc,gh/115110181,37.04,99.68,50.00,80.43,62.08
medikoo/es6-symbol,gh/14423385,100.00,38.04,71.88,54.24,62.06
jonschlinkert/normalize-path,gh/21224182,100.00,29.78,95.74,51.94,62.03
libtiff/libtiff,gl/4720790,32.49,92.47,99.28,49.62,62.03
systemd/systemd,gh/32873313,20.78,97.82,96.62,75.05,61.96
expressjs/body-parser,gh/15669006,61.82,48.72,82.37,59.34,61.94
estools/esquery,gh/11412938,38.87,67.60,71.88,77.80,61.91
serde-rs/json,gh/35894511,76.50,52.15,50.00,73.35,61.85
rvagg/through2,gh/11808187,100.00,21.24,86.47,79.05,61.73
ardatan/graphql-tools,gh/54432168,52.86,84.56,50.00,64.93,61.72
tritondatacenter/node-extsprintf,gh/4058064,100.00,29.75,86.47,56.06,61.62
ljharb/set-function-length,gh/704249795,100.00,33.21,64.75,66.75,61.55
fb55/domhandler,gh/5414232,100.00,35.13,50.00,81.61,61.53
eslint/rewrite,gh/791446923,31.58,76.51,82.37,71.92,61.51
jensyt/imurmurhash-js,gh/11802843,100.00,25.23,97.34,58.26,61.50
sybrenstuvel/python-rsa,gh/50107469,63.50,46.45,85.51,56.30,61.39
dtolnay/trybuild,gh/184941159,92.20,57.67,50.00,53.31,61.36
isaacs/minimatch,gh/2056549,88.49,83.20,72.71,26.38,61.30
es-shims/regexp.prototype.flags,gh/26932422,100.00,30.91,64.75,70.09,61.20
import-js/eslint-plugin-import,gh/32238354,53.49,78.16,50.00,67.13,61.20
boto/botocore,gh/6670942,84.11,70.62,50.00,47.13,61.17
streamich/memfs,gh/37490572,71.16,67.13,50.00,58.57,61.16
fb55/nth-check,gh/16864923,100.00,31.14,72.71,61.28,61.03
isaacs/minizlib,gh/86429676,76.16,51.51,88.18,39.95,60.97
teddriggs/darling,gh/89984100,75.60,69.27,64.75,40.73,60.96
isaacs/package-json-from-dist,gh/800543709,100.00,26.73,95.74,53.92,60.95
ljharb/get-intrinsic,gh/308516559,100.00,35.71,64.75,58.98,60.77
pyca/pynacl,gh/8350032,29.36,78.94,72.71,80.16,60.62
vercel/ai,gh/644461337,25.57,91.63,72.71,78.87,60.54
stream-utils/destroy,gh/15544623,100.00,28.91,84.45,54.86,60.50
pillarjs/path-to-regexp,gh/5265803,88.31,49.52,82.37,37.15,60.48
rust-lang-deprecated/tempdir,gh/31728565,100.00,28.59,79.66,58.63,60.45
qix-/color-convert,gh/1874305,66.81,40.41,77.53,63.44,60.37
autotools-mirror/libtool,gh/47662711,53.99,69.59,82.43,42.57,60.26
jawah/charset_normalizer,gh/200259335,93.30,72.88,50.00,38.71,60.23
joshuakgoldberg/ts-api-utils,gh/597893818,43.17,72.70,50.00,83.21,60.11
browserify/node-util,gh/14568009,39.28,58.77,79.66,70.62,60.03
