repo,repo_id,concentration,complexity,security,workload,risk_score
stream-utils/raw-body,gh/12823654,91.62,45.67,50.00,54.69,58.16
tokio-rs/tracing,gh/165289175,23.67,79.49,82.37,73.85,58.16
linux-pam/linux-pam,gh/76264690,21.76,84.70,89.86,68.83,58.11
facebook/watchman,gh/6930489,40.99,88.38,50.00,62.90,58.10
pallets/flask,gh/596892,63.77,65.37,82.37,33.14,58.08
webreflection/html-escaper,gh/33597730,100.00,17.89,92.76,68.46,58.06
browserify/resolve,gh/1915099,94.18,55.47,50.00,43.23,57.97
rustcrypto/traits,gh/85605821,75.36,51.26,50.00,58.35,57.94
benjaminp/six,gh/77868600,72.11,49.04,55.91,56.94,57.92
vercel/ms,gh/3655872,59.89,54.80,72.71,46.75,57.79
lodash/lodash,gh/3955647,63.16,93.65,82.37,22.85,57.76
stream-utils/unpipe,gh/37428186,100.00,23.56,92.76,50.93,57.76
alexei/sprintf.js,gh/9175790,74.54,21.20,100.00,70.30,57.73
kriszyp/json-schema,gh/947175,88.39,46.98,79.66,33.22,57.58
chronotope/chrono,gh/18210201,54.60,76.75,50.00,52.41,57.57
fsevents/fsevents,gh/1402936,64.03,32.32,84.45,62.71,57.54
dominictarr/through,gh/4885140,100.00,19.88,97.34,55.73,57.31
lokathor/bytemuck,gh/209673558,59.91,50.58,64.75,54.78,57.26
rust-cli/env_logger,gh/96382888,80.81,46.28,50.00,57.35,57.23
broofa/mime,gh/534940,93.03,44.93,71.88,35.53,57.16
tokio-rs/prost,gh/94262864,29.11,77.30,82.37,57.50,57.14
tehshrike/deepmerge,gh/3276413,57.04,29.87,100.00,62.50,57.12
graydon/exhaustigen-rs,gh/432630522,100.00,17.02,99.25,62.98,57.11
crate-py/rpds,gh/608018848,76.88,54.20,50.00,51.03,57.10
ffmpeg/ffmpeg,gh/1614410,15.71,97.97,99.76,69.19,57.09
cpython-team/python3-defaults,gl/debian-27547,66.23,47.91,77.53,43.13,57.07
isaacs/cliui,gh/634056857,75.51,39.56,64.75,54.58,57.00
srijs/rust-crc32fast,gh/157348282,87.68,28.07,75.72,56.53,56.97
sindresorhus/get-east-asian-width,gh/711160838,70.71,54.72,51.86,52.39,56.94
rust-lang/compiler-builtins,gh/65153793,57.98,81.19,50.00,44.21,56.80
browserslist/update-db,gh/505548145,83.71,37.51,86.47,38.30,56.79
sinonjs/fake-timers,gh/16523712,56.92,70.38,50.00,51.55,56.69
istanbuljs/schema,gh/211950686,100.00,25.52,50.00,80.51,56.61
facebook/zstd,gh/29759715,30.65,93.40,50.00,71.58,56.58
es-shims/math-intrinsics,gh/902014040,100.00,20.42,71.88,69.76,56.57
micromatch/picomatch,gh/156211895,31.28,79.75,50.00,82.06,56.56
ljharb/define-properties,gh/28768789,100.00,22.53,71.88,63.10,56.54
rust-num/num-traits,gh/114705611,56.50,46.19,55.91,70.04,56.54
terkelg/sisteransi,gh/122441239,100.00,18.05,88.18,63.69,56.43
postcss/postcss-selector-parser,gh/36500102,30.00,72.01,71.88,64.65,56.29
nodejs/undici,gh/133092972,16.44,94.12,95.41,67.97,56.28
pallets/itsdangerous,gh/1945034,91.40,44.25,50.00,49.44,56.23
vitest-dev/vitest,gh/434708679,29.33,83.74,72.71,55.92,56.21
gregberge/svgr,gh/102155012,58.79,62.19,50.00,54.24,56.11
jslicense/spdx-correct.js,gh/34817196,89.58,23.25,84.45,56.10,56.05
pyasn1/pyasn1,gh/512723255,29.41,81.18,50.00,82.40,56.00
feross/run-parallel,gh/18700638,100.00,18.68,77.53,67.76,55.97
bytecodealliance/wasi-rs,gh/196445196,34.34,71.78,50.00,78.16,55.71
tj/commander.js,gh/2206953,77.29,63.28,50.00,39.37,55.70
rustcrypto/hashes,gh/74106774,33.48,81.72,85.51,41.08,55.68
iarna/aproba,gh/31432421,70.71,26.43,100.00,51.16,55.61
cyan4973/xxhash,gh/19330466,37.09,81.82,50.00,62.92,55.59
inspect-js/has-symbols,gh/68573418,100.00,30.46,64.75,48.25,55.54
floatdrop/require-from-string,gh/39301848,100.00,18.68,95.74,53.17,55.53
webpack/loader-utils,gh/6503675,68.86,53.35,85.51,30.18,55.49
xorg-team/lib/libxrender,gl/debian-4328,35.67,60.34,75.72,58.17,55.49
pypa/virtualenv,gh/1446474,54.30,67.20,82.37,31.47,55.46
jaredwray/cacheable,gh/9267870,84.59,66.02,50.00,33.69,55.38
python-cffi/cffi,gh/696427398,28.97,85.17,50.00,76.10,55.35
serde-rs/bytes,gh/87358441,88.64,31.09,50.00,67.98,55.32
felixge/node-delayed-stream,gh/1783893,100.00,18.50,95.74,52.47,55.21
firebase/firebase-js-sdk,gh/89290483,13.18,97.91,82.37,87.35,55.20
mafintosh/end-of-stream,gh/14732255,70.71,30.19,86.47,50.25,55.19
yargs/y18n,gh/39720886,70.71,27.56,72.71,65.48,55.19
python-jsonschema/jsonschema,gh/3072629,82.70,63.89,50.00,35.10,55.18
mathiasbynens/punycode.js,gh/2755924,58.50,41.72,79.66,47.59,55.15
webreflection/flatted,gh/131121620,92.92,37.75,50.00,52.73,55.15
aio-libs/aiohttp,gh/13258039,30.81,86.10,95.41,36.43,55.10
ipython/traitlets,gh/14993021,35.55,69.95,50.00,73.31,54.95
kilian/electron-to-chromium,gh/78972540,99.88,29.17,50.00,62.58,54.95
jshttp/on-finished,gh/15349765,86.52,37.33,50.00,56.35,54.92
jshttp/cookie,gh/4475810,62.66,53.22,72.71,37.28,54.83
auth0/node-jwa,gh/8116861,70.71,33.48,50.00,76.23,54.81
pillarjs/parseurl,gh/17533192,90.87,40.13,50.00,49.36,54.77
inspect-js/is-accessor-descriptor,gh/41658954,100.00,31.48,59.00,48.21,54.70
andrewrk/node-pend,gh/11836813,100.00,19.98,92.76,47.89,54.58
dtolnay/rustversion,gh/183990447,99.07,49.17,50.00,36.32,54.54
rust-random/rngs,gh/209510094,56.37,51.38,50.00,61.09,54.54
chalk/slice-ansi,gh/43191689,84.16,27.80,72.71,51.81,54.49
es-shims/es-set-tostringtag,gh/580683868,100.00,22.18,71.88,55.24,54.48
jonschlinkert/global-prefix,gh/31455984,100.00,20.52,75.72,56.56,54.45
rust-phf/rust-phf,gh/15992970,67.47,57.58,50.00,45.21,54.44
inspect-js/has-proto,gh/577580747,100.00,20.53,71.88,59.34,54.40
grpc/grpc,gh/27729880,11.25,96.79,93.96,85.25,54.34
lukeed/escalade,gh/273568715,86.90,23.02,86.47,50.37,54.33
npm/node-semver,gh/1357199,32.11,71.72,72.71,51.91,54.30
python-poetry/tomlkit,gh/140365570,68.18,71.24,51.86,34.47,54.28
pypa/wheel,gh/98346885,69.72,55.14,72.71,30.84,54.19
autotools-mirror/autoconf,gh/47662429,63.83,50.52,59.00,45.29,54.18
laurent-laporte-pro/deprecated,gh/111412148,67.71,44.22,53.25,54.02,54.17
jaredwray/keyv,gh/96540810,89.44,63.35,50.00,30.14,54.06
teambition/merge2,gh/25396227,70.71,29.07,82.43,50.32,54.04
jamesmunns/postcard,gh/179385478,33.74,78.07,50.00,64.49,53.98
smithy-lang/smithy-rs,gh/308027791,16.58,81.65,72.71,86.14,53.96
micromatch/anymatch,gh/11458302,61.24,32.43,77.53,55.02,53.95
lukeed/kleur,gh/140393403,57.73,29.98,84.45,57.64,53.88
jonschlinkert/define-property,gh/40633359,100.00,18.99,95.74,46.22,53.84
estools/esrecurse,gh/27429822,79.06,36.24,92.76,31.60,53.83
jshttp/http-errors,gh/23806086,68.27,47.24,50.00,52.04,53.82
syntax-tree/unist-util-is,gh/41795086,91.04,38.79,71.88,32.83,53.73
mhammond/pywin32,gh/108187130,38.69,97.07,72.71,30.46,53.70
feross/buffer,gh/14494363,22.31,63.89,71.88,81.08,53.69
aio-libs/aiobotocore,gh/36618494,68.35,62.51,50.00,38.69,53.62
indexmap-rs/indexmap,gh/68294628,76.33,50.30,50.00,42.94,53.58
ljharb/internal-slot,gh/216159146,100.00,20.52,64.75,61.99,53.57
feross/ieee754,gh/15489525,100.00,23.28,77.53,45.59,53.56
xorg/proto/xorgproto,gl/freedesktop-788,30.83,77.27,50.00,68.90,53.52
dcodeio/long.js,gh/8678904,82.67,59.35,84.45,19.78,53.51
typeshed-internal/stub_uploader,gh/331669593,94.02,37.85,50.00,45.99,53.48
ljharb/side-channel-weakmap,gh/901188921,100.00,23.58,55.91,61.99,53.47
unshiftio/requires-port,gh/26316179,100.00,21.33,86.47,44.21,53.44
webpack/webpack-sources,gh/48954523,63.30,67.33,50.00,38.09,53.38
jsdom/whatwg-url,gh/34761352,90.91,57.70,50.00,30.90,53.36
rvagg/archived-prr,gh/9151864,100.00,17.53,92.76,49.87,53.36
nghttp2/nghttp2,gh/11452676,94.52,94.96,91.06,9.88,53.31
textualize/rich,gh/220809393,35.50,78.08,50.00,58.04,53.26
agronholm/exceptiongroup,gh/447694800,87.96,60.00,51.86,29.21,53.17
babel/babel,gh/24560307,24.37,93.93,82.37,42.26,53.13
feross/safe-buffer,gh/49538897,100.00,15.59,79.66,63.95,53.09
jshttp/negotiator,gh/3275614,64.55,42.55,50.00,57.56,53.02
jonschlinkert/object-visit,gh/38545952,100.00,18.75,95.74,44.00,53.01
sindresorhus/p-map,gh/71526722,56.36,41.36,75.72,44.69,53.00
aio-libs/yarl,gh/64756820,42.41,68.07,50.00,54.49,52.96
getsentry/sentry-javascript,gh/3328572,14.40,88.43,85.51,72.01,52.92
juliangruber/brace-expansion,gh/13539234,70.29,42.69,72.71,35.96,52.92
hapijs/hoek,gh/5831189,24.43,66.75,75.72,63.36,52.89
isaacs/yallist,gh/48222381,86.90,27.87,95.74,33.68,52.86
isaacs/isexe,gh/49804297,91.36,25.58,50.00,66.77,52.85
pygments/pygments,gh/205564111,13.05,94.09,93.96,67.45,52.82
paulmillr/readdirp,gh/4494405,86.79,43.80,81.26,24.88,52.65
es-shims/string.prototype.trimend,gh/114682758,100.00,19.37,64.75,60.30,52.44
expressjs/serve-static,gh/17464338,58.12,36.03,72.71,49.55,52.41
micromatch/is-glob,gh/28179425,41.65,45.03,77.53,51.75,52.38
jonschlinkert/assign-symbols,gh/45661176,100.00,18.77,92.76,43.19,52.37
radix-ui/primitives,gh/273499522,22.35,74.41,55.91,80.34,52.28
jmespath/jmespath.py,gh/8300763,40.39,54.72,50.00,67.04,52.17
joblib/joblib,gh/654608,19.86,72.22,72.71,70.48,52.07
json-c/json-c,gh/1139119,25.93,81.52,82.37,42.03,52.01
webpack/minimizer-webpack-plugin,gh/143057914,36.37,69.25,50.00,57.66,51.91
inspect-js/is-data-view,gh/751048078,100.00,18.97,71.88,52.40,51.70
chalk/supports-color,gh/11855007,61.66,48.33,72.71,32.94,51.69
yahoo/serialize-javascript,gh/24106944,36.42,46.78,72.71,57.62,51.69
rustcrypto/stream-ciphers,gh/83051505,37.67,45.60,72.71,56.66,51.58
react/metro,gh/76504246,21.10,86.49,50.00,77.10,51.50
unicode-org/icu,gh/49244766,11.60,97.44,91.06,68.20,51.47
octokit/types.ts,gh/216109757,57.78,37.83,50.00,63.86,51.40
sindresorhus/normalize-url,gh/29094022,76.43,44.65,72.71,28.01,51.34
urllib3/urllib3,gh/2410676,18.90,73.29,94.69,52.97,51.34
vorner/signal-hook,gh/137260008,58.60,39.39,51.86,57.74,51.27
kevva/dir-glob,gh/49264969,100.00,20.40,77.53,43.62,51.25
acornjs/acorn,gh/5932749,36.01,88.10,50.00,43.36,51.21
remix-run/react-router,gh/19872456,16.94,88.48,82.37,55.62,51.19
sboudrias/inquirer.js,gh/10114077,81.90,82.15,50.00,20.40,51.18
webpack/watchpack,gh/24119524,36.79,62.00,50.00,60.13,51.17
smithy-lang/smithy-typescript,gh/208319207,19.98,91.46,50.00,74.72,51.12
react/react,gh/10270250,12.34,97.71,72.71,77.77,51.10
jimp-dev/jimp,gh/24008065,82.43,66.29,53.25,23.39,51.08
chalk/chalk,gh/11855195,63.15,53.20,72.71,27.77,51.03
sindresorhus/get-stream,gh/44264225,82.46,39.93,64.75,31.81,51.03
webpack/enhanced-resolve,gh/5400204,31.55,69.81,50.00,61.14,50.94
pydantic/pydantic,gh/90194616,14.61,88.52,82.37,62.92,50.88
lovell/detect-libc,gh/96149091,79.90,32.95,51.86,48.86,50.82
watson/ci-info,gh/71475907,57.30,32.86,86.47,40.95,50.81
inspect-js/is-core-module,gh/24578130,97.66,27.51,59.00,42.01,50.80
astral-sh/ruff,gh/523043277,16.48,97.44,50.00,82.89,50.79
nicolo-ribaudo/babel-preset-current-node-syntax,gh/253327079,100.00,12.74,84.45,61.80,50.78
raynos/for-each,gh/6006855,94.61,20.52,75.72,45.24,50.78
browserslist/caniuse-lite,gh/80221890,69.36,51.57,50.00,36.91,50.69
ajv-validator/ajv-formats,gh/281084700,63.96,29.27,71.88,48.94,50.66
es-shims/string.prototype.trimstart,gh/114682105,100.00,19.43,55.91,60.37,50.61
dtolnay/ref-cast,gh/106295902,99.31,46.30,50.00,28.41,50.55
jshttp/etag,gh/22894570,62.36,41.90,50.00,49.95,50.54
jaraco/jaraco.develop,gh/48289082,88.56,31.40,50.00,46.82,50.51
isaacs/node-lru-cache,gh/679662,92.18,58.50,50.00,24.05,50.46
cosmiconfig/cosmiconfig,gh/45750507,38.87,51.34,50.00,64.94,50.45
dtolnay/automod,gh/173074854,96.13,29.28,53.25,43.12,50.42
pytest-dev/pluggy,gh/34739117,35.25,57.71,50.00,63.53,50.42
python-hyper/brotlicffi,gh/43543393,53.02,43.85,50.00,55.53,50.41
ljharb/es-shim-unscopables,gh/480458584,100.00,17.54,64.75,56.62,50.36
yargs/yargs-parser,gh/50258379,33.14,52.54,50.00,73.86,50.36
boto/s3transfer,gh/49535299,35.21,51.79,50.00,70.49,50.35
libjxl/libjxl,gh/340219494,16.82,90.62,50.00,84.28,50.34
chronotope/humantime,gh/59320323,60.47,38.94,50.00,54.46,50.32
sindresorhus/strip-json-comments,gh/14468669,76.03,35.86,75.72,31.05,50.32
storybookjs/storybook,gh/54173593,12.91,96.06,72.71,71.06,50.31
encode/httpcore,gh/237210639,55.38,58.55,50.00,39.37,50.26
sinonjs/commons,gh/143001748,97.19,29.38,79.66,27.92,50.20
istanbuljs/istanbuljs,gh/81482340,21.35,62.89,64.75,73.01,50.19
jonschlinkert/is-plain-object,gh/24306940,100.00,12.76,92.76,53.25,50.11
composefs/tar-rs,gh/21946092,15.84,69.27,82.37,69.13,50.00
pypa/pip,gh/1446467,11.84,83.44,92.03,68.73,50.00
inspect-js/is-regex,gh/15930063,100.00,20.22,50.00,61.76,49.99
yargs/cliui,gh/34287546,44.03,39.02,50.00,72.65,49.98
openssl/openssl,gh/7634677,9.27,98.08,98.79,69.22,49.93
ehmicky/human-signals,gh/214467546,99.59,13.76,88.18,51.36,49.91
comex/rust-shlex,gh/37886228,36.21,40.49,72.71,57.81,49.82
eslint/js,gh/27620277,20.37,91.77,50.00,65.67,49.77
tox-dev/filelock,gh/17098256,55.43,41.79,72.71,35.95,49.61
sindresorhus/import-fresh,gh/22020904,82.46,21.08,71.88,48.34,49.57
sindresorhus/find-up,gh/41723004,69.53,40.41,64.75,33.05,49.52
fastify/fast-uri,gh/419317518,38.00,54.09,50.00,58.45,49.51
jaredhanson/utils-merge,gh/11349896,100.00,11.93,92.76,54.27,49.50
protocolbuffers/protobuf,gh/23357588,24.28,96.31,94.20,27.13,49.44
ljharb/side-channel-list,gh/901451610,100.00,18.96,50.00,62.98,49.43
inspect-js/which-typed-array,gh/43708371,98.71,22.72,53.25,49.52,49.31
multimedia-team/aom,gl/debian-29534,9.19,97.81,95.41,68.88,49.30
xorg-team/lib/libxau,gl/debian-4307,34.52,50.47,75.72,44.73,49.29
python/typing_extensions,gh/494077289,31.48,68.15,50.00,54.91,49.26
node-fetch/fetch-blob,gh/186960326,78.50,41.19,51.86,35.04,49.23
knurling-rs/defmt,gh/282262730,24.96,76.52,50.00,61.01,49.13
sindresorhus/resolve-from,gh/22022707,100.00,16.24,71.88,49.64,49.06
calvinmetcalf/process-nextick-args,gh/36039131,100.00,16.13,92.76,38.58,49.02
pillarjs/finalhandler,gh/20547377,64.53,36.37,50.00,48.97,48.96
raynos/xtend,gh/4419184,100.00,14.96,84.45,45.39,48.94
snowflakedb/snowflake-connector-python,gh/62262074,10.76,86.61,89.86,68.40,48.92
jaraco/zipp,gh/157774633,85.01,34.03,72.71,27.15,48.88
es-shims/object.values,gh/41723335,100.00,13.96,64.75,62.71,48.79
bitflags/bitflags,gh/29287955,76.88,48.59,50.00,30.24,48.75
stefanpenner/get-caller-file,gh/48818175,100.00,11.96,99.57,47.44,48.75
mcollina/fastq,gh/37368217,63.56,36.13,50.00,48.97,48.70
gnome/glib,gl/gnome-658,18.17,97.71,50.00,63.33,48.69
webpack/schema-utils,gh/80306715,42.01,65.16,50.00,41.01,48.67
kemitchell/validate-npm-package-license.js,gh/35000460,100.00,16.53,86.47,39.19,48.65
isaacs/node-glob,gh/357681,92.02,61.15,72.71,13.52,48.50
sindresorhus/object-assign,gh/16457190,70.71,24.20,71.88,44.99,48.50
astanin/python-tabulate,gh/205875548,24.37,72.79,50.00,62.23,48.47
raynos/function-bind,gh/10727014,94.61,21.18,50.00,55.00,48.45
requests/toolbelt,gh/15515181,30.67,48.17,51.86,71.92,48.45
jprichardson/node-jsonfile,gh/5754307,66.33,31.11,75.72,35.20,48.43
sindresorhus/pify,gh/41585934,68.47,33.33,71.88,33.50,48.42
browserify/randombytes,gh/29300004,88.39,17.27,79.66,45.11,48.40
mathiasbynens/regexpu-core,gh/49437324,40.27,65.02,79.66,26.14,48.32
sindresorhus/leven,gh/22794601,79.35,39.50,71.88,24.10,48.27
daaku/nodejs-makeerror,gh/2097803,100.00,29.82,98.40,18.49,48.26
fsspec/s3fs,gh/53987953,30.21,66.39,50.00,53.92,48.22
jonschlinkert/has-value,gh/24310408,100.00,13.44,92.76,43.35,48.22
scikit-build/ninja-python-distributions,gh/75102202,75.79,32.97,50.00,42.62,48.04
sindresorhus/quick-lru,gh/86679721,75.58,32.89,59.00,36.29,48.03
mafintosh/tar-stream,gh/15340089,72.68,48.72,71.88,20.79,47.96
aio-libs/propcache,gh/866565706,70.03,29.79,50.00,50.70,47.95
ka-weihe/fastest-levenshtein,gh/158960628,60.07,26.25,98.08,34.06,47.91
ljharb/side-channel-map,gh/901191461,100.00,13.36,64.75,60.89,47.91
python-hyper/h11,gh/57372073,20.83,53.43,72.71,64.94,47.88
hyperium/http,gh/84983058,14.68,68.05,82.37,63.72,47.85
pexpect/ptyprocess,gh/24727748,21.43,51.55,84.45,56.16,47.84
jprichardson/node-fs-extra,gh/2791348,65.66,51.62,50.00,30.58,47.71
ai/nanoid,gh/99401299,79.04,30.75,82.37,25.81,47.68
emotion-js/emotion,gh/92570536,17.07,84.48,50.00,71.38,47.63
git/git,gh/36502,8.70,95.90,97.58,63.13,47.61
sindresorhus/file-type,gh/19105307,34.03,71.16,72.71,29.16,47.60
boto/boto3,gh/24774658,89.98,54.75,50.00,20.44,47.37
more-itertools/more-itertools,gh/4144530,29.35,66.14,50.00,51.84,47.36
zesterer/spin-rs,gh/21686666,28.84,41.45,82.37,50.93,47.32
rvagg/bl,gh/10706095,34.25,51.07,50.00,57.17,47.29
angular/angular-cli,gh/36891867,31.63,88.23,50.00,35.58,47.20
inspect-js/is-boolean-object,gh/34700259,100.00,14.23,64.75,53.48,47.11
inspect-js/is-symbol,gh/29791606,100.00,16.91,51.86,56.15,47.11
jshttp/fresh,gh/4617552,80.86,35.20,50.00,34.58,47.10
python/importlib_resources,gh/306147182,81.10,41.23,50.00,29.33,47.06
apache/arrow-rs,gh/358917250,8.22,92.88,87.68,73.10,47.03
isaacs/once,gh/5409660,79.06,13.52,95.74,47.76,47.02
gitpython-developers/smmap,gh/1865144,58.45,47.14,50.00,35.23,46.94
jbgutierrez/path-parse,gh/34113780,61.24,17.54,97.34,46.37,46.92
sindresorhus/mimic-response,gh/93189529,79.06,19.72,71.88,43.02,46.86
burntsushi/winapi-util,gh/146040682,77.37,24.10,53.25,48.47,46.84
grncdr/merge-stream,gh/10579821,100.00,12.08,88.18,45.19,46.84
samverschueren/decode-uri-component,gh/91837954,84.16,16.43,77.53,44.61,46.76
encode/httpx,gh/179492861,20.45,73.59,72.71,43.61,46.74
ljharb/call-bind-apply-helpers,gh/898190951,100.00,12.84,64.75,57.23,46.70
jshttp/content-type,gh/30172150,86.05,23.28,50.00,47.02,46.59
servo/rust-smallvec,gh/33456236,18.53,51.16,88.41,56.06,46.56
inspect-js/is-arguments,gh/15725461,100.00,17.81,51.86,50.84,46.55
juliangruber/balanced-match,gh/13538817,85.65,30.64,50.00,35.79,46.55
businho/pytest-ruff,gh/599731435,80.06,19.51,77.53,38.71,46.53
rust-random/rand_core,gh/1086593277,55.44,30.19,82.37,33.74,46.44
jshttp/type-is,gh/15484233,71.50,30.87,50.00,42.08,46.42
sindresorhus/crypto-random-string,gh/73665728,63.73,35.79,71.88,28.25,46.39
microsoft/typescript,gh/20929025,11.76,98.56,50.00,79.69,46.36
googleapis/google-cloud-python,gh/16316451,19.54,74.29,50.00,63.34,46.30
gitpython-developers/gitdb,gh/1126093,29.46,54.15,50.00,57.49,46.28
brianc/node-postgres,gh/991475,18.70,74.86,50.00,65.17,46.21
open-telemetry/opentelemetry-js,gh/185901023,12.01,87.21,72.71,59.73,46.18
jshttp/range-parser,gh/4627131,61.24,32.74,50.00,45.16,46.13
python/importlib_metadata,gh/306448340,80.25,37.61,50.00,29.96,46.11
yargs/set-blocking,gh/58830287,100.00,10.12,96.49,46.14,46.07
python/mypy,gh/7053637,12.27,90.84,50.00,80.58,46.03
nodejs/readable-stream,gh/5187096,35.50,79.12,50.00,31.87,46.00
raszi/node-tmp,gh/2313213,42.87,56.41,72.71,25.42,45.98
pallets/markupsafe,gh/734244,87.81,29.79,50.00,34.08,45.95
stebalien/tempfile,gh/33832372,58.96,48.50,50.00,31.15,45.94
pyasn1/pyasn1-modules,gh/512723354,36.82,66.24,50.00,36.40,45.90
jonschlinkert/word-wrap,gh/18260583,65.62,20.66,84.45,38.75,45.89
sindresorhus/node-defaults,gh/7985040,92.04,25.60,75.72,24.86,45.89
rollup/plugins,gh/203607977,30.93,83.09,50.00,34.20,45.79
mathiasbynens/unicode-property-aliases-ecmascript,gh/88333533,88.39,16.70,86.47,34.41,45.78
tootallnate/util-deprecate,gh/19321056,100.00,10.58,88.18,47.05,45.77
tartley/colorama,gh/18892209,32.43,40.50,55.91,59.53,45.73
libuv/libuv,gh/14812739,15.80,87.86,50.00,62.90,45.71
python-jsonschema/jsonschema-specifications,gh/582755777,95.81,24.49,50.00,37.21,45.71
websocket-client/websocket-client,gh/1202362,78.94,61.94,64.75,13.79,45.71
sindresorhus/camelcase,gh/25116836,65.27,39.14,64.75,26.16,45.61
ljharb/call-bind,gh/308533760,100.00,12.95,55.91,59.70,45.60
uuidjs/uuid,gh/1203139,64.19,47.70,50.00,28.01,45.51
thlorenz/deep-is,gh/9345558,100.00,25.63,98.40,17.00,45.50
component/escape-html,gh/5444800,100.00,8.65,92.76,53.35,45.49
pyca/bcrypt,gh/9993757,68.50,37.16,50.00,33.49,45.44
reactivex/rxjs,gh/32247847,32.02,86.84,50.00,30.58,45.41
jshttp/mime-types,gh/19380178,76.27,34.18,50.00,32.51,45.37
node-fetch/node-fetch,gh/29849956,11.82,69.83,82.37,61.81,45.28
jviereck/regjsparser,gh/14087781,35.38,58.02,51.86,39.31,45.23
aio-libs/frozenlist,gh/204197530,66.83,28.63,50.00,43.68,45.21
es-shims/dunder-proto,gh/898274312,100.00,9.90,71.88,58.59,45.19
sindresorhus/p-limit,gh/71542716,71.34,23.53,50.00,49.59,45.17
litejs/natural-compare-lite,gh/9146732,91.36,30.51,64.75,23.03,45.15
jshttp/accepts,gh/15482433,68.10,28.55,50.00,42.59,45.11
isaacs/rimraf,gh/1341324,85.65,55.15,50.00,17.50,45.09
inspect-js/which-boxed-primitive,gh/201685155,100.00,16.37,51.86,48.47,45.04
chalk/ansi-regex,gh/20451415,59.30,21.01,82.37,40.00,45.01
micromatch/is-extglob,gh/31788841,100.00,16.25,55.91,44.93,44.95
rust-random/rand,gh/30227790,29.93,58.16,72.71,32.26,44.95
sindresorhus/make-dir,gh/90776169,79.54,30.30,71.88,23.48,44.91
davidhalter/parso,gh/90668463,16.14,77.43,50.00,64.93,44.88
sindresorhus/globals,gh/15186239,39.74,43.07,50.00,47.34,44.86
azure/azure-sdk-for-js,gh/108311273,12.93,93.88,72.71,45.75,44.83
jonschlinkert/map-cache,gh/32450614,100.00,9.40,95.74,44.52,44.74
fsspec/filesystem_spec,gh/130727736,18.31,75.01,50.00,58.19,44.71
unicode-rs/unicode-xid,gh/34637906,28.46,37.42,81.26,45.69,44.59
kpdecker/jsdiff,gh/1542219,87.01,63.90,50.00,14.20,44.57
jsdom/xml-name-validator,gh/28553202,100.00,12.03,88.18,37.14,44.55
myrne/performance-now,gh/10219264,100.00,6.72,96.49,60.27,44.46
inspect-js/functions-have-names,gh/198357138,100.00,15.03,50.00,51.83,44.43
pallets/click,gh/19103692,21.07,74.97,50.00,49.24,44.41
scipy/scipy,gh/1460385,7.12,96.37,85.51,66.32,44.41
rayon-rs/either,gh/42479602,57.34,26.77,55.91,44.59,44.23
sindresorhus/find-up-simple,gh/714044439,76.93,13.58,71.88,50.69,44.17
sindresorhus/globby,gh/21069494,65.76,47.99,55.91,21.47,44.12
azure/azure-sdk-for-python,gh/4127088,6.90,95.93,82.37,69.44,44.11
enarx/ciborium,gh/313759241,20.64,58.23,50.00,62.94,44.10
microsoft/tslib,gh/34414315,33.32,54.42,50.00,41.44,44.03
sindresorhus/type-fest,gh/175398594,23.35,65.17,50.00,49.16,43.98
whitequark/ipaddr.js,gh/2110585,22.36,40.03,71.88,57.17,43.79
inspect-js/is-number-object,gh/29991666,100.00,11.96,64.75,47.44,43.78
inspect-js/is-string,gh/30010185,100.00,12.28,59.00,50.70,43.78
sindresorhus/decamelize,gh/29773710,70.92,22.09,71.88,32.58,43.77
mafintosh/pump,gh/12118126,86.90,22.16,75.72,25.08,43.73
gulpjs/glob-parent,gh/29154915,38.73,23.10,82.37,49.51,43.70
python/typing,gh/24604008,20.17,61.61,50.00,58.31,43.63
sindresorhus/clean-stack,gh/62838930,70.29,29.51,71.88,24.27,43.61
ljharb/get-proto,gh/911035271,100.00,10.43,64.75,53.25,43.55
chalk/ansi-styles,gh/11803168,59.67,22.94,72.71,36.09,43.53
nodejs/node,gh/27193779,4.47,99.52,98.55,81.60,43.49
jslicense/spdx-exceptions.json,gh/40062896,100.00,7.95,86.47,51.67,43.41
jshttp/media-typer,gh/20814275,75.36,26.69,50.00,35.25,43.39
aio-libs/aiosignal,gh/205007356,59.11,31.02,50.00,38.64,43.38
rust-itertools/itertools,gh/22360263,20.22,57.80,50.00,60.60,43.38
inspect-js/is-bigint,gh/149682261,97.10,18.97,50.00,38.01,43.26
sindresorhus/npm-run-path,gh/48707028,68.19,19.16,71.88,36.99,43.17
react/create-react-app,gh/63537249,6.40,84.18,72.71,87.34,43.01
blakeembrey/array-flatten,gh/17789771,70.71,20.16,79.66,30.06,42.98
inspect-js/is-data-descriptor,gh/41659073,98.02,25.40,64.75,21.02,42.90
pytest-dev/pytest,gh/37489525,14.21,77.82,50.00,61.22,42.89
sindresorhus/is-wsl,gh/88415331,82.46,16.99,59.00,40.80,42.85
tokio-rs/loom,gh/161875917,15.60,61.32,51.86,67.36,42.76
sindresorhus/figures,gh/21672939,79.76,15.96,71.88,36.38,42.71
rust-lang/hashbrown,gh/155119796,12.49,58.16,72.71,62.58,42.64
numpy/numpy,gh/908607,5.82,95.73,92.03,63.46,42.47
