repo,repo_id,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,bestpractices_badge_id,openssf_score_p,cve_score,score,fetched_at
bitflags/bitflags,gh/29287955,6.8,openssf_local,0,False,,14.09,50.0,50,2026-04-27T16:09:16+01:00
blakeembrey/array-flatten,gh/17789771,3.6,openssf_local,0,False,,79.19,50.0,79,2026-04-27T21:31:11+01:00
blakeembrey/change-case,gh/9440238,4,openssf_local,0,False,,64.65,50.0,65,2026-04-27T14:55:25+01:00
bluss/bencher,gh/65987276,3.1,openssf_local,0,False,,88.14,50.0,88,2026-04-27T21:31:17+01:00
bminor/glibc,gh/13868694,3.6,openssf_local,39,False,,79.19,97.07,97,2026-04-07T10:58:41+01:00
boto/boto3,gh/24774658,7.4,openssf_local,0,False,,7.72,50.0,50,2026-04-27T14:53:40+01:00
boto/botocore,gh/6670942,7.9,openssf_local,0,True,,2.91,50.0,50,2026-04-27T21:31:24+01:00
boto/s3transfer,gh/49535299,8.4,openssf_local,0,False,,2.13,50.0,50,2026-04-27T14:55:24+01:00
brianc/node-postgres,gh/991475,5.5,openssf_local,0,False,,34.23,50.0,50,2026-04-27T21:31:34+01:00
broofa/mime,gh/534940,3.9,openssf_local,0,False,,72.04,50.0,72,2026-04-27T16:08:31+01:00
browserify/events,gh/1649251,3.9,openssf_local,0,False,,72.04,50.0,72,2026-04-27T15:53:22+01:00
browserify/node-util,gh/14568009,3.6,openssf_local,0,False,,79.19,50.0,79,2026-04-27T21:31:55+01:00
browserify/randombytes,gh/29300004,3.6,openssf_local,0,False,,79.19,50.0,79,2026-04-27T17:06:22+01:00
