repo,repo_id,total_commits_gh_alltime,total_contributors_gh_alltime,active_contributors_gh_alltime,bf_commits_gh_alltime,bf_commits_gh_alltime_p,hhi_commits_gh_alltime,hhi_commits_gh_alltime_p,total_commits_git_full,contributors_git_full,bf_commits_git_full,bf_commits_git_full_p,hhi_commits_git_full,hhi_commits_git_full_p,commits_git_5y,active_contributors_git_5y,bf_commits_git_5y,bf_commits_git_5y_p,hhi_commits_git_5y,hhi_commits_git_5y_p,score,comment,github_fetched_at,git_fetched_at
sindresorhus/resolve-cwd,47504070,15,4,4,1,100.0,6533,60.93,15,4,1,100.0,6533,66.07,1,1,1,100.0,10000,100.0,100,,2026-05-19T11:23:32+00:00,2026-05-19T11:26:43+00:00
sindresorhus/resolve-from,22022707,30,7,7,1,100.0,5533,53.42,30,7,1,100.0,5533,58.26,1,1,1,100.0,10000,100.0,100,,2026-05-19T11:23:38+00:00,2026-05-19T11:26:43+00:00
sindresorhus/restore-cursor,23512229,23,6,6,1,100.0,6219,58.66,22,6,1,100.0,6074,62.83,8,3,1,100.0,5938,53.68,77,,2026-05-19T11:23:42+00:00,2026-05-19T11:26:43+00:00
sindresorhus/shebang-regex,30903733,15,4,4,1,100.0,6533,60.93,14,4,1,100.0,6327,64.73,3,2,1,100.0,5556,50.56,75,,2026-05-19T11:23:46+00:00,2026-05-19T11:26:43+00:00
sindresorhus/slash,11516031,34,8,8,1,100.0,6367,59.45,33,8,1,100.0,6272,64.17,11,5,1,100.0,4380,39.06,66,,2026-05-19T11:23:52+00:00,2026-05-19T11:26:43+00:00
sindresorhus/string-width,39222730,78,14,14,1,100.0,5450,52.73,70,13,1,100.0,5237,56.14,35,7,1,100.0,4759,42.63,69,,2026-05-19T11:23:57+00:00,2026-05-19T11:26:43+00:00
sindresorhus/strip-bom,18444852,37,7,7,1,100.0,7064,65.72,35,7,1,100.0,6914,69.31,3,2,1,100.0,5556,50.56,75,,2026-05-19T11:24:04+00:00,2026-05-19T11:26:44+00:00
sindresorhus/strip-final-newline,47453723,20,4,4,1,100.0,4900,45.79,20,4,1,100.0,4900,52.01,13,3,1,100.0,4438,40.29,67,,2026-05-19T11:24:10+00:00,2026-05-19T11:26:44+00:00
sindresorhus/strip-indent,18242629,40,8,8,1,100.0,6850,63.21,40,8,1,100.0,6850,68.75,10,3,1,100.0,6600,58.82,81,,2026-05-19T11:24:16+00:00,2026-05-19T11:26:44+00:00
sindresorhus/strip-json-comments,14468669,77,16,16,1,100.0,6306,59.0,74,21,1,100.0,5172,55.36,16,5,1,100.0,5781,52.01,76,,2026-05-19T11:24:23+00:00,2026-05-19T11:26:44+00:00
sindresorhus/tagged-tag,795552264,5,1,1,1,100.0,10000,100.0,4,1,1,100.0,10000,100.0,4,1,1,100.0,10000,100.0,100,,2026-05-19T11:24:31+00:00,2026-05-19T11:26:44+00:00
sindresorhus/to-fast-properties,31656998,32,8,8,1,100.0,4902,45.9,32,8,1,100.0,4902,52.12,7,4,1,100.0,3878,34.26,62,,2026-05-19T11:22:37+00:00,2026-05-19T11:26:44+00:00
sindresorhus/type-fest,175398594,928,203,202,2,27.68,1802,13.33,882,208,2,34.04,1797,15.4,748,183,3,13.73,1635,12.72,23,,2026-05-19T11:22:41+00:00,2026-05-19T11:26:45+00:00
sindresorhus/unicorn-magic,716660564,12,2,2,1,100.0,8472,79.5,12,2,1,100.0,8472,81.81,12,2,1,100.0,8472,72.1,92,,2026-05-19T11:22:45+00:00,2026-05-19T11:26:45+00:00
sindresorhus/yocto-queue,315531538,17,4,4,1,100.0,6886,63.55,17,4,1,100.0,6886,68.97,15,4,1,100.0,6533,58.15,81,,2026-05-19T11:22:50+00:00,2026-05-19T11:26:45+00:00
sinonjs/commons,143001748,139,10,8,1,100.0,5801,55.24,159,9,1,100.0,7013,70.42,45,2,1,100.0,9445,78.01,97,,2026-05-19T11:22:55+00:00,2026-05-19T11:26:45+00:00
sinonjs/fake-timers,16523712,786,77,75,2,27.68,2628,21.3,640,76,2,34.04,1876,16.85,241,35,1,100.0,3240,27.01,57,,2026-05-19T11:23:26+00:00,2026-05-19T11:26:45+00:00
smithy-lang/smithy-rs,308027791,3133,136,136,3,11.85,1212,7.06,2971,137,4,9.26,1140,8.71,2906,136,4,9.49,1100,7.92,17,,2026-05-19T11:23:53+00:00,2026-05-19T11:26:45+00:00
smithy-lang/smithy-typescript,208319207,2455,97,94,3,11.85,1345,7.63,2708,93,4,9.26,1080,7.81,2038,81,3,13.73,1198,9.04,20,,2026-05-19T11:23:16+00:00,2026-05-19T11:26:45+00:00
smol-rs/fastrand,267368764,108,22,22,1,100.0,3278,29.73,131,21,2,34.04,2250,20.31,85,19,2,26.56,2886,23.33,38,,2026-05-19T11:23:23+00:00,2026-05-19T11:26:46+00:00
snowflakedb/snowflake-connector-python,62262074,1829,152,151,3,11.85,1025,4.9,1754,142,2,34.04,1631,13.95,961,124,7,3.46,811,4.69,11,,2026-05-19T11:23:31+00:00,2026-05-19T11:26:46+00:00
socketio/socket.io,557980,7159,403,402,1,100.0,3134,27.33,6523,548,2,34.04,2423,22.77,1033,124,1,100.0,7096,62.28,84,,2026-05-19T11:23:38+00:00,2026-05-19T11:26:46+00:00
sqlalchemy/sqlalchemy,159271175,17447,406,405,1,100.0,6763,62.19,15193,788,1,100.0,5938,61.61,3142,372,1,100.0,4397,39.17,66,,2026-05-19T11:23:43+00:00,2026-05-19T11:26:47+00:00
sqlite/sqlite,176278485,,,,,,,,28909,38,2,34.04,2676,25.45,8104,8,1,100.0,3849,33.71,62,,2026-05-19T11:23:46+00:00,2026-05-19T11:26:47+00:00
srijs/rust-crc32fast,157348282,96,10,10,1,100.0,7331,69.25,97,12,1,100.0,7009,70.31,40,6,1,100.0,7688,66.18,88,,2026-05-19T11:23:50+00:00,2026-05-19T11:26:47+00:00
stebalien/tempfile,33832372,515,76,74,1,100.0,5394,52.16,408,75,1,100.0,4441,46.54,190,46,1,100.0,3476,29.69,59,,2026-05-19T11:23:56+00:00,2026-05-19T11:26:48+00:00
stefanpenner/get-caller-file,48818175,53,5,5,1,100.0,7601,72.21,42,5,1,100.0,7052,70.98,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:24:03+00:00,2026-05-19T11:26:48+00:00
storybookjs/storybook,54173593,73384,370,364,4,6.72,1009,4.78,53307,2333,6,5.36,767,5.36,30394,1092,5,6.92,833,5.02,13,,2026-05-19T11:24:12+00:00,2026-05-19T11:26:48+00:00
stream-utils/destroy,15544623,130,3,3,1,100.0,8174,76.88,130,3,1,100.0,8174,79.69,46,1,1,100.0,10000,100.0,100,,2026-05-19T11:24:14+00:00,2026-05-19T11:26:49+00:00
stream-utils/raw-body,12823654,536,17,16,1,100.0,7169,67.43,536,17,1,100.0,7166,71.54,134,4,1,100.0,8394,71.09,92,,2026-05-19T11:24:22+00:00,2026-05-19T11:26:49+00:00
stream-utils/unpipe,37428186,81,1,1,1,100.0,10000,100.0,81,1,1,100.0,10000,100.0,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:23:35+00:00,2026-05-19T11:26:49+00:00
streamich/memfs,37490572,2045,64,58,1,100.0,6310,59.11,1797,64,2,34.04,3334,34.82,1085,43,1,100.0,5064,46.76,71,,2026-05-19T11:23:36+00:00,2026-05-19T11:26:50+00:00
stub42/pytz,63155638,453,19,19,1,100.0,7199,68.22,603,20,1,100.0,6025,62.61,75,6,1,100.0,6772,59.6,82,,2026-05-19T11:23:37+00:00,2026-05-19T11:26:50+00:00
suguru03/neo-async,27030361,940,17,16,1,100.0,9229,86.67,933,18,1,100.0,9099,87.17,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:23:38+00:00,2026-05-19T11:26:51+00:00
sval-rs/sval,157205610,443,6,6,1,100.0,9643,90.32,329,7,1,100.0,9403,89.96,171,3,1,100.0,9541,78.35,98,,2026-05-19T11:23:39+00:00,2026-05-19T11:26:51+00:00
swc-project/swc,115110181,11478,347,342,2,27.68,2901,24.49,11429,360,2,34.04,2616,24.89,10547,323,2,26.56,2744,22.1,37,,2026-05-19T11:23:41+00:00,2026-05-19T11:26:51+00:00
syntax-tree/unist-util-is,41795086,133,6,6,1,100.0,8567,80.87,132,6,1,100.0,8557,82.59,55,5,1,100.0,8288,69.87,91,,2026-05-19T11:23:40+00:00,2026-05-19T11:26:52+00:00
systemd/systemd,32873313,82839,379,378,3,11.85,1490,9.45,75856,2843,3,14.29,1287,10.04,31756,1361,3,13.73,1295,10.38,21,,2026-05-19T11:23:45+00:00,2026-05-19T11:26:53+00:00
taiki-e/pin-project,164668916,1451,13,12,1,100.0,9100,85.42,1169,12,1,100.0,9077,87.05,530,4,1,100.0,9813,79.69,99,,2026-05-19T11:23:42+00:00,2026-05-19T11:26:53+00:00
taiki-e/pin-project-lite,216847853,697,10,9,1,100.0,8723,82.46,638,10,1,100.0,8525,82.25,447,9,1,100.0,7991,68.3,89,,2026-05-19T11:23:44+00:00,2026-05-19T11:26:54+00:00
taiki-e/portable-atomic,448365131,1893,10,8,1,100.0,9707,91.34,1755,7,1,100.0,9702,92.3,1755,7,1,100.0,9702,79.13,98,,2026-05-19T11:23:44+00:00,2026-05-19T11:26:55+00:00
tapjs/signal-exit,35711072,77,12,12,1,100.0,4137,37.81,107,14,2,34.04,3435,36.05,35,4,1,100.0,8384,70.98,92,,2026-05-19T11:23:45+00:00,2026-05-19T11:26:55+00:00
tapjs/stack-utils,48974178,92,12,12,2,27.68,2750,23.01,93,13,2,34.04,2628,25.11,19,3,1,100.0,6454,57.7,80,,2026-05-19T11:23:46+00:00,2026-05-19T11:26:56+00:00
tartley/colorama,18892209,318,47,47,2,27.68,1952,14.92,291,49,2,34.04,1451,12.05,73,13,2,26.56,2104,17.97,32,,2026-05-19T11:23:47+00:00,2026-05-19T11:26:56+00:00
teambition/merge2,25396227,42,7,6,1,100.0,7335,69.36,36,6,1,100.0,6931,69.42,2,2,1,100.0,5000,46.43,71,,2026-05-19T11:23:48+00:00,2026-05-19T11:26:57+00:00
teddriggs/darling,89984100,546,45,45,1,100.0,6783,62.76,529,49,1,100.0,6903,69.08,275,36,1,100.0,5716,51.34,76,,2026-05-19T11:23:49+00:00,2026-05-19T11:26:57+00:00
tehshrike/deepmerge,3276413,238,28,28,1,100.0,6135,57.74,273,36,1,100.0,4010,42.75,13,7,1,100.0,3254,27.34,57,,2026-05-19T11:23:50+00:00,2026-05-19T11:26:58+00:00
terkelg/sisteransi,122441239,27,4,4,1,100.0,7339,69.48,28,6,1,100.0,6811,68.19,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:23:51+00:00,2026-05-19T11:26:58+00:00
terser/terser,29097127,3421,236,233,2,27.68,2139,16.97,3201,256,2,34.04,2032,18.86,525,60,1,100.0,6539,58.48,81,,2026-05-19T11:23:53+00:00,2026-05-19T11:26:58+00:00
textualize/rich,220809393,4268,268,265,1,100.0,5252,50.46,3272,285,1,100.0,3824,40.74,1994,231,2,26.56,2521,19.98,36,,2026-05-19T11:23:55+00:00,2026-05-19T11:26:59+00:00
theskumar/python-dotenv,23727790,295,101,99,2,27.68,1578,11.28,398,103,2,34.04,2570,24.0,136,43,2,26.56,2063,17.52,32,,2026-05-19T11:23:55+00:00,2026-05-19T11:27:00+00:00
thkukuk/rpcsvc-proto,55140533,31,6,6,1,100.0,7086,66.17,26,7,1,100.0,6006,62.28,8,3,1,100.0,5938,53.68,77,,2026-05-19T11:23:56+00:00,2026-05-19T11:27:00+00:00
thlorenz/convert-source-map,8751561,109,22,22,1,100.0,4371,40.32,114,27,1,100.0,3894,41.29,18,7,2,26.56,2654,21.43,36,,2026-05-19T11:23:57+00:00,2026-05-19T11:27:01+00:00
thlorenz/deep-is,9345558,13,3,3,1,100.0,7278,68.68,24,4,2,34.04,4236,44.75,1,1,1,100.0,10000,100.0,100,,2026-05-19T11:23:58+00:00,2026-05-19T11:27:01+00:00
tim-kos/node-retry,1738798,72,23,23,1,100.0,2897,24.37,124,26,2,34.04,2986,30.8,5,3,1,100.0,4400,40.07,66,,2026-05-19T11:24:01+00:00,2026-05-19T11:27:02+00:00
time-rs/time,26459635,1265,70,70,1,100.0,8414,79.04,1138,70,1,100.0,8214,80.13,727,53,1,100.0,8344,70.42,91,,2026-05-19T11:24:03+00:00,2026-05-19T11:27:03+00:00
tj/commander.js,2206953,1454,171,170,2,27.68,2183,17.77,1201,195,2,34.04,2343,21.99,454,37,1,100.0,5973,53.91,77,,2026-05-19T11:24:05+00:00,2026-05-19T11:27:03+00:00
tj/node-cookie-signature,6229722,61,7,7,1,100.0,4335,39.75,54,10,2,34.04,2874,29.24,18,3,1,100.0,6358,57.03,80,,2026-05-19T11:24:05+00:00,2026-05-19T11:27:04+00:00
tjguk/wmi,23124645,36,1,1,1,100.0,10000,100.0,814,3,1,100.0,4898,51.9,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:24:05+00:00,2026-05-19T11:27:04+00:00
tkem/cachetools,18006791,467,21,20,1,100.0,8412,78.93,380,17,1,100.0,8427,81.47,185,13,1,100.0,7209,62.83,85,,2026-05-19T11:24:07+00:00,2026-05-19T11:27:05+00:00
tokio-rs/bytes,30062547,548,119,119,3,11.85,1553,10.82,541,127,4,9.26,1446,11.94,160,63,4,9.49,866,5.58,15,,2026-05-19T11:24:09+00:00,2026-05-19T11:27:05+00:00
tokio-rs/loom,161875917,233,56,56,2,27.68,1876,14.35,233,55,2,34.04,1876,16.85,102,37,4,9.49,973,6.14,16,,2026-05-19T11:24:09+00:00,2026-05-19T11:27:06+00:00
tokio-rs/prost,94262864,777,158,157,2,27.68,2185,17.88,773,161,2,34.04,2145,19.87,398,121,2,26.56,1695,13.28,29,,2026-05-19T11:24:12+00:00,2026-05-19T11:27:06+00:00
tokio-rs/slab,37093133,131,40,40,3,11.85,1341,7.4,126,39,2,34.04,1422,11.61,65,20,1,100.0,3420,29.02,58,,2026-05-19T11:24:12+00:00,2026-05-19T11:27:06+00:00
tokio-rs/tokio,67836789,3803,437,437,5,4.1,704,3.19,4170,958,12,1.79,474,2.68,1999,609,14,1.12,643,2.57,7,,2026-05-19T11:24:16+00:00,2026-05-19T11:27:07+00:00
tokio-rs/tracing,165289175,1590,305,303,1,100.0,2758,23.12,1597,302,1,100.0,2728,26.23,735,202,3,13.73,1681,13.17,24,,2026-05-19T11:24:17+00:00,2026-05-19T11:27:07+00:00
toml-rs/toml,95902102,3020,150,146,1,100.0,4875,45.67,2238,154,1,100.0,4407,45.98,1580,56,1,100.0,8813,74.22,94,,2026-05-19T11:24:16+00:00,2026-05-19T11:27:07+00:00
tootallnate/proxy-agents,11293703,336,45,42,1,100.0,6034,57.29,301,42,1,100.0,5821,59.93,149,27,1,100.0,4329,38.73,66,,2026-05-19T11:24:17+00:00,2026-05-19T11:27:09+00:00
tootallnate/util-deprecate,19321056,8,2,2,1,100.0,7812,74.83,8,3,1,100.0,5938,61.61,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:24:18+00:00,2026-05-19T11:27:09+00:00
torvalds/linux,2325298,,,,,,,,1312967,28169,338,0.22,13,0.11,397525,12424,256,0.22,19,0.11,1,,,2026-06-28T12:24:56+00:00
tower-rs/tower,98244646,615,107,107,5,4.1,784,3.76,596,105,5,6.7,803,5.69,197,64,5,6.92,1004,6.92,14,,2026-05-19T11:24:21+00:00,2026-05-19T11:27:10+00:00
tox-dev/filelock,17098256,405,59,57,1,100.0,3657,32.92,388,51,2,34.04,2120,19.53,300,42,1,100.0,3073,25.78,55,,2026-05-19T11:24:22+00:00,2026-05-19T11:27:10+00:00
tox-dev/platformdirs,367032142,557,78,76,4,6.72,1189,6.72,483,75,5,6.7,799,5.47,314,46,2,26.56,1975,16.41,31,,2026-05-19T11:24:23+00:00,2026-05-19T11:27:10+00:00
tqdm/tqdm,36804486,2006,108,107,1,100.0,6017,57.18,1730,115,1,100.0,5515,58.04,271,28,1,100.0,7519,64.73,87,,2026-05-19T11:24:25+00:00,2026-05-19T11:27:11+00:00
tritondatacenter/node-assert-plus,4767976,30,8,8,2,27.68,2133,16.86,35,10,2,34.04,1951,17.63,2,1,1,100.0,10000,100.0,100,,2026-05-19T11:24:26+00:00,2026-05-19T11:27:11+00:00
tritondatacenter/node-extsprintf,4058064,8,5,5,1,100.0,3125,26.65,20,5,1,100.0,4700,49.0,1,1,1,100.0,10000,100.0,100,,2026-05-19T11:24:27+00:00,2026-05-19T11:27:11+00:00
troygoode/node-require-directory,3053807,78,9,9,1,100.0,7844,75.17,70,10,1,100.0,7371,73.21,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:24:28+00:00,2026-05-19T11:27:11+00:00
tsconfig/bases,263697285,439,93,93,1,100.0,2586,20.84,278,93,12,1.79,727,4.91,229,87,15,1.0,334,1.23,5,,2026-05-19T11:24:31+00:00,2026-05-19T11:30:48+00:00
tukaani-project/xz,553665726,3006,56,56,1,100.0,6778,62.64,2980,60,1,100.0,6706,67.3,1702,39,1,100.0,5449,49.33,74,,2026-05-19T11:24:32+00:00,2026-05-19T11:27:12+00:00
typescript-eslint/typescript-eslint,165536154,6034,444,439,5,4.1,682,2.96,6301,752,6,5.36,603,3.91,4492,476,6,4.35,738,3.68,11,,2026-05-19T11:24:35+00:00,2026-05-19T11:27:12+00:00
typeshed-internal/stub_uploader,331669593,,,,,,,,3304,23,1,100.0,8840,85.04,3304,23,1,100.0,8840,74.44,94,,,2026-06-28T20:19:21+00:00
unicode-org/icu,49244766,27304,220,219,4,6.72,1028,5.01,33503,260,6,5.36,734,5.13,2164,137,5,6.92,673,2.9,12,,2026-05-19T11:23:33+00:00,2026-05-19T11:27:15+00:00
unicode-org/icu4x,243395141,5015,137,136,2,27.68,1863,14.12,4572,124,2,34.04,1844,16.07,4269,119,2,26.56,1942,16.07,31,,2026-05-19T11:23:38+00:00,2026-05-19T11:27:18+00:00
unicode-rs/unicode-xid,34637906,85,20,20,2,27.68,2454,19.93,61,23,4,9.26,970,7.03,36,14,2,26.56,1620,12.61,28,,2026-05-19T11:23:42+00:00,2026-05-19T11:27:21+00:00
unshiftio/requires-port,26316179,52,4,3,1,100.0,4819,44.87,46,3,1,100.0,5106,54.35,18,1,1,100.0,10000,100.0,100,,2026-05-19T11:23:47+00:00,2026-05-19T11:27:21+00:00
uqfoundation/dill,11031844,1057,43,42,1,100.0,7508,71.07,692,46,1,100.0,3478,36.38,237,21,1,100.0,6326,56.47,80,,2026-05-19T11:23:51+00:00,2026-05-19T11:27:22+00:00
urllib3/urllib3,2410676,4034,346,345,4,6.72,1113,5.92,3597,380,5,6.7,695,4.46,824,135,3,13.73,1072,7.48,19,,2026-05-19T11:23:59+00:00,2026-05-19T11:27:22+00:00
util-linux/util-linux,2339555,20377,378,377,1,100.0,3791,34.4,19907,1029,1,100.0,2782,27.46,5375,406,2,26.56,1893,15.74,31,,2026-05-19T11:24:07+00:00,2026-05-19T11:27:23+00:00
uuidjs/uuid,1203139,596,77,74,2,27.68,3494,31.44,545,80,2,34.04,3167,32.92,146,29,1,100.0,4120,36.61,64,,2026-05-19T11:24:10+00:00,2026-05-19T11:27:23+00:00
vercel/ai,644461337,5812,472,468,3,11.85,1808,13.44,5450,513,3,14.29,1962,17.86,5450,513,3,13.73,1962,16.29,26,,2026-05-19T11:24:19+00:00,2026-05-19T11:27:24+00:00
vercel/ms,3655872,186,39,37,3,11.85,1473,9.23,164,40,3,14.29,1368,10.83,38,11,1,100.0,3587,31.03,60,,2026-05-19T11:24:23+00:00,2026-05-19T11:27:25+00:00
visionmedia/bytes.js,4626886,165,17,17,1,100.0,5747,54.78,162,20,1,100.0,5865,60.49,27,1,1,100.0,10000,100.0,100,,2026-05-19T11:22:37+00:00,2026-05-19T11:27:26+00:00
vitest-dev/vitest,434708679,5485,463,461,2,27.68,1870,14.24,5286,681,2,34.04,1720,14.51,5286,681,2,26.56,1720,13.5,29,,2026-05-19T11:22:42+00:00,2026-05-19T11:27:27+00:00
vorner/signal-hook,137260008,370,36,35,1,100.0,6091,57.63,286,36,1,100.0,5096,54.24,132,28,1,100.0,3434,29.24,59,,2026-05-19T11:22:45+00:00,2026-05-19T11:27:29+00:00
vuejs/core,137078487,6835,442,439,1,100.0,3870,35.65,6841,594,1,100.0,3705,39.62,3829,418,1,100.0,2734,21.99,52,,2026-05-19T11:22:53+00:00,2026-05-19T11:27:30+00:00
wasm-bindgen/wasm-bindgen,114685405,4189,433,431,3,11.85,1631,11.73,3364,511,4,9.26,1176,9.15,992,284,7,3.46,704,3.35,10,,2026-05-19T11:22:57+00:00,2026-05-19T11:27:30+00:00
watson/ci-info,71475907,210,32,32,1,100.0,3456,30.98,207,34,2,34.04,2323,21.32,127,21,1,100.0,3283,27.57,57,,2026-05-19T11:23:02+00:00,2026-05-19T11:27:30+00:00
wbond/asn1crypto,36823669,783,32,32,1,100.0,8274,77.68,758,37,1,100.0,7801,77.12,78,10,1,100.0,5855,53.01,77,,2026-05-19T11:23:07+00:00,2026-05-19T11:27:31+00:00
webmproject/libwebp,23368445,5060,54,54,2,27.68,3157,28.02,3980,77,2,34.04,2773,27.01,802,37,1,100.0,4136,36.83,64,,2026-05-19T11:24:24+00:00,2026-05-19T11:27:31+00:00
webpack/enhanced-resolve,5400204,998,71,68,1,100.0,3073,26.08,698,76,2,34.04,2768,26.79,243,32,2,26.56,1991,16.85,32,,2026-05-19T11:22:51+00:00,2026-05-19T11:27:32+00:00
webpack/minimizer-webpack-plugin,143057914,422,39,37,2,27.68,2952,24.83,798,36,1,100.0,3263,33.93,370,17,2,26.56,2645,21.09,36,,2026-05-19T11:23:40+00:00,2026-05-19T11:27:35+00:00
webpack/schema-utils,80306715,206,20,19,3,11.85,1620,11.62,205,20,4,9.26,1239,9.82,83,6,2,26.56,3529,30.47,42,,2026-05-19T11:23:23+00:00,2026-05-19T11:27:34+00:00
webpack/tapable,7730086,283,38,36,1,100.0,4015,36.67,204,37,1,100.0,3578,37.61,24,9,2,26.56,2396,19.2,35,,2026-05-19T11:23:35+00:00,2026-05-19T11:27:34+00:00
webpack/watchpack,24119524,443,31,29,1,100.0,5660,54.21,323,32,1,100.0,5407,57.25,59,9,2,26.56,2707,21.65,37,,2026-05-19T11:23:44+00:00,2026-05-19T11:27:35+00:00
webpack/webpack-sources,48954523,352,28,26,1,100.0,4917,46.24,233,29,1,100.0,4158,44.2,94,11,1,100.0,4007,35.38,63,,2026-05-19T11:23:50+00:00,2026-05-19T11:27:36+00:00
webreflection/flatted,131121620,145,12,11,1,100.0,7557,71.75,125,10,1,100.0,8596,83.15,58,5,1,100.0,8635,72.66,93,,2026-05-19T11:23:56+00:00,2026-05-19T11:27:36+00:00
webreflection/html-escaper,33597730,28,1,1,1,100.0,10000,100.0,27,1,1,100.0,10000,100.0,6,1,1,100.0,10000,100.0,100,,2026-05-19T11:24:04+00:00,2026-05-19T11:27:36+00:00
websocket-client/websocket-client,1202362,1237,186,186,2,27.68,3035,25.85,1034,224,2,34.04,2123,19.64,364,58,1,100.0,6231,55.25,79,,2026-05-19T11:24:09+00:00,2026-05-19T11:27:37+00:00
websockets/ws,2744972,1871,180,179,2,27.68,2622,21.18,1715,202,2,34.04,2708,26.12,281,27,1,100.0,7984,68.19,89,,2026-05-19T11:24:15+00:00,2026-05-19T11:27:37+00:00
wesleytodd/setprototypeof,30301031,25,4,4,1,100.0,7152,66.97,25,5,1,100.0,6512,65.85,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:24:21+00:00,2026-05-19T11:27:37+00:00
whitequark/ipaddr.js,2110585,186,35,35,1,100.0,2836,23.8,156,39,2,34.04,2361,22.32,20,10,3,13.73,1500,12.39,22,,2026-05-19T11:24:28+00:00,2026-05-19T11:27:38+00:00
withoutboats/heck,86326466,51,11,11,1,100.0,3633,32.8,57,13,2,34.04,3026,31.47,24,7,1,100.0,4201,37.39,65,,2026-05-19T11:22:46+00:00,2026-05-19T11:27:38+00:00
xiph/ogg,33956205,304,37,37,1,100.0,4037,36.9,599,62,3,14.29,1413,11.5,38,11,2,26.56,2853,23.1,38,,2026-05-19T11:22:40+00:00,2026-05-19T11:27:39+00:00
xtuc/webassemblyjs,113006071,1738,36,34,1,100.0,7132,66.74,1709,37,1,100.0,6140,63.62,90,12,1,100.0,3716,31.92,61,,2026-05-19T11:22:45+00:00,2026-05-19T11:27:39+00:00
yahoo/serialize-javascript,24106944,169,26,24,2,27.68,3008,25.51,157,27,2,34.04,2624,25.0,60,9,2,26.56,2653,21.21,36,,2026-05-19T11:22:49+00:00,2026-05-19T11:27:39+00:00
yaml/libyaml,2699072,217,29,29,2,27.68,2450,19.82,218,33,2,34.04,2341,21.88,7,2,1,100.0,7551,65.4,87,,2026-05-19T11:22:55+00:00,2026-05-19T11:27:40+00:00
yaml/pyyaml,2700147,323,37,37,1,100.0,3176,28.47,325,40,1,100.0,3104,32.37,44,6,2,26.56,2944,24.22,38,,2026-05-19T11:23:00+00:00,2026-05-19T11:27:40+00:00
yargs/cliui,34287546,80,14,12,2,27.68,2153,17.2,116,14,2,34.04,2138,19.75,13,3,2,26.56,3878,34.26,44,,2026-05-19T11:23:06+00:00,2026-05-19T11:27:40+00:00
yargs/set-blocking,58830287,7,5,5,2,27.68,2245,18.56,13,6,2,34.04,2781,27.34,1,1,1,100.0,10000,100.0,100,,2026-05-19T11:23:13+00:00,2026-05-19T11:27:41+00:00
yargs/y18n,39720886,60,14,11,3,11.85,1571,11.16,99,16,3,14.29,1614,13.62,11,3,1,100.0,5000,46.43,71,,2026-05-19T11:23:20+00:00,2026-05-19T11:27:41+00:00
yargs/yargs,14210523,1039,281,278,6,2.85,1227,7.18,1614,299,2,34.04,1904,17.19,191,75,4,9.49,1120,8.04,17,,2026-05-19T11:23:28+00:00,2026-05-19T11:27:41+00:00
yargs/yargs-parser,50258379,224,56,53,5,4.1,750,3.64,353,55,1,100.0,3329,34.71,61,14,2,26.56,2196,18.08,33,,2026-05-19T11:23:35+00:00,2026-05-19T11:27:41+00:00
yuzujs/setimmediate,1981208,117,11,11,1,100.0,5085,48.75,110,12,1,100.0,4736,49.44,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:23:39+00:00,2026-05-19T11:27:42+00:00
zertosh/loose-envify,41947687,31,5,5,1,100.0,7627,72.89,30,5,1,100.0,7556,74.89,0,0,1,100.0,10000,100.0,100,no commits in 5y,2026-05-19T11:23:44+00:00,2026-05-19T11:27:42+00:00
zesterer/spin-rs,21686666,388,56,56,2,27.68,2179,17.43,310,56,2,34.04,1733,14.62,93,27,2,26.56,1664,12.83,29,,2026-05-19T11:23:48+00:00,2026-05-19T11:27:43+00:00
zloirock/core-js,11481338,7801,133,133,1,100.0,9054,84.74,7023,142,1,100.0,8979,86.16,4266,54,1,100.0,9088,75.89,95,,2026-05-19T11:23:54+00:00,2026-05-19T11:27:43+00:00
