repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
andyperlitch/jsbn,gh/9710533,12.7,0,1,0,True,0,2022-03-20T04:22:24Z,4,1,0.25,91.05,3,-0.3,-0.1,,,1841.0,87.7,0.0,78.08,3.0,94.23,86,2026-04-27T13:18:12Z
angular/angular-cli,gh/36891867,10.6,198,0,,True,5,2026-04-27T07:08:05Z,3966,4084,1.03,17.52,-118,-51.0,-75.3,-0.0306,68.5,1970.6869,88.48,0.0,78.08,-0.596,6.79,36,2026-04-27T13:18:12Z
annotated-types/annotated-types,gh/487934134,3.7,20,0,1,True,4,2026-02-10T20:18:36Z,40,32,0.8,57.11,8,1.6,1.1,-0.0625,79.32,37.55,8.05,0.0,78.08,0.4,54.19,32,2026-04-27T13:18:12Z
antonk52/lilconfig,gh/238967485,5.9,8,0,0,True,5,2025-12-10T09:00:48Z,15,12,0.8,57.11,3,-0.1,-0.2,-0.0333,69.63,326.375,53.8,0.125,94.18,0.375,53.28,65,2026-04-27T13:18:12Z
apache/airflow,gh/33884891,10.7,2347,0,10,True,5,2026-04-27T18:40:07Z,10890,10223,0.939,38.85,667,184.4,84.8,-0.0457,73.02,548.115,68.34,0.0383,86.35,0.2842,48.3,66,2026-04-27T18:55:21Z
apache/arrow,gh/51905353,9.9,882,0,10,True,5,2026-04-27T03:30:14Z,15280,13079,0.856,49.26,2201,-594.0,-445.6,0.0486,37.96,1339.1485,82.89,0.0045,79.87,2.4955,90.95,84,2026-04-27T13:18:12Z
apache/arrow-rs,gh/358917250,4.7,586,0,10,True,5,2026-04-25T15:55:54Z,3332,2849,0.855,49.39,483,12.4,23.9,0.0173,49.76,691.6997,72.93,0.0051,79.98,0.8242,67.19,73,2026-04-27T13:18:13Z
ardatan/graphql-tools,gh/54432168,9.8,167,0,10,True,5,2026-04-24T21:33:02Z,484,385,0.795,57.35,99,-39.6,-35.6,0.0413,40.71,365.9162,57.49,0.0,78.08,0.5928,61.31,65,2026-04-27T13:18:13Z
ardatan/whatwg-node,gh/429511342,4.1,29,0,10,True,5,2026-04-27T10:43:31Z,75,66,0.88,47.06,9,3.1,3.4,0.02,48.3,468.931,64.65,0.0,78.08,0.3103,49.43,63,2026-04-27T13:18:13Z
assert-rs/snapbox,gh/424722460,4.2,18,0,10,True,5,2026-04-16T19:58:06Z,113,73,0.646,73.04,40,-4.5,-1.9,0.115,21.32,687.4444,72.82,0.0,78.08,2.2222,90.38,80,2026-04-27T13:18:13Z
astanin/python-tabulate,gh/205875548,6.3,46,0,,True,5,2026-03-11T08:45:56Z,179,116,0.648,72.67,63,-6.5,-9.6,-0.0866,84.33,184.3913,37.92,0.0,78.08,1.3696,82.35,62,2026-04-27T13:18:13Z
astral-sh/ruff,gh/523043277,3.4,746,0,10,True,4,2026-04-27T12:51:43Z,7609,5973,0.785,58.58,1636,526.2,386.4,-0.0919,85.95,1129.2038,81.43,0.0,78.08,2.193,90.16,83,2026-04-27T13:18:13Z
auth0/node-jwa,gh/8116861,12.9,2,0,1,True,2,2026-03-30T19:03:42Z,4,0,0.0,100.0,4,0.4,0.0,,,465.0,64.32,0.0,78.08,2.0,89.03,76,2026-04-27T13:02:57Z
autotools-mirror/autoconf,gh/47662429,10.1,28,0,10,False,5,2026-03-20T19:50:08Z,0,0,,,0,,,,,148.5357,32.66,0.0,78.08,0.0,35.97,45,2026-04-27T18:55:22Z
autotools-mirror/libtool,gh/47662711,10.1,60,0,7,False,4,2026-04-22T17:35:35Z,0,0,,,0,,,,,114.7,27.07,0.0,78.08,0.0,35.97,42,2026-04-27T18:55:22Z
autotools-mirror/m4,gh/66880383,9.3,4,0,5,False,5,2026-02-06T20:20:30Z,0,0,,,0,,,,,2170.75,89.82,0.0,78.08,0.0,35.97,63,2026-04-27T18:55:22Z
aws/aws-cli,gh/6780767,13.1,138,0,10,True,5,2026-04-25T00:04:53Z,1566,1623,1.036,16.67,-57,-59.9,-89.1,-0.0932,86.11,795.6812,75.28,0.0,78.08,-0.413,9.5,38,2026-04-27T13:18:13Z
aws/aws-sdk-js-crypto-helpers,gh/149673986,7.3,21,0,1,True,5,2026-04-17T21:42:49Z,26,27,1.038,16.42,-1,-2.5,-2.1,0.0769,30.37,133.0,29.98,0.0,78.08,-0.0476,18.33,35,2026-04-27T13:18:13Z
aws/aws-sdk-js-v3,gh/87228090,8.7,135,0,10,True,5,2026-04-24T19:03:32Z,2449,2464,1.006,19.61,-15,-45.3,12.8,0.1186,21.16,53800.637,98.88,0.0,78.08,-0.1111,16.63,50,2026-04-27T13:18:13Z
axios/axios,gh/23088740,11.4,300,0,10,True,5,2026-04-27T12:33:40Z,2188,2207,1.009,19.12,-19,-125.7,-52.3,0.1677,14.05,62.91,13.87,0.02,83.89,-0.0633,17.76,27,2026-04-27T13:18:13Z
azure/azure-sdk-for-js,gh/108311273,8.2,384,0,10,True,5,2026-04-27T09:55:51Z,6459,6563,1.016,18.75,-104,-269.2,-131.1,0.1069,22.94,18194.7839,97.65,0.0026,78.86,-0.2708,12.78,46,2026-04-27T13:18:13Z
azure/azure-sdk-for-python,gh/4127088,13.7,603,0,10,True,5,2026-04-27T18:09:42Z,7684,7590,0.988,31.37,94,-160.8,-113.5,0.0308,44.75,20634.8143,97.87,0.0033,79.19,0.1559,42.08,69,2026-04-27T18:55:22Z
azuread/microsoft-authentication-library-for-python,gh/67243113,9.3,31,0,10,True,5,2026-04-17T19:55:55Z,256,222,0.867,48.04,34,0.8,-0.9,-0.0332,69.14,437.3871,62.42,0.0,78.08,1.0968,78.85,73,2026-04-27T13:18:13Z
babel/babel,gh/24560307,11.3,242,0,10,True,5,2026-04-27T09:50:20Z,1572,1649,1.049,14.83,-77,-93.2,-98.4,-0.0165,64.78,1370.9008,83.33,0.0083,80.76,-0.3182,11.65,43,2026-04-27T13:18:13Z
babel/babel-polyfills,gh/190579283,6.6,20,0,10,True,5,2026-04-17T12:59:32Z,57,43,0.754,61.52,14,-4.2,-2.9,0.114,21.49,2803.0,91.72,0.0,78.08,0.7,65.16,78,2026-04-27T13:18:13Z
babel/minify,gh/55723051,9.7,2,0,,True,1,2024-06-01T07:30:35Z,,,,,,,,,,9548.0,96.09,0.0,78.08,,50,72,2026-04-27T18:55:22Z
bdwgc/bdwgc,gh/2109456,14.4,73,0,10,True,5,2026-04-24T09:49:04Z,337,205,0.608,75.74,132,-1.9,1.1,0.0445,39.26,887.863,77.96,0.0,78.08,1.8082,85.97,81,2026-04-27T13:18:13Z
beatgammit/base64-js,gh/2853282,14.1,1,0,0,True,1,2024-07-25T09:39:14Z,7,5,0.714,65.81,2,-0.2,0.6,0.5714,1.78,344.0,55.37,0.0,78.08,2.0,89.03,73,2026-04-27T13:18:13Z
benjaminp/six,gh/77868600,9.0,10,0,2,True,5,2026-02-23T02:19:45Z,24,20,0.833,52.94,4,-0.9,-0.9,0.0,60.1,233.2,43.51,0.0,78.08,0.4,54.19,57,2026-04-27T13:18:13Z
besser82/libxcrypt,gh/35503965,10.6,19,0,0,True,5,2025-12-10T22:08:51Z,54,45,0.833,52.94,9,-1.7,-1.3,0.037,42.16,1580.4211,85.12,0.0,78.08,0.4737,56.56,72,2026-04-27T13:18:13Z
