repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
colorjs/color-name,gh/27038309,11.1,3,0,0,True,3,2025-11-12T16:51:27Z,7,7,1.0,30.64,0,0.8,0.8,0.0,60.1,59.0,13.09,0.3333,97.99,0.0,35.97,36,2026-04-27T13:18:15Z
comex/rust-shlex,gh/37886228,10.5,6,0,5,True,4,2026-04-23T06:48:53Z,8,7,0.875,47.67,1,-0.3,-0.6,-0.1875,93.21,256.1667,46.42,0.1667,95.64,0.1667,43.44,58,2026-04-27T13:18:14Z
component/escape-html,gh/5444800,13.4,0,1,0,True,0,2022-09-16T12:09:21Z,0,0,,,0,,,,,323.0,53.24,0.0,78.08,0.0,35.97,53,2026-04-27T13:18:15Z
component/toidentifier,gh/114743189,8.0,1,0,0,True,1,2023-12-18T09:26:57Z,0,0,,,0,,,,,116.0,27.29,0.0,78.08,0.0,35.97,42,2026-04-27T13:18:15Z
composefs/tar-rs,gh/21946092,11.5,33,0,10,True,5,2026-06-30T15:11:35Z,85,31,0.365,87.13,54,-1.5,-1.9,-0.0235,66.4,240.6364,44.41,0.0606,89.26,1.6364,84.73,70,2026-07-05T12:51:54Z
conventional-changelog/commitlint,gh/51575745,9.9,176,0,10,True,5,2026-04-27T11:08:28Z,370,311,0.841,51.1,59,-7.7,-9.8,-0.0284,67.85,109.5852,25.62,0.0,78.08,0.3352,51.92,47,2026-04-27T13:18:15Z
conventional-changelog/conventional-changelog,gh/15639771,12.0,48,0,10,True,5,2026-04-23T13:20:54Z,192,106,0.552,78.43,86,-3.9,4.5,0.2188,10.5,443.8542,62.98,0.0208,84.0,1.7917,85.86,77,2026-04-27T13:18:15Z
cosmiconfig/cosmiconfig,gh/45750507,10.1,11,0,10,True,3,2026-03-02T13:27:47Z,61,58,0.951,36.89,3,-1.8,-1.3,0.041,40.87,675.0909,72.48,0.0,78.08,0.2727,47.96,65,2026-04-27T13:18:15Z
coveragepy/coveragepy,gh/138421996,7.5,97,0,10,True,5,2026-07-05T12:46:57Z,643,625,0.972,34.56,18,-6.8,-8.8,-0.0156,64.46,530.567,67.67,0.0,78.08,0.1856,43.78,61,2026-07-05T14:44:26Z
cpburnz/python-pathspec,gh/14648551,12.1,10,0,10,True,4,2026-04-27T01:45:26Z,37,36,0.973,34.19,1,-0.2,-1.3,-0.1486,90.63,1537.9,84.79,0.0,78.08,0.1,39.25,64,2026-04-27T13:18:15Z
crate-py/rpds,gh/608018848,2.8,18,0,10,True,3,2026-04-21T09:24:51Z,52,48,0.923,41.67,4,5.0,4.3,-0.0673,79.97,175.7778,36.8,0.0,78.08,0.2222,46.04,51,2026-04-27T13:18:15Z
criterion-rs/criterion.rs,gh/1081104682,0.2,68,0,10,True,5,2026-04-17T11:48:35Z,11,7,0.636,74.02,4,2.2,1.4,-0.3636,97.25,245.7059,45.19,0.0,78.08,0.0588,37.33,51,2026-04-27T13:18:15Z
crossbeam-rs/crossbeam,gh/35566048,10.6,50,0,10,True,5,2026-02-22T20:58:32Z,199,153,0.769,60.42,46,-7.0,-7.9,-0.0226,66.24,891.16,78.08,0.18,95.75,0.92,68.55,80,2026-04-27T13:18:15Z
css-modules/icss-utils,gh/42766912,10.3,0,1,0,True,1,2023-01-06T01:40:18Z,1,1,1.0,30.64,0,-0.2,-0.2,,,663.0,71.92,0.0,78.08,0.0,35.97,59,2026-04-27T13:18:15Z
cssnano/cssnano,gh/33943153,10.7,44,0,10,True,5,2026-04-20T20:02:15Z,202,177,0.876,47.3,25,-16.1,-17.8,-0.0421,71.73,610.75,70.92,0.0,78.08,0.5682,60.75,70,2026-04-27T13:18:15Z
csstools/postcss-plugins,gh/219192307,6.2,53,0,10,True,5,2026-04-27T08:56:46Z,354,368,1.04,15.93,-14,-13.0,-11.9,0.0155,50.24,1755.1321,87.36,0.0,78.08,-0.2642,12.9,44,2026-04-27T13:18:15Z
csstree/csstree,gh/67236461,9.3,16,0,10,True,5,2026-03-05T14:58:51Z,126,96,0.762,61.03,30,-0.2,-1.9,-0.0675,80.13,1214.5,81.88,0.0,78.08,1.875,86.31,82,2026-04-27T13:18:15Z
curl/curl,gh/569041,15.8,654,0,10,True,5,2026-04-27T15:47:01Z,2720,2740,1.007,19.36,-20,-3.8,-0.2,0.0066,53.63,482.5474,65.77,0.1346,94.41,-0.0306,18.55,49,2026-04-27T18:55:26Z
cuviper/autocfg,gh/135481335,7.6,4,0,0,True,3,2026-02-05T23:34:11Z,23,18,0.783,58.82,5,-0.5,0.0,0.1087,22.78,356.25,56.49,0.0,78.08,1.25,81.33,71,2026-04-27T13:18:15Z
cyan4973/xxhash,gh/19330466,11.7,71,0,10,True,5,2026-04-13T13:14:32Z,218,210,0.963,36.03,8,-10.1,-10.2,-0.0023,60.26,897.0282,78.3,0.0,78.08,0.1127,40.05,63,2026-04-27T13:18:15Z
daaku/nodejs-makeerror,gh/2097803,14.4,1,0,0,True,1,2021-10-23T14:00:48Z,1,3,3.0,0.61,-2,-0.2,-0.6,,,248.0,45.53,0.0,78.08,-2.0,1.81,19,2026-04-27T13:18:15Z
daaku/nodejs-tmpl,gh/2171213,14.4,1,0,0,True,1,2022-10-23T17:00:57Z,1,1,1.0,30.64,0,-0.2,-0.2,,,25.0,5.26,1.0,99.78,0.0,35.97,27,2026-04-27T13:18:15Z
dateutil/dateutil,gh/26876372,11.1,15,0,10,True,5,2026-03-03T05:40:58Z,219,94,0.429,85.66,125,-5.3,-3.8,0.0342,43.13,1265.2,82.21,0.0,78.08,8.3333,98.64,86,2026-04-27T13:18:15Z
davidhalter/parso,gh/90668463,8.6,20,0,10,True,5,2026-04-03T20:09:17Z,34,30,0.882,46.94,4,-3.1,-3.6,-0.0735,82.39,835.45,76.4,0.0,78.08,0.2,45.36,65,2026-04-27T13:18:15Z
davisjam/safe-regex,gh/90781457,8.6,0,1,0,True,0,2022-11-01T15:52:16Z,3,0,0.0,100.0,3,-0.5,0.0,,,524.0,67.56,0.0,78.08,3.0,94.23,79,2026-04-27T13:18:15Z
dchest/tweetnacl-js,gh/15649752,12.0,4,0,1,True,5,2025-08-15T11:43:43Z,22,24,1.091,11.89,-2,-1.8,-1.6,0.0455,39.1,5978.5,94.97,0.0,78.08,-0.5,8.6,40,2026-04-27T13:18:15Z
dcodeio/long.js,gh/8678904,12.8,7,0,0,True,4,2025-04-17T17:32:07Z,22,37,1.682,2.82,-15,-1.9,0.2,0.4773,3.23,530.7143,67.79,0.0,78.08,-2.1429,1.47,20,2026-04-27T13:18:15Z
debug-js/debug,gh/2871998,14.1,10,0,2,True,5,2026-04-01T12:03:30Z,152,117,0.77,60.05,35,-4.8,-5.4,-0.0197,65.91,107.4,25.5,0.2,95.86,3.5,95.02,61,2026-04-27T13:18:15Z
definitelytyped/definitelytyped,gh/6093316,13.2,6542,0,10,True,5,2026-04-27T00:14:51Z,980,3982,4.063,0.25,-3002,-98.9,-678.0,-2.9546,100.0,169.1058,35.79,0.0,78.08,-0.4589,8.94,29,2026-04-27T13:18:15Z
defunctzombie/node-process,gh/7580644,13.0,0,1,0,True,0,2020-08-07T11:25:53Z,4,0,0.0,100.0,4,-0.2,0.0,,,385.0,59.17,0.0,78.08,4.0,95.81,76,2026-04-27T13:03:16Z
django/asgiref,gh/48501860,10.0,68,0,5,True,5,2026-02-23T06:35:28Z,143,116,0.811,55.27,27,-3.4,-3.3,0.0035,54.44,67.9559,16.0,0.0,78.08,0.3971,53.73,41,2026-04-27T13:18:15Z
djc/rustc-version-rs,gh/41272773,10.4,4,0,0,True,2,2024-08-28T09:21:44Z,7,17,2.429,1.1,-10,-0.7,-2.7,-1.4286,99.84,220.0,42.06,0.0,78.08,-2.5,1.13,15,2026-04-27T13:18:15Z
dmitrysoshnikov/regexp-tree,gh/85459304,8.8,8,0,0,True,5,2026-01-21T23:26:41Z,28,9,0.321,88.97,19,-1.5,0.2,0.3036,6.46,1700.125,86.8,0.0,78.08,2.375,90.72,85,2026-04-27T13:18:15Z
docutils/docutils,gh/44840244,10.2,4,0,,False,5,2026-05-27T19:47:06Z,,,,,,,,,,49753.0,98.66,0.0,78.08,,50,73,2026-05-31T23:17:28Z
doowb/ansi-colors,gh/47135420,10.1,2,0,0,True,1,2022-07-11T19:47:40Z,6,1,0.167,92.4,5,-0.5,-0.2,0.25,8.89,521.0,67.45,0.0,78.08,2.5,91.29,78,2026-04-27T13:18:15Z
douglasdwyer/wasm_sync,gh/668034655,2.5,1,0,0,True,2,2024-01-19T23:07:46Z,1,1,1.0,30.64,0,0.1,0.1,,,1638.0,85.91,0.0,78.08,0.0,35.97,62,2026-04-27T13:18:15Z
dougwilson/nodejs-depd,gh/20848667,11.5,1,0,0,True,1,2024-09-03T21:31:02Z,6,2,0.333,88.85,4,-0.4,-0.3,0.0833,28.27,1966.0,88.37,0.0,78.08,4.0,95.81,87,2026-04-27T13:18:16Z
dtolnay/anyhow,gh/212936374,6.2,14,0,10,True,5,2026-03-24T02:44:34Z,147,127,0.864,48.53,20,-4.7,-7.7,-0.102,86.75,445.2857,63.2,0.0,78.08,1.4286,83.26,74,2026-04-27T13:18:16Z
dtolnay/automod,gh/173074854,6.8,4,0,0,True,5,2026-02-08T21:31:33Z,7,2,0.286,89.71,5,0.7,-0.2,-0.6429,98.71,57.75,12.53,0.0,78.08,1.25,81.33,43,2026-04-27T13:18:16Z
dtolnay/dissimilar,gh/229514821,6.0,2,0,2,True,5,2026-03-15T18:00:06Z,10,8,0.8,57.11,2,-1.0,-0.5,0.25,8.89,993.5,80.2,0.0,78.08,1.0,78.17,79,2026-04-27T13:18:16Z
dtolnay/indoc,gh/54252316,9.8,3,0,4,True,5,2026-03-24T02:45:04Z,11,10,0.909,43.26,1,-0.2,0.2,0.1818,13.41,443.0,62.86,0.0,78.08,0.3333,51.81,63,2026-04-27T13:18:16Z
dtolnay/itoa,gh/61962375,9.5,6,0,5,True,5,2026-03-20T00:12:41Z,12,16,1.333,6.37,-4,0.6,-0.1,-0.2917,95.8,103.0,24.72,0.0,78.08,-0.6667,6.33,23,2026-04-27T13:18:16Z
dtolnay/no-panic,gh/143469762,7.4,3,0,3,True,5,2026-03-24T02:37:04Z,18,16,0.889,45.83,2,1.1,0.9,-0.0556,76.09,302.3333,51.23,0.0,78.08,0.6667,63.8,63,2026-04-27T13:18:16Z
dtolnay/proc-macro2,gh/91860126,8.6,11,0,5,True,5,2026-04-19T16:20:36Z,87,86,0.989,31.13,1,0.4,-3.1,-0.2011,94.02,708.3636,73.27,0.0,78.08,0.0909,38.69,60,2026-04-27T13:18:16Z
dtolnay/quote,gh/67273122,9.3,8,0,10,True,5,2026-03-25T06:01:55Z,73,70,0.959,36.15,3,-0.5,-0.7,-0.0137,63.81,451.625,63.31,0.0,78.08,0.375,53.28,64,2026-04-27T13:18:16Z
dtolnay/ref-cast,gh/106295902,8.2,2,0,3,True,5,2026-03-24T02:43:31Z,15,17,1.133,9.8,-2,-0.4,-1.2,-0.2667,95.48,576.5,70.02,0.0,78.08,-1.0,4.3,29,2026-04-27T13:18:16Z
dtolnay/rustversion,gh/183990447,6.7,2,0,2,True,5,2026-03-24T02:45:54Z,20,21,1.05,14.58,-1,0.2,0.2,0.0,60.1,737.0,73.94,0.0,78.08,-0.5,8.6,37,2026-04-27T13:18:16Z
dtolnay/ryu,gh/142720484,7.4,4,0,6,True,5,2026-02-16T03:08:30Z,8,8,1.0,30.64,0,-0.4,-0.7,-0.1875,93.21,999.25,80.31,0.0,78.08,0.0,35.97,61,2026-04-27T13:18:16Z
dtolnay/semver,gh/22432442,11.4,10,0,5,True,5,2026-04-04T00:25:17Z,53,99,1.868,2.45,-46,-3.3,-12.3,-0.8491,99.68,312.5,52.13,0.0,78.08,-4.6,0.23,10,2026-04-27T13:18:16Z
dtolnay/syn,gh/67305738,9.3,37,0,10,True,5,2026-04-17T01:46:02Z,371,347,0.935,39.83,24,-4.5,-6.8,-0.031,68.82,1860.1081,87.81,0.0,78.08,0.6486,62.9,76,2026-04-27T13:18:16Z
dtolnay/target-triple,gh/734167706,2.0,1,0,0,True,3,2025-12-20T17:59:41Z,0,0,,,0,,,,,73.0,17.23,0.0,78.08,0.0,35.97,36,2026-04-27T13:18:16Z
dtolnay/thiserror,gh/213836768,6.2,16,0,6,True,5,2026-03-24T02:34:35Z,157,141,0.898,44.49,16,-0.5,-1.1,-0.0191,65.59,326.875,53.91,0.0,78.08,1.0,78.17,69,2026-04-27T13:18:16Z
dtolnay/trybuild,gh/184941159,6.7,18,0,7,True,5,2026-03-25T06:01:25Z,89,86,0.966,35.66,3,-2.8,-5.0,-0.1236,88.85,239.8889,44.18,0.0,78.08,0.1667,43.44,53,2026-04-27T13:18:16Z
dtolnay/unicode-ident,gh/492639579,3.6,5,0,10,True,4,2026-04-25T04:36:57Z,6,5,0.833,52.94,1,-0.2,-0.2,-0.0,60.1,498.8,66.78,0.0,78.08,0.2,45.36,62,2026-04-27T13:18:16Z
eemeli/yaml,gh/119439276,7.9,22,0,10,True,5,2026-04-24T13:42:02Z,232,219,0.944,38.24,13,-5.3,-5.9,-0.0129,63.33,992.0455,80.09,0.0455,87.58,0.5909,61.2,75,2026-04-27T13:18:16Z
ehmicky/human-signals,gh/214467546,6.2,2,0,0,True,5,2025-05-25T23:03:22Z,4,4,1.0,30.64,0,-0.1,-0.1,,,267.5,47.54,0.0,78.08,0.0,35.97,51,2026-04-27T13:18:16Z
eliben/pycparser,gh/10589864,12.6,26,0,6,True,5,2026-04-21T13:22:20Z,126,97,0.77,60.05,29,-3.9,-3.0,0.0357,42.81,894.7308,78.19,0.0,78.08,1.1154,79.19,78,2026-04-27T13:18:16Z
emotion-js/emotion,gh/92570536,8.6,97,0,1,True,5,2025-11-04T12:47:00Z,566,325,0.574,77.7,241,-41.5,-30.1,0.1007,24.23,311.0515,51.9,0.0,78.08,2.4845,90.84,72,2026-04-27T13:18:16Z
encode/httpcore,gh/237210639,5.9,42,0,0,True,5,2026-01-08T03:07:35Z,117,123,1.051,14.46,-6,-4.6,-4.5,0.0043,54.12,308.7857,51.45,0.0,78.08,-0.1429,15.72,40,2026-04-27T13:18:16Z
encode/httpx,gh/179492861,6.7,146,0,0,False,5,2026-03-29T00:19:16Z,0,0,,,0,,,,,121.5753,28.3,0.0068,80.2,0.0,35.97,43,2026-04-27T13:18:16Z
epoberezkin/fast-deep-equal,gh/94483360,8.5,0,1,0,True,0,2023-10-05T21:22:34Z,21,7,0.333,88.85,14,-0.5,-0.8,-0.0714,82.07,914.0,78.64,0.0,78.08,14.0,99.32,85,2026-04-27T13:18:16Z
epoberezkin/fast-json-stable-stringify,gh/108103016,8.2,0,1,0,True,0,2023-07-03T08:14:47Z,5,0,0.0,100.0,5,0.3,0.0,-0.3,96.12,235.0,43.85,0.0,78.08,5.0,97.17,69,2026-04-27T13:18:16Z
epoberezkin/json-schema-traverse,gh/93333933,8.6,1,0,0,True,1,2021-07-26T06:52:21Z,4,1,0.25,91.05,3,-0.3,-0.1,,,389.0,59.51,0.0,78.08,3.0,94.23,76,2026-04-27T13:18:16Z
es-shims/array-includes,gh/28753032,11.0,1,0,0,True,5,2025-12-30T01:53:57Z,1,0,0.0,100.0,1,-0.2,0.0,,,263.0,46.87,0.0,78.08,1.0,78.17,66,2026-04-27T13:18:16Z
es-shims/dunder-proto,gh/898274312,1.1,1,0,0,True,1,2024-12-17T02:12:42Z,3,2,0.667,71.32,1,0.4,0.3,,,153.0,33.45,0.0,78.08,1.0,78.17,59,2026-04-27T13:18:16Z
es-shims/es-object-atoms,gh/773229339,1.8,1,0,0,True,2,2025-01-15T00:42:39Z,1,0,0.0,100.0,1,0.1,0.0,,,69.0,16.22,0.0,78.08,1.0,78.17,46,2026-04-27T13:03:09Z
es-shims/es-set-tostringtag,gh/580683868,3.0,1,0,0,True,4,2025-01-02T04:44:11Z,3,2,0.667,71.32,1,-0.1,0.0,,,120.0,28.08,0.0,78.08,1.0,78.17,56,2026-04-27T13:18:17Z
es-shims/math-intrinsics,gh/902014040,1.1,1,0,0,True,1,2024-12-19T05:58:07Z,2,0,0.0,100.0,2,0.2,0.0,,,290.0,49.44,0.0,78.08,2.0,89.03,70,2026-04-27T13:18:17Z
es-shims/object.values,gh/41723335,10.3,1,0,0,True,5,2025-12-30T01:55:08Z,1,0,0.0,100.0,1,-0.2,0.0,,,214.0,41.05,0.0,78.08,1.0,78.17,63,2026-04-27T13:18:17Z
es-shims/regexp.prototype.flags,gh/26932422,11.1,1,0,0,True,5,2025-12-10T06:38:09Z,6,5,0.833,52.94,1,-0.1,0.1,0.1667,15.35,365.0,57.27,0.0,78.08,1.0,78.17,70,2026-04-27T13:18:17Z
es-shims/string.prototype.trimend,gh/114682758,8.0,1,0,0,True,4,2026-01-13T19:30:58Z,1,0,0.0,100.0,1,-0.2,0.0,,,174.0,36.47,0.0,78.08,1.0,78.17,61,2026-04-27T13:18:17Z
es-shims/string.prototype.trimstart,gh/114682105,8.0,1,0,0,True,4,2026-01-13T19:31:02Z,1,0,0.0,100.0,1,-0.2,0.0,,,175.0,36.58,0.0,78.08,1.0,78.17,61,2026-04-27T13:18:17Z
eslint-community/eslint-utils,gh/568240379,3.1,9,0,4,True,5,2026-04-14T08:49:38Z,32,15,0.469,84.68,17,4.5,2.1,-0.375,97.42,774.5556,74.61,0.0,78.08,1.8889,86.43,80,2026-04-27T13:18:17Z
eslint/eslint,gh/11061773,12.5,325,0,10,True,5,2026-04-27T11:23:08Z,2573,2589,1.006,19.61,-16,-44.0,-37.9,0.0119,51.53,1580.4338,85.23,0.0,78.08,-0.0492,18.21,49,2026-04-27T13:18:17Z
eslint/js,gh/27620277,11.1,26,0,10,True,5,2026-04-27T10:50:47Z,65,64,0.985,32.23,1,0.0,-1.7,-0.1308,89.34,11659.3462,96.53,0.0,78.08,0.0385,36.54,65,2026-04-27T13:18:17Z
eslint/rewrite,gh/791446923,1.7,19,0,10,True,2,2026-04-26T21:03:47Z,68,63,0.926,41.05,5,10.5,9.9,-0.0441,72.54,1435.4737,84.12,0.1053,92.95,0.2632,47.51,72,2026-04-27T13:18:17Z
estools/escodegen,gh/3611422,13.8,1,0,0,True,1,2024-07-17T02:01:51Z,20,10,0.5,83.21,10,-1.8,-0.4,0.35,4.68,133461.0,99.55,0.0,78.08,10.0,98.98,92,2026-04-27T13:18:17Z
estools/esquery,gh/11412938,12.5,7,0,0,True,4,2025-12-31T15:42:18Z,17,9,0.529,79.04,8,-0.5,-0.2,0.0882,26.82,827.8571,76.29,0.0,78.08,1.1429,79.52,78,2026-04-27T13:18:17Z
estools/esrecurse,gh/27429822,11.1,2,0,0,True,1,2023-03-30T19:46:51Z,2,3,1.5,4.29,-1,0.0,0.0,,,287.0,48.99,0.0,78.08,-0.5,8.6,32,2026-04-27T13:18:17Z
estools/estraverse,gh/6145439,13.2,2,0,0,True,1,2022-04-04T18:32:01Z,3,2,0.667,71.32,1,0.2,0.1,,,3984.5,93.74,0.0,78.08,0.5,59.28,76,2026-04-27T13:18:17Z
estools/esutils,gh/14677293,12.1,0,1,0,True,0,2022-04-07T03:34:54Z,1,0,0.0,100.0,1,0.1,0.0,,,1323.0,82.55,0.0,78.08,1.0,78.17,80,2026-04-27T13:18:17Z
ethers-io/ethers.js,gh/63465664,9.5,1,0,6,True,4,2026-04-10T00:11:59Z,1699,1384,0.815,54.29,315,-111.9,-109.6,0.0068,53.31,175077.0,99.78,0.0,78.08,315.0,100.0,92,2026-04-27T13:18:17Z
evanw/esbuild,gh/61137153,9.5,99,0,10,True,5,2026-04-02T20:38:53Z,3309,2841,0.859,48.77,468,-201.2,-194.0,0.0109,52.02,1931.8283,87.92,0.0101,81.21,4.7273,96.27,88,2026-04-27T13:18:17Z
evanw/node-source-map-support,gh/7682781,13.0,4,0,0,True,2,2024-08-03T12:06:40Z,23,9,0.391,86.4,14,-2.1,-0.9,0.2609,8.08,423.25,61.41,0.0,78.08,3.5,95.02,77,2026-04-27T13:18:17Z
eventualbuddha/lines-and-columns,gh/47284288,10.1,2,0,0,True,2,2023-11-07T01:41:46Z,1,1,1.0,30.64,0,-0.2,-0.2,,,90.0,21.7,0.0,78.08,0.0,35.97,39,2026-04-27T13:18:17Z
executablebooks/markdown-it-py,gh/249956697,5.8,20,0,1,True,5,2026-04-20T16:37:05Z,57,38,0.667,71.32,19,-1.6,-2.4,-0.0702,81.26,420.95,61.07,0.1,92.39,0.95,69.46,73,2026-04-27T13:18:17Z
executablebooks/mdurl,gh/387293763,4.5,3,0,0,True,5,2026-04-13T16:36:42Z,3,2,0.667,71.32,1,-0.4,0.0,,,470.6667,64.99,0.0,78.08,0.3333,51.81,64,2026-04-27T13:18:17Z
exodusoss/bytes,gh/885154008,1.1,3,0,10,True,2,2026-04-15T23:38:52Z,4,1,0.25,91.05,3,0.8,0.2,,,5756.0,94.74,0.0,78.08,1.0,78.17,83,2026-04-27T13:18:17Z
expressjs/body-parser,gh/15669006,12.0,20,0,10,True,5,2026-04-24T17:50:15Z,53,42,0.792,57.72,11,1.9,0.7,-0.1132,88.21,189.8,38.14,0.1,92.39,0.55,60.07,60,2026-04-27T13:18:17Z
expressjs/serve-static,gh/17464338,11.8,10,0,0,True,4,2026-01-03T18:08:02Z,19,16,0.842,50.74,3,0.2,0.4,0.0526,36.83,113.8,26.96,0.1,92.39,0.3,49.1,50,2026-04-27T13:18:17Z
facebook/watchman,gh/6930489,13.1,267,0,10,True,5,2026-04-27T04:38:49Z,243,120,0.494,83.46,123,-8.1,-4.1,0.0823,28.59,361.5955,57.05,0.0,78.08,0.4607,56.11,63,2026-04-27T13:18:17Z
facebook/zstd,gh/29759715,10.9,220,0,10,True,5,2026-04-25T05:35:25Z,736,578,0.785,58.58,158,-19.8,-20.4,-0.0041,60.42,665.8591,72.04,0.0,78.08,0.7182,65.5,72,2026-04-27T13:18:18Z
facelessuser/soupsieve,gh/160789418,7.1,6,0,2,True,5,2026-03-27T16:24:18Z,30,30,1.0,30.64,0,-2.3,-2.1,0.0333,43.46,1984.3333,88.81,0.0,78.08,0.0,35.97,63,2026-04-27T13:18:17Z
fastify/fast-uri,gh/419317518,4.2,11,0,6,True,5,2026-04-08T19:22:40Z,25,21,0.84,51.35,4,2.0,2.4,0.08,29.56,278.0,48.66,0.0,78.08,0.3636,52.6,58,2026-04-27T13:18:18Z
faye/websocket-driver-node,gh/9733816,12.7,1,0,0,True,2,2023-09-07T18:21:11Z,1,1,1.0,30.64,0,-0.2,-0.2,,,3374.0,93.06,0.0,78.08,0.0,35.97,64,2026-04-27T13:18:18Z
fb55/boolbase,gh/16864585,11.9,2,0,6,True,2,2026-03-23T08:07:19Z,2,1,0.5,83.21,1,0.3,0.2,,,6.5,1.9,0.0,78.08,0.5,59.28,21,2026-04-27T13:18:18Z
fb55/css-select,gh/3411063,13.9,7,0,10,True,5,2026-04-24T13:53:04Z,44,37,0.841,51.1,7,-1.7,-2.2,-0.0568,76.25,868.5714,77.18,0.0,78.08,1.0,78.17,78,2026-04-27T13:18:18Z
fb55/css-what,gh/4460687,13.6,6,0,10,True,5,2026-04-24T10:34:48Z,20,19,0.95,37.5,1,-2.4,-2.3,0.025,46.85,373.3333,58.17,0.3333,97.99,0.1667,43.44,63,2026-04-27T13:18:18Z
fb55/domelementtype,gh/6627835,13.1,2,0,8,True,4,2026-03-26T06:48:09Z,2,2,1.0,30.64,0,-0.4,-0.4,,,27.0,5.7,0.0,78.08,0.0,35.97,25,2026-04-27T13:18:18Z
fb55/domhandler,gh/5414232,13.4,1,0,10,True,5,2026-04-24T13:23:14Z,18,16,0.889,45.83,2,-2.2,-2.1,0.0278,46.2,911.0,78.52,0.0,78.08,2.0,89.03,82,2026-04-27T13:18:18Z
fb55/domutils,gh/6627949,13.1,5,0,10,True,5,2026-04-20T14:13:58Z,19,18,0.947,37.75,1,-1.1,-0.8,0.0789,29.89,411.6,60.51,0.0,78.08,0.2,45.36,60,2026-04-27T13:18:18Z
fb55/entities,gh/3172629,14.0,8,0,10,True,5,2026-04-20T22:22:02Z,19,16,0.842,50.74,3,0.0,-0.8,-0.2105,94.18,359.0,56.6,0.0,78.08,0.375,53.28,62,2026-04-27T13:18:18Z
fb55/htmlparser2,gh/2279062,14.3,10,0,10,True,5,2026-04-24T12:42:39Z,101,85,0.842,50.74,16,-5.8,-7.5,-0.0842,84.01,266.3,47.32,0.0,78.08,1.6,84.62,68,2026-04-27T13:18:18Z
fb55/nth-check,gh/16864923,11.9,1,0,10,True,5,2026-04-24T14:23:32Z,12,12,1.0,30.64,0,-0.7,-0.6,0.0417,40.55,445.0,63.09,1.0,99.78,0.0,35.97,61,2026-04-27T13:18:18Z
felixge/node-combined-stream,gh/1787452,14.6,0,1,0,True,0,2023-11-09T07:47:17Z,4,1,0.25,91.05,3,-0.3,-0.2,,,551.0,68.57,0.0,78.08,3.0,94.23,80,2026-04-27T13:18:18Z
felixge/node-delayed-stream,gh/1783893,14.6,0,1,0,True,0,2015-04-30T22:07:18Z,0,0,,,0,,,,,300.0,50.67,0.0,78.08,0.0,35.97,52,2026-04-27T13:18:18Z
feross/buffer,gh/14494363,12.1,12,0,0,True,4,2025-10-28T00:33:50Z,45,11,0.244,91.18,34,-2.2,-0.9,0.1444,17.45,787.6667,74.83,0.0,78.08,2.8333,91.86,81,2026-04-27T13:18:18Z
feross/ieee754,gh/15489525,12.0,0,1,0,True,0,2021-08-12T13:35:05Z,0,0,,,0,,,,,151.0,33.22,0.0,78.08,0.0,35.97,45,2026-04-27T13:18:18Z
feross/is-buffer,gh/25997846,11.2,0,1,0,True,0,2021-08-18T15:42:05Z,1,0,0.0,100.0,1,0.2,0.0,,,35.0,7.61,0.0,78.08,1.0,78.17,36,2026-04-27T13:18:18Z
feross/queue-microtask,gh/207021895,6.3,1,0,0,True,1,2023-11-30T00:54:01Z,2,2,1.0,30.64,0,-0.4,-0.4,,,45.0,9.84,0.0,78.08,0.0,35.97,30,2026-04-27T13:18:18Z
feross/run-parallel,gh/18700638,11.7,1,0,0,True,1,2023-02-27T23:50:37Z,1,0,0.0,100.0,1,-0.2,0.0,,,310.0,51.68,0.0,78.08,1.0,78.17,68,2026-04-27T13:18:18Z
feross/safe-buffer,gh/49538897,10.0,0,1,0,True,0,2023-06-03T11:06:05Z,6,1,0.167,92.4,5,-0.6,0.0,0.5,2.91,166.0,35.12,0.0,78.08,5.0,97.17,64,2026-04-27T13:18:18Z
ffmpeg/ffmpeg,gh/1614410,14.7,574,0,10,False,5,2026-04-27T12:33:00Z,0,0,,,0,,,,,3411.7056,93.18,0.2613,96.53,0.0,35.97,69,2026-04-27T18:55:30Z
firebase/firebase-js-sdk,gh/89290483,8.7,115,0,10,True,5,2026-04-26T22:19:47Z,1785,1593,0.892,44.85,192,-75.7,-68.9,0.019,49.11,4334.1913,94.07,0.0174,83.45,1.6696,85.18,87,2026-04-27T13:18:18Z
floating-ui/floating-ui,gh/54994103,9.8,98,0,10,True,5,2026-03-03T03:02:11Z,790,771,0.976,33.7,19,-10.5,-14.5,-0.0253,67.04,482.2959,65.66,0.0,78.08,0.1939,44.23,61,2026-04-27T13:18:18Z
follow-redirects/follow-redirects,gh/6697086,13.1,14,0,2,True,5,2026-04-13T11:05:47Z,69,56,0.812,55.15,13,-2.9,-2.6,0.0217,47.82,227.8571,43.18,0.2857,96.87,0.9286,68.78,66,2026-04-27T13:18:18Z
